date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,254126,157807,272,95995,0,52,0
2014-01-07 18,184827,116022,199,68569,0,37,0
2014-01-07 19,135871,85856,220,49761,0,34,0
2014-01-07 20,139430,88273,225,50901,0,31,0
2014-01-07 21,148592,93443,220,54902,0,27,0
2014-01-07 22,231376,144173,253,86902,0,48,0
2014-01-07 23,277419,173399,148,103828,0,44,0
2014-01-08 00,254696,161678,72,92879,0,67,0
2014-01-08 01,226018,143392,44,82536,0,46,0
2014-01-08 02,191483,120887,22,70529,0,45,0
2014-01-08 03,211947,132735,24,79140,0,48,0
2014-01-08 04,224612,141601,34,82929,0,48,0
2014-01-08 05,218593,137279,26,81245,0,43,0
2014-01-08 06,237378,149824,24,87471,0,59,0
2014-01-08 07,242500,151057,36,91349,0,58,0
2014-01-08 08,423914,264439,108,159287,0,80,0
2014-01-08 09,448992,282816,258,165853,0,65,0
2014-01-08 10,411388,260097,192,151023,0,76,0
2014-01-08 11,332490,208794,214,123403,0,79,0
2014-01-08 12,307454,191597,193,115627,0,37,0
2014-01-08 13,354835,218845,168,135752,0,70,0
2014-01-08 14,269917,166332,204,103322,0,59,0
2014-01-08 15,231050,142556,170,88264,0,60,0
2014-01-08 16,204480,126536,184,77703,0,57,0
2014-01-08 17,329447,205354,221,123823,0,49,0
2014-01-08 18,223242,139442,178,83569,0,53,0
2014-01-08 19,148790,93819,154,54786,0,31,0
2014-01-08 20,152821,96531,152,56098,0,40,0
2014-01-08 21,174247,109996,169,64055,0,27,0
2014-01-08 22,250558,157488,213,92813,0,44,0
2014-01-08 23,277262,174440,137,102634,0,51,0
2014-01-09 00,253486,161975,50,91408,0,53,0
2014-01-09 01,215398,136990,40,78318,0,50,0
2014-01-09 02,172542,109491,26,62978,0,47,0
2014-01-09 03,177993,112881,28,65037,0,47,0
2014-01-09 04,176218,111749,40,64376,0,53,0
2014-01-09 05,193977,123580,44,70307,0,46,0
2014-01-09 06,214069,135251,45,78733,0,40,0
2014-01-09 07,240825,150507,40,90226,0,52,0
2014-01-09 08,348320,215107,110,133029,0,74,0
2014-01-09 09,412350,258630,240,153384,0,96,0
2014-01-09 10,388827,244922,136,143691,0,78,0
2014-01-09 11,336039,210066,130,125781,0,62,0
2014-01-09 12,289584,180740,150,108646,0,48,0
2014-01-09 13,202010,124730,162,77069,0,49,0
2014-01-09 14,223503,139238,140,84068,0,57,0
2014-01-09 15,211770,132345,154,79225,0,46,0
2014-01-09 16,181551,113292,186,68033,0,40,0
2014-01-09 17,240475,151602,144,88681,0,48,0
2014-01-09 18,180087,113126,108,66811,0,42,0
2014-01-09 19,127535,80888,138,46477,0,32,0
2014-01-09 20,154887,98688,150,56008,0,41,0
2014-01-09 21,179181,114180,162,64788,0,51,0
2014-01-09 22,257018,162039,178,94747,0,54,0
2014-01-09 23,248473,157425,95,90905,0,48,0
2014-01-10 00,242087,154401,64,87573,0,49,0
2014-01-10 01,210483,134497,56,75878,0,52,0
2014-01-10 02,172496,110117,26,62315,0,38,0
2014-01-10 03,165671,105941,30,59654,0,46,0
2014-01-10 04,174473,112163,26,62245,0,39,0
2014-01-10 05,184664,118371,18,66219,0,56,0
2014-01-10 06,223986,143069,30,80837,0,50,0
2014-01-10 07,235032,148341,20,86617,0,54,0
2014-01-10 08,356560,222994,90,133402,0,74,0
2014-01-10 09,344545,215500,112,128854,0,79,0
2014-01-10 10,352998,222512,148,130274,0,64,0
2014-01-10 11,349073,219494,190,129305,0,84,0
2014-01-10 12,306772,191289,172,115222,0,89,0
2014-01-10 13,300664,187462,120,113004,0,78,0
2014-01-10 14,354635,222555,145,131846,0,89,0
2014-01-10 15,364744,228816,161,135714,0,53,0
2014-01-10 16,350021,218518,172,131269,0,62,0
2014-01-10 17,310712,194278,156,116231,0,47,0
2014-01-10 18,288531,181032,163,107283,0,53,0
2014-01-10 19,218600,138081,285,80191,0,43,0
2014-01-10 20,207093,130758,206,76078,0,51,0
2014-01-10 21,196435,124811,242,71339,0,43,0
2014-01-10 22,240208,152129,142,87892,0,45,0
2014-01-10 23,222099,139890,130,82042,0,37,0
2014-01-11 00,244204,154761,77,89332,0,34,0
2014-01-11 01,212193,134224,66,77846,0,57,0
2014-01-11 02,193015,119995,197,72775,0,48,0
2014-01-11 03,184652,114560,46,69998,0,48,0
2014-01-11 04,211077,131979,36,79008,0,54,0
2014-01-11 05,208861,129109,54,79647,0,51,0
2014-01-11 06,218564,136809,30,81681,0,44,0
