date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,595554,309051,270,286233,0,0,0
2014-01-07 18,565247,293163,210,271873,0,1,0
2014-01-07 19,516611,268406,150,248055,0,0,0
2014-01-07 20,503672,262674,260,240738,0,0,0
2014-01-07 21,502185,261602,274,240308,0,1,0
2014-01-07 22,489419,253333,222,235864,0,0,0
2014-01-07 23,489078,253619,154,235305,0,0,0
2014-01-08 00,347328,183206,68,164054,0,0,0
2014-01-08 01,225711,117667,34,108010,0,0,0
2014-01-08 02,170295,87727,13,82555,0,0,0
2014-01-08 03,146187,75424,16,70747,0,0,0
2014-01-08 04,130104,66667,10,63427,0,0,0
2014-01-08 05,133932,68699,8,65225,0,0,0
2014-01-08 06,185324,96759,36,88529,0,0,0
2014-01-08 07,328365,173552,56,154757,0,0,0
2014-01-08 08,568106,299640,88,268378,0,0,0
2014-01-08 09,679535,358522,236,320777,0,0,0
2014-01-08 10,672987,352992,294,319701,0,0,0
2014-01-08 11,669480,348327,216,320937,0,0,0
2014-01-08 12,651844,338675,200,312969,0,0,0
2014-01-08 13,625039,324415,286,300338,0,0,0
2014-01-08 14,632113,329832,242,302039,0,0,0
2014-01-08 15,590899,309220,254,281424,0,1,0
2014-01-08 16,556989,289856,238,266895,0,0,0
2014-01-08 17,531479,276271,214,254994,0,0,0
2014-01-08 18,529414,275586,182,253646,0,0,0
2014-01-08 19,497698,257878,174,239646,0,0,0
2014-01-08 20,454602,235942,242,218418,0,0,0
2014-01-08 21,464603,240479,230,223894,0,0,0
2014-01-08 22,463069,239283,222,223564,0,0,0
2014-01-08 23,412367,213596,119,198652,0,0,0
2014-01-09 00,282527,148031,72,134424,0,0,0
2014-01-09 01,214845,111681,58,103106,0,0,0
2014-01-09 02,174763,90574,32,84157,0,0,0
2014-01-09 03,155751,80065,28,75658,0,0,0
2014-01-09 04,136290,69471,14,66805,0,0,0
2014-01-09 05,145249,74449,12,70788,0,0,0
2014-01-09 06,191950,100035,0,91915,0,0,0
2014-01-09 07,335633,176667,36,158930,0,0,0
2014-01-09 08,574935,301891,104,272940,0,0,0
2014-01-09 09,667613,349737,186,317689,0,1,0
2014-01-09 10,592725,309348,236,283141,0,0,0
2014-01-09 11,517704,270954,176,246574,0,0,0
2014-01-09 12,531760,276393,126,255241,0,0,0
2014-01-09 13,540813,278504,232,262077,0,0,0
2014-01-09 14,571011,296638,226,274147,0,0,0
2014-01-09 15,567264,295227,236,271801,0,0,0
2014-01-09 16,514808,267555,243,247010,0,0,0
2014-01-09 17,416354,216741,148,199465,0,0,0
2014-01-09 18,399862,207745,130,191987,0,0,0
