date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,34,11,0,23,0,0,0
2014-01-07 18,37,19,3,15,0,0,0
2014-01-07 19,22,11,6,5,0,0,0
2014-01-07 20,22,14,2,6,0,0,0
2014-01-07 21,22,8,8,6,0,0,0
2014-01-07 22,18,15,0,3,0,0,0
2014-01-07 23,4,4,0,0,0,0,0
2014-01-08 00,6,2,0,4,0,0,0
2014-01-08 02,1,1,0,0,0,0,0
2014-01-08 03,2,1,0,1,0,0,0
2014-01-08 05,4,1,0,3,0,0,0
2014-01-08 06,1,1,0,0,0,0,0
2014-01-08 08,19,7,4,8,0,0,0
2014-01-08 09,16,7,2,7,0,0,0
2014-01-08 10,14,6,2,6,0,0,0
2014-01-08 11,32,11,4,17,0,0,0
2014-01-08 12,16,8,0,8,0,0,0
2014-01-08 13,23,15,6,2,0,0,0
2014-01-08 14,26,8,0,18,0,0,0
2014-01-08 15,35,15,12,8,0,0,0
2014-01-08 16,46,11,0,35,0,0,0
2014-01-08 17,37,14,6,17,0,0,0
2014-01-08 18,20,6,2,12,0,0,0
2014-01-08 19,30,16,6,8,0,0,0
2014-01-08 20,17,10,0,7,0,0,0
2014-01-08 21,23,13,8,2,0,0,0
2014-01-08 22,9,4,2,3,0,0,0
2014-01-08 23,11,11,0,0,0,0,0
2014-01-09 00,11,0,0,11,0,0,0
2014-01-09 01,5,0,0,5,0,0,0
2014-01-09 02,5,2,2,1,0,0,0
2014-01-09 05,3,2,0,1,0,0,0
2014-01-09 06,1,1,0,0,0,0,0
2014-01-09 07,1,1,0,0,0,0,0
2014-01-09 08,4,3,0,1,0,0,0
2014-01-09 09,8,4,0,4,0,0,0
2014-01-09 10,11,5,0,6,0,0,0
2014-01-09 11,11,5,4,2,0,0,0
2014-01-09 12,9,9,0,0,0,0,0
2014-01-09 13,24,11,0,13,0,0,0
2014-01-09 14,33,9,0,24,0,0,0
2014-01-09 15,31,5,0,26,0,0,0
2014-01-09 16,45,7,4,34,0,0,0
