date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,10122,3286,6748,88,0,0,0
2014-01-07 18,9126,2962,6084,80,0,0,0
2014-01-07 19,8929,2913,5942,74,0,0,0
2014-01-07 20,10331,3372,6888,71,0,0,0
2014-01-07 21,10812,3539,7208,64,0,1,0
2014-01-07 22,8740,2846,5828,65,0,1,0
2014-01-07 23,7413,2383,4942,88,0,0,0
2014-01-08 00,4386,1407,2924,55,0,0,0
2014-01-08 01,1641,497,1094,50,0,0,0
2014-01-08 02,1137,312,760,65,0,0,0
2014-01-08 03,783,183,522,78,0,0,0
2014-01-08 04,606,125,404,77,0,0,0
2014-01-08 05,512,102,342,67,0,1,0
2014-01-08 06,728,176,486,66,0,0,0
2014-01-08 07,1595,460,1064,71,0,0,0
2014-01-08 08,5699,1840,3800,59,0,0,0
2014-01-08 09,10763,3507,7176,80,0,0,0
2014-01-08 10,14625,4799,9750,75,0,1,0
2014-01-08 11,11910,3876,7940,93,0,1,0
2014-01-08 12,12432,4060,8288,83,0,1,0
2014-01-08 13,11532,3757,7688,87,0,0,0
2014-01-08 14,10983,3587,7322,73,0,1,0
2014-01-08 15,10347,3382,6898,67,0,0,0
2014-01-08 16,9889,3231,6594,64,0,0,0
2014-01-08 17,7469,2443,4980,46,0,0,0
2014-01-08 18,7344,2386,4896,62,0,0,0
2014-01-08 19,9033,2938,6022,73,0,0,0
2014-01-08 20,10869,3549,7246,74,0,0,0
2014-01-08 21,11576,3765,7718,93,0,0,0
2014-01-08 22,10458,3404,6972,82,0,0,0
2014-01-08 23,6262,2022,4176,64,0,0,0
2014-01-09 00,2251,679,1502,69,0,1,0
2014-01-09 01,1841,528,1228,84,0,1,0
2014-01-09 02,1034,275,690,69,0,0,0
2014-01-09 03,857,190,572,95,0,0,0
2014-01-09 04,793,175,530,87,0,1,0
2014-01-09 05,678,161,452,65,0,0,0
2014-01-09 06,1141,301,762,76,0,2,0
2014-01-09 07,2131,635,1422,74,0,0,0
2014-01-09 08,5682,1816,3788,78,0,0,0
2014-01-09 09,9723,3160,6482,81,0,0,0
2014-01-09 10,10182,3321,6788,73,0,0,0
2014-01-09 11,8114,2632,5410,71,0,1,0
2014-01-09 12,8694,2835,5796,63,0,0,0
2014-01-09 13,8934,2911,5956,67,0,0,0
2014-01-09 14,8583,2790,5722,71,0,0,0
2014-01-09 15,8643,2803,5762,78,0,0,0
2014-01-09 16,8017,2609,5346,62,0,0,0
2014-01-09 17,6053,1958,4036,59,0,0,0
2014-01-09 18,5934,1920,3956,58,0,0,0
2014-01-09 19,6218,2007,4146,65,0,0,0
2014-01-09 20,7412,2398,4940,74,0,0,0
2014-01-09 21,7886,2558,5258,69,0,1,0
2014-01-09 22,7272,2356,4848,68,0,0,0
2014-01-09 23,4500,1448,3000,52,0,0,0
2014-01-10 00,2307,717,1538,52,0,0,0
2014-01-10 01,1975,584,1322,68,0,1,0
2014-01-10 02,1011,256,674,81,0,0,0
2014-01-10 03,873,232,582,59,0,0,0
2014-01-10 04,660,151,440,68,0,1,0
2014-01-10 05,708,141,474,93,0,0,0
2014-01-10 06,1087,274,730,80,0,3,0
2014-01-10 07,2099,622,1402,74,0,1,0
