date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 20,5,1,4,0,0,0,0
2014-01-08 02,5,1,4,0,0,0,0
2014-01-08 03,10,2,8,0,0,0,0
2014-01-08 06,5,1,4,0,0,0,0
2014-01-08 07,5,1,4,0,0,0,0
2014-01-08 12,10,2,8,0,0,0,0
2014-01-08 17,5,1,4,0,0,0,0
2014-01-08 18,5,1,4,0,0,0,0
2014-01-08 23,5,1,4,0,0,0,0
2014-01-09 05,5,1,4,0,0,0,0
2014-01-09 10,5,1,4,0,0,0,0
2014-01-09 18,5,1,4,0,0,0,0
2014-01-09 23,5,1,4,0,0,0,0
2014-01-10 04,5,1,4,0,0,0,0
2014-01-10 09,5,1,4,0,0,0,0
2014-01-10 15,5,1,4,0,0,0,0
2014-01-10 20,5,1,4,0,0,0,0
2014-01-11 02,5,1,4,0,0,0,0
2014-01-11 07,5,1,4,0,0,0,0
2014-01-11 23,5,1,4,0,0,0,0
2014-01-13 19,5,1,4,0,0,0,0
2014-01-14 10,5,1,4,0,0,0,0
2014-01-14 21,15,3,12,0,0,0,0
2014-01-15 02,5,1,4,0,0,0,0
2014-01-15 07,10,2,8,0,0,0,0
2014-01-15 12,5,1,4,0,0,0,0
2014-01-15 17,5,1,4,0,0,0,0
2014-01-15 23,5,1,4,0,0,0,0
2014-01-16 04,5,1,4,0,0,0,0
2014-01-16 10,10,2,8,0,0,0,0
2014-01-16 20,5,1,4,0,0,0,0
2014-01-17 01,5,1,4,0,0,0,0
2014-01-17 06,5,1,4,0,0,0,0
2014-01-17 13,5,1,4,0,0,0,0
2014-01-17 22,5,1,4,0,0,0,0
2014-01-18 03,5,1,4,0,0,0,0
2014-01-18 08,5,1,4,0,0,0,0
2014-01-18 13,5,1,4,0,0,0,0
2014-01-18 18,5,1,4,0,0,0,0
2014-01-19 10,5,1,4,0,0,0,0
2014-01-19 15,5,1,4,0,0,0,0
2014-01-19 21,5,1,4,0,0,0,0
2014-01-20 03,5,1,4,0,0,0,0
2014-01-20 08,5,1,4,0,0,0,0
2014-01-20 19,5,1,4,0,0,0,0
2014-01-21 00,5,1,4,0,0,0,0
2014-01-21 05,10,2,8,0,0,0,0
2014-01-21 10,5,1,4,0,0,0,0
2014-01-21 16,10,2,8,0,0,0,0
2014-01-22 07,5,1,4,0,0,0,0
2014-01-22 08,30,2,24,4,0,0,0
2014-01-22 12,5,1,4,0,0,0,0
2014-01-22 17,5,1,4,0,0,0,0
2014-01-22 22,5,1,4,0,0,0,0
2014-01-23 08,5,1,4,0,0,0,0
2014-01-23 14,5,1,4,0,0,0,0
2014-01-23 19,5,1,4,0,0,0,0
2014-01-24 00,5,1,4,0,0,0,0
2014-01-24 05,10,2,8,0,0,0,0
2014-01-24 10,5,1,4,0,0,0,0
2014-01-24 15,5,1,4,0,0,0,0
2014-01-24 20,5,1,4,0,0,0,0
2014-01-25 01,10,2,8,0,0,0,0
2014-01-25 06,5,1,4,0,0,0,0
2014-01-25 11,10,2,8,0,0,0,0
2014-01-25 16,10,2,8,0,0,0,0
2014-01-25 21,5,1,4,0,0,0,0
2014-01-26 02,5,1,4,0,0,0,0
2014-01-26 07,5,1,4,0,0,0,0
2014-01-26 22,5,1,4,0,0,0,0
2014-01-27 03,10,2,8,0,0,0,0
2014-01-27 08,5,1,4,0,0,0,0
2014-01-27 19,5,1,4,0,0,0,0
2014-01-28 05,5,1,4,0,0,0,0
