date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,3493,255,168,3070,0,0,0
2014-01-07 18,3383,249,169,2965,0,0,0
2014-01-07 19,3452,239,132,3081,0,0,0
2014-01-07 20,3336,237,144,2955,0,0,0
2014-01-07 21,3341,215,134,2992,0,0,0
2014-01-07 22,3069,198,126,2745,0,0,0
2014-01-07 23,2399,188,112,2099,0,0,0
2014-01-08 00,1565,62,56,1447,0,0,0
2014-01-08 01,661,41,28,592,0,0,0
2014-01-08 02,308,22,18,268,0,0,0
2014-01-08 03,151,17,12,122,0,0,0
2014-01-08 04,125,10,10,105,0,0,0
2014-01-08 05,239,16,10,213,0,0,0
2014-01-08 06,208,16,29,163,0,0,0
2014-01-08 07,991,27,48,916,0,0,0
2014-01-08 08,3113,155,108,2850,0,0,0
2014-01-08 09,4092,275,152,3665,0,0,0
2014-01-08 10,4064,280,124,3660,0,0,0
2014-01-08 11,3873,292,174,3407,0,0,0
2014-01-08 12,4552,309,182,4061,0,0,0
2014-01-08 13,3555,217,167,3171,0,0,0
2014-01-08 14,3879,263,172,3444,0,0,0
2014-01-08 15,3994,248,148,3598,0,0,0
2014-01-08 16,3772,255,172,3345,0,0,0
2014-01-08 17,2914,152,96,2666,0,0,0
2014-01-08 18,3015,198,151,2666,0,0,0
2014-01-08 19,3282,232,198,2852,0,0,0
2014-01-08 20,3796,218,126,3452,0,0,0
2014-01-08 21,3895,223,150,3522,0,0,0
2014-01-08 22,3299,216,182,2901,0,0,0
2014-01-08 23,2224,172,128,1924,0,0,0
2014-01-09 00,1525,79,58,1388,0,0,0
2014-01-09 01,688,34,32,622,0,0,0
2014-01-09 02,258,12,14,232,0,0,0
2014-01-09 03,229,9,10,210,0,0,0
2014-01-09 04,100,8,12,80,0,0,0
2014-01-09 05,299,3,10,286,0,0,0
2014-01-09 06,274,10,16,248,0,0,0
2014-01-09 07,1033,49,38,946,0,0,0
2014-01-09 08,3248,167,94,2987,0,0,0
2014-01-09 09,4449,276,159,4014,0,0,0
2014-01-09 10,4082,234,170,3678,0,0,0
2014-01-09 11,3869,250,156,3463,0,0,0
2014-01-09 12,3349,268,176,2905,0,0,0
2014-01-09 13,3632,255,189,3188,0,0,0
2014-01-09 14,3595,266,192,3137,0,0,0
2014-01-09 15,3468,266,191,3011,0,0,0
2014-01-09 16,3243,216,164,2863,0,0,0
2014-01-09 17,2560,171,114,2275,0,0,0
2014-01-09 18,2285,156,118,2011,0,0,0
2014-01-09 19,2452,184,156,2112,0,0,0
2014-01-09 20,2578,190,117,2271,0,0,0
2014-01-09 21,2510,171,142,2197,0,0,0
2014-01-09 22,2368,182,134,2052,0,0,0
2014-01-09 23,1648,111,90,1447,0,0,0
2014-01-10 00,1199,51,56,1092,0,0,0
2014-01-10 01,746,48,22,676,0,0,0
2014-01-10 02,315,17,8,290,0,0,0
2014-01-10 03,165,8,6,151,0,0,0
2014-01-10 04,108,8,14,86,0,0,0
2014-01-10 05,165,15,20,130,0,0,0
2014-01-10 06,198,14,16,168,0,0,0
2014-01-10 07,882,34,36,812,0,0,0
2014-01-10 08,2394,150,101,2143,0,0,0
2014-01-10 09,2883,194,116,2573,0,0,0
2014-01-10 10,3765,233,108,3424,0,0,0
2014-01-10 11,3104,182,92,2830,0,0,0
2014-01-10 12,2954,221,164,2569,0,0,0
2014-01-10 13,2512,164,136,2212,0,0,0
2014-01-10 14,3263,225,164,2874,0,0,0
