date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,306,29,204,73,0,0,0
2014-01-07 18,468,53,312,103,0,0,0
2014-01-07 19,432,45,288,99,0,0,0
2014-01-07 20,474,49,316,109,0,0,0
2014-01-07 21,753,87,502,164,0,0,0
2014-01-07 22,414,21,276,117,0,0,0
2014-01-07 23,294,24,196,74,0,0,0
2014-01-08 00,270,28,180,62,0,0,0
2014-01-08 01,95,7,64,24,0,0,0
2014-01-08 02,42,1,28,13,0,0,0
2014-01-08 03,48,1,32,15,0,0,0
2014-01-08 04,33,1,22,10,0,0,0
2014-01-08 05,36,3,24,9,0,0,0
2014-01-08 06,36,1,24,11,0,0,0
2014-01-08 07,18,1,12,5,0,0,0
2014-01-08 08,237,27,158,52,0,0,0
2014-01-08 09,336,31,224,81,0,0,0
2014-01-08 10,465,57,310,98,0,0,0
2014-01-08 11,357,40,238,79,0,0,0
2014-01-08 12,276,10,184,82,0,0,0
2014-01-08 13,312,19,208,85,0,0,0
2014-01-08 14,470,61,314,95,0,0,0
2014-01-08 15,417,45,278,94,0,0,0
2014-01-08 16,348,30,232,86,0,0,0
2014-01-08 17,231,16,154,61,0,0,0
2014-01-08 18,297,32,198,67,0,0,0
2014-01-08 19,429,48,286,95,0,0,0
2014-01-08 20,330,31,220,79,0,0,0
2014-01-08 21,483,60,322,101,0,0,0
2014-01-08 22,417,34,278,105,0,0,0
2014-01-08 23,240,24,160,56,0,0,0
2014-01-09 00,69,2,46,21,0,0,0
2014-01-09 01,84,7,56,21,0,0,0
2014-01-09 02,45,2,30,13,0,0,0
2014-01-09 03,48,5,32,11,0,0,0
2014-01-09 04,9,0,6,3,0,0,0
2014-01-09 05,38,3,26,9,0,0,0
2014-01-09 06,60,4,40,16,0,0,0
2014-01-09 07,42,1,28,13,0,0,0
2014-01-09 08,204,24,136,44,0,0,0
2014-01-09 09,339,34,226,79,0,0,0
2014-01-09 10,351,36,234,81,0,0,0
2014-01-09 11,192,7,128,57,0,0,0
2014-01-09 12,309,33,206,70,0,0,0
2014-01-09 13,270,22,180,68,0,0,0
2014-01-09 14,246,25,164,57,0,0,0
2014-01-09 15,339,37,226,76,0,0,0
2014-01-09 16,375,35,250,90,0,0,0
2014-01-09 17,168,14,112,42,0,0,0
2014-01-09 18,285,30,190,65,0,0,0
2014-01-09 19,213,19,142,52,0,0,0
2014-01-09 20,296,33,198,65,0,0,0
2014-01-09 21,310,36,206,68,0,0,0
2014-01-09 22,339,29,226,84,0,0,0
2014-01-09 23,123,3,82,38,0,0,0
2014-01-10 00,93,15,62,16,0,0,0
2014-01-10 01,87,12,58,17,0,0,0
2014-01-10 02,6,0,4,2,0,0,0
2014-01-10 03,36,4,24,8,0,0,0
2014-01-10 04,23,2,16,5,0,0,0
2014-01-10 05,57,8,38,11,0,0,0
2014-01-10 06,51,5,34,12,0,0,0
2014-01-10 07,42,3,28,11,0,0,0
2014-01-10 08,111,7,74,30,0,0,0
2014-01-10 09,207,9,138,60,0,0,0
2014-01-10 10,350,42,234,74,0,0,0
2014-01-10 11,228,15,152,61,0,0,0
2014-01-10 12,258,23,172,63,0,0,0
2014-01-10 13,255,25,170,60,0,0,0
2014-01-10 14,336,30,224,82,0,0,0
2014-01-10 15,432,44,288,100,0,0,0
2014-01-10 16,336,26,224,86,0,0,0
2014-01-10 17,237,19,158,60,0,0,0
2014-01-10 18,339,36,226,77,0,0,0
2014-01-10 19,324,28,216,80,0,0,0
2014-01-10 20,552,67,368,117,0,0,0
2014-01-10 21,441,52,294,95,0,0,0
2014-01-10 22,237,20,158,59,0,0,0
2014-01-10 23,165,9,110,46,0,0,0
2014-01-11 00,105,10,70,25,0,0,0
2014-01-11 01,69,6,46,17,0,0,0
2014-01-11 02,54,8,36,10,0,0,0
2014-01-11 03,38,2,26,10,0,0,0
2014-01-11 04,18,2,12,4,0,0,0
2014-01-11 05,6,2,4,0,0,0,0
2014-01-11 06,30,4,20,6,0,0,0
2014-01-11 07,44,4,30,10,0,0,0
2014-01-11 08,57,0,38,19,0,0,0
2014-01-11 09,156,20,104,32,0,0,0
2014-01-11 10,273,29,182,62,0,0,0
2014-01-11 11,201,11,134,56,0,0,0
2014-01-11 12,237,25,158,54,0,0,0
2014-01-11 13,215,14,144,57,0,0,0
2014-01-11 14,288,31,192,65,0,0,0
2014-01-11 20,267,29,178,60,0,0,0
2014-01-11 21,216,16,144,56,0,0,0
2014-01-11 23,105,9,70,26,0,0,0
2014-01-12 00,42,8,28,6,0,0,0
2014-01-12 01,30,2,20,8,0,0,0
2014-01-12 02,9,1,6,2,0,0,0
2014-01-12 03,24,2,16,6,0,0,0
2014-01-12 04,12,1,8,3,0,0,0
2014-01-12 05,18,1,12,5,0,0,0
2014-01-12 06,3,0,2,1,0,0,0
2014-01-12 07,9,3,6,0,0,0,0
2014-01-12 08,36,6,24,6,0,0,0
2014-01-12 09,93,7,62,24,0,0,0
2014-01-12 10,117,10,78,29,0,0,0
2014-01-12 11,69,7,46,16,0,0,0
2014-01-12 12,90,6,60,24,0,0,0
2014-01-12 13,225,35,150,40,0,0,0
2014-01-12 14,162,19,108,35,0,0,0
2014-01-12 15,144,11,96,37,0,0,0
2014-01-12 16,102,10,68,24,0,0,0
2014-01-12 17,126,9,84,33,0,0,0
2014-01-12 18,111,10,74,27,0,0,0
2014-01-12 19,81,4,54,23,0,0,0
2014-01-12 20,111,10,74,27,0,0,0
2014-01-12 21,177,22,118,37,0,0,0
2014-01-12 22,168,29,112,27,0,0,0
2014-01-12 23,135,13,90,32,0,0,0
2014-01-13 00,36,0,24,12,0,0,0
2014-01-13 01,33,3,22,8,0,0,0
2014-01-13 02,12,0,8,4,0,0,0
2014-01-13 03,12,1,8,3,0,0,0
2014-01-13 04,8,0,6,2,0,0,0
2014-01-13 05,18,0,12,6,0,0,0
2014-01-13 06,6,0,4,2,0,0,0
2014-01-13 07,39,5,26,8,0,0,0
2014-01-13 08,132,21,88,23,0,0,0
2014-01-13 09,153,13,102,38,0,0,0
2014-01-13 10,222,25,148,49,0,0,0
2014-01-13 11,111,7,74,30,0,0,0
2014-01-13 12,99,9,66,24,0,0,0
2014-01-13 13,53,2,36,15,0,0,0
2014-01-13 14,75,2,50,23,0,0,0
2014-01-13 15,102,7,68,27,0,0,0
2014-01-13 16,282,22,188,72,0,0,0
2014-01-13 17,277,33,184,60,0,0,0
2014-01-13 18,156,12,104,40,0,0,0
2014-01-13 19,204,21,136,47,0,0,0
2014-01-13 20,237,24,158,55,0,0,0
2014-01-13 21,288,25,192,71,0,0,0
2014-01-13 22,225,22,150,53,0,0,0
2014-01-13 23,135,10,90,35,0,0,0
2014-01-14 00,174,26,116,32,0,0,0
2014-01-14 01,75,8,50,17,0,0,0
2014-01-14 02,51,4,34,13,0,0,0
2014-01-14 03,42,4,28,10,0,0,0
2014-01-14 04,33,2,22,9,0,0,0
2014-01-14 05,35,0,24,11,0,0,0
2014-01-14 06,39,6,26,7,0,0,0
2014-01-14 07,27,1,18,8,0,0,0
2014-01-14 08,138,12,92,34,0,0,0
2014-01-14 09,255,24,170,61,0,0,0
2014-01-14 10,375,33,250,92,0,0,0
2014-01-14 11,318,29,212,77,0,0,0
2014-01-14 12,273,23,182,68,0,0,0
2014-01-14 13,285,30,190,65,0,0,0
2014-01-14 14,266,18,178,70,0,0,0
2014-01-14 15,381,46,254,81,0,0,0
2014-01-14 16,294,33,196,65,0,0,0
2014-01-14 17,207,14,138,55,0,0,0
2014-01-14 18,162,11,108,43,0,0,0
2014-01-14 19,279,22,186,71,0,0,0
2014-01-14 20,288,26,192,70,0,0,0
2014-01-14 21,372,45,248,79,0,0,0
2014-01-14 22,267,24,178,65,0,0,0
