date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,300,82,196,22,0,0,0
2014-01-07 18,175,46,108,21,0,0,0
2014-01-07 19,154,46,92,16,0,0,0
2014-01-07 20,182,48,116,18,0,0,0
2014-01-07 21,231,63,156,12,0,0,0
2014-01-07 22,134,36,84,14,0,0,0
2014-01-07 23,172,43,116,13,0,0,0
2014-01-08 00,158,40,104,14,0,0,0
2014-01-08 01,59,17,36,6,0,0,0
2014-01-08 02,25,4,16,5,0,0,0
2014-01-08 03,43,7,32,4,0,0,0
2014-01-08 04,23,4,16,3,0,0,0
2014-01-08 05,35,7,24,4,0,0,0
2014-01-08 06,3,0,0,3,0,0,0
2014-01-08 07,39,12,24,3,0,0,0
2014-01-08 08,129,30,80,19,0,0,0
2014-01-08 09,208,51,132,25,0,0,0
2014-01-08 10,268,60,180,28,0,0,0
2014-01-08 11,211,52,136,23,0,0,0
2014-01-08 12,237,62,148,27,0,0,0
2014-01-08 13,283,73,188,22,0,0,0
2014-01-08 14,419,111,272,36,0,0,0
2014-01-08 15,376,99,240,37,0,0,0
2014-01-08 16,309,80,188,41,0,0,0
2014-01-08 17,302,87,184,31,0,0,0
2014-01-08 18,295,92,176,27,0,0,0
2014-01-08 19,254,65,164,25,0,0,0
2014-01-08 20,242,57,160,25,0,0,0
2014-01-08 21,332,90,216,26,0,0,0
2014-01-08 22,219,53,156,10,0,0,0
2014-01-08 23,143,29,104,10,0,0,0
2014-01-09 00,167,37,120,10,0,0,0
2014-01-09 01,78,17,52,9,0,0,0
2014-01-09 02,44,6,36,2,0,0,0
2014-01-09 03,49,11,36,2,0,0,0
2014-01-09 04,33,5,24,4,0,0,0
2014-01-09 05,6,1,4,1,0,0,0
2014-01-09 06,13,2,8,3,0,0,0
2014-01-09 07,14,2,8,4,0,0,0
2014-01-09 08,190,49,112,29,0,0,0
2014-01-09 09,230,61,148,21,0,0,0
2014-01-09 10,312,79,200,33,0,0,0
2014-01-09 11,271,67,176,28,0,0,0
2014-01-09 12,264,70,164,30,0,0,0
2014-01-09 13,270,69,172,29,0,0,0
2014-01-09 14,247,67,156,24,0,0,0
2014-01-09 15,408,103,268,37,0,0,0
2014-01-09 16,401,107,260,34,0,0,0
2014-01-09 17,301,77,196,28,0,0,0
2014-01-09 18,195,51,124,20,0,0,0
2014-01-09 19,179,58,104,17,0,0,0
2014-01-09 20,528,124,368,36,0,0,0
2014-01-09 21,294,74,200,20,0,0,0
2014-01-09 22,138,34,88,16,0,0,0
2014-01-09 23,139,35,90,14,0,0,0
2014-01-10 00,138,34,96,8,0,0,0
2014-01-10 01,105,26,68,11,0,0,0
2014-01-10 02,40,6,32,2,0,0,0
2014-01-10 03,58,11,44,3,0,0,0
2014-01-10 04,41,7,28,6,0,0,0
2014-01-10 05,2,0,0,2,0,0,0
2014-01-10 06,10,1,8,1,0,0,0
2014-01-10 07,22,2,12,8,0,0,0
2014-01-10 08,174,61,100,13,0,0,0
2014-01-10 09,342,93,208,41,0,0,0
2014-01-10 10,372,93,240,39,0,0,0
2014-01-10 11,247,71,148,28,0,0,0
2014-01-10 12,267,69,168,30,0,0,0
2014-01-10 13,258,65,168,25,0,0,0
2014-01-10 14,285,77,188,20,0,0,0
2014-01-10 15,378,110,228,40,0,0,0
2014-01-10 16,387,97,256,34,0,0,0
2014-01-10 17,332,82,224,26,0,0,0
2014-01-10 18,326,84,220,22,0,0,0
2014-01-10 19,190,54,116,20,0,0,0
2014-01-10 20,329,81,208,40,0,0,0
2014-01-10 21,252,63,168,21,0,0,0
2014-01-10 22,128,37,80,11,0,0,0
2014-01-10 23,73,20,44,9,0,0,0
2014-01-11 00,92,17,68,7,0,0,0
2014-01-11 01,143,30,96,17,0,0,0
2014-01-11 02,50,13,36,1,0,0,0
2014-01-11 03,13,2,8,3,0,0,0
2014-01-11 04,1,0,0,1,0,0,0
2014-01-11 05,15,3,8,4,0,0,0
2014-01-11 06,17,3,12,2,0,0,0
2014-01-11 07,14,2,8,4,0,0,0
2014-01-11 08,198,51,124,23,0,0,0
2014-01-11 09,238,59,148,31,0,0,0
2014-01-11 10,284,69,188,27,0,0,0
2014-01-11 11,326,81,216,29,0,0,0
2014-01-11 12,235,60,152,23,0,0,0
2014-01-11 13,289,74,196,19,0,0,0
2014-01-11 14,273,74,174,25,0,0,0
2014-01-11 20,286,66,196,24,0,0,0
2014-01-11 21,200,52,128,20,0,0,0
2014-01-11 23,140,32,92,16,0,0,0
2014-01-12 12,5,1,4,0,0,0,0
2014-01-12 14,17,4,12,1,0,0,0
2014-01-12 15,10,2,8,0,0,0,0
2014-01-12 18,5,1,4,0,0,0,0
2014-01-12 20,7,2,4,1,0,0,0
2014-01-13 15,30,6,24,0,0,0,0
2014-01-13 16,351,109,220,22,0,0,0
2014-01-13 17,364,93,232,39,0,0,0
2014-01-13 18,216,58,140,17,0,1,0
2014-01-13 19,210,59,132,19,0,0,0
