date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,30,6,24,0,0,0,0
2014-01-07 18,25,5,20,0,0,0,0
2014-01-07 19,25,5,20,0,0,0,0
2014-01-07 20,40,8,32,0,0,0,0
2014-01-07 21,50,10,40,0,0,0,0
2014-01-07 22,35,7,28,0,0,0,0
2014-01-07 23,50,10,40,0,0,0,0
2014-01-08 00,20,4,16,0,0,0,0
2014-01-08 01,15,3,12,0,0,0,0
2014-01-08 02,10,2,8,0,0,0,0
2014-01-08 03,20,4,16,0,0,0,0
2014-01-08 04,20,4,16,0,0,0,0
2014-01-08 05,5,1,4,0,0,0,0
2014-01-08 07,5,1,4,0,0,0,0
2014-01-08 08,25,5,20,0,0,0,0
2014-01-08 09,45,9,36,0,0,0,0
2014-01-08 10,80,16,64,0,0,0,0
2014-01-08 11,45,9,36,0,0,0,0
2014-01-08 12,80,16,64,0,0,0,0
2014-01-08 13,60,12,48,0,0,0,0
2014-01-08 14,81,16,64,1,0,0,0
2014-01-08 15,60,12,48,0,0,0,0
2014-01-08 16,55,11,44,0,0,0,0
2014-01-08 17,60,12,48,0,0,0,0
2014-01-08 18,30,6,24,0,0,0,0
2014-01-08 19,70,14,56,0,0,0,0
2014-01-08 20,20,4,16,0,0,0,0
2014-01-08 21,70,14,56,0,0,0,0
2014-01-08 22,20,4,16,0,0,0,0
2014-01-08 23,30,6,24,0,0,0,0
2014-01-09 00,20,4,16,0,0,0,0
2014-01-09 01,20,4,16,0,0,0,0
2014-01-09 02,10,2,8,0,0,0,0
2014-01-09 03,5,1,4,0,0,0,0
2014-01-09 06,5,1,4,0,0,0,0
2014-01-09 08,45,9,36,0,0,0,0
2014-01-09 09,85,17,68,0,0,0,0
2014-01-09 10,90,18,72,0,0,0,0
2014-01-09 11,70,14,56,0,0,0,0
2014-01-09 12,60,12,48,0,0,0,0
2014-01-09 13,40,8,32,0,0,0,0
2014-01-09 14,55,11,44,0,0,0,0
2014-01-09 15,80,16,64,0,0,0,0
2014-01-09 16,80,16,64,0,0,0,0
2014-01-09 17,40,8,32,0,0,0,0
2014-01-09 18,30,6,24,0,0,0,0
2014-01-09 19,15,3,12,0,0,0,0
2014-01-09 20,25,5,20,0,0,0,0
2014-01-09 21,70,14,56,0,0,0,0
2014-01-09 22,20,4,16,0,0,0,0
2014-01-09 23,30,6,24,0,0,0,0
2014-01-10 00,35,7,28,0,0,0,0
2014-01-10 01,30,6,24,0,0,0,0
2014-01-10 02,20,4,16,0,0,0,0
2014-01-10 03,10,2,8,0,0,0,0
2014-01-10 06,5,1,4,0,0,0,0
2014-01-10 07,15,3,12,0,0,0,0
2014-01-10 08,20,4,16,0,0,0,0
2014-01-10 09,55,11,44,0,0,0,0
2014-01-10 10,75,15,60,0,0,0,0
2014-01-10 11,55,11,44,0,0,0,0
2014-01-10 12,55,11,44,0,0,0,0
2014-01-10 13,35,7,28,0,0,0,0
2014-01-10 14,55,11,44,0,0,0,0
2014-01-10 15,45,9,36,0,0,0,0
2014-01-10 16,85,17,68,0,0,0,0
2014-01-10 17,50,10,40,0,0,0,0
2014-01-10 18,35,7,28,0,0,0,0
2014-01-10 19,40,8,32,0,0,0,0
2014-01-10 20,70,14,56,0,0,0,0
2014-01-10 21,70,14,56,0,0,0,0
2014-01-10 22,25,5,20,0,0,0,0
2014-01-10 23,15,3,12,0,0,0,0
2014-01-11 00,25,5,20,0,0,0,0
2014-01-11 01,20,4,16,0,0,0,0
2014-01-11 02,5,1,4,0,0,0,0
2014-01-11 03,5,1,4,0,0,0,0
2014-01-11 05,5,1,4,0,0,0,0
2014-01-11 06,15,3,12,0,0,0,0
2014-01-11 08,15,3,12,0,0,0,0
2014-01-11 09,62,12,48,2,0,0,0
2014-01-11 10,65,13,52,0,0,0,0
2014-01-11 11,60,12,48,0,0,0,0
2014-01-11 12,30,6,24,0,0,0,0
2014-01-11 13,70,14,56,0,0,0,0
2014-01-11 14,30,6,24,0,0,0,0
2014-01-11 20,50,10,40,0,0,0,0
2014-01-11 21,50,10,40,0,0,0,0
2014-01-11 23,30,6,24,0,0,0,0
2014-01-13 15,15,3,12,0,0,0,0
2014-01-13 16,60,12,48,0,0,0,0
2014-01-13 17,80,16,64,0,0,0,0
2014-01-13 18,45,9,36,0,0,0,0
2014-01-13 19,25,5,20,0,0,0,0
2014-01-13 20,35,7,28,0,0,0,0
2014-01-13 21,50,10,40,0,0,0,0
2014-01-13 22,45,9,36,0,0,0,0
2014-01-13 23,20,4,16,0,0,0,0
2014-01-14 00,15,3,12,0,0,0,0
2014-01-14 01,10,2,8,0,0,0,0
2014-01-14 02,15,3,12,0,0,0,0
2014-01-14 03,5,1,4,0,0,0,0
2014-01-14 05,15,3,12,0,0,0,0
2014-01-14 07,10,2,8,0,0,0,0
2014-01-14 08,36,7,28,1,0,0,0
2014-01-14 09,91,18,72,1,0,0,0
2014-01-14 10,50,10,40,0,0,0,0
2014-01-14 11,55,11,44,0,0,0,0
2014-01-14 12,85,17,68,0,0,0,0
2014-01-14 13,65,13,52,0,0,0,0
2014-01-14 14,90,18,72,0,0,0,0
2014-01-14 15,136,27,108,1,0,0,0
2014-01-14 16,45,9,36,0,0,0,0
2014-01-14 17,105,21,84,0,0,0,0
2014-01-14 18,132,26,104,2,0,0,0
2014-01-14 19,60,12,48,0,0,0,0
2014-01-14 20,70,14,56,0,0,0,0
2014-01-14 21,105,21,84,0,0,0,0
2014-01-14 22,45,9,36,0,0,0,0
2014-01-14 23,45,9,36,0,0,0,0
2014-01-15 00,30,6,24,0,0,0,0
2014-01-15 01,10,2,8,0,0,0,0
2014-01-15 02,20,4,16,0,0,0,0
2014-01-15 03,5,1,4,0,0,0,0
2014-01-15 04,10,2,8,0,0,0,0
2014-01-15 06,5,1,4,0,0,0,0
2014-01-15 07,10,2,8,0,0,0,0
2014-01-15 08,25,5,20,0,0,0,0
2014-01-15 09,40,8,32,0,0,0,0
2014-01-15 10,90,18,72,0,0,0,0
2014-01-15 11,45,9,36,0,0,0,0
2014-01-15 12,50,10,40,0,0,0,0
2014-01-15 13,75,15,60,0,0,0,0
2014-01-15 14,85,17,68,0,0,0,0
2014-01-15 15,50,10,40,0,0,0,0
2014-01-15 16,40,8,32,0,0,0,0
2014-01-15 17,40,8,32,0,0,0,0
2014-01-15 18,20,4,16,0,0,0,0
2014-01-15 20,35,7,28,0,0,0,0
2014-01-15 21,47,11,36,0,0,0,0
2014-01-15 22,70,14,56,0,0,0,0
2014-01-15 23,50,10,40,0,0,0,0
2014-01-16 00,40,8,32,0,0,0,0
2014-01-16 01,10,2,8,0,0,0,0
2014-01-16 02,10,2,8,0,0,0,0
2014-01-16 03,5,1,4,0,0,0,0
2014-01-16 06,5,1,4,0,0,0,0
2014-01-16 07,10,2,8,0,0,0,0
2014-01-16 08,25,5,20,0,0,0,0
2014-01-16 09,30,6,24,0,0,0,0
2014-01-16 10,70,14,56,0,0,0,0
2014-01-16 11,60,12,48,0,0,0,0
2014-01-16 12,20,4,16,0,0,0,0
2014-01-16 13,40,8,32,0,0,0,0
2014-01-16 14,45,9,36,0,0,0,0
2014-01-16 15,65,13,52,0,0,0,0
2014-01-16 16,49,9,40,0,0,0,0
2014-01-16 17,15,3,12,0,0,0,0
2014-01-16 18,35,7,28,0,0,0,0
2014-01-16 19,45,8,36,0,0,1,0
2014-01-16 20,80,16,64,0,0,0,0
2014-01-16 21,40,8,32,0,0,0,0
2014-01-16 22,45,9,36,0,0,0,0
2014-01-16 23,25,5,20,0,0,0,0
2014-01-17 00,15,3,12,0,0,0,0
2014-01-17 01,15,3,12,0,0,0,0
2014-01-17 04,5,1,4,0,0,0,0
2014-01-17 06,5,1,4,0,0,0,0
2014-01-17 08,45,9,36,0,0,0,0
2014-01-17 09,55,11,44,0,0,0,0
2014-01-17 10,40,8,32,0,0,0,0
2014-01-17 11,94,18,76,0,0,0,0
2014-01-17 12,230,45,180,5,0,0,0
2014-01-17 13,142,28,112,2,0,0,0
2014-01-17 14,45,9,36,0,0,0,0
2014-01-17 15,162,32,128,2,0,0,0
2014-01-17 16,80,16,64,0,0,0,0
2014-01-17 17,40,8,32,0,0,0,0
2014-01-17 18,10,2,8,0,0,0,0
2014-01-17 19,15,3,12,0,0,0,0
2014-01-17 20,5,1,4,0,0,0,0
2014-01-17 21,5,1,4,0,0,0,0
2014-01-17 22,16,3,12,1,0,0,0
2014-01-17 23,25,5,20,0,0,0,0
2014-01-18 00,20,4,16,0,0,0,0
2014-01-18 01,15,3,12,0,0,0,0
2014-01-18 02,20,4,16,0,0,0,0
2014-01-18 03,5,1,4,0,0,0,0
2014-01-18 04,5,1,4,0,0,0,0
2014-01-18 06,5,1,4,0,0,0,0
2014-01-18 07,5,1,4,0,0,0,0
2014-01-18 08,10,2,8,0,0,0,0
2014-01-18 09,20,4,16,0,0,0,0
2014-01-18 10,15,3,12,0,0,0,0
2014-01-18 11,30,6,24,0,0,0,0
2014-01-18 12,35,7,28,0,0,0,0
2014-01-18 13,55,11,44,0,0,0,0
2014-01-18 14,40,8,32,0,0,0,0
2014-01-18 15,50,10,40,0,0,0,0
2014-01-18 16,70,14,56,0,0,0,0
2014-01-18 17,45,9,36,0,0,0,0
2014-01-18 18,40,8,32,0,0,0,0
2014-01-18 19,50,10,40,0,0,0,0
2014-01-18 20,55,11,44,0,0,0,0
2014-01-18 21,60,12,48,0,0,0,0
2014-01-18 22,47,9,36,2,0,0,0
2014-01-18 23,30,6,24,0,0,0,0
2014-01-19 00,30,6,24,0,0,0,0
2014-01-19 01,15,3,12,0,0,0,0
2014-01-19 02,5,1,4,0,0,0,0
2014-01-19 03,10,2,8,0,0,0,0
2014-01-19 07,5,1,4,0,0,0,0
2014-01-19 09,15,3,12,0,0,0,0
2014-01-19 10,90,18,72,0,0,0,0
2014-01-19 11,15,3,12,0,0,0,0
2014-01-19 12,20,4,16,0,0,0,0
2014-01-19 13,40,8,32,0,0,0,0
2014-01-19 14,40,8,32,0,0,0,0
2014-01-19 15,40,8,32,0,0,0,0
2014-01-19 16,25,5,20,0,0,0,0
2014-01-19 17,80,16,64,0,0,0,0
2014-01-19 18,40,8,32,0,0,0,0
2014-01-19 19,80,19,60,1,0,0,0
2014-01-19 20,35,7,28,0,0,0,0
2014-01-19 21,95,19,76,0,0,0,0
2014-01-19 22,10,2,8,0,0,0,0
2014-01-19 23,35,7,28,0,0,0,0
2014-01-20 00,20,4,16,0,0,0,0
2014-01-20 01,10,2,8,0,0,0,0
2014-01-20 02,5,1,4,0,0,0,0
2014-01-20 07,10,2,8,0,0,0,0
2014-01-20 08,20,4,16,0,0,0,0
2014-01-20 09,10,2,8,0,0,0,0
2014-01-20 10,15,3,12,0,0,0,0
2014-01-20 11,20,4,16,0,0,0,0
2014-01-20 12,20,4,16,0,0,0,0
2014-01-20 13,25,5,20,0,0,0,0
2014-01-20 14,15,3,12,0,0,0,0
2014-01-20 15,25,5,20,0,0,0,0
2014-01-20 16,129,25,100,4,0,0,0
2014-01-20 17,64,12,48,4,0,0,0
2014-01-20 18,47,9,36,2,0,0,0
2014-01-20 19,30,6,24,0,0,0,0
2014-01-20 20,5,1,4,0,0,0,0
2014-01-20 21,25,5,20,0,0,0,0
2014-01-20 22,25,5,20,0,0,0,0
2014-01-20 23,15,3,12,0,0,0,0
2014-01-21 00,5,1,4,0,0,0,0
2014-01-21 01,5,1,4,0,0,0,0
2014-01-21 02,85,17,68,0,0,0,0
2014-01-21 03,5,1,4,0,0,0,0
2014-01-21 05,5,1,4,0,0,0,0
2014-01-21 08,10,2,8,0,0,0,0
2014-01-21 09,20,4,16,0,0,0,0
2014-01-21 10,55,11,44,0,0,0,0
2014-01-21 11,15,3,12,0,0,0,0
2014-01-21 12,15,3,12,0,0,0,0
2014-01-21 13,50,10,40,0,0,0,0
2014-01-21 15,25,5,20,0,0,0,0
2014-01-21 16,40,8,32,0,0,0,0
2014-01-21 17,50,10,40,0,0,0,0
2014-01-21 18,50,10,40,0,0,0,0
2014-01-21 19,20,4,16,0,0,0,0
2014-01-21 20,67,15,52,0,0,0,0
2014-01-21 21,25,5,20,0,0,0,0
2014-01-21 22,35,7,28,0,0,0,0
2014-01-21 23,20,4,16,0,0,0,0
2014-01-22 00,15,3,12,0,0,0,0
2014-01-22 01,10,2,8,0,0,0,0
2014-01-22 02,26,5,20,1,0,0,0
2014-01-22 03,5,1,4,0,0,0,0
2014-01-22 04,10,2,8,0,0,0,0
2014-01-22 06,86,17,68,1,0,0,0
2014-01-22 07,5,1,4,0,0,0,0
2014-01-22 08,40,8,32,0,0,0,0
2014-01-22 09,50,10,40,0,0,0,0
2014-01-22 10,45,9,36,0,0,0,0
2014-01-22 11,45,9,36,0,0,0,0
2014-01-22 12,36,7,28,1,0,0,0
2014-01-22 13,30,6,24,0,0,0,0
2014-01-22 14,20,4,16,0,0,0,0
2014-01-22 15,55,11,44,0,0,0,0
2014-01-22 16,116,23,92,1,0,0,0
2014-01-22 17,81,16,64,1,0,0,0
2014-01-22 18,30,6,24,0,0,0,0
2014-01-22 19,31,6,24,1,0,0,0
2014-01-22 20,142,28,112,2,0,0,0
2014-01-22 21,111,22,88,1,0,0,0
2014-01-22 22,141,28,112,1,0,0,0
2014-01-22 23,102,20,80,2,0,0,0
2014-01-23 00,107,21,84,2,0,0,0
2014-01-23 01,91,18,72,1,0,0,0
2014-01-23 02,85,17,68,0,0,0,0
2014-01-23 03,87,17,68,2,0,0,0
2014-01-23 04,87,17,68,2,0,0,0
2014-01-23 05,76,15,60,1,0,0,0
2014-01-23 06,86,17,68,1,0,0,0
2014-01-23 07,87,17,68,2,0,0,0
2014-01-23 08,116,23,92,1,0,0,0
2014-01-23 09,111,22,88,1,0,0,0
2014-01-23 10,101,20,80,1,0,0,0
2014-01-23 11,112,22,88,2,0,0,0
2014-01-23 12,107,21,84,2,0,0,0
2014-01-23 13,111,22,88,1,0,0,0
2014-01-23 14,92,18,72,2,0,0,0
2014-01-23 15,100,20,80,0,0,0,0
2014-01-23 16,45,9,36,0,0,0,0
2014-01-23 17,66,13,52,1,0,0,0
2014-01-23 18,90,18,72,0,0,0,0
2014-01-23 19,56,11,44,1,0,0,0
2014-01-23 20,61,12,48,1,0,0,0
2014-01-23 21,75,15,60,0,0,0,0
2014-01-23 22,75,15,60,0,0,0,0
2014-01-23 23,76,15,60,1,0,0,0
2014-01-24 00,61,12,48,1,0,0,0
2014-01-24 01,81,16,64,1,0,0,0
2014-01-24 02,64,12,48,4,0,0,0
2014-01-24 03,40,8,32,0,0,0,0
2014-01-24 04,45,9,36,0,0,0,0
2014-01-24 05,65,13,52,0,0,0,0
2014-01-24 06,21,4,16,1,0,0,0
2014-01-24 07,45,9,36,0,0,0,0
2014-01-24 08,65,13,52,0,0,0,0
2014-01-24 09,75,15,60,0,0,0,0
2014-01-24 10,56,11,44,1,0,0,0
2014-01-24 11,80,16,64,0,0,0,0
2014-01-24 12,96,19,76,1,0,0,0
2014-01-24 13,91,18,72,1,0,0,0
2014-01-24 14,66,13,52,1,0,0,0
2014-01-24 15,100,20,80,0,0,0,0
2014-01-24 16,61,12,48,1,0,0,0
2014-01-24 17,76,15,60,1,0,0,0
2014-01-24 18,60,12,48,0,0,0,0
2014-01-24 19,55,11,44,0,0,0,0
2014-01-24 20,66,13,52,1,0,0,0
2014-01-24 21,70,14,56,0,0,0,0
2014-01-24 22,76,15,60,1,0,0,0
2014-01-24 23,50,10,40,0,0,0,0
2014-01-25 00,5,1,4,0,0,0,0
2014-01-25 01,51,10,40,1,0,0,0
2014-01-25 02,50,10,40,0,0,0,0
2014-01-25 03,55,11,44,0,0,0,0
2014-01-25 04,67,13,52,2,0,0,0
2014-01-25 05,20,4,16,0,0,0,0
2014-01-25 06,62,12,48,2,0,0,0
2014-01-25 07,65,13,52,0,0,0,0
2014-01-25 08,10,2,8,0,0,0,0
2014-01-25 09,72,14,56,2,0,0,0
2014-01-25 10,45,9,36,0,0,0,0
2014-01-25 11,51,10,40,1,0,0,0
2014-01-25 12,55,11,44,0,0,0,0
2014-01-25 13,36,7,28,1,0,0,0
2014-01-25 14,45,9,36,0,0,0,0
2014-01-25 15,61,12,48,1,0,0,0
2014-01-25 16,95,19,76,0,0,0,0
2014-01-25 17,81,16,64,1,0,0,0
2014-01-25 18,116,23,92,1,0,0,0
2014-01-25 19,91,18,72,1,0,0,0
2014-01-25 20,82,16,64,2,0,0,0
2014-01-25 21,106,21,84,1,0,0,0
2014-01-25 22,5,1,4,0,0,0,0
2014-01-25 23,105,21,84,0,0,0,0
2014-01-26 00,86,17,68,1,0,0,0
2014-01-26 01,82,16,64,2,0,0,0
2014-01-26 02,61,12,48,1,0,0,0
2014-01-26 03,71,14,56,1,0,0,0
2014-01-26 04,75,15,60,0,0,0,0
2014-01-26 05,101,20,80,1,0,0,0
2014-01-26 06,67,13,52,2,0,0,0
2014-01-26 07,77,15,60,2,0,0,0
2014-01-26 08,91,18,72,1,0,0,0
2014-01-26 09,96,19,76,1,0,0,0
2014-01-26 10,91,18,72,1,0,0,0
2014-01-26 11,98,19,76,3,0,0,0
2014-01-26 12,121,24,96,1,0,0,0
2014-01-26 13,107,21,84,2,0,0,0
2014-01-26 14,106,21,84,1,0,0,0
2014-01-26 15,106,21,84,1,0,0,0
2014-01-26 16,107,21,84,2,0,0,0
2014-01-26 17,132,26,104,2,0,0,0
2014-01-26 18,105,21,84,0,0,0,0
2014-01-26 19,106,21,84,1,0,0,0
2014-01-26 20,101,20,80,1,0,0,0
2014-01-26 21,111,22,88,1,0,0,0
2014-01-26 22,65,13,52,0,0,0,0
2014-01-26 23,81,16,64,1,0,0,0
2014-01-27 00,86,17,68,1,0,0,0
2014-01-27 01,86,17,68,1,0,0,0
2014-01-27 02,95,19,76,0,0,0,0
2014-01-27 03,81,16,64,1,0,0,0
2014-01-27 06,96,19,76,1,0,0,0
2014-01-27 07,70,14,56,0,0,0,0
2014-01-27 08,116,23,92,1,0,0,0
2014-01-27 09,80,16,64,0,0,0,0
2014-01-27 10,105,21,84,0,0,0,0
2014-01-27 11,81,16,64,1,0,0,0
2014-01-27 12,86,17,68,1,0,0,0
2014-01-27 13,5,1,4,0,0,0,0
2014-01-27 14,96,19,76,1,0,0,0
2014-01-27 15,161,32,128,1,0,0,0
2014-01-27 16,106,21,84,1,0,0,0
2014-01-27 17,137,27,108,2,0,0,0
2014-01-27 18,77,15,60,2,0,0,0
2014-01-27 19,45,9,36,0,0,0,0
2014-01-27 20,75,15,60,0,0,0,0
2014-01-27 21,81,16,64,1,0,0,0
2014-01-27 22,77,15,60,2,0,0,0
2014-01-27 23,107,21,84,2,0,0,0
2014-01-28 00,75,15,60,0,0,0,0
2014-01-28 01,81,16,64,1,0,0,0
2014-01-28 02,66,13,52,1,0,0,0
2014-01-28 03,76,15,60,1,0,0,0
2014-01-28 04,76,15,60,1,0,0,0
2014-01-28 05,86,17,68,1,0,0,0
2014-01-28 06,86,17,68,1,0,0,0
2014-01-28 07,91,18,72,1,0,0,0
2014-01-28 08,77,15,60,2,0,0,0
2014-01-28 09,92,18,72,2,0,0,0
2014-01-28 10,117,23,92,2,0,0,0
2014-01-28 11,116,23,92,1,0,0,0
2014-01-28 12,97,19,76,2,0,0,0
2014-01-28 13,76,15,60,1,0,0,0
2014-01-28 14,101,20,80,1,0,0,0
2014-01-28 15,91,18,72,1,0,0,0
2014-01-28 16,121,24,96,1,0,0,0
2014-01-28 17,82,16,64,2,0,0,0
2014-01-28 18,106,21,84,1,0,0,0
2014-01-28 19,81,16,64,1,0,0,0
2014-01-28 20,90,18,72,0,0,0,0
2014-01-28 21,61,12,48,1,0,0,0
2014-01-28 22,57,11,44,2,0,0,0
2014-01-28 23,91,18,72,1,0,0,0
2014-01-29 00,86,17,68,1,0,0,0
2014-01-29 01,66,13,52,1,0,0,0
2014-01-29 02,70,14,56,0,0,0,0
2014-01-29 03,72,14,56,2,0,0,0
2014-01-29 04,10,2,8,0,0,0,0
2014-01-29 05,82,16,64,2,0,0,0
2014-01-29 06,96,19,76,1,0,0,0
2014-01-29 07,96,19,76,1,0,0,0
2014-01-29 08,81,16,64,1,0,0,0
2014-01-29 09,121,24,96,1,0,0,0
2014-01-29 10,131,26,104,1,0,0,0
2014-01-29 11,112,22,88,2,0,0,0
2014-01-29 12,75,15,60,0,0,0,0
2014-01-29 13,66,13,52,1,0,0,0
2014-01-29 14,92,18,72,2,0,0,0
2014-01-29 15,10,2,8,0,0,0,0
2014-01-29 16,25,5,20,0,0,0,0
2014-01-29 17,15,3,12,0,0,0,0
2014-01-29 18,5,1,4,0,0,0,0
2014-01-29 20,5,1,4,0,0,0,0
2014-01-29 21,5,1,4,0,0,0,0
2014-01-29 22,15,3,12,0,0,0,0
2014-01-29 23,10,2,8,0,0,0,0
2014-01-30 01,5,1,4,0,0,0,0
2014-01-30 02,5,1,4,0,0,0,0
