date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,117,44,20,53,0,0,0
2014-01-07 18,57,20,16,21,0,0,0
2014-01-07 19,54,15,12,27,0,0,0
2014-01-07 20,50,15,12,23,0,0,0
2014-01-07 21,1,0,0,1,0,0,0
2014-01-07 22,39,15,12,12,0,0,0
2014-01-08 00,1,0,0,1,0,0,0
2014-01-08 02,22,10,8,4,0,0,0
2014-01-08 03,27,15,12,0,0,0,0
2014-01-08 04,11,5,4,2,0,0,0
2014-01-08 05,39,20,16,3,0,0,0
2014-01-08 06,4,1,0,3,0,0,0
2014-01-08 07,33,10,8,15,0,0,0
2014-01-08 08,141,38,24,79,0,0,0
2014-01-08 09,147,24,16,107,0,0,0
2014-01-08 10,174,39,24,111,0,0,0
2014-01-08 11,130,26,12,92,0,0,0
2014-01-08 12,156,39,20,97,0,0,0
2014-01-08 13,160,37,28,95,0,0,0
2014-01-08 14,160,10,20,130,0,0,0
2014-01-08 15,158,6,12,140,0,0,0
2014-01-08 16,124,0,0,124,0,0,0
2014-01-08 17,92,2,8,82,0,0,0
2014-01-08 18,38,2,8,28,0,0,0
2014-01-08 19,33,0,0,33,0,0,0
2014-01-08 20,55,6,12,37,0,0,0
2014-01-08 21,102,4,8,90,0,0,0
2014-01-08 22,38,6,12,20,0,0,0
2014-01-08 23,43,8,16,19,0,0,0
2014-01-09 00,38,8,16,14,0,0,0
2014-01-09 01,33,8,16,9,0,0,0
2014-01-09 02,12,2,4,6,0,0,0
2014-01-09 03,24,4,8,12,0,0,0
2014-01-09 04,10,2,4,4,0,0,0
2014-01-09 05,28,8,16,4,0,0,0
2014-01-09 06,25,6,12,7,0,0,0
2014-01-09 07,40,6,12,22,0,0,0
2014-01-09 08,156,8,16,132,0,0,0
2014-01-09 09,176,10,20,146,0,0,0
2014-01-09 10,161,12,28,121,0,0,0
2014-01-09 11,147,13,32,102,0,0,0
2014-01-09 12,184,8,16,160,0,0,0
2014-01-09 13,141,10,20,111,0,0,0
2014-01-09 14,164,12,24,128,0,0,0
2014-01-09 15,142,6,12,124,0,0,0
2014-01-09 16,113,10,20,83,0,0,0
2014-01-09 17,71,8,16,47,0,0,0
2014-01-09 18,113,10,28,75,0,0,0
2014-01-09 19,78,4,8,66,0,0,0
2014-01-09 20,37,2,8,27,0,0,0
2014-01-09 21,17,0,0,17,0,0,0
2014-01-09 22,6,0,0,6,0,0,0
2014-01-09 23,18,2,8,8,0,0,0
2014-01-10 00,42,0,0,42,0,0,0
2014-01-10 01,10,0,0,10,0,0,0
2014-01-10 02,4,0,0,4,0,0,0
2014-01-10 03,7,0,0,7,0,0,0
2014-01-10 04,6,0,0,6,0,0,0
2014-01-10 05,3,0,0,3,0,0,0
2014-01-10 06,4,0,0,4,0,0,0
2014-01-10 07,22,0,0,22,0,0,0
2014-01-10 08,101,0,0,101,0,0,0
2014-01-10 09,141,2,0,139,0,0,0
2014-01-10 10,109,0,0,109,0,0,0
2014-01-10 11,125,2,4,119,0,0,0
2014-01-10 12,174,8,16,150,0,0,0
2014-01-10 13,178,52,16,110,0,0,0
2014-01-10 14,181,29,4,148,0,0,0
2014-01-10 15,169,28,0,141,0,0,0
2014-01-10 16,124,31,8,85,0,0,0
2014-01-10 17,157,35,16,106,0,0,0
2014-01-10 18,90,6,16,68,0,0,0
2014-01-10 19,48,6,16,26,0,0,0
2014-01-10 20,43,5,12,26,0,0,0
2014-01-10 21,42,0,0,42,0,0,0
2014-01-10 22,46,16,12,18,0,0,0
2014-01-10 23,22,7,4,11,0,0,0
2014-01-11 00,9,2,4,3,0,0,0
2014-01-11 01,7,0,0,7,0,0,0
2014-01-11 02,9,2,4,3,0,0,0
2014-01-11 03,5,0,0,5,0,0,0
2014-01-11 04,5,0,0,5,0,0,0
2014-01-11 05,13,2,8,3,0,0,0
2014-01-11 06,5,0,0,5,0,0,0
2014-01-11 07,16,4,8,4,0,0,0
2014-01-11 08,14,0,0,14,0,0,0
2014-01-11 09,29,2,4,23,0,0,0
2014-01-11 10,36,8,16,12,0,0,0
2014-01-11 11,92,16,32,44,0,0,0
2014-01-11 12,73,12,24,37,0,0,0
2014-01-11 13,42,8,16,18,0,0,0
2014-01-11 14,38,8,16,14,0,0,0
2014-01-11 20,61,13,24,24,0,0,0
2014-01-11 21,57,14,28,15,0,0,0
2014-01-11 23,22,6,12,4,0,0,0
2014-01-12 16,1,0,0,1,0,0,0
2014-01-13 15,1,0,0,1,0,0,0
2014-01-13 16,109,0,0,109,0,0,0
2014-01-13 17,114,0,0,114,0,0,0
2014-01-13 18,38,0,0,38,0,0,0
2014-01-13 19,53,1,4,48,0,0,0
2014-01-13 20,37,0,0,37,0,0,0
2014-01-13 21,63,2,8,53,0,0,0
2014-01-13 22,32,0,0,32,0,0,0
2014-01-13 23,18,0,0,18,0,0,0
2014-01-14 00,24,0,0,24,0,0,0
2014-01-14 01,10,0,0,10,0,0,0
2014-01-14 02,4,0,0,4,0,0,0
2014-01-14 03,6,0,0,6,0,0,0
2014-01-14 04,8,0,0,8,0,0,0
2014-01-14 05,11,0,0,11,0,0,0
2014-01-14 06,6,0,0,6,0,0,0
2014-01-14 07,22,0,0,22,0,0,0
2014-01-14 08,137,0,0,137,0,0,0
2014-01-14 09,116,0,0,116,0,0,0
2014-01-14 10,216,1,4,211,0,0,0
2014-01-14 11,141,0,0,141,0,0,0
2014-01-14 12,101,0,4,97,0,0,0
2014-01-14 13,154,2,8,144,0,0,0
2014-01-14 14,129,1,8,120,0,0,0
2014-01-14 15,152,0,0,152,0,0,0
2014-01-14 16,163,3,12,148,0,0,0
2014-01-14 17,51,1,0,50,0,0,0
2014-01-14 18,42,0,0,42,0,0,0
2014-01-14 19,14,0,4,10,0,0,0
2014-01-14 20,33,2,8,23,0,0,0
2014-01-14 21,31,1,8,22,0,0,0
2014-01-14 22,7,0,0,7,0,0,0
2014-01-15 00,1,0,0,1,0,0,0
2014-01-15 02,3,0,0,3,0,0,0
2014-01-15 03,2,0,0,2,0,0,0
2014-01-15 04,1,0,0,1,0,0,0
2014-01-15 05,5,0,0,5,0,0,0
2014-01-15 06,2,0,0,2,0,0,0
2014-01-15 07,28,0,0,28,0,0,0
2014-01-15 08,131,1,0,130,0,0,0
2014-01-15 09,132,4,12,116,0,0,0
2014-01-15 10,94,0,0,94,0,0,0
2014-01-15 11,87,0,0,87,0,0,0
2014-01-15 12,145,4,20,121,0,0,0
2014-01-15 13,98,0,0,98,0,0,0
2014-01-15 14,142,1,4,137,0,0,0
2014-01-15 15,123,0,0,123,0,0,0
2014-01-15 16,75,0,0,75,0,0,0
2014-01-15 17,39,0,0,39,0,0,0
2014-01-15 18,17,2,4,11,0,0,0
2014-01-15 20,89,0,0,89,0,0,0
2014-01-15 21,83,0,0,83,0,0,0
2014-01-15 22,25,0,0,25,0,0,0
2014-01-15 23,38,7,4,27,0,0,0
2014-01-16 00,8,0,0,8,0,0,0
