date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,1672,1618,0,51,0,3,0
2014-01-07 18,1394,1331,0,58,0,5,0
2014-01-07 19,1639,1572,6,59,0,2,0
2014-01-07 20,1376,1310,0,62,0,4,0
2014-01-07 21,1600,1544,0,51,0,5,0
2014-01-07 22,1452,1376,24,50,0,2,0
2014-01-07 23,1314,1254,12,48,0,0,0
2014-01-08 00,886,842,0,44,0,0,0
2014-01-08 01,384,363,0,21,0,0,0
2014-01-08 02,286,268,0,16,0,2,0
2014-01-08 03,230,224,0,6,0,0,0
2014-01-08 04,177,170,0,5,0,2,0
2014-01-08 05,169,159,0,8,0,2,0
2014-01-08 06,178,163,0,15,0,0,0
2014-01-08 07,652,614,0,38,0,0,0
2014-01-08 08,1613,1511,6,69,0,27,0
2014-01-08 09,2341,2242,0,63,0,36,0
2014-01-08 10,2335,2222,12,80,0,21,0
2014-01-08 11,1812,1722,6,59,0,25,0
2014-01-08 12,1854,1749,0,77,0,28,0
2014-01-08 13,1917,1826,6,71,0,14,0
2014-01-08 14,348,269,0,61,0,18,0
2014-01-08 15,336,275,0,47,0,14,0
2014-01-08 16,335,246,18,53,0,18,0
2014-01-08 17,278,225,6,43,0,4,0
2014-01-08 18,283,225,0,50,0,8,0
2014-01-08 19,300,243,12,45,0,0,0
2014-01-08 20,355,265,12,76,0,2,0
2014-01-08 21,291,239,0,50,0,2,0
2014-01-08 22,240,187,6,45,0,2,0
2014-01-08 23,207,158,18,31,0,0,0
2014-01-09 00,127,90,0,36,0,1,0
2014-01-09 01,103,80,0,23,0,0,0
2014-01-09 02,59,43,0,16,0,0,0
2014-01-09 03,32,21,0,9,0,2,0
2014-01-09 04,42,35,0,7,0,0,0
2014-01-09 05,34,28,0,6,0,0,0
2014-01-09 06,61,46,0,15,0,0,0
2014-01-09 07,102,80,0,22,0,0,0
2014-01-09 08,317,223,0,64,0,30,0
2014-01-09 09,427,313,0,79,0,35,0
2014-01-09 10,436,337,6,77,0,16,0
2014-01-09 11,367,294,0,57,0,16,0
2014-01-09 12,368,260,18,74,0,16,0
2014-01-09 13,378,268,18,65,0,27,0
2014-01-09 14,384,277,6,77,0,24,0
2014-01-09 15,377,286,12,69,0,10,0
2014-01-09 16,336,268,0,62,0,6,0
2014-01-09 17,300,254,0,44,0,2,0
2014-01-09 18,233,181,0,50,0,2,0
2014-01-09 19,240,174,12,47,0,7,0
2014-01-09 20,223,162,12,48,0,1,0
2014-01-09 21,251,198,6,45,0,2,0
2014-01-09 22,220,174,6,40,0,0,0
2014-01-09 23,199,146,6,45,0,2,0
2014-01-10 00,144,106,0,31,0,7,0
2014-01-10 01,100,68,6,24,0,2,0
2014-01-10 02,56,38,0,16,0,2,0
2014-01-10 03,44,30,0,13,0,1,0
2014-01-10 04,30,20,0,8,0,2,0
2014-01-10 05,31,22,0,9,0,0,0
2014-01-10 06,39,33,0,6,0,0,0
2014-01-10 07,120,89,0,31,0,0,0
2014-01-10 08,327,233,0,57,0,37,0
2014-01-10 09,391,295,12,62,0,22,0
2014-01-10 10,410,299,0,85,0,26,0
2014-01-10 11,341,262,0,66,0,13,0
2014-01-10 12,319,263,0,44,0,12,0
2014-01-10 13,269,215,2,46,0,6,0
2014-01-10 14,329,253,6,64,0,6,0
2014-01-10 15,338,262,12,62,0,2,0
2014-01-10 16,312,261,12,37,0,2,0
2014-01-10 17,262,207,12,43,0,0,0
2014-01-10 18,269,207,6,54,0,2,0
2014-01-10 19,247,199,12,36,0,0,0
2014-01-10 20,277,208,18,48,0,3,0
2014-01-10 21,210,157,6,45,0,2,0
2014-01-10 22,184,154,0,30,0,0,0
2014-01-10 23,155,113,12,30,0,0,0
2014-01-11 00,143,103,0,37,0,3,0
2014-01-11 01,112,82,6,22,0,2,0
2014-01-11 02,71,54,0,17,0,0,0
