date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,6675,146,4450,2079,0,0,0
2014-01-07 18,5997,137,3998,1862,0,0,0
2014-01-07 19,6258,147,4172,1939,0,0,0
2014-01-07 20,7710,176,5140,2394,0,0,0
2014-01-07 21,8772,223,5848,2701,0,0,0
2014-01-07 22,8382,208,5588,2586,0,0,0
2014-01-07 23,5208,108,3472,1628,0,0,0
2014-01-08 00,2751,41,1834,876,0,0,0
2014-01-08 01,1899,11,1266,622,0,0,0
2014-01-08 02,1131,3,754,374,0,0,0
2014-01-08 03,2019,2,1346,671,0,0,0
2014-01-08 04,1866,4,1244,618,0,0,0
2014-01-08 05,1824,3,1216,605,0,0,0
2014-01-08 06,1947,5,1298,644,0,0,0
2014-01-08 07,2133,16,1422,695,0,0,0
2014-01-08 08,2730,60,1820,850,0,0,0
2014-01-08 09,4827,101,3218,1508,0,0,0
2014-01-08 10,5340,130,3560,1650,0,0,0
2014-01-08 11,6342,118,4228,1996,0,0,0
2014-01-08 12,6777,157,4518,2102,0,0,0
2014-01-08 13,5250,125,3500,1625,0,0,0
2014-01-08 14,5022,122,3348,1552,0,0,0
2014-01-08 15,5133,159,3422,1552,0,0,0
2014-01-08 16,4674,112,3116,1446,0,0,0
2014-01-08 17,4245,114,2830,1301,0,0,0
2014-01-08 18,4353,120,2902,1331,0,0,0
2014-01-08 19,5739,147,3826,1766,0,0,0
2014-01-08 20,6507,159,4338,2010,0,0,0
2014-01-08 21,8106,200,5404,2502,0,0,0
2014-01-08 22,7992,182,5328,2482,0,0,0
2014-01-08 23,3882,87,2588,1207,0,0,0
2014-01-09 00,2043,38,1362,643,0,0,0
2014-01-09 01,2415,20,1610,785,0,0,0
2014-01-09 02,2313,8,1542,763,0,0,0
2014-01-09 03,2910,5,1940,965,0,0,0
2014-01-09 04,2649,8,1766,875,0,0,0
2014-01-09 05,3021,1,2014,1006,0,0,0
2014-01-09 06,2802,4,1868,930,0,0,0
2014-01-09 07,2403,13,1602,788,0,0,0
2014-01-09 08,3528,52,2352,1124,0,0,0
2014-01-09 09,4890,86,3260,1544,0,0,0
2014-01-09 10,4842,109,3228,1505,0,0,0
2014-01-09 11,4401,104,2934,1363,0,0,0
2014-01-09 12,4596,98,3064,1434,0,0,0
2014-01-09 13,4110,104,2740,1266,0,0,0
2014-01-09 14,4656,97,3104,1455,0,0,0
2014-01-09 15,4572,117,3048,1407,0,0,0
