date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,37379,8962,24919,3498,0,0,0
2014-01-07 18,32331,7700,21554,3077,0,0,0
2014-01-07 19,31661,7656,21106,2899,0,0,0
2014-01-07 20,34508,8218,23004,3286,0,0,0
2014-01-07 21,35994,8627,23996,3371,0,0,0
2014-01-07 22,33624,8022,22416,3186,0,0,0
2014-01-07 23,28302,6672,18868,2762,0,0,0
2014-01-08 00,13103,2952,8734,1417,0,0,0
2014-01-08 01,7959,1744,5306,909,0,0,0
2014-01-08 02,5766,1339,3844,583,0,0,0
2014-01-08 03,4470,1057,2980,433,0,0,0
2014-01-08 04,4206,970,2804,432,0,0,0
2014-01-08 05,3732,857,2488,387,0,0,0
2014-01-08 06,4905,1112,3270,523,0,0,0
2014-01-08 07,11018,2456,7346,1216,0,0,0
2014-01-08 08,25368,5923,16912,2533,0,0,0
2014-01-08 09,37754,9094,25170,3490,0,0,0
2014-01-08 10,41373,9964,27578,3831,0,0,0
2014-01-08 11,42957,10390,28638,3929,0,0,0
2014-01-08 12,41577,9915,27718,3944,0,0,0
2014-01-08 13,38549,9086,25698,3765,0,0,0
2014-01-08 14,38124,8840,25414,3870,0,0,0
2014-01-08 15,35809,8504,23869,3436,0,0,0
2014-01-08 16,35312,8160,23540,3612,0,0,0
2014-01-08 17,28763,6651,19175,2937,0,0,0
2014-01-08 18,26287,6092,17522,2673,0,0,0
2014-01-08 19,28263,6507,18842,2914,0,0,0
2014-01-08 20,30589,7106,20388,3095,0,0,0
2014-01-08 21,32502,7506,21668,3328,0,0,0
2014-01-08 22,31276,7343,20850,3083,0,0,0
2014-01-08 23,21753,4933,14502,2318,0,0,0
2014-01-09 00,9594,2196,6396,1002,0,0,0
2014-01-09 01,7326,1682,4884,760,0,0,0
2014-01-09 02,5460,1196,3640,624,0,0,0
2014-01-09 03,4452,964,2968,520,0,0,0
2014-01-09 04,3657,844,2438,375,0,0,0
2014-01-09 05,3867,888,2578,401,0,0,0
2014-01-09 06,4464,946,2976,542,0,0,0
2014-01-09 07,10422,2220,6948,1254,0,0,0
2014-01-09 08,25112,5743,16740,2629,0,0,0
2014-01-09 09,36161,8394,24106,3661,0,0,0
2014-01-09 10,35459,8341,23640,3478,0,0,0
2014-01-09 11,31314,7420,20874,3020,0,0,0
2014-01-09 12,31191,7518,20794,2879,0,0,0
2014-01-09 13,30833,7263,20554,3016,0,0,0
2014-01-09 14,33093,7938,22062,3093,0,0,0
2014-01-09 15,34347,8169,22898,3280,0,0,0
2014-01-09 16,31515,7528,21010,2977,0,0,0
2014-01-09 17,23241,5429,15494,2318,0,0,0
2014-01-09 18,20293,4771,13528,1994,0,0,0
2014-01-09 19,21417,4992,14278,2147,0,0,0
2014-01-09 20,22285,5221,14856,2208,0,0,0
2014-01-09 21,25442,5900,16960,2582,0,0,0
2014-01-09 22,23877,5612,15918,2347,0,0,0
2014-01-09 23,17024,3844,11348,1832,0,0,0
2014-01-10 00,9774,2250,6516,1008,0,0,0
2014-01-10 01,8143,1831,5428,884,0,0,0
2014-01-10 02,5118,1182,3412,524,0,0,0
2014-01-10 03,4158,953,2772,433,0,0,0
2014-01-10 04,3737,883,2492,362,0,0,0
2014-01-10 05,3767,893,2512,362,0,0,0
2014-01-10 06,4965,1115,3310,540,0,0,0
2014-01-10 07,9602,2107,6400,1095,0,0,0
2014-01-10 08,18780,4372,12520,1888,0,0,0
2014-01-10 09,28293,6670,18864,2759,0,0,0
2014-01-10 10,31664,7395,21110,3159,0,0,0
2014-01-10 11,26897,6399,17930,2568,0,0,0
2014-01-10 12,27119,6459,18080,2580,0,0,0
2014-01-10 13,26163,6219,17442,2502,0,0,0
2014-01-10 14,32783,7843,21858,3082,0,0,0
2014-01-10 15,32875,7912,21916,3047,0,0,0
2014-01-10 16,33144,7818,22098,3228,0,0,0
2014-01-10 17,25827,6169,17218,2440,0,0,0
2014-01-10 18,25494,6121,16996,2377,0,0,0
2014-01-10 19,26016,6203,17342,2471,0,0,0
2014-01-10 20,28053,6568,18702,2783,0,0,0
2014-01-10 21,24137,5657,16088,2392,0,0,0
2014-01-10 22,19546,4586,13028,1932,0,0,0
2014-01-10 23,15657,3565,10438,1654,0,0,0
2014-01-11 00,10264,2365,6840,1059,0,0,0
2014-01-11 01,7878,1806,5252,820,0,0,0
2014-01-11 02,6741,1595,4494,652,0,0,0
