date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,4616,4335,0,281,0,0,0
2014-01-07 18,4554,4276,0,278,0,0,0
2014-01-07 19,4551,4283,0,268,0,0,0
2014-01-07 20,4978,4665,0,313,0,0,0
2014-01-07 21,5239,4920,0,319,0,0,0
2014-01-07 22,4932,4595,0,337,0,0,0
2014-01-07 23,3942,3685,0,257,0,0,0
2014-01-08 00,1593,1510,0,83,0,0,0
2014-01-08 01,693,656,0,37,0,0,0
2014-01-08 02,381,337,0,44,0,0,0
2014-01-08 03,184,155,0,29,0,0,0
2014-01-08 04,160,144,0,16,0,0,0
2014-01-08 05,152,134,0,18,0,0,0
2014-01-08 06,183,166,0,17,0,0,0
2014-01-08 07,586,543,0,43,0,0,0
2014-01-08 08,2376,2252,0,124,0,0,0
2014-01-08 09,4002,3755,0,247,0,0,0
2014-01-08 10,4849,4530,0,319,0,0,0
2014-01-08 11,4803,4443,0,360,0,0,0
2014-01-08 12,5047,4708,0,339,0,0,0
2014-01-08 13,4248,3989,0,259,0,0,0
2014-01-08 14,4157,3885,0,272,0,0,0
2014-01-08 15,4170,3938,0,232,0,0,0
2014-01-08 16,4159,3893,0,266,0,0,0
2014-01-08 17,3365,3164,0,201,0,0,0
2014-01-08 18,3296,3111,0,185,0,0,0
2014-01-08 19,4057,3786,0,271,0,0,0
2014-01-08 20,4500,4215,0,285,0,0,0
2014-01-08 21,4594,4334,0,260,0,0,0
2014-01-08 22,4752,4471,0,281,0,0,0
2014-01-08 23,2790,2619,0,171,0,0,0
2014-01-09 00,1030,974,0,56,0,0,0
2014-01-09 01,508,483,0,25,0,0,0
2014-01-09 02,384,366,0,18,0,0,0
2014-01-09 03,215,199,0,16,0,0,0
2014-01-09 04,142,125,0,17,0,0,0
2014-01-09 05,150,135,0,15,0,0,0
2014-01-09 06,227,213,0,14,0,0,0
2014-01-09 07,549,512,0,37,0,0,0
2014-01-09 08,1994,1867,0,127,0,0,0
2014-01-09 09,3614,3425,0,189,0,0,0
2014-01-09 10,3945,3738,0,207,0,0,0
2014-01-09 11,3542,3307,0,235,0,0,0
2014-01-09 12,3538,3303,0,235,0,0,0
2014-01-09 13,3593,3381,0,212,0,0,0
2014-01-09 14,3703,3507,0,196,0,0,0
2014-01-09 15,4042,3798,0,244,0,0,0
2014-01-09 16,3679,3469,0,210,0,0,0
2014-01-09 17,2825,2643,0,182,0,0,0
2014-01-09 18,2702,2555,0,147,0,0,0
2014-01-09 19,2859,2723,0,136,0,0,0
2014-01-09 20,3387,3191,0,196,0,0,0
2014-01-09 21,3667,3461,0,206,0,0,0
2014-01-09 22,3559,3334,0,225,0,0,0
2014-01-09 23,2031,1909,0,122,0,0,0
2014-01-10 00,1064,999,0,65,0,0,0
2014-01-10 01,711,646,0,65,0,0,0
2014-01-10 02,504,455,0,49,0,0,0
2014-01-10 03,337,303,0,34,0,0,0
2014-01-10 04,223,185,0,38,0,0,0
2014-01-10 05,176,157,0,19,0,0,0
2014-01-10 06,250,226,0,24,0,0,0
2014-01-10 07,499,448,0,51,0,0,0
2014-01-10 08,1790,1677,0,113,0,0,0
2014-01-10 09,2966,2784,0,182,0,0,0
2014-01-10 10,3344,3140,0,204,0,0,0
2014-01-10 11,2914,2753,0,161,0,0,0
2014-01-10 12,3063,2867,0,196,0,0,0
2014-01-10 13,2988,2801,0,187,0,0,0
2014-01-10 14,3704,3494,0,210,0,0,0
2014-01-10 15,4091,3866,0,225,0,0,0
2014-01-10 16,3959,3701,0,258,0,0,0
2014-01-10 17,3106,2915,0,191,0,0,0
2014-01-10 18,3091,2920,0,171,0,0,0
2014-01-10 19,3545,3347,0,198,0,0,0
2014-01-10 20,3877,3670,0,207,0,0,0
2014-01-10 21,3374,3193,0,181,0,0,0
2014-01-10 22,2622,2465,0,157,0,0,0
2014-01-10 23,2171,2066,0,105,0,0,0
2014-01-11 00,1323,1243,0,80,0,0,0
2014-01-11 01,802,729,0,73,0,0,0
2014-01-11 02,503,456,0,47,0,0,0
2014-01-11 03,322,291,0,31,0,0,0
2014-01-11 04,207,173,0,34,0,0,0
2014-01-11 05,167,146,0,21,0,0,0
2014-01-11 06,209,183,0,26,0,0,0
2014-01-11 07,427,386,0,41,0,0,0
2014-01-11 08,1017,959,0,58,0,0,0
2014-01-11 09,2201,2077,0,124,0,0,0
2014-01-11 10,2875,2738,0,137,0,0,0
2014-01-11 11,2680,2532,0,148,0,0,0
2014-01-11 12,2531,2384,0,147,0,0,0
2014-01-11 13,2621,2470,0,151,0,0,0
2014-01-11 14,2569,2429,0,140,0,0,0
2014-01-11 20,2806,2676,0,130,0,0,0
2014-01-11 21,2512,2377,0,135,0,0,0
2014-01-11 23,1577,1492,0,85,0,0,0
2014-01-12 00,430,411,0,19,0,0,0
2014-01-12 01,349,336,0,13,0,0,0
2014-01-12 02,248,219,0,29,0,0,0
2014-01-12 03,94,80,0,14,0,0,0
2014-01-12 04,87,73,0,14,0,0,0
2014-01-12 05,90,82,0,8,0,0,0
2014-01-12 06,81,75,0,6,0,0,0
2014-01-12 07,143,126,0,17,0,0,0
2014-01-12 08,289,277,0,12,0,0,0
2014-01-12 09,634,603,0,31,0,0,0
2014-01-12 10,923,864,0,59,0,0,0
2014-01-12 11,905,859,0,46,0,0,0
2014-01-12 12,884,832,0,52,0,0,0
2014-01-12 13,1253,1176,0,77,0,0,0
2014-01-12 14,1225,1147,0,78,0,0,0
2014-01-12 15,1435,1353,0,82,0,0,0
2014-01-12 16,1385,1302,0,83,0,0,0
2014-01-12 17,1204,1134,0,70,0,0,0
2014-01-12 18,1314,1240,0,74,0,0,0
2014-01-12 19,1487,1385,0,102,0,0,0
2014-01-12 20,1556,1475,0,81,0,0,0
2014-01-12 21,1568,1480,0,88,0,0,0
2014-01-12 22,1455,1375,0,80,0,0,0
2014-01-12 23,1053,994,0,59,0,0,0
2014-01-13 00,482,445,0,37,0,0,0
2014-01-13 01,262,246,0,16,0,0,0
2014-01-13 02,125,105,0,20,0,0,0
2014-01-13 03,92,79,0,13,0,0,0
2014-01-13 04,71,59,0,12,0,0,0
2014-01-13 05,58,46,0,12,0,0,0
2014-01-13 06,79,70,0,9,0,0,0
2014-01-13 07,207,195,0,12,0,0,0
2014-01-13 08,891,832,0,59,0,0,0
2014-01-13 09,1470,1379,0,91,0,0,0
2014-01-13 10,1714,1611,0,103,0,0,0
2014-01-13 11,1705,1612,0,93,0,0,0
2014-01-13 12,1300,1214,0,86,0,0,0
2014-01-13 13,1185,1124,0,61,0,0,0
2014-01-13 14,1430,1349,0,81,0,0,0
2014-01-13 15,1354,1282,0,72,0,0,0
2014-01-13 16,2667,2503,0,164,0,0,0
2014-01-13 17,2698,2549,0,149,0,0,0
2014-01-13 18,2338,2200,0,138,0,0,0
2014-01-13 19,2143,2010,0,133,0,0,0
2014-01-13 20,2661,2514,0,147,0,0,0
2014-01-13 21,2602,2468,0,134,0,0,0
2014-01-13 22,2464,2326,0,138,0,0,0
2014-01-13 23,1406,1343,0,63,0,0,0
2014-01-14 00,892,841,0,51,0,0,0
2014-01-14 01,488,461,0,27,0,0,0
2014-01-14 02,312,285,0,27,0,0,0
2014-01-14 03,154,134,0,20,0,0,0
2014-01-14 04,123,103,0,20,0,0,0
2014-01-14 05,108,87,0,21,0,0,0
2014-01-14 06,146,129,0,17,0,0,0
2014-01-14 07,357,332,0,25,0,0,0
2014-01-14 08,1549,1451,0,98,0,0,0
2014-01-14 09,2907,2745,0,162,0,0,0
2014-01-14 10,3912,3707,0,205,0,0,0
2014-01-14 11,3694,3480,0,214,0,0,0
2014-01-14 12,2839,2681,0,158,0,0,0
2014-01-14 13,2513,2390,0,123,0,0,0
2014-01-14 14,2877,2738,0,139,0,0,0
2014-01-14 15,3278,3118,0,160,0,0,0
2014-01-14 16,3062,2906,0,156,0,0,0
2014-01-14 17,2436,2311,0,125,0,0,0
2014-01-14 18,2206,2094,0,112,0,0,0
2014-01-14 19,2470,2331,0,139,0,0,0
2014-01-14 20,2724,2578,0,146,0,0,0
2014-01-14 21,2951,2793,0,158,0,0,0
2014-01-14 22,2915,2740,0,175,0,0,0
2014-01-14 23,1871,1779,0,92,0,0,0
2014-01-15 00,1040,983,0,57,0,0,0
2014-01-15 01,508,469,0,39,0,0,0
2014-01-15 02,261,225,0,36,0,0,0
2014-01-15 03,173,145,0,28,0,0,0
2014-01-15 04,132,108,0,24,0,0,0
2014-01-15 05,172,142,0,30,0,0,0
2014-01-15 06,162,141,0,21,0,0,0
2014-01-15 07,516,470,0,46,0,0,0
2014-01-15 08,1617,1506,0,111,0,0,0
2014-01-15 09,2723,2539,0,184,0,0,0
2014-01-15 10,3175,3018,0,157,0,0,0
2014-01-15 11,2866,2707,0,159,0,0,0
2014-01-15 12,2488,2359,0,129,0,0,0
2014-01-15 13,2628,2476,0,152,0,0,0
2014-01-15 14,2616,2472,0,144,0,0,0
2014-01-15 15,2457,2327,0,130,0,0,0
2014-01-15 16,2038,1931,0,107,0,0,0
2014-01-15 17,1815,1724,0,91,0,0,0
2014-01-15 18,1433,1347,0,86,0,0,0
2014-01-15 20,1588,1506,0,82,0,0,0
2014-01-15 21,2634,2522,0,112,0,0,0
2014-01-15 22,2187,2073,0,114,0,0,0
2014-01-15 23,1485,1427,0,58,0,0,0
2014-01-16 00,929,866,0,63,0,0,0
2014-01-16 01,568,518,0,50,0,0,0
2014-01-16 02,282,255,0,27,0,0,0
2014-01-16 03,157,129,0,28,0,0,0
2014-01-16 04,118,98,0,20,0,0,0
2014-01-16 05,133,107,0,26,0,0,0
2014-01-16 06,213,190,0,23,0,0,0
2014-01-16 07,359,324,0,35,0,0,0
2014-01-16 08,1282,1189,0,93,0,0,0
2014-01-16 09,2238,2102,0,136,0,0,0
2014-01-16 10,2615,2467,0,148,0,0,0
2014-01-16 11,2496,2357,0,139,0,0,0
2014-01-16 12,2175,2054,0,121,0,0,0
2014-01-16 13,2406,2283,0,123,0,0,0
2014-01-16 14,2480,2365,0,115,0,0,0
2014-01-16 15,2647,2506,0,141,0,0,0
2014-01-16 16,2636,2493,0,143,0,0,0
2014-01-16 17,1759,1650,0,109,0,0,0
2014-01-16 18,1984,1895,0,89,0,0,0
2014-01-16 19,2367,2268,0,99,0,0,0
2014-01-16 20,2325,2195,0,130,0,0,0
2014-01-16 21,2567,2415,0,152,0,0,0
2014-01-16 22,2119,2007,0,112,0,0,0
2014-01-16 23,1683,1601,0,82,0,0,0
2014-01-17 00,956,903,0,53,0,0,0
2014-01-17 01,528,486,0,42,0,0,0
2014-01-17 02,242,217,0,25,0,0,0
2014-01-17 03,174,157,0,17,0,0,0
2014-01-17 04,103,84,0,19,0,0,0
2014-01-17 05,161,145,0,16,0,0,0
2014-01-17 06,197,184,0,13,0,0,0
2014-01-17 07,391,370,0,21,0,0,0
2014-01-17 08,1444,1348,0,96,0,0,0
2014-01-17 09,2402,2251,0,151,0,0,0
2014-01-17 10,2807,2682,0,125,0,0,0
2014-01-17 11,2548,2416,0,132,0,0,0
2014-01-17 12,2202,2088,0,114,0,0,0
2014-01-17 13,2309,2184,0,125,0,0,0
2014-01-17 14,2431,2306,0,125,0,0,0
2014-01-17 15,2603,2502,0,101,0,0,0
2014-01-17 16,2636,2519,0,117,0,0,0
2014-01-17 17,1691,1617,0,74,0,0,0
2014-01-17 18,877,832,0,45,0,0,0
2014-01-17 19,731,692,0,39,0,0,0
2014-01-17 20,836,792,0,44,0,0,0
2014-01-17 21,818,777,0,41,0,0,0
2014-01-17 22,813,779,0,34,0,0,0
2014-01-17 23,628,598,0,30,0,0,0
2014-01-18 00,444,419,0,25,0,0,0
2014-01-18 01,267,246,0,21,0,0,0
2014-01-18 02,187,168,0,19,0,0,0
2014-01-18 03,192,158,0,34,0,0,0
2014-01-18 04,127,110,0,17,0,0,0
2014-01-18 05,129,112,0,17,0,0,0
2014-01-18 06,99,87,0,12,0,0,0
2014-01-18 07,262,235,0,27,0,0,0
2014-01-18 08,611,560,0,51,0,0,0
2014-01-18 09,1232,1167,0,65,0,0,0
2014-01-18 10,1368,1302,0,66,0,0,0
2014-01-18 11,1268,1217,0,51,0,0,0
2014-01-18 12,1180,1124,0,56,0,0,0
2014-01-18 13,1389,1338,0,51,0,0,0
