date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,18699,5965,9488,3246,0,0,0
2014-01-07 18,12680,4538,6186,1956,0,0,0
2014-01-07 19,13034,4512,6434,2088,0,0,0
2014-01-07 20,15765,5138,7942,2685,0,0,0
2014-01-07 21,17782,5918,8898,2966,0,0,0
2014-01-07 22,15914,5260,7982,2672,0,0,0
2014-01-07 23,10617,3764,5198,1655,0,0,0
2014-01-08 00,4794,1744,2324,726,0,0,0
2014-01-08 01,2805,1096,1322,387,0,0,0
2014-01-08 02,2316,892,1098,325,0,1,0
2014-01-08 03,2230,822,1076,332,0,0,0
2014-01-08 04,1794,814,790,190,0,0,0
2014-01-08 05,1673,744,746,183,0,0,0
2014-01-08 06,2084,906,942,236,0,0,0
2014-01-08 07,4282,1658,2032,592,0,0,0
2014-01-08 08,10756,3793,5282,1681,0,0,0
2014-01-08 09,21047,6195,10936,3915,0,1,0
2014-01-08 10,23869,7328,12256,4282,0,3,0
2014-01-08 11,22744,7496,11420,3828,0,0,0
2014-01-08 12,21092,6649,10740,3702,0,1,0
2014-01-08 13,19353,6457,9676,3220,0,0,0
2014-01-08 14,21555,6912,10916,3727,0,0,0
2014-01-08 15,20910,6706,10590,3614,0,0,0
2014-01-08 16,19392,6180,9840,3372,0,0,0
2014-01-08 17,13822,4757,6838,2227,0,0,0
2014-01-08 18,10068,3816,4804,1448,0,0,0
2014-01-08 19,12182,4508,5868,1806,0,0,0
2014-01-08 20,15162,5116,7552,2494,0,0,0
2014-01-08 21,18466,6057,9284,3125,0,0,0
2014-01-08 22,14191,5058,6934,2199,0,0,0
2014-01-08 23,8998,3190,4406,1402,0,0,0
2014-01-09 00,4551,1644,2212,695,0,0,0
2014-01-09 01,3526,1311,1696,519,0,0,0
2014-01-09 02,2727,1164,1236,326,0,1,0
2014-01-09 03,2627,1104,1200,323,0,0,0
2014-01-09 04,2431,1045,1100,286,0,0,0
2014-01-09 05,2286,1000,1026,259,0,1,0
2014-01-09 06,2862,1219,1300,343,0,0,0
2014-01-09 07,4081,1779,1832,469,0,1,0
2014-01-09 08,10740,4026,5148,1566,0,0,0
2014-01-09 09,19908,6358,10100,3448,0,2,0
2014-01-09 10,20664,6615,10472,3577,0,0,0
2014-01-09 11,17434,5527,8862,3044,0,1,0
2014-01-09 12,16802,5415,8496,2891,0,0,0
2014-01-09 13,17716,5708,8958,3050,0,0,0
2014-01-09 14,18468,6007,9310,3151,0,0,0
2014-01-09 15,20572,6498,10468,3606,0,0,0
2014-01-09 16,17572,5557,8940,3075,0,0,0
2014-01-09 17,11173,3593,5654,1926,0,0,0
2014-01-09 18,7528,2766,3636,1126,0,0,0
2014-01-09 19,9004,3120,4444,1440,0,0,0
2014-01-09 20,12142,3912,6140,2090,0,0,0
2014-01-09 21,12573,4080,6344,2149,0,0,0
2014-01-09 22,10508,3564,5224,1720,0,0,0
2014-01-09 23,6254,2310,3016,928,0,0,0
2014-01-10 00,3944,1445,1908,591,0,0,0
2014-01-10 01,2783,1110,1302,371,0,0,0
2014-01-10 02,2060,877,936,247,0,0,0
2014-01-10 03,1844,812,824,208,0,0,0
2014-01-10 04,1632,772,702,157,0,1,0
2014-01-10 05,1704,844,716,144,0,0,0
2014-01-10 06,1751,805,766,179,0,1,0
2014-01-10 07,3082,1292,1412,377,0,1,0
2014-01-10 08,9118,3270,4446,1401,0,1,0
2014-01-10 09,16973,5262,8690,3020,0,1,0
2014-01-10 10,18371,5700,9400,3271,0,0,0
2014-01-10 11,15523,4856,7922,2744,0,1,0
2014-01-10 12,14404,4920,7144,2339,0,1,0
2014-01-10 13,14109,4487,7164,2458,0,0,0
2014-01-10 14,18443,5758,9418,3267,0,0,0
2014-01-10 15,20448,6331,10468,3649,0,0,0
2014-01-10 16,18846,6000,9564,3281,0,1,0
2014-01-10 17,11242,4016,5488,1738,0,0,0
2014-01-10 18,9612,3442,4688,1482,0,0,0
2014-01-10 19,10939,3799,5396,1744,0,0,0
2014-01-10 20,12802,4458,6306,2038,0,0,0
2014-01-10 21,12088,3954,6084,2050,0,0,0
2014-01-10 22,8212,2878,4036,1297,0,1,0
2014-01-10 23,5623,2078,2710,834,0,1,0
2014-01-11 00,2943,1251,1338,353,0,1,0
2014-01-11 01,2035,901,908,225,0,1,0
2014-01-11 02,1648,724,740,184,0,0,0
2014-01-11 03,1269,578,564,125,0,2,0
2014-01-11 04,1077,486,478,113,0,0,0
2014-01-11 05,1055,496,460,99,0,0,0
2014-01-11 06,1046,480,458,108,0,0,0
2014-01-11 07,1626,750,710,166,0,0,0
2014-01-11 08,3607,1570,1622,414,0,1,0
2014-01-11 09,6587,2438,3176,973,0,0,0
2014-01-11 10,8607,3195,4144,1268,0,0,0
2014-01-11 11,8090,3201,3794,1095,0,0,0
2014-01-11 12,7395,2778,3542,1075,0,0,0
2014-01-11 13,7198,2727,3438,1033,0,0,0
2014-01-11 14,7729,2736,3786,1207,0,0,0
2014-01-11 20,9332,3109,4668,1555,0,0,0
2014-01-11 21,7810,2762,3826,1222,0,0,0
2014-01-11 23,3990,1473,1924,593,0,0,0
2014-01-12 00,1071,468,480,123,0,0,0
2014-01-12 01,1101,484,492,125,0,0,0
2014-01-12 02,1035,448,466,121,0,0,0
2014-01-12 03,735,332,324,79,0,0,0
2014-01-12 04,879,388,392,99,0,0,0
2014-01-12 05,629,293,274,62,0,0,0
2014-01-12 06,810,396,342,71,0,1,0
2014-01-12 07,1101,529,472,100,0,0,0
2014-01-12 08,1453,632,654,167,0,0,0
2014-01-12 09,2676,956,1308,412,0,0,0
2014-01-12 10,3610,1189,1814,607,0,0,0
2014-01-12 11,3296,1281,1558,457,0,0,0
2014-01-12 12,3124,1150,1508,466,0,0,0
2014-01-12 13,3582,1386,1696,500,0,0,0
2014-01-12 14,4060,1386,2014,660,0,0,0
2014-01-12 15,3790,1330,1862,598,0,0,0
2014-01-12 16,4511,1563,2228,720,0,0,0
2014-01-12 17,4545,1569,2246,730,0,0,0
2014-01-12 18,4014,1539,1908,567,0,0,0
2014-01-12 19,4554,1684,2194,676,0,0,0
2014-01-12 20,5337,1920,2598,819,0,0,0
2014-01-12 21,4606,1716,2214,676,0,0,0
2014-01-12 22,4390,1656,2100,634,0,0,0
2014-01-12 23,3056,1160,1458,438,0,0,0
2014-01-13 00,2620,946,1274,400,0,0,0
2014-01-13 01,1522,566,732,224,0,0,0
2014-01-13 02,1256,533,572,151,0,0,0
2014-01-13 03,876,408,380,88,0,0,0
2014-01-13 04,714,352,302,60,0,0,0
2014-01-13 05,678,300,302,76,0,0,0
2014-01-13 06,809,401,340,68,0,0,0
2014-01-13 07,1835,740,856,239,0,0,0
2014-01-13 08,5422,1946,2644,832,0,0,0
