date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,80114,18432,5102,56574,0,4,2
2014-01-07 18,82619,18768,5428,58415,0,8,0
2014-01-07 19,74974,17773,5856,51330,0,14,1
2014-01-07 20,81187,20131,6809,54237,0,9,1
2014-01-07 21,74554,18443,6475,49623,0,10,3
2014-01-07 22,72700,17952,6653,48081,0,10,4
2014-01-07 23,71948,16864,5375,49697,0,12,0
2014-01-08 00,55066,11684,3345,40024,0,13,0
2014-01-08 01,35906,7656,1660,26588,0,2,0
2014-01-08 02,28444,6099,1080,21261,0,4,0
2014-01-08 03,22114,4589,508,17012,0,5,0
2014-01-08 04,21480,4805,554,16112,0,9,0
2014-01-08 05,20881,4780,560,15532,0,9,0
2014-01-08 06,25893,5837,883,19171,0,2,0
2014-01-08 07,42265,8520,1251,32486,0,8,0
2014-01-08 08,68651,14542,2862,51235,0,10,2
2014-01-08 09,85011,18335,4562,62098,0,15,1
2014-01-08 10,99639,21447,5180,73000,0,11,1
2014-01-08 11,89643,18926,5089,65615,0,9,4
2014-01-08 12,86191,19566,5611,61006,0,6,2
2014-01-08 13,80189,17650,5375,57151,0,12,1
2014-01-08 14,70610,3137,5948,61515,0,9,1
2014-01-08 15,65203,2857,5613,56723,0,9,1
2014-01-08 16,62003,2944,5666,53377,0,14,2
2014-01-08 17,55822,2321,4201,49287,0,12,1
2014-01-08 18,54638,2478,4933,47217,0,9,1
2014-01-08 19,52501,2421,5210,44857,0,10,3
2014-01-08 20,56244,2767,5975,47490,0,8,4
2014-01-08 21,54450,2807,6205,45427,0,10,1
2014-01-08 22,58009,2898,6542,48552,0,16,1
2014-01-08 23,51862,2655,5487,43710,0,8,2
2014-01-09 00,38875,1655,3285,33930,0,4,1
2014-01-09 01,33058,1304,1899,29840,0,15,0
2014-01-09 02,26420,974,1120,24315,0,10,1
2014-01-09 03,19735,827,740,18165,0,3,0
2014-01-09 04,17501,822,686,15982,0,11,0
2014-01-09 05,16142,625,435,15073,0,9,0
2014-01-09 06,21328,889,633,19794,0,12,0
2014-01-09 07,32889,1248,1238,30393,0,9,1
2014-01-09 08,54569,2175,2983,49393,0,16,2
2014-01-09 09,65932,2605,4499,58814,0,11,3
2014-01-09 10,70331,3131,5225,61951,0,23,1
2014-01-09 11,57587,2605,4715,50248,0,16,3
2014-01-09 12,53867,2527,4943,46384,0,12,1
2014-01-09 13,55107,2626,5605,46867,0,9,0
2014-01-09 14,59496,3126,7072,49283,0,14,1
2014-01-09 15,57563,3141,7024,47385,0,9,4
2014-01-09 16,60080,3070,7375,49622,0,11,2
2014-01-09 17,46276,2798,7021,36449,0,7,1
2014-01-09 18,50397,3626,10601,36163,0,5,2
2014-01-09 19,58697,5037,16257,37391,0,12,0
2014-01-09 20,64175,5406,17043,41715,0,10,1
2014-01-09 21,61209,5405,17163,38635,0,4,2
2014-01-09 22,65909,5744,18043,42114,0,7,1
2014-01-09 23,54767,4447,13697,36610,0,12,1
2014-01-10 00,37763,2811,9001,25947,0,3,1
2014-01-10 01,35916,2608,7369,25928,0,8,3
2014-01-10 02,29967,2013,5096,22850,0,8,0
2014-01-10 03,22018,1462,3326,17226,0,4,0
2014-01-10 04,18343,1100,2120,15118,0,5,0
2014-01-10 05,17545,972,1615,14949,0,9,0
2014-01-10 06,22532,1276,2320,18925,0,11,0
2014-01-10 07,34498,1826,3910,28755,0,7,0
2014-01-10 08,53796,3318,8446,42020,0,12,0
2014-01-10 09,70016,4865,14272,50866,0,12,1
2014-01-10 10,79496,5763,16786,56933,0,13,1
2014-01-10 11,72883,5824,17659,49388,0,11,1
2014-01-10 12,77456,6271,19664,51510,0,9,2
2014-01-10 13,68889,5870,17745,45261,0,12,1
2014-01-10 14,84439,7034,21490,55902,0,11,2
2014-01-10 15,83204,6912,21166,55118,0,8,0
2014-01-10 16,81630,7044,21646,52933,0,6,1
2014-01-10 17,66097,6003,18772,41317,0,5,0
2014-01-10 18,68198,6520,20351,41317,0,9,1
2014-01-10 19,80305,6953,22243,51098,0,11,0
2014-01-10 20,89360,8210,23468,57672,0,9,1
2014-01-10 21,76571,7102,19589,49871,0,9,0
2014-01-10 22,62474,5765,16409,40286,0,13,1
2014-01-10 23,52981,4618,13488,34869,0,6,0
2014-01-11 00,42012,3472,11460,27073,0,7,0
2014-01-11 01,36614,2941,9096,24571,0,6,0
2014-01-11 02,33187,2470,7228,23479,0,10,0
2014-01-11 03,23875,1710,4388,17765,0,12,0
2014-01-11 04,20037,1458,3250,15322,0,7,0
2014-01-11 05,17720,1095,2383,14237,0,4,1
2014-01-11 06,20560,1202,2257,17090,0,11,0
2014-01-11 07,30070,1694,3580,24790,0,6,0
2014-01-11 08,49735,3055,8194,38469,0,14,3
2014-01-11 09,65274,4715,13803,46744,0,11,1
2014-01-11 10,76335,5754,17656,52916,0,7,2
2014-01-11 11,75094,5872,17962,51250,0,10,0
2014-01-11 12,69962,5616,17991,46344,0,10,1
2014-01-11 13,65995,5726,18766,41494,0,7,2
2014-01-11 14,64035,5498,17327,41197,0,11,2
2014-01-11 20,61335,5510,17846,37976,0,2,1
