date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,23454,3589,15636,4229,0,0,0
2014-01-07 18,23064,3455,15376,4233,0,0,0
2014-01-07 19,22695,3427,15130,4138,0,0,0
2014-01-07 20,24213,3801,16142,4270,0,0,0
2014-01-07 21,26190,4245,17460,4485,0,0,0
2014-01-07 22,24759,4135,16506,4118,0,0,0
2014-01-07 23,19082,3033,12722,3327,0,0,0
2014-01-08 00,8046,1083,5364,1599,0,0,0
2014-01-08 01,4161,493,2774,894,0,0,0
2014-01-08 02,2226,268,1484,474,0,0,0
2014-01-08 03,1554,160,1036,358,0,0,0
2014-01-08 04,900,80,600,220,0,0,0
2014-01-08 05,765,65,510,190,0,0,0
2014-01-08 06,1053,104,702,247,0,0,0
2014-01-08 07,2763,282,1842,639,0,0,0
2014-01-08 08,8232,1079,5488,1665,0,0,0
2014-01-08 09,15018,2239,10012,2767,0,0,0
2014-01-08 10,18213,2786,12142,3285,0,0,0
2014-01-08 11,20733,3170,13822,3741,0,0,0
2014-01-08 12,22407,3477,14938,3992,0,0,0
2014-01-08 13,21279,3377,14186,3716,0,0,0
2014-01-08 14,20037,3177,13358,3502,0,0,0
2014-01-08 15,18603,3003,12402,3198,0,0,0
2014-01-08 16,19032,3166,12688,3178,0,0,0
2014-01-08 17,18717,2955,12478,3284,0,0,0
2014-01-08 18,19644,3043,13096,3505,0,0,0
2014-01-08 19,21537,3467,14358,3712,0,0,0
2014-01-08 20,23109,3762,15406,3941,0,0,0
2014-01-08 21,24012,3941,16008,4063,0,0,0
2014-01-08 22,23547,4021,15698,3828,0,0,0
2014-01-08 23,14874,2372,9916,2586,0,0,0
2014-01-09 00,6162,880,4108,1174,0,0,0
2014-01-09 01,4485,541,2990,954,0,0,0
2014-01-09 02,2739,326,1826,587,0,0,0
2014-01-09 03,1839,181,1226,432,0,0,0
2014-01-09 04,1050,95,700,255,0,0,0
2014-01-09 05,853,61,568,224,0,0,0
2014-01-09 06,1446,120,964,362,0,0,0
2014-01-09 07,3384,389,2256,739,0,0,0
2014-01-09 08,9666,1398,6444,1824,0,0,0
2014-01-09 09,16155,2483,10770,2902,0,0,0
2014-01-09 10,17829,2856,11886,3087,0,0,0
2014-01-09 11,17653,2883,11768,3002,0,0,0
2014-01-09 12,19996,3162,13328,3506,0,0,0
2014-01-09 13,20148,3206,13432,3510,0,0,0
2014-01-09 14,19587,3075,13058,3454,0,0,0
2014-01-09 15,20052,3161,13368,3523,0,0,0
2014-01-09 16,18447,3002,12298,3147,0,0,0
2014-01-09 17,15341,2492,10226,2623,0,0,0
2014-01-09 18,15645,2488,10430,2727,0,0,0
2014-01-09 19,15915,2488,10610,2817,0,0,0
2014-01-09 20,16731,2704,11154,2873,0,0,0
2014-01-09 21,18279,3035,12186,3058,0,0,0
2014-01-09 22,18207,3035,12138,3034,0,0,0
2014-01-09 23,11784,1922,7856,2006,0,0,0
2014-01-10 00,6894,1062,4596,1236,0,0,0
2014-01-10 01,4188,533,2792,863,0,0,0
2014-01-10 02,2946,348,1964,634,0,0,0
2014-01-10 03,1533,188,1022,323,0,0,0
