date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,79,24,36,19,0,0,0
2014-01-07 18,72,22,26,24,0,0,0
2014-01-07 19,84,25,42,17,0,0,0
2014-01-07 20,112,41,40,31,0,0,0
2014-01-07 21,78,23,34,21,0,0,0
2014-01-07 22,75,18,38,19,0,0,0
2014-01-07 23,47,16,18,13,0,0,0
2014-01-08 00,29,12,11,6,0,0,0
2014-01-08 01,13,3,4,6,0,0,0
2014-01-08 02,14,3,8,3,0,0,0
2014-01-08 03,15,6,6,3,0,0,0
2014-01-08 04,4,1,2,1,0,0,0
2014-01-08 05,5,3,0,2,0,0,0
2014-01-08 06,9,5,4,0,0,0,0
2014-01-08 07,20,4,8,8,0,0,0
2014-01-08 08,59,21,26,12,0,0,0
2014-01-08 09,50,14,24,12,0,0,0
2014-01-08 10,50,15,28,7,0,0,0
2014-01-08 11,39,14,16,9,0,0,0
2014-01-08 12,69,23,42,4,0,0,0
2014-01-08 13,89,24,46,19,0,0,0
2014-01-08 14,77,27,42,8,0,0,0
2014-01-08 15,76,22,36,18,0,0,0
2014-01-08 16,68,22,40,6,0,0,0
2014-01-08 17,68,24,32,12,0,0,0
2014-01-08 18,58,17,28,13,0,0,0
2014-01-08 19,65,19,28,18,0,0,0
2014-01-08 20,97,29,50,18,0,0,0
2014-01-08 21,95,28,44,23,0,0,0
2014-01-08 22,65,21,28,16,0,0,0
2014-01-08 23,32,13,14,5,0,0,0
2014-01-09 00,28,7,12,9,0,0,0
2014-01-09 01,16,5,8,3,0,0,0
2014-01-09 02,4,2,0,2,0,0,0
2014-01-09 03,11,3,6,2,0,0,0
2014-01-09 04,1,0,0,1,0,0,0
2014-01-09 05,4,2,2,0,0,0,0
2014-01-09 06,6,0,0,6,0,0,0
2014-01-09 07,41,1,26,14,0,0,0
2014-01-09 08,131,45,36,50,0,0,0
2014-01-09 09,87,16,48,23,0,0,0
2014-01-09 10,83,22,36,25,0,0,0
2014-01-09 11,65,16,30,19,0,0,0
2014-01-09 12,77,17,39,21,0,0,0
2014-01-09 13,61,19,26,16,0,0,0
2014-01-09 14,62,16,28,18,0,0,0
2014-01-09 15,56,13,28,15,0,0,0
2014-01-09 16,46,8,18,20,0,0,0
2014-01-09 17,58,9,34,15,0,0,0
2014-01-09 18,94,14,68,12,0,0,0
2014-01-09 19,57,15,30,12,0,0,0
2014-01-09 20,65,21,20,24,0,0,0
2014-01-09 21,62,13,30,19,0,0,0
2014-01-09 22,45,14,20,11,0,0,0
2014-01-09 23,38,11,14,8,0,5,0
2014-01-10 00,20,8,4,7,0,1,0
2014-01-10 01,10,4,2,4,0,0,0
2014-01-10 02,10,4,2,4,0,0,0
2014-01-10 03,12,1,6,5,0,0,0
2014-01-10 04,30,5,20,5,0,0,0
2014-01-10 05,21,2,12,7,0,0,0
2014-01-10 06,21,4,12,5,0,0,0
2014-01-10 07,40,5,22,13,0,0,0
2014-01-10 08,85,24,32,28,0,1,0
2014-01-10 09,95,27,36,32,0,0,0
2014-01-10 10,82,18,30,34,0,0,0
2014-01-10 11,83,23,34,26,0,0,0
2014-01-10 12,64,20,22,22,0,0,0
2014-01-10 13,58,22,28,8,0,0,0
2014-01-10 14,89,30,44,15,0,0,0
2014-01-10 15,70,17,34,19,0,0,0
2014-01-10 16,101,46,32,23,0,0,0
2014-01-10 17,68,27,24,17,0,0,0
2014-01-10 18,81,37,28,16,0,0,0
2014-01-10 19,109,43,52,14,0,0,0
2014-01-10 20,84,37,28,19,0,0,0
2014-01-10 21,86,31,40,15,0,0,0
2014-01-10 22,80,24,42,14,0,0,0
2014-01-10 23,21,6,12,3,0,0,0
2014-01-11 00,59,11,20,28,0,0,0
2014-01-11 01,55,14,22,19,0,0,0
2014-01-11 02,35,4,16,15,0,0,0
2014-01-11 03,18,1,12,5,0,0,0
2014-01-11 04,12,1,8,3,0,0,0
2014-01-11 05,10,3,6,1,0,0,0
2014-01-11 06,4,1,2,1,0,0,0
2014-01-11 07,26,2,10,14,0,0,0
2014-01-11 08,49,15,12,22,0,0,0
2014-01-11 09,62,24,24,14,0,0,0
2014-01-11 10,56,19,30,7,0,0,0
2014-01-11 11,54,20,18,16,0,0,0
2014-01-11 12,36,12,14,10,0,0,0
2014-01-11 13,29,11,8,10,0,0,0
2014-01-11 14,42,9,16,17,0,0,0
2014-01-11 20,50,17,16,17,0,0,0
2014-01-11 21,51,18,20,13,0,0,0
2014-01-11 23,54,13,12,29,0,0,0
2014-01-12 00,10,4,6,0,0,0,0
2014-01-12 01,3,0,2,1,0,0,0
2014-01-12 02,12,3,8,1,0,0,0
2014-01-12 03,16,4,12,0,0,0,0
2014-01-12 04,6,1,4,1,0,0,0
2014-01-12 05,3,1,2,0,0,0,0
2014-01-12 07,2,0,2,0,0,0,0
2014-01-12 08,6,1,4,1,0,0,0
2014-01-12 09,9,3,6,0,0,0,0
2014-01-12 10,10,3,6,1,0,0,0
2014-01-12 11,12,4,8,0,0,0,0
2014-01-12 12,7,3,4,0,0,0,0
2014-01-12 13,6,2,4,0,0,0,0
2014-01-12 14,12,3,8,1,0,0,0
2014-01-12 15,3,1,2,0,0,0,0
2014-01-12 16,13,5,8,0,0,0,0
2014-01-12 17,3,1,2,0,0,0,0
2014-01-12 19,6,2,4,0,0,0,0
2014-01-12 20,6,2,4,0,0,0,0
2014-01-12 21,23,7,14,2,0,0,0
2014-01-12 22,3,1,2,0,0,0,0
2014-01-12 23,8,3,4,1,0,0,0
2014-01-13 00,16,3,10,3,0,0,0
2014-01-13 01,3,1,2,0,0,0,0
2014-01-13 02,6,1,4,1,0,0,0
2014-01-13 03,3,1,2,0,0,0,0
2014-01-13 05,6,0,4,2,0,0,0
2014-01-13 07,3,0,2,1,0,0,0
2014-01-13 08,7,2,4,1,0,0,0
2014-01-13 09,23,8,14,1,0,0,0
2014-01-13 10,27,7,18,2,0,0,0
2014-01-13 11,28,8,18,2,0,0,0
2014-01-13 12,19,6,10,3,0,0,0
2014-01-13 13,28,8,18,2,0,0,0
2014-01-13 14,19,5,12,2,0,0,0
2014-01-13 15,4,2,2,0,0,0,0
2014-01-13 16,45,16,22,7,0,0,0
2014-01-13 17,34,12,8,14,0,0,0
2014-01-13 18,44,16,18,10,0,0,0
2014-01-13 19,32,10,12,10,0,0,0
2014-01-13 20,49,16,22,11,0,0,0
2014-01-13 21,50,13,18,19,0,0,0
2014-01-13 22,26,9,8,9,0,0,0
2014-01-13 23,33,12,10,11,0,0,0
2014-01-14 00,11,3,2,6,0,0,0
2014-01-14 01,25,7,10,8,0,0,0
2014-01-14 02,6,2,2,2,0,0,0
2014-01-14 03,1,0,0,1,0,0,0
2014-01-14 04,4,2,0,2,0,0,0
2014-01-14 05,5,2,2,1,0,0,0
2014-01-14 06,2,2,0,0,0,0,0
2014-01-14 07,35,3,20,12,0,0,0
2014-01-14 08,42,9,24,9,0,0,0
2014-01-14 09,60,12,32,16,0,0,0
2014-01-14 10,72,18,32,22,0,0,0
2014-01-14 11,68,23,26,19,0,0,0
2014-01-14 12,54,21,20,13,0,0,0
2014-01-14 13,44,11,14,19,0,0,0
2014-01-14 14,50,19,18,13,0,0,0
2014-01-14 15,92,29,44,19,0,0,0
2014-01-14 16,68,18,16,34,0,0,0
2014-01-14 17,63,17,22,24,0,0,0
2014-01-14 18,68,21,26,21,0,0,0
2014-01-14 19,37,10,10,17,0,0,0
2014-01-14 20,44,15,10,19,0,0,0
2014-01-14 21,69,21,28,20,0,0,0
2014-01-14 22,40,13,12,15,0,0,0
2014-01-14 23,24,7,10,7,0,0,0
2014-01-15 00,24,7,8,9,0,0,0
2014-01-15 01,20,3,10,7,0,0,0
2014-01-15 02,16,2,8,6,0,0,0
2014-01-15 03,16,3,6,7,0,0,0
2014-01-15 04,21,3,12,6,0,0,0
2014-01-15 05,7,1,4,2,0,0,0
2014-01-15 06,10,2,6,2,0,0,0
2014-01-15 07,32,2,18,12,0,0,0
2014-01-15 08,34,8,14,12,0,0,0
2014-01-15 09,77,24,34,19,0,0,0
2014-01-15 10,62,20,18,24,0,0,0
2014-01-15 11,53,18,20,15,0,0,0
2014-01-15 12,57,16,32,9,0,0,0
2014-01-15 13,58,14,20,24,0,0,0
2014-01-15 14,49,13,18,18,0,0,0
2014-01-15 15,78,27,32,19,0,0,0
2014-01-15 16,51,17,22,12,0,0,0
2014-01-15 17,45,10,22,13,0,0,0
2014-01-15 18,35,7,14,14,0,0,0
2014-01-15 20,43,10,12,21,0,0,0
2014-01-15 21,63,16,26,21,0,0,0
2014-01-15 22,52,20,16,16,0,0,0
2014-01-15 23,33,11,16,6,0,0,0
2014-01-16 00,26,10,10,6,0,0,0
2014-01-16 01,9,4,2,3,0,0,0
2014-01-16 02,6,1,2,3,0,0,0
2014-01-16 03,29,6,12,11,0,0,0
2014-01-16 04,6,1,4,1,0,0,0
2014-01-16 05,11,3,8,0,0,0,0
2014-01-16 06,12,4,6,2,0,0,0
2014-01-16 07,19,4,10,5,0,0,0
2014-01-16 08,26,6,10,10,0,0,0
2014-01-16 09,61,16,26,19,0,0,0
2014-01-16 10,44,10,20,14,0,0,0
2014-01-16 11,14,3,4,7,0,0,0
2014-01-16 12,25,7,8,10,0,0,0
2014-01-16 13,21,6,10,5,0,0,0
2014-01-16 14,45,15,16,14,0,0,0
2014-01-16 15,56,20,24,12,0,0,0
2014-01-16 16,35,7,18,10,0,0,0
2014-01-16 17,37,11,18,8,0,0,0
2014-01-16 18,24,6,12,6,0,0,0
2014-01-16 19,33,8,10,15,0,0,0
2014-01-16 20,38,11,14,13,0,0,0
2014-01-16 21,42,14,20,8,0,0,0
2014-01-16 22,33,8,14,11,0,0,0
2014-01-16 23,27,9,2,16,0,0,0
2014-01-17 00,15,7,2,6,0,0,0
2014-01-17 01,10,2,2,6,0,0,0
2014-01-17 02,8,2,4,2,0,0,0
2014-01-17 03,1,0,0,1,0,0,0
2014-01-17 04,5,2,2,1,0,0,0
2014-01-17 05,6,2,0,4,0,0,0
2014-01-17 06,11,3,6,2,0,0,0
2014-01-17 07,7,2,2,3,0,0,0
2014-01-17 08,33,13,14,6,0,0,0
2014-01-17 09,27,7,6,14,0,0,0
2014-01-17 10,51,17,26,8,0,0,0
2014-01-17 11,39,12,14,13,0,0,0
2014-01-17 12,62,20,30,12,0,0,0
2014-01-17 13,30,9,14,7,0,0,0
2014-01-17 14,56,17,28,11,0,0,0
2014-01-17 15,35,6,16,13,0,0,0
2014-01-17 16,64,24,26,14,0,0,0
2014-01-17 17,8,2,0,6,0,0,0
2014-01-17 18,11,2,2,7,0,0,0
2014-01-17 19,13,5,2,6,0,0,0
2014-01-17 20,7,4,0,3,0,0,0
2014-01-17 21,9,4,0,5,0,0,0
2014-01-17 22,21,2,18,1,0,0,0
2014-01-17 23,7,3,0,4,0,0,0
2014-01-18 00,9,4,0,5,0,0,0
2014-01-18 01,6,1,2,3,0,0,0
2014-01-18 02,1,0,0,1,0,0,0
2014-01-18 03,2,1,0,1,0,0,0
2014-01-18 04,3,1,2,0,0,0,0
2014-01-18 05,5,3,2,0,0,0,0
2014-01-18 06,9,2,4,3,0,0,0
2014-01-18 07,4,1,2,1,0,0,0
2014-01-18 08,19,6,8,5,0,0,0
2014-01-18 09,29,9,14,6,0,0,0
2014-01-18 10,19,7,6,6,0,0,0
2014-01-18 11,16,2,4,10,0,0,0
2014-01-18 12,16,6,4,6,0,0,0
2014-01-18 13,40,11,14,15,0,0,0
2014-01-18 14,22,7,10,5,0,0,0
2014-01-18 15,19,6,4,9,0,0,0
2014-01-18 16,37,14,10,13,0,0,0
2014-01-18 17,21,6,10,5,0,0,0
2014-01-18 18,22,7,4,11,0,0,0
2014-01-18 19,18,4,6,8,0,0,0
2014-01-18 20,44,18,16,10,0,0,0
2014-01-18 21,35,7,18,10,0,0,0
2014-01-18 22,20,5,10,5,0,0,0
2014-01-18 23,23,6,6,11,0,0,0
2014-01-19 00,15,6,4,5,0,0,0
2014-01-19 01,12,3,2,7,0,0,0
2014-01-19 02,6,2,2,2,0,0,0
2014-01-19 03,2,0,0,2,0,0,0
2014-01-19 05,8,3,4,1,0,0,0
2014-01-19 06,1,1,0,0,0,0,0
2014-01-19 07,7,3,2,2,0,0,0
2014-01-19 08,3,1,2,0,0,0,0
2014-01-19 09,9,3,2,4,0,0,0
2014-01-19 10,21,6,10,5,0,0,0
2014-01-19 11,6,2,0,4,0,0,0
2014-01-19 12,22,8,8,6,0,0,0
2014-01-19 13,21,9,8,4,0,0,0
2014-01-19 14,16,5,4,7,0,0,0
2014-01-19 15,35,11,14,10,0,0,0
2014-01-19 16,27,10,12,5,0,0,0
2014-01-19 17,38,12,14,12,0,0,0
2014-01-19 18,15,3,2,10,0,0,0
2014-01-19 19,37,7,12,18,0,0,0
2014-01-19 20,21,6,4,11,0,0,0
2014-01-19 21,35,11,6,18,0,0,0
2014-01-19 22,37,11,12,14,0,0,0
2014-01-19 23,16,3,8,5,0,0,0
2014-01-20 00,7,2,0,5,0,0,0
2014-01-20 01,5,2,2,1,0,0,0
2014-01-20 02,1,0,0,1,0,0,0
2014-01-20 03,6,2,4,0,0,0,0
2014-01-20 05,4,2,2,0,0,0,0
2014-01-20 06,8,3,4,1,0,0,0
2014-01-20 07,5,2,0,3,0,0,0
2014-01-20 08,23,9,6,8,0,0,0
