date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,2100,233,932,935,0,0,0
2014-01-07 18,2098,230,920,948,0,0,0
2014-01-07 19,2001,213,852,936,0,0,0
2014-01-07 20,2159,240,960,959,0,0,0
2014-01-07 21,1804,191,764,849,0,0,0
2014-01-07 22,2042,223,892,927,0,0,0
2014-01-07 23,2098,232,928,938,0,0,0
2014-01-08 00,1233,127,508,598,0,0,0
2014-01-08 01,589,53,212,324,0,0,0
2014-01-08 02,304,23,92,189,0,0,0
2014-01-08 03,256,19,76,161,0,0,0
2014-01-08 04,216,20,80,116,0,0,0
2014-01-08 05,220,20,80,120,0,0,0
2014-01-08 06,292,19,76,197,0,0,0
2014-01-08 07,829,78,312,439,0,0,0
2014-01-08 08,2140,229,916,995,0,0,0
2014-01-08 09,3045,342,1368,1335,0,0,0
2014-01-08 10,3268,382,1504,1382,0,0,0
2014-01-08 11,3169,354,1416,1399,0,0,0
2014-01-08 12,2831,322,1284,1225,0,0,0
2014-01-08 13,2861,326,1304,1231,0,0,0
2014-01-08 14,2557,281,1124,1152,0,0,0
2014-01-08 15,2552,289,1156,1107,0,0,0
2014-01-08 16,2391,263,1052,1076,0,0,0
2014-01-08 17,2268,245,980,1043,0,0,0
2014-01-08 18,2195,249,996,950,0,0,0
2014-01-08 19,1871,197,788,886,0,0,0
2014-01-08 20,2223,255,1020,948,0,0,0
2014-01-08 21,2236,257,1028,951,0,0,0
2014-01-08 22,1939,213,852,874,0,0,0
2014-01-08 23,1943,211,844,888,0,0,0
2014-01-09 00,1242,135,548,559,0,0,0
2014-01-09 01,623,61,244,318,0,0,0
2014-01-09 02,401,31,132,238,0,0,0
2014-01-09 03,330,32,128,170,0,0,0
2014-01-09 04,268,23,92,153,0,0,0
2014-01-09 05,232,22,88,122,0,0,0
2014-01-09 06,319,23,92,204,0,0,0
2014-01-09 07,796,71,284,441,0,0,0
2014-01-09 08,2061,227,908,926,0,0,0
2014-01-09 09,3010,345,1380,1285,0,0,0
2014-01-09 10,2952,339,1356,1257,0,0,0
2014-01-09 11,2762,300,1200,1262,0,0,0
2014-01-09 12,2160,251,1004,905,0,0,0
2014-01-09 13,2470,297,1188,985,0,0,0
2014-01-09 14,2375,261,1044,1070,0,0,0
2014-01-09 15,2195,242,968,985,0,0,0
2014-01-09 16,2113,222,888,1003,0,0,0
2014-01-09 17,1540,154,616,770,0,0,0
2014-01-09 18,1842,221,888,733,0,0,0
2014-01-09 19,1841,204,816,821,0,0,0
2014-01-09 20,1517,155,620,742,0,0,0
2014-01-09 21,1560,161,644,755,0,0,0
2014-01-09 22,1733,195,780,758,0,0,0
2014-01-09 23,1618,187,752,679,0,0,0
2014-01-10 00,1002,106,424,472,0,0,0
2014-01-10 01,636,65,264,307,0,0,0
2014-01-10 02,455,42,168,245,0,0,0
2014-01-10 03,282,23,92,167,0,0,0
2014-01-10 04,304,30,120,154,0,0,0
2014-01-10 05,207,15,60,132,0,0,0
2014-01-10 06,346,29,120,197,0,0,0
2014-01-10 07,777,74,296,407,0,0,0
2014-01-10 08,1841,199,796,846,0,0,0
2014-01-10 09,2465,261,1044,1160,0,0,0
2014-01-10 10,2653,308,1232,1113,0,0,0
2014-01-10 11,2420,278,1112,1030,0,0,0
2014-01-10 12,2134,233,932,969,0,0,0
2014-01-10 13,1903,211,844,848,0,0,0
2014-01-10 14,2451,277,1112,1062,0,0,0
2014-01-10 15,2735,318,1272,1145,0,0,0
2014-01-10 16,2476,284,1136,1056,0,0,0
2014-01-10 17,1623,166,668,789,0,0,0
2014-01-10 18,1773,188,752,833,0,0,0
2014-01-10 19,1702,174,696,832,0,0,0
2014-01-10 20,1842,189,760,893,0,0,0
2014-01-10 21,1758,202,808,748,0,0,0
2014-01-10 22,1775,196,784,795,0,0,0
2014-01-10 23,1262,133,532,597,0,0,0
2014-01-11 00,928,95,380,453,0,0,0
2014-01-11 01,642,57,228,357,0,0,0
2014-01-11 02,365,33,136,196,0,0,0
2014-01-11 03,351,30,120,201,0,0,0
2014-01-11 04,239,18,72,149,0,0,0
2014-01-11 05,313,34,136,143,0,0,0
2014-01-11 06,353,37,148,168,0,0,0
2014-01-11 07,510,41,164,305,0,0,0
2014-01-11 08,1260,127,512,621,0,0,0
2014-01-11 09,1982,207,828,947,0,0,0
2014-01-11 10,2172,232,928,1012,0,0,0
2014-01-11 11,2192,247,988,957,0,0,0
2014-01-11 12,1991,218,872,901,0,0,0
2014-01-11 13,1782,198,792,792,0,0,0
2014-01-11 14,1725,203,812,710,0,0,0
2014-01-11 20,1776,199,796,781,0,0,0
2014-01-11 21,1490,160,640,690,0,0,0
2014-01-11 23,1276,137,548,591,0,0,0
2014-01-12 00,303,36,144,123,0,0,0
2014-01-12 01,298,32,128,138,0,0,0
2014-01-12 02,225,19,76,130,0,0,0
2014-01-12 03,118,7,28,83,0,0,0
2014-01-12 04,117,11,44,62,0,0,0
2014-01-12 05,59,4,16,39,0,0,0
2014-01-12 06,116,8,32,76,0,0,0
2014-01-12 07,223,19,76,128,0,0,0
2014-01-12 08,326,29,116,181,0,0,0
2014-01-12 09,502,48,192,262,0,0,0
2014-01-12 10,752,81,324,347,0,0,0
2014-01-12 11,780,93,372,315,0,0,0
2014-01-12 12,703,83,332,288,0,0,0
2014-01-12 13,819,90,360,369,0,0,0
2014-01-12 14,844,87,348,409,0,0,0
2014-01-12 15,1019,110,440,469,0,0,0
2014-01-12 16,1045,113,452,480,0,0,0
2014-01-12 17,703,75,300,328,0,0,0
2014-01-12 18,798,87,348,363,0,0,0
2014-01-12 19,929,101,404,424,0,0,0
2014-01-12 20,895,100,400,395,0,0,0
2014-01-12 21,1218,129,516,573,0,0,0
2014-01-12 22,841,91,364,386,0,0,0
2014-01-12 23,740,83,332,325,0,0,0
2014-01-13 00,511,53,212,246,0,0,0
2014-01-13 01,301,27,108,166,0,0,0
2014-01-13 02,159,11,44,104,0,0,0
2014-01-13 03,115,10,40,65,0,0,0
2014-01-13 04,91,10,40,41,0,0,0
2014-01-13 05,85,7,28,50,0,0,0
2014-01-13 06,105,7,28,70,0,0,0
2014-01-13 07,332,29,116,187,0,0,0
2014-01-13 08,945,105,420,420,0,0,0
2014-01-13 09,1274,138,552,584,0,0,0
2014-01-13 10,1400,156,624,620,0,0,0
2014-01-13 11,1251,144,576,531,0,0,0
2014-01-13 12,1036,111,444,481,0,0,0
2014-01-13 13,980,113,452,415,0,0,0
2014-01-13 14,1107,113,452,542,0,0,0
2014-01-13 15,1078,117,468,493,0,0,0
2014-01-13 16,2313,270,1080,963,0,0,0
2014-01-13 17,2243,248,992,1003,0,0,0
2014-01-13 18,2116,242,968,906,0,0,0
2014-01-13 19,1764,196,784,784,0,0,0
2014-01-13 20,1956,218,872,866,0,0,0
2014-01-13 21,1753,192,768,793,0,0,0
2014-01-13 22,1927,211,844,872,0,0,0
2014-01-13 23,1264,144,576,544,0,0,0
2014-01-14 00,982,104,416,462,0,0,0
2014-01-14 01,717,76,304,337,0,0,0
2014-01-14 02,280,19,76,185,0,0,0
2014-01-14 03,282,20,80,182,0,0,0
2014-01-14 04,188,13,56,119,0,0,0
2014-01-14 05,200,14,56,130,0,0,0
2014-01-14 06,344,31,124,189,0,0,0
2014-01-14 07,801,78,312,411,0,0,0
2014-01-14 08,2135,227,908,1000,0,0,0
2014-01-14 09,2874,336,1344,1194,0,0,0
2014-01-14 10,2878,330,1320,1228,0,0,0
2014-01-14 11,2720,312,1248,1160,0,0,0
2014-01-14 12,2262,254,1016,992,0,0,0
2014-01-14 13,2134,244,976,914,0,0,0
2014-01-14 14,2299,256,1024,1019,0,0,0
2014-01-14 15,2768,322,1288,1158,0,0,0
2014-01-14 16,2907,324,1296,1287,0,0,0
2014-01-14 17,2264,249,1000,1015,0,0,0
2014-01-14 18,1918,202,808,908,0,0,0
2014-01-14 19,1671,173,692,806,0,0,0
2014-01-14 20,1961,208,836,917,0,0,0
2014-01-14 21,1978,212,852,914,0,0,0
2014-01-14 22,2021,225,900,896,0,0,0
2014-01-14 23,1436,151,604,681,0,0,0
2014-01-15 00,1082,114,456,512,0,0,0
2014-01-15 01,649,66,264,319,0,0,0
2014-01-15 02,332,30,120,182,0,0,0
2014-01-15 03,243,19,80,144,0,0,0
2014-01-15 04,124,10,40,74,0,0,0
2014-01-15 05,207,17,68,122,0,0,0
2014-01-15 06,287,25,100,162,0,0,0
2014-01-15 07,603,57,228,318,0,0,0
2014-01-15 08,1665,179,720,766,0,0,0
2014-01-15 09,2330,253,1012,1065,0,0,0
2014-01-15 10,2686,297,1188,1201,0,0,0
2014-01-15 11,2564,290,1164,1110,0,0,0
2014-01-15 12,2347,267,1068,1012,0,0,0
2014-01-15 13,2185,253,1012,920,0,0,0
2014-01-15 14,2221,238,952,1031,0,0,0
2014-01-15 15,2068,227,908,933,0,0,0
2014-01-15 16,1412,155,620,637,0,0,0
2014-01-15 17,1177,143,572,462,0,0,0
2014-01-15 18,1080,104,416,560,0,0,0
2014-01-15 20,960,106,424,430,0,0,0
2014-01-15 21,1934,215,860,859,0,0,0
2014-01-15 22,1693,202,812,679,0,0,0
2014-01-15 23,1382,151,604,627,0,0,0
2014-01-16 00,899,92,372,435,0,0,0
2014-01-16 01,530,39,156,335,0,0,0
2014-01-16 02,382,40,160,182,0,0,0
2014-01-16 03,223,12,48,163,0,0,0
2014-01-16 04,140,8,32,100,0,0,0
2014-01-16 05,197,18,72,107,0,0,0
2014-01-16 06,240,16,64,160,0,0,0
2014-01-16 07,574,55,220,299,0,0,0
2014-01-16 08,1771,197,788,786,0,0,0
2014-01-16 09,2207,234,936,1037,0,0,0
2014-01-16 10,2476,278,1112,1086,0,0,0
2014-01-16 11,2199,261,1044,894,0,0,0
2014-01-16 12,1989,222,888,879,0,0,0
2014-01-16 13,1988,226,904,858,0,0,0
2014-01-16 14,2388,259,1036,1093,0,0,0
2014-01-16 15,2203,244,976,983,0,0,0
2014-01-16 16,2262,249,996,1017,0,0,0
2014-01-16 17,1715,203,812,700,0,0,0
2014-01-16 18,1658,182,728,748,0,0,0
2014-01-16 19,1706,178,712,816,0,0,0
2014-01-16 20,1893,206,824,863,0,0,0
2014-01-16 21,1995,227,908,860,0,0,0
2014-01-16 22,1738,197,788,753,0,0,0
2014-01-16 23,1493,158,632,703,0,0,0
2014-01-17 00,1070,114,456,500,0,0,0
2014-01-17 01,602,60,240,302,0,0,0
2014-01-17 02,354,29,116,209,0,0,0
2014-01-17 03,308,27,108,173,0,0,0
2014-01-17 04,204,18,72,114,0,0,0
2014-01-17 05,178,11,44,123,0,0,0
2014-01-17 06,343,33,132,178,0,0,0
2014-01-17 07,483,34,136,313,0,0,0
2014-01-17 08,1824,201,804,819,0,0,0
2014-01-17 09,2453,271,1084,1098,0,0,0
2014-01-17 10,2883,331,1324,1228,0,0,0
2014-01-17 11,2645,286,1144,1215,0,0,0
2014-01-17 12,2169,253,1012,904,0,0,0
2014-01-17 13,1993,215,860,918,0,0,0
2014-01-17 14,2479,275,1100,1104,0,0,0
2014-01-17 15,2635,311,1244,1080,0,0,0
2014-01-17 16,2427,278,1112,1037,0,0,0
2014-01-17 17,1424,154,620,650,0,0,0
2014-01-17 18,701,78,312,311,0,0,0
2014-01-17 19,612,65,260,287,0,0,0
2014-01-17 20,782,85,340,357,0,0,0
2014-01-17 21,739,85,340,314,0,0,0
2014-01-17 22,769,88,352,329,0,0,0
2014-01-17 23,514,57,228,229,0,0,0
2014-01-18 00,360,32,128,200,0,0,0
2014-01-18 01,227,22,88,117,0,0,0
2014-01-18 02,392,33,132,227,0,0,0
2014-01-18 03,143,9,36,98,0,0,0
2014-01-18 04,174,16,64,94,0,0,0
2014-01-18 05,173,13,52,108,0,0,0
2014-01-18 06,177,12,48,117,0,0,0
2014-01-18 07,396,39,156,201,0,0,0
2014-01-18 08,810,86,344,380,0,0,0
2014-01-18 09,1465,166,668,631,0,0,0
