date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,22376,10241,7362,4773,0,0,0
2014-01-07 18,18207,7895,6140,4172,0,0,0
2014-01-07 19,20973,9369,6912,4692,0,0,0
2014-01-07 20,21024,9485,6642,4897,0,0,0
2014-01-07 21,24336,11011,8020,5305,0,0,0
2014-01-07 22,20371,9415,6320,4636,0,0,0
2014-01-07 23,16768,7293,5572,3903,0,0,0
2014-01-08 00,9062,3848,3156,2058,0,0,0
2014-01-08 01,3750,1508,1344,898,0,0,0
2014-01-08 02,2153,906,778,469,0,0,0
2014-01-08 03,1252,467,484,301,0,0,0
2014-01-08 04,1236,514,462,260,0,0,0
2014-01-08 05,1247,471,478,298,0,0,0
2014-01-08 06,1818,711,692,415,0,0,0
2014-01-08 07,5247,2275,1862,1110,0,0,0
2014-01-08 08,18851,8649,6282,3920,0,0,0
2014-01-08 09,25040,11624,8130,5286,0,0,0
2014-01-08 10,27029,12360,8794,5875,0,0,0
2014-01-08 11,26453,12007,8486,5960,0,0,0
2014-01-08 12,28404,13146,9068,6190,0,0,0
2014-01-08 13,25419,11221,8338,5860,0,0,0
2014-01-08 14,17665,4339,7712,5614,0,0,0
2014-01-08 15,16392,4071,7160,5161,0,0,0
2014-01-08 16,17503,4030,7762,5711,0,0,0
2014-01-08 17,15603,3488,7112,5003,0,0,0
2014-01-08 18,13725,2980,6356,4389,0,0,0
2014-01-08 19,15529,3659,7032,4838,0,0,0
2014-01-08 20,19845,5370,8668,5807,0,0,0
2014-01-08 21,19594,4286,9070,6238,0,0,0
2014-01-08 22,15319,3727,6782,4810,0,0,0
2014-01-08 23,12294,2705,5688,3901,0,0,0
2014-01-09 00,6315,1178,3098,2039,0,0,0
2014-01-09 01,3354,661,1662,1031,0,0,0
2014-01-09 02,1836,278,970,588,0,0,0
2014-01-09 03,1171,190,618,363,0,0,0
2014-01-09 04,916,146,490,280,0,0,0
2014-01-09 05,1058,159,578,321,0,0,0
2014-01-09 06,1157,146,640,371,0,0,0
2014-01-09 07,3705,444,2038,1223,0,0,0
2014-01-09 08,10954,2297,5290,3367,0,0,0
2014-01-09 09,15733,3015,7588,5130,0,0,0
2014-01-09 10,16386,3903,7550,4933,0,0,0
