date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,5424,4919,4,501,0,0,0
2014-01-07 18,4796,4299,2,495,0,0,0
2014-01-07 19,4782,4340,0,442,0,0,0
2014-01-07 20,5174,4560,2,612,0,0,0
2014-01-07 21,4719,4217,1,500,0,1,0
2014-01-07 22,4761,4292,2,467,0,0,0
2014-01-07 23,3788,3306,0,482,0,0,0
2014-01-08 00,1918,1653,0,265,0,0,0
2014-01-08 01,856,791,0,65,0,0,0
2014-01-08 02,463,446,0,17,0,0,0
2014-01-08 03,392,366,2,24,0,0,0
2014-01-08 04,439,396,6,37,0,0,0
2014-01-08 05,563,536,2,25,0,0,0
2014-01-08 06,559,533,0,26,0,0,0
2014-01-08 07,1181,1131,1,49,0,0,0
2014-01-08 08,3363,3136,2,225,0,0,0
2014-01-08 09,5793,5264,2,527,0,0,0
2014-01-08 10,7070,6372,4,693,0,1,0
2014-01-08 11,6441,5957,4,480,0,0,0
2014-01-08 12,6300,5709,16,562,0,13,0
2014-01-08 13,5788,5256,50,436,0,46,0
2014-01-08 14,5857,5182,37,609,0,29,0
2014-01-08 15,6036,5451,46,493,0,46,0
2014-01-08 16,5713,5023,37,621,0,32,0
2014-01-08 17,4812,4358,39,383,0,32,0
2014-01-08 18,4486,3977,39,436,0,34,0
2014-01-08 19,4522,3897,41,545,0,39,0
2014-01-08 20,5159,4375,16,752,0,16,0
2014-01-08 21,4236,3872,0,364,0,0,0
2014-01-08 22,4235,3789,1,444,0,1,0
2014-01-08 23,3150,2830,1,318,0,1,0
2014-01-09 00,1475,1268,0,207,0,0,0
2014-01-09 01,703,628,3,71,0,1,0
2014-01-09 02,511,457,2,51,0,1,0
2014-01-09 03,581,566,2,13,0,0,0
2014-01-09 04,488,458,1,28,0,1,0
2014-01-09 05,411,378,5,27,0,1,0
2014-01-09 06,464,449,3,11,0,1,0
2014-01-09 07,1050,1007,0,43,0,0,0
2014-01-09 08,3714,3471,6,237,0,0,0
2014-01-09 09,4825,4419,9,396,0,1,0
2014-01-09 10,5125,4653,1,470,0,1,0
2014-01-09 11,4611,4166,3,441,0,1,0
2014-01-09 12,4625,4196,2,427,0,0,0
2014-01-09 13,4594,4097,3,493,0,1,0
2014-01-09 14,5252,4694,9,548,0,1,0
2014-01-09 15,5836,5159,9,668,0,0,0
2014-01-09 16,5769,5249,5,514,0,1,0
2014-01-09 17,4877,4496,11,369,0,1,0
2014-01-09 18,4047,3647,35,349,0,16,0
2014-01-09 19,3675,3321,2,352,0,0,0
2014-01-09 20,3520,3146,7,366,0,1,0
2014-01-09 21,3434,3029,4,401,0,0,0
2014-01-09 22,3331,3058,2,271,0,0,0
2014-01-09 23,2224,2039,2,183,0,0,0
2014-01-10 00,1102,1026,0,76,0,0,0
2014-01-10 01,823,773,0,50,0,0,0
2014-01-10 02,434,417,0,17,0,0,0
2014-01-10 03,320,311,0,9,0,0,0
2014-01-10 04,302,291,0,11,0,0,0
2014-01-10 05,258,250,0,8,0,0,0
2014-01-10 06,411,382,2,26,0,1,0
2014-01-10 07,924,881,0,43,0,0,0
2014-01-10 08,2648,2426,4,218,0,0,0
2014-01-10 09,4345,3854,4,487,0,0,0
2014-01-10 10,4973,4480,0,493,0,0,0
2014-01-10 11,4691,4139,2,550,0,0,0
2014-01-10 12,4266,3827,2,437,0,0,0
2014-01-10 13,4195,3721,6,468,0,0,0
2014-01-10 14,4920,4422,2,496,0,0,0
2014-01-10 15,5367,4912,4,451,0,0,0
2014-01-10 16,5282,4691,6,585,0,0,0
2014-01-10 17,3753,3434,4,315,0,0,0
2014-01-10 18,4069,3716,2,351,0,0,0
2014-01-10 19,3999,3649,12,338,0,0,0
2014-01-10 20,4455,3951,6,498,0,0,0
2014-01-10 21,3499,3166,0,333,0,0,0
2014-01-10 22,2616,2375,0,241,0,0,0
2014-01-10 23,1801,1624,2,175,0,0,0
2014-01-11 00,1257,1121,0,136,0,0,0
2014-01-11 01,788,739,4,45,0,0,0
2014-01-11 02,431,412,0,19,0,0,0
2014-01-11 03,367,336,0,31,0,0,0
2014-01-11 04,256,231,0,25,0,0,0
2014-01-11 05,243,224,0,19,0,0,0
2014-01-11 06,333,323,0,10,0,0,0
2014-01-11 07,606,579,0,27,0,0,0
2014-01-11 08,1517,1449,0,68,0,0,0
2014-01-11 09,2933,2678,0,255,0,0,0
2014-01-11 10,3489,3179,0,310,0,0,0
2014-01-11 11,3703,3353,2,348,0,0,0
2014-01-11 12,3377,3021,38,286,0,32,0
2014-01-11 13,3399,3032,32,308,0,27,0
2014-01-11 14,3538,3169,27,315,0,27,0
2014-01-11 20,2940,2723,7,203,0,7,0
2014-01-11 21,2503,2210,4,289,0,0,0
2014-01-11 23,1243,1114,0,129,0,0,0
2014-01-12 00,391,339,20,32,0,0,0
2014-01-12 01,287,255,0,32,0,0,0
2014-01-12 02,243,211,0,32,0,0,0
2014-01-12 03,186,161,0,25,0,0,0
2014-01-12 04,162,117,2,43,0,0,0
2014-01-12 05,142,115,1,25,0,1,0
2014-01-12 06,113,109,0,4,0,0,0
2014-01-12 07,270,260,0,10,0,0,0
2014-01-12 08,546,515,0,31,0,0,0
2014-01-12 09,888,799,0,89,0,0,0
2014-01-12 10,1249,1156,0,93,0,0,0
2014-01-12 11,1294,1181,2,111,0,0,0
2014-01-12 12,1284,1179,0,105,0,0,0
2014-01-12 13,1590,1448,1,140,0,1,0
2014-01-12 14,1554,1423,0,131,0,0,0
2014-01-12 15,1701,1500,0,201,0,0,0
2014-01-12 16,1625,1484,0,141,0,0,0
2014-01-12 17,1416,1288,0,128,0,0,0
2014-01-12 18,1296,1175,0,121,0,0,0
2014-01-12 19,1482,1359,2,121,0,0,0
2014-01-12 20,1789,1595,0,194,0,0,0
2014-01-12 21,1616,1479,0,137,0,0,0
2014-01-12 22,1236,1148,2,86,0,0,0
2014-01-12 23,914,837,0,77,0,0,0
2014-01-13 00,616,554,0,62,0,0,0
2014-01-13 01,304,282,2,20,0,0,0
2014-01-13 02,198,161,0,37,0,0,0
2014-01-13 03,127,115,0,12,0,0,0
2014-01-13 04,78,76,0,2,0,0,0
2014-01-13 05,80,67,0,13,0,0,0
2014-01-13 06,140,134,0,6,0,0,0
2014-01-13 07,344,331,0,13,0,0,0
2014-01-13 08,1378,1286,0,92,0,0,0
2014-01-13 09,2054,1949,0,105,0,0,0
2014-01-13 10,2365,2191,9,158,0,7,0
2014-01-13 11,2392,2188,22,160,0,22,0
2014-01-13 12,2136,1964,18,140,0,14,0
2014-01-13 13,1944,1725,25,173,0,21,0
2014-01-13 14,1982,1819,21,123,0,19,0
2014-01-13 15,1998,1863,23,93,0,19,0
2014-01-13 16,3971,3688,38,216,0,29,0
2014-01-13 17,3954,3700,61,138,0,55,0
2014-01-13 18,3150,2935,5,207,0,3,0
2014-01-13 19,3086,2904,2,180,0,0,0
2014-01-13 20,3061,2848,2,211,0,0,0
2014-01-13 21,2789,2606,4,179,0,0,0
2014-01-13 22,2822,2639,4,179,0,0,0
2014-01-13 23,1613,1526,0,87,0,0,0
2014-01-14 00,1061,961,0,100,0,0,0
2014-01-14 01,645,591,0,54,0,0,0
2014-01-14 02,327,316,0,11,0,0,0
2014-01-14 03,307,287,0,20,0,0,0
2014-01-14 04,268,258,0,10,0,0,0
2014-01-14 05,288,269,0,19,0,0,0
2014-01-14 06,394,347,0,47,0,0,0
2014-01-14 07,653,639,3,9,0,2,0
2014-01-14 08,2296,2211,9,68,0,8,0
2014-01-14 09,3932,3662,10,251,0,9,0
2014-01-14 10,4739,4438,11,283,0,7,0
2014-01-14 11,4865,4529,6,330,0,0,0
2014-01-14 12,4015,3730,0,285,0,0,0
2014-01-14 13,3079,2934,2,143,0,0,0
2014-01-14 14,3881,3722,10,149,0,0,0
2014-01-14 15,4372,4083,4,285,0,0,0
2014-01-14 16,4195,3900,6,289,0,0,0
2014-01-14 17,3431,3282,0,149,0,0,0
2014-01-14 18,2828,2677,0,151,0,0,0
2014-01-14 19,2898,2811,2,85,0,0,0
2014-01-14 20,2870,2679,0,191,0,0,0
2014-01-14 21,3156,2917,0,239,0,0,0
2014-01-14 22,2765,2542,6,217,0,0,0
2014-01-14 23,2063,1921,0,142,0,0,0
2014-01-15 00,1244,1147,0,97,0,0,0
2014-01-15 01,652,628,0,24,0,0,0
2014-01-15 02,383,357,0,26,0,0,0
2014-01-15 03,299,288,0,11,0,0,0
2014-01-15 04,262,256,2,4,0,0,0
2014-01-15 05,248,241,0,7,0,0,0
2014-01-15 06,337,271,1,64,0,1,0
2014-01-15 07,667,638,4,25,0,0,0
2014-01-15 08,2206,2100,0,106,0,0,0
2014-01-15 09,3721,3560,4,157,0,0,0
2014-01-15 10,4275,3985,0,290,0,0,0
2014-01-15 11,3627,3406,6,215,0,0,0
2014-01-15 12,3411,3265,2,144,0,0,0
2014-01-15 13,3432,3302,2,128,0,0,0
2014-01-15 14,3343,3182,4,157,0,0,0
2014-01-15 15,3297,3126,2,169,0,0,0
2014-01-15 16,2195,2088,2,105,0,0,0
2014-01-15 17,1784,1694,6,84,0,0,0
2014-01-15 18,1589,1476,2,111,0,0,0
2014-01-15 20,1546,1449,0,97,0,0,0
2014-01-15 21,3037,2886,0,151,0,0,0
2014-01-15 22,2367,2251,0,116,0,0,0
2014-01-15 23,2001,1842,0,159,0,0,0
2014-01-16 00,1078,991,0,87,0,0,0
2014-01-16 01,641,578,0,63,0,0,0
2014-01-16 02,364,331,0,33,0,0,0
2014-01-16 03,306,296,0,10,0,0,0
2014-01-16 04,228,214,2,12,0,0,0
2014-01-16 05,223,203,2,18,0,0,0
2014-01-16 06,282,263,0,19,0,0,0
2014-01-16 07,535,522,0,13,0,0,0
2014-01-16 08,1709,1646,0,63,0,0,0
2014-01-16 09,3400,3094,4,302,0,0,0
2014-01-16 10,4110,3727,2,379,0,2,0
2014-01-16 11,3361,3165,2,194,0,0,0
2014-01-16 12,3032,2815,2,215,0,0,0
2014-01-16 13,3024,2766,19,220,0,19,0
2014-01-16 14,3396,3095,30,245,0,26,0
2014-01-16 15,3463,3275,25,138,0,25,0
2014-01-16 16,3173,2928,34,183,0,28,0
2014-01-16 17,2233,2055,22,134,0,22,0
2014-01-16 18,2100,1978,26,75,0,21,0
2014-01-16 19,2471,2301,36,99,0,35,0
2014-01-16 20,2505,2278,48,140,0,39,0
2014-01-16 21,2467,2238,35,164,0,30,0
2014-01-16 22,1883,1801,0,82,0,0,0
2014-01-16 23,1533,1464,2,67,0,0,0
2014-01-17 00,905,848,0,57,0,0,0
2014-01-17 01,535,493,0,42,0,0,0
2014-01-17 02,301,280,2,19,0,0,0
2014-01-17 03,282,247,12,23,0,0,0
2014-01-17 04,225,207,0,18,0,0,0
2014-01-17 05,217,202,0,15,0,0,0
2014-01-17 06,266,259,1,5,0,1,0
2014-01-17 07,542,516,0,26,0,0,0
2014-01-17 08,1791,1731,0,60,0,0,0
2014-01-17 09,2720,2579,6,135,0,0,0
2014-01-17 10,3183,2976,2,205,0,0,0
2014-01-17 11,2797,2679,9,104,0,5,0
2014-01-17 12,2269,2141,3,124,0,1,0
2014-01-17 13,2509,2338,6,165,0,0,0
2014-01-17 14,2683,2588,3,91,0,1,0
2014-01-17 15,2808,2659,2,147,0,0,0
2014-01-17 16,3162,2958,2,202,0,0,0
2014-01-17 17,1447,1362,1,84,0,0,0
2014-01-17 18,701,666,0,35,0,0,0
2014-01-17 19,667,637,4,26,0,0,0
2014-01-17 20,729,685,10,34,0,0,0
2014-01-17 21,715,671,4,40,0,0,0
2014-01-17 22,778,741,2,35,0,0,0
2014-01-17 23,475,448,0,27,0,0,0
2014-01-18 00,369,347,0,22,0,0,0
2014-01-18 01,202,190,0,12,0,0,0
2014-01-18 02,299,290,0,9,0,0,0
2014-01-18 03,209,198,0,11,0,0,0
2014-01-18 04,164,154,0,10,0,0,0
2014-01-18 05,162,137,4,21,0,0,0
2014-01-18 06,202,183,2,17,0,0,0
2014-01-18 07,331,321,0,10,0,0,0
2014-01-18 08,765,722,0,43,0,0,0
2014-01-18 09,1300,1198,0,102,0,0,0
2014-01-18 10,1456,1263,0,193,0,0,0
2014-01-18 11,1522,1345,1,175,0,1,0
2014-01-18 12,1465,1348,5,107,0,5,0
2014-01-18 13,1686,1485,24,155,0,22,0
2014-01-18 14,1865,1664,35,131,0,35,0
2014-01-18 15,2001,1752,45,160,0,44,0
2014-01-18 16,1900,1706,36,123,0,35,0
2014-01-18 17,1728,1512,46,126,0,44,0
2014-01-18 18,1451,1300,34,83,0,34,0
2014-01-18 19,1611,1449,33,97,0,32,0
2014-01-18 20,1762,1523,8,223,0,8,0
2014-01-18 21,1358,1298,0,60,0,0,0
2014-01-18 22,1659,1495,2,162,0,0,0
2014-01-18 23,1136,1038,0,98,0,0,0
2014-01-19 00,522,485,0,37,0,0,0
2014-01-19 01,413,370,0,43,0,0,0
2014-01-19 02,154,138,0,16,0,0,0
2014-01-19 03,105,102,0,3,0,0,0
2014-01-19 04,112,100,0,12,0,0,0
2014-01-19 05,88,73,0,15,0,0,0
2014-01-19 06,114,105,0,9,0,0,0
2014-01-19 07,174,149,1,23,0,1,0
2014-01-19 08,291,271,0,20,0,0,0
2014-01-19 09,812,750,0,62,0,0,0
2014-01-19 10,952,856,0,96,0,0,0
2014-01-19 11,1054,990,0,64,0,0,0
2014-01-19 12,1416,1295,2,119,0,0,0
2014-01-19 13,1508,1382,0,126,0,0,0
2014-01-19 14,1822,1657,0,165,0,0,0
2014-01-19 15,1666,1511,3,151,0,1,0
2014-01-19 16,1563,1444,4,115,0,0,0
2014-01-19 17,1262,1183,2,77,0,0,0
2014-01-19 18,1327,1224,0,103,0,0,0
2014-01-19 19,1346,1225,0,121,0,0,0
2014-01-19 20,1195,1084,0,111,0,0,0
2014-01-19 21,1416,1317,0,99,0,0,0
2014-01-19 22,1346,1223,14,109,0,0,0
2014-01-19 23,912,882,2,28,0,0,0
2014-01-20 00,546,514,0,32,0,0,0
2014-01-20 01,360,348,2,10,0,0,0
2014-01-20 02,308,282,0,26,0,0,0
2014-01-20 03,224,211,0,13,0,0,0
2014-01-20 04,145,140,0,5,0,0,0
2014-01-20 05,151,132,0,19,0,0,0
2014-01-20 06,217,198,0,19,0,0,0
2014-01-20 07,346,315,0,31,0,0,0
2014-01-20 08,1223,1174,0,49,0,0,0
2014-01-20 09,2138,1999,2,137,0,0,0
2014-01-20 10,2436,2250,0,186,0,0,0
2014-01-20 11,2241,2054,0,187,0,0,0
2014-01-20 12,1734,1596,4,131,0,3,0
2014-01-20 13,2006,1843,7,149,0,7,0
2014-01-20 14,2099,1958,9,127,0,5,0
2014-01-20 15,2308,2143,7,151,0,7,0
2014-01-20 16,2300,2157,14,119,0,10,0
2014-01-20 17,1610,1544,8,56,0,2,0
2014-01-20 18,1414,1290,12,101,0,11,0
2014-01-20 19,1365,1293,11,51,0,10,0
2014-01-20 20,1354,1270,11,62,0,11,0
2014-01-20 21,1095,1009,17,52,0,17,0
2014-01-20 22,989,913,12,54,0,10,0
2014-01-20 23,699,664,1,33,0,1,0
2014-01-21 00,411,384,0,27,0,0,0
2014-01-21 01,236,227,2,7,0,0,0
2014-01-21 02,188,165,0,23,0,0,0
2014-01-21 03,196,174,0,22,0,0,0
2014-01-21 04,169,144,0,25,0,0,0
2014-01-21 05,154,141,0,13,0,0,0
2014-01-21 06,151,139,0,12,0,0,0
2014-01-21 07,308,296,0,12,0,0,0
2014-01-21 08,630,616,0,14,0,0,0
2014-01-21 09,1008,959,0,49,0,0,0
2014-01-21 10,1328,1274,6,48,0,0,0
2014-01-21 11,1194,1128,4,62,0,0,0
2014-01-21 12,1750,1658,0,92,0,0,0
2014-01-21 13,1881,1734,4,143,0,0,0
2014-01-21 14,647,614,0,33,0,0,0
2014-01-21 15,1381,1299,2,79,0,1,0
2014-01-21 16,2126,2010,10,106,0,0,0
2014-01-21 17,1664,1579,2,83,0,0,0
2014-01-21 18,1431,1388,0,43,0,0,0
2014-01-21 19,1495,1437,0,58,0,0,0
2014-01-21 20,1540,1490,0,50,0,0,0
2014-01-21 21,1540,1445,3,91,0,1,0
2014-01-21 22,1375,1279,0,96,0,0,0
2014-01-21 23,948,887,0,61,0,0,0
2014-01-22 00,696,655,0,41,0,0,0
2014-01-22 01,358,336,0,22,0,0,0
2014-01-22 02,277,274,0,3,0,0,0
2014-01-22 03,196,172,0,24,0,0,0
2014-01-22 04,196,188,1,7,0,0,0
2014-01-22 05,207,197,0,10,0,0,0
2014-01-22 06,215,200,3,10,0,2,0
2014-01-22 07,491,473,5,10,0,3,0
2014-01-22 08,1018,986,6,26,0,0,0
2014-01-22 09,1995,1878,6,111,0,0,0
2014-01-22 10,2061,1946,2,113,0,0,0
2014-01-22 11,1802,1675,4,123,0,0,0
2014-01-22 12,837,778,0,59,0,0,0
2014-01-22 13,824,800,0,24,0,0,0
2014-01-22 14,1001,953,0,48,0,0,0
2014-01-22 15,1061,1022,4,35,0,0,0
2014-01-22 16,670,642,0,28,0,0,0
2014-01-22 17,391,365,4,22,0,0,0
2014-01-22 18,292,268,2,22,0,0,0
2014-01-22 19,293,275,2,16,0,0,0
2014-01-22 20,1153,1121,2,30,0,0,0
2014-01-22 21,1338,1265,2,71,0,0,0
2014-01-22 22,918,845,0,73,0,0,0
2014-01-22 23,490,446,4,40,0,0,0
2014-01-23 00,281,265,0,16,0,0,0
2014-01-23 01,172,166,0,6,0,0,0
2014-01-23 02,120,108,0,12,0,0,0
2014-01-23 03,109,98,0,11,0,0,0
2014-01-23 04,88,74,0,14,0,0,0
2014-01-23 05,89,83,0,6,0,0,0
2014-01-23 06,121,106,0,15,0,0,0
2014-01-23 07,199,187,0,12,0,0,0
2014-01-23 08,511,488,0,23,0,0,0
2014-01-23 09,815,739,0,76,0,0,0
2014-01-23 10,1382,1301,0,81,0,0,0
2014-01-23 11,1352,1291,2,59,0,0,0
2014-01-23 12,1101,1029,0,72,0,0,0
2014-01-23 13,936,904,6,26,0,0,0
2014-01-23 14,1056,992,0,64,0,0,0
2014-01-23 15,1048,991,5,47,0,5,0
2014-01-23 16,930,877,4,45,0,4,0
2014-01-23 17,708,678,6,20,0,4,0
2014-01-23 18,753,693,8,44,0,8,0
2014-01-23 19,889,825,12,44,0,8,0
2014-01-23 20,862,824,7,26,0,5,0
2014-01-23 21,1045,937,34,40,0,34,0
2014-01-23 22,882,790,28,36,0,28,0
2014-01-23 23,788,692,23,50,0,23,0
2014-01-24 00,430,415,0,15,0,0,0
2014-01-24 01,295,272,0,23,0,0,0
2014-01-24 02,217,196,2,19,0,0,0
2014-01-24 03,211,201,0,10,0,0,0
2014-01-24 04,211,193,0,18,0,0,0
2014-01-24 05,166,165,0,1,0,0,0
2014-01-24 06,177,177,0,0,0,0,0
2014-01-24 07,308,302,0,6,0,0,0
2014-01-24 08,682,659,4,19,0,0,0
2014-01-24 09,1173,1110,4,59,0,0,0
2014-01-24 10,1383,1304,0,79,0,0,0
2014-01-24 11,1123,1075,8,40,0,0,0
2014-01-24 12,1207,1119,0,88,0,0,0
2014-01-24 13,1263,1207,0,56,0,0,0
2014-01-24 14,1207,1123,5,78,0,1,0
2014-01-24 15,1266,1170,0,96,0,0,0
2014-01-24 16,1180,1114,2,64,0,0,0
2014-01-24 17,920,882,0,38,0,0,0
2014-01-24 18,825,774,0,51,0,0,0
2014-01-24 19,824,789,0,35,0,0,0
2014-01-24 20,845,813,0,32,0,0,0
2014-01-24 21,800,767,0,33,0,0,0
2014-01-24 22,864,818,0,46,0,0,0
2014-01-24 23,612,587,0,25,0,0,0
2014-01-25 00,389,375,0,14,0,0,0
2014-01-25 01,221,203,0,18,0,0,0
2014-01-25 02,216,202,0,14,0,0,0
2014-01-25 03,152,142,0,10,0,0,0
2014-01-25 04,156,140,0,16,0,0,0
2014-01-25 05,115,112,0,3,0,0,0
2014-01-25 06,126,119,0,7,0,0,0
2014-01-25 07,230,220,0,10,0,0,0
2014-01-25 08,430,414,0,16,0,0,0
2014-01-25 09,795,743,0,52,0,0,0
2014-01-25 10,1071,1008,2,59,0,2,0
2014-01-25 11,1024,975,2,45,0,2,0
2014-01-25 12,619,574,4,37,0,4,0
2014-01-25 13,744,697,5,37,0,5,0
2014-01-25 14,626,583,2,39,0,2,0
2014-01-25 15,722,664,13,34,0,11,0
2014-01-25 16,809,741,13,42,0,13,0
2014-01-25 17,685,649,4,28,0,4,0
2014-01-25 18,734,656,52,26,0,0,0
2014-01-25 19,630,593,21,15,0,1,0
2014-01-25 20,587,544,0,43,0,0,0
2014-01-25 21,565,530,2,33,0,0,0
2014-01-25 22,647,622,0,25,0,0,0
2014-01-25 23,497,477,0,20,0,0,0
2014-01-26 00,384,359,0,25,0,0,0
2014-01-26 01,243,228,0,15,0,0,0
2014-01-26 02,210,193,0,17,0,0,0
2014-01-26 03,164,154,0,10,0,0,0
2014-01-26 04,156,149,0,7,0,0,0
2014-01-26 05,147,129,0,18,0,0,0
2014-01-26 06,189,177,0,12,0,0,0
2014-01-26 07,274,264,0,10,0,0,0
2014-01-26 08,504,490,0,14,0,0,0
2014-01-26 09,921,874,0,47,0,0,0
2014-01-26 10,1069,1013,0,56,0,0,0
2014-01-26 11,916,852,0,64,0,0,0
2014-01-26 12,842,788,3,48,0,3,0
2014-01-26 13,946,875,12,47,0,12,0
2014-01-26 14,929,871,9,40,0,9,0
2014-01-26 15,839,797,8,28,0,6,0
2014-01-26 16,885,826,9,41,0,9,0
2014-01-26 17,932,836,6,84,0,6,0
2014-01-26 18,663,583,16,48,0,16,0
2014-01-26 19,750,695,15,25,0,15,0
2014-01-26 20,776,710,22,23,0,21,0
2014-01-26 21,758,697,24,13,0,24,0
2014-01-26 22,758,717,0,41,0,0,0
2014-01-26 23,602,556,0,46,0,0,0
2014-01-27 00,364,345,0,19,0,0,0
2014-01-27 01,329,311,0,18,0,0,0
2014-01-27 02,197,184,0,13,0,0,0
2014-01-27 03,179,175,0,4,0,0,0
2014-01-27 04,177,169,0,8,0,0,0
2014-01-27 05,202,193,0,9,0,0,0
2014-01-27 06,209,202,0,7,0,0,0
2014-01-27 07,377,367,2,8,0,0,0
2014-01-27 08,717,693,0,24,0,0,0
2014-01-27 09,1088,1033,4,51,0,0,0
2014-01-27 10,1149,1089,0,60,0,0,0
2014-01-27 11,1068,1008,0,60,0,0,0
2014-01-27 12,913,863,11,36,0,3,0
2014-01-27 13,525,487,1,36,0,1,0
2014-01-27 14,855,803,2,48,0,2,0
2014-01-27 15,1047,963,4,76,0,4,0
2014-01-27 16,1084,1027,5,47,0,5,0
2014-01-27 17,940,889,6,39,0,6,0
2014-01-27 18,827,742,11,68,0,6,0
2014-01-27 19,740,689,7,38,0,6,0
2014-01-27 20,893,849,6,32,0,6,0
2014-01-27 21,926,867,19,22,0,18,0
2014-01-27 22,809,773,9,20,0,7,0
2014-01-27 23,593,560,0,33,0,0,0
2014-01-28 00,338,313,0,25,0,0,0
2014-01-28 01,314,306,0,8,0,0,0
2014-01-28 02,277,264,2,11,0,0,0
