date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,11,4,4,3,0,0,0
2014-01-07 18,1,0,0,1,0,0,0
2014-01-07 20,6,2,4,0,0,0,0
2014-01-07 21,2,0,0,2,0,0,0
2014-01-07 22,2,0,0,2,0,0,0
2014-01-08 00,6,1,4,1,0,0,0
2014-01-08 08,2,0,0,2,0,0,0
2014-01-08 09,1,0,0,1,0,0,0
2014-01-08 10,10,4,4,2,0,0,0
2014-01-08 11,46,18,18,10,0,0,0
2014-01-08 13,22,8,8,6,0,0,0
2014-01-08 15,5,2,2,1,0,0,0
2014-01-08 16,52,20,20,12,0,0,0
2014-01-08 18,2,0,0,2,0,0,0
2014-01-08 19,47,18,18,11,0,0,0
2014-01-08 21,6,1,4,1,0,0,0
2014-01-08 22,10,2,2,6,0,0,0
2014-01-08 23,4,1,2,1,0,0,0
2014-01-09 01,1,0,0,1,0,0,0
2014-01-09 06,1,0,0,1,0,0,0
2014-01-09 09,13,2,8,3,0,0,0
2014-01-09 10,7,2,4,1,0,0,0
2014-01-09 11,2,0,0,2,0,0,0
2014-01-09 12,3,1,2,0,0,0,0
2014-01-09 14,32,12,12,8,0,0,0
2014-01-09 15,2,0,0,2,0,0,0
2014-01-09 16,169,66,66,37,0,0,0
2014-01-09 17,46,18,18,10,0,0,0
2014-01-09 18,182,72,72,38,0,0,0
2014-01-09 19,5,1,2,2,0,0,0
2014-01-09 20,1,0,0,1,0,0,0
2014-01-09 21,1,0,0,1,0,0,0
2014-01-09 22,28,11,12,5,0,0,0
2014-01-10 00,1,0,0,1,0,0,0
2014-01-10 11,161,62,64,35,0,0,0
2014-01-10 12,14,5,6,3,0,0,0
2014-01-10 14,1,0,0,1,0,0,0
2014-01-10 15,162,64,64,34,0,0,0
2014-01-10 16,3,1,2,0,0,0,0
2014-01-10 17,2,0,0,2,0,0,0
2014-01-10 18,7,1,4,2,0,0,0
2014-01-10 21,2,0,0,2,0,0,0
2014-01-10 22,3,1,2,0,0,0,0
2014-01-11 00,25,8,8,9,0,0,0
2014-01-11 08,4,2,2,0,0,0,0
2014-01-11 09,3,0,0,3,0,0,0
2014-01-11 10,6,1,4,1,0,0,0
2014-01-11 12,3,1,2,0,0,0,0
2014-01-11 13,4,1,2,1,0,0,0
2014-01-11 14,15,6,6,3,0,0,0
2014-01-11 20,27,10,10,7,0,0,0
2014-01-13 16,1,0,0,1,0,0,0
2014-01-13 17,10,3,4,3,0,0,0
2014-01-13 18,188,74,74,40,0,0,0
2014-01-13 20,102,39,40,23,0,0,0
2014-01-13 21,3,1,2,0,0,0,0
2014-01-13 22,4,1,2,1,0,0,0
2014-01-13 23,1,0,0,1,0,0,0
2014-01-14 07,3,1,2,0,0,0,0
2014-01-14 08,1,0,0,1,0,0,0
2014-01-14 09,3,1,2,0,0,0,0
2014-01-14 10,1,0,0,1,0,0,0
2014-01-14 11,32,12,12,8,0,0,0
2014-01-14 13,28,11,12,5,0,0,0
2014-01-14 15,98,38,38,22,0,0,0
2014-01-14 16,95,36,36,23,0,0,0
2014-01-14 17,3,0,0,3,0,0,0
2014-01-14 20,1,0,0,1,0,0,0
2014-01-14 22,36,14,14,8,0,0,0
2014-01-14 23,4,1,2,1,0,0,0
2014-01-15 07,1,0,0,1,0,0,0
2014-01-15 09,61,24,24,13,0,0,0
2014-01-15 10,1,0,0,1,0,0,0
2014-01-15 11,3,1,2,0,0,0,0
2014-01-15 12,46,18,18,10,0,0,0
2014-01-15 13,3,1,2,0,0,0,0
2014-01-15 14,16,6,6,4,0,0,0
2014-01-15 16,1,0,0,1,0,0,0
2014-01-15 17,37,14,14,9,0,0,0
2014-01-15 18,4,1,2,1,0,0,0
2014-01-15 20,5,2,2,1,0,0,0
2014-01-15 23,20,8,8,4,0,0,0
2014-01-16 01,1,0,0,1,0,0,0
2014-01-16 03,19,8,8,3,0,0,0
2014-01-16 08,3,1,2,0,0,0,0
2014-01-16 10,3,1,2,0,0,0,0
2014-01-16 12,4,1,2,1,0,0,0
2014-01-16 13,2,2,0,0,0,0,0
2014-01-16 14,3,0,2,1,0,0,0
2014-01-16 15,3,1,2,0,0,0,0
2014-01-16 16,1,0,0,1,0,0,0
2014-01-16 17,18,8,6,4,0,0,0
2014-01-16 18,3,1,2,0,0,0,0
2014-01-16 19,18,6,6,6,0,0,0
2014-01-16 20,1,0,0,1,0,0,0
2014-01-16 21,2,0,0,2,0,0,0
2014-01-17 09,1,0,0,1,0,0,0
2014-01-17 10,33,12,12,9,0,0,0
2014-01-17 11,1,0,0,1,0,0,0
2014-01-17 16,3,0,2,1,0,0,0
2014-01-17 19,10,4,4,2,0,0,0
2014-01-17 21,3,1,2,0,0,0,0
2014-01-18 01,5,2,2,1,0,0,0
2014-01-18 10,1,0,0,1,0,0,0
2014-01-18 14,23,9,10,4,0,0,0
2014-01-18 16,1,0,0,1,0,0,0
2014-01-18 20,4,2,2,0,0,0,0
2014-01-19 00,8,3,4,1,0,0,0
2014-01-19 08,3,1,2,0,0,0,0
2014-01-19 09,1,0,0,1,0,0,0
2014-01-19 11,1,0,0,1,0,0,0
2014-01-19 16,23,10,10,3,0,0,0
2014-01-19 17,1,0,0,1,0,0,0
