date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,34460,2351,21476,10620,0,13,0
2014-01-07 18,32002,2188,19888,9910,0,16,0
2014-01-07 19,29559,2357,18096,9099,0,7,0
2014-01-07 20,29632,2463,18015,9153,0,1,0
2014-01-07 21,31533,2570,19289,9672,0,2,0
2014-01-07 22,30095,2282,18644,9168,0,1,0
2014-01-07 23,25226,1775,15735,7712,0,4,0
2014-01-08 00,11882,1035,7202,3637,0,8,0
2014-01-08 01,7352,727,4428,2188,0,9,0
2014-01-08 02,5163,524,3084,1549,0,6,0
2014-01-08 03,4347,439,2600,1303,0,5,0
2014-01-08 04,3752,354,2266,1129,0,3,0
2014-01-08 05,3325,286,2010,1028,0,1,0
2014-01-08 06,4283,457,2526,1296,0,4,0
2014-01-08 07,7654,679,4566,2407,0,2,0
2014-01-08 08,16505,1609,9826,5066,0,4,0
2014-01-08 09,26258,2205,15980,8049,0,24,0
2014-01-08 10,30915,2576,18904,9420,0,15,0
2014-01-08 11,34033,2492,21006,10527,0,8,0
2014-01-08 12,36943,2426,23058,11454,0,5,0
2014-01-08 13,29579,2186,18341,9050,0,2,0
2014-01-08 14,27483,1895,17035,8547,0,6,0
2014-01-08 15,25557,2074,15638,7834,0,11,0
2014-01-08 16,24310,2015,14816,7473,0,6,0
2014-01-08 17,22213,1478,13852,6880,0,3,0
2014-01-08 18,23603,1523,14713,7365,0,2,0
2014-01-08 19,25365,1603,15822,7937,0,3,0
2014-01-08 20,28283,1739,17579,8964,0,1,0
2014-01-08 21,31007,1856,19396,9754,0,1,0
2014-01-08 22,28470,1628,17910,8930,0,2,0
2014-01-08 23,19604,1278,12227,6098,0,1,0
2014-01-09 00,9130,686,5569,2874,0,1,0
2014-01-09 01,7444,380,4704,2360,0,0,0
2014-01-09 02,5501,298,3471,1731,0,1,0
2014-01-09 03,4729,278,2964,1486,0,1,0
2014-01-09 04,3983,223,2511,1248,0,1,0
2014-01-09 05,3541,213,2210,1117,0,1,0
2014-01-09 06,4424,284,2751,1389,0,0,0
2014-01-09 07,7638,498,4677,2463,0,0,0
2014-01-09 08,16456,1200,10029,5221,0,6,0
2014-01-09 09,27333,1928,16900,8495,0,10,0
2014-01-09 10,28180,2005,17387,8769,0,19,0
2014-01-09 11,26550,1725,16510,8299,0,16,0
2014-01-09 12,26275,1640,16361,8273,0,1,0
2014-01-09 13,23820,1557,14702,7556,0,5,0
2014-01-09 14,23569,1741,14405,7417,0,6,0
2014-01-09 15,24139,1899,14675,7561,0,4,0
2014-01-09 16,23723,2042,14305,7367,0,9,0
2014-01-09 17,18999,1280,11733,5982,0,4,0
2014-01-09 18,19578,1400,12067,6107,0,4,0
2014-01-09 19,20248,1463,12352,6431,0,2,0
2014-01-09 20,22564,1553,13933,7076,0,2,0
2014-01-09 21,22239,1500,13792,6946,0,1,0
2014-01-09 22,22784,1465,14261,7057,0,1,0
2014-01-09 23,16156,1058,10062,5036,0,0,0
2014-01-10 00,9043,685,5538,2820,0,0,0
2014-01-10 01,7463,457,4608,2398,0,0,0
2014-01-10 02,5645,309,3502,1834,0,0,0
2014-01-10 03,4149,244,2570,1333,0,2,0
2014-01-10 04,3403,179,2132,1091,0,1,0
2014-01-10 05,3421,190,2127,1104,0,0,0
2014-01-10 06,4116,243,2523,1349,0,1,0
2014-01-10 07,6978,472,4209,2294,0,3,0
2014-01-10 08,12962,1000,7747,4213,0,2,0
2014-01-10 09,20876,1600,12771,6491,0,14,0
2014-01-10 10,25616,1844,15696,8068,0,8,0
2014-01-10 11,24638,1794,15198,7645,0,1,0
2014-01-10 12,24272,1791,14985,7494,0,2,0
2014-01-10 13,22358,1646,13841,6868,0,3,0
2014-01-10 14,25574,1804,15814,7954,0,2,0
2014-01-10 15,24452,1778,15124,7543,0,7,0
2014-01-10 16,23938,1760,14740,7438,0,0,0
2014-01-10 17,21012,1410,13083,6518,0,1,0
2014-01-10 18,21478,1216,13559,6702,0,1,0
2014-01-10 19,23172,1540,14407,7225,0,0,0
2014-01-10 20,25992,1710,16155,8127,0,0,0
2014-01-10 21,23180,1585,14392,7203,0,0,0
2014-01-10 22,19729,1286,12321,6122,0,0,0
2014-01-10 23,16158,1059,10094,5005,0,0,0
2014-01-11 00,9302,633,5747,2922,0,0,0
2014-01-11 01,7349,463,4562,2324,0,0,0
2014-01-11 02,6027,319,3803,1905,0,0,0
2014-01-11 03,4363,255,2730,1372,0,6,0
2014-01-11 04,3890,215,2440,1231,0,4,0
2014-01-11 05,3473,181,2184,1105,0,3,0
2014-01-11 06,3774,207,2353,1212,0,2,0
2014-01-11 07,5867,362,3617,1888,0,0,0
2014-01-11 08,11101,678,6872,3551,0,0,0
2014-01-11 09,17906,1205,11147,5554,0,0,0
2014-01-11 10,22668,1467,14242,6959,0,0,0
2014-01-11 11,23884,1373,15101,7410,0,0,0
2014-01-11 12,21409,1228,13501,6678,0,2,0
2014-01-11 13,18806,1152,11812,5842,0,0,0
2014-01-11 14,17097,1120,10653,5324,0,0,0
2014-01-11 20,18092,1086,11366,5640,0,0,0
2014-01-11 21,18534,1278,11596,5659,0,1,0
2014-01-11 23,12294,848,7627,3819,0,0,0
2014-01-12 00,2949,254,1802,892,0,1,0
2014-01-12 01,3809,256,2364,1189,0,0,0
2014-01-12 02,3069,178,1934,957,0,0,0
2014-01-12 03,2438,128,1531,779,0,0,0
2014-01-12 04,1990,101,1257,632,0,0,0
2014-01-12 05,1873,79,1183,611,0,0,0
2014-01-12 06,2027,111,1277,639,0,0,0
2014-01-12 07,2759,159,1699,901,0,0,0
2014-01-12 08,3762,252,2326,1184,0,0,0
2014-01-12 09,5098,402,3136,1560,0,0,0
2014-01-12 10,7798,498,4902,2397,0,1,0
2014-01-12 11,7402,455,4648,2299,0,0,0
2014-01-12 12,6897,459,4292,2146,0,0,0
2014-01-12 13,9502,646,5892,2964,0,0,0
2014-01-12 14,8967,622,5579,2766,0,0,0
2014-01-12 15,8897,624,5516,2757,0,0,0
2014-01-12 16,9441,605,5867,2969,0,0,0
2014-01-12 17,8418,620,5245,2553,0,0,0
2014-01-12 18,8310,618,5185,2507,0,0,0
2014-01-12 19,9514,646,5946,2922,0,0,0
2014-01-12 20,10574,616,6703,3255,0,0,0
2014-01-12 21,11747,759,7404,3584,0,0,0
2014-01-12 22,10686,763,6690,3233,0,0,0
2014-01-12 23,7594,540,4744,2310,0,0,0
2014-01-13 00,4731,363,2920,1448,0,0,0
2014-01-13 01,3917,306,2423,1188,0,0,0
2014-01-13 02,3224,207,2012,1005,0,0,0
2014-01-13 03,1985,156,1228,601,0,0,0
2014-01-13 04,1896,123,1185,588,0,0,0
2014-01-13 05,1895,105,1185,605,0,0,0
2014-01-13 06,2175,140,1358,677,0,0,0
2014-01-13 07,3155,226,1934,995,0,0,0
2014-01-13 08,7216,555,4401,2259,0,1,0
2014-01-13 09,9604,688,5882,3029,0,5,0
2014-01-13 10,12085,875,7420,3785,0,5,0
2014-01-13 11,11750,822,7300,3628,0,0,0
2014-01-13 12,9489,701,5829,2957,0,2,0
2014-01-13 13,8470,661,5194,2611,0,4,0
2014-01-13 14,8864,710,5402,2749,0,3,0
2014-01-13 15,9164,838,5496,2828,0,2,0
2014-01-13 16,18457,1622,11087,5747,0,1,0
2014-01-13 17,18330,1403,11226,5698,0,3,0
2014-01-13 18,16896,1220,10395,5281,0,0,0
2014-01-13 19,15243,1069,9401,4773,0,0,0
2014-01-13 20,18564,1259,11461,5844,0,0,0
2014-01-13 21,18458,1304,11373,5780,0,1,0
2014-01-13 22,18462,1334,11409,5719,0,0,0
2014-01-13 23,11548,791,7115,3641,0,1,0
2014-01-14 00,9507,602,5931,2974,0,0,0
2014-01-14 01,8730,523,5501,2706,0,0,0
2014-01-14 02,7052,405,4445,2202,0,0,0
2014-01-14 03,5739,287,3643,1808,0,1,0
2014-01-14 04,4720,199,3009,1511,0,1,0
2014-01-14 05,4165,170,2660,1333,0,2,0
2014-01-14 06,3916,260,2416,1237,0,3,0
2014-01-14 07,5888,379,3572,1934,0,3,0
2014-01-14 08,13355,1068,8071,4210,0,6,0
2014-01-14 09,18087,1505,10984,5576,0,22,0
2014-01-14 10,25140,1841,15563,7727,0,9,0
2014-01-14 11,25965,1625,16268,8068,0,4,0
2014-01-14 12,22033,1512,13768,6750,0,3,0
2014-01-14 13,16042,1305,9806,4928,0,3,0
2014-01-14 14,17791,1646,10760,5384,0,1,0
2014-01-14 15,18547,1618,11243,5686,0,0,0
2014-01-14 16,18534,1645,11165,5720,0,4,0
2014-01-14 17,17596,1272,10774,5550,0,0,0
2014-01-14 18,16381,1253,10013,5113,0,2,0
2014-01-14 19,16562,1273,10140,5147,0,2,0
2014-01-14 20,18667,1358,11504,5805,0,0,0
2014-01-14 21,20067,1652,12345,6070,0,0,0
2014-01-14 22,18982,1380,11722,5880,0,0,0
2014-01-14 23,13992,1030,8606,4355,0,1,0
2014-01-15 00,10411,790,6500,3121,0,0,0
2014-01-15 01,6546,451,4157,1938,0,0,0
2014-01-15 02,4937,277,3163,1496,0,1,0
2014-01-15 03,4041,190,2600,1249,0,2,0
2014-01-15 04,3349,187,2143,1019,0,0,0
2014-01-15 05,3329,158,2134,1037,0,0,0
2014-01-15 06,3714,239,2330,1145,0,0,0
2014-01-15 07,5399,364,3330,1704,0,1,0
2014-01-15 08,12212,952,7480,3779,0,1,0
2014-01-15 09,17855,1454,10920,5463,0,18,0
2014-01-15 10,20807,1682,12766,6353,0,6,0
2014-01-15 11,19508,1434,11951,6117,0,6,0
2014-01-15 12,19560,1514,12040,6005,0,1,0
2014-01-15 13,17686,1460,10781,5441,0,4,0
2014-01-15 14,17220,1488,10450,5278,0,4,0
2014-01-15 15,15281,1570,9161,4548,0,2,0
2014-01-15 16,12087,1245,7292,3550,0,0,0
2014-01-15 17,12038,1070,7373,3593,0,2,0
2014-01-15 18,10745,856,6588,3301,0,0,0
2014-01-15 20,10790,937,6583,3270,0,0,0
2014-01-15 21,17743,1418,11004,5321,0,0,0
2014-01-15 22,14553,1161,8975,4417,0,0,0
2014-01-15 23,12166,928,7523,3715,0,0,0
2014-01-16 00,9130,639,5696,2795,0,0,0
2014-01-16 01,6677,433,4163,2080,0,1,0
2014-01-16 02,4077,252,2520,1305,0,0,0
2014-01-16 03,3699,191,2288,1220,0,0,0
2014-01-16 04,3533,164,2236,1130,0,3,0
2014-01-16 05,3196,161,2009,1026,0,0,0
2014-01-16 06,3186,206,1952,1027,0,1,0
2014-01-16 07,5580,377,3410,1792,0,1,0
2014-01-16 08,11719,950,7064,3704,0,1,0
2014-01-16 09,15908,1442,9682,4765,0,19,0
2014-01-16 10,18695,1550,11433,5702,0,10,0
2014-01-16 11,18625,1449,11395,5778,0,3,0
2014-01-16 12,18393,1419,11318,5654,0,2,0
2014-01-16 13,17542,1420,10729,5386,0,7,0
2014-01-16 14,16992,1488,10232,5262,0,10,0
2014-01-16 15,17307,1470,10300,5534,0,3,0
2014-01-16 16,16220,1471,9638,5109,0,2,0
2014-01-16 17,12627,1204,7408,4011,0,4,0
2014-01-16 18,16943,1413,10020,5508,0,2,0
2014-01-16 19,16985,1463,10052,5470,0,0,0
2014-01-16 20,16406,1265,9770,5371,0,0,0
2014-01-16 21,16600,1339,9840,5421,0,0,0
2014-01-16 22,14957,1146,9022,4788,0,1,0
2014-01-16 23,13534,1015,8328,4190,0,1,0
2014-01-17 00,9247,731,5643,2871,0,2,0
2014-01-17 01,6399,439,3944,2015,0,1,0
2014-01-17 02,4759,322,2966,1471,0,0,0
2014-01-17 03,3441,228,2147,1065,0,1,0
2014-01-17 04,3075,172,1930,971,0,2,0
2014-01-17 05,3157,156,1982,1016,0,3,0
2014-01-17 06,3455,192,2154,1108,0,1,0
2014-01-17 07,5707,399,3431,1872,0,5,0
2014-01-17 08,12419,1114,7426,3871,0,8,0
2014-01-17 09,15849,1504,9597,4735,0,13,0
2014-01-17 10,18007,1599,10944,5449,0,15,0
2014-01-17 11,17447,1414,10748,5276,0,9,0
2014-01-17 12,17421,1505,10616,5297,0,3,0
2014-01-17 13,17604,1385,10730,5485,0,4,0
2014-01-17 14,15967,1318,9588,5057,0,4,0
2014-01-17 15,16505,1366,9911,5225,0,3,0
2014-01-17 16,16488,1422,9913,5152,0,1,0
2014-01-17 17,13079,946,8117,4014,0,2,0
2014-01-17 18,6529,572,3982,1974,0,1,0
2014-01-17 19,5247,490,3179,1578,0,0,0
2014-01-17 20,5268,524,3173,1569,0,2,0
2014-01-17 21,5041,571,2988,1480,0,2,0
2014-01-17 22,4979,522,2986,1471,0,0,0
2014-01-17 23,4856,430,2979,1447,0,0,0
2014-01-18 00,4250,327,2655,1268,0,0,0
2014-01-18 01,3116,257,1917,942,0,0,0
2014-01-18 02,3807,269,2345,1193,0,0,0
2014-01-18 03,2903,168,1814,918,0,3,0
2014-01-18 04,2619,161,1624,830,0,4,0
2014-01-18 05,2862,151,1794,917,0,0,0
2014-01-18 06,3046,171,1916,959,0,0,0
2014-01-18 07,3846,273,2361,1212,0,0,0
2014-01-18 08,7109,593,4304,2212,0,0,0
2014-01-18 09,9592,750,5977,2865,0,0,0
2014-01-18 10,9587,700,6095,2792,0,0,0
2014-01-18 11,10047,670,6328,3048,0,1,0
2014-01-18 12,10168,761,6322,3084,0,1,0
2014-01-18 13,13060,924,8175,3961,0,0,0
2014-01-18 14,13351,968,8288,4094,0,1,0
2014-01-18 15,12234,971,7530,3732,0,1,0
2014-01-18 16,12262,1040,7596,3626,0,0,0
2014-01-18 17,11441,976,7083,3382,0,0,0
2014-01-18 18,11678,903,7186,3587,0,2,0
2014-01-18 19,12087,875,7418,3794,0,0,0
2014-01-18 20,12621,961,7739,3921,0,0,0
2014-01-18 21,13027,920,8069,4038,0,0,0
2014-01-18 22,12415,973,7601,3839,0,2,0
2014-01-18 23,10593,776,6497,3320,0,0,0
2014-01-19 00,6425,465,3953,2007,0,0,0
2014-01-19 01,6153,442,3714,1997,0,0,0
2014-01-19 02,3318,182,2038,1098,0,0,0
2014-01-19 03,2337,144,1434,759,0,0,0
2014-01-19 04,1956,75,1200,679,0,2,0
2014-01-19 05,1713,97,1037,579,0,0,0
2014-01-19 06,1974,82,1218,674,0,0,0
2014-01-19 07,2689,165,1618,906,0,0,0
2014-01-19 08,3111,248,1880,983,0,0,0
2014-01-19 09,6034,555,3620,1859,0,0,0
2014-01-19 10,7085,568,4337,2180,0,0,0
2014-01-19 11,9896,702,6096,3098,0,0,0
2014-01-19 12,12718,903,7855,3960,0,0,0
2014-01-19 13,12442,973,7632,3837,0,0,0
2014-01-19 14,12643,989,7728,3926,0,0,0
2014-01-19 15,11793,933,7183,3675,0,2,0
2014-01-19 16,10332,953,6229,3150,0,0,0
2014-01-19 17,9859,685,6034,3140,0,0,0
2014-01-19 18,9500,685,5889,2925,0,1,0
2014-01-19 19,9496,700,5857,2938,0,1,0
2014-01-19 20,9911,736,6125,3050,0,0,0
2014-01-19 21,12540,912,7825,3800,0,3,0
2014-01-19 22,10114,838,6215,3059,0,2,0
2014-01-19 23,9126,720,5676,2730,0,0,0
2014-01-20 00,7532,557,4705,2270,0,0,0
2014-01-20 01,5227,378,3240,1608,0,1,0
2014-01-20 02,4278,273,2702,1303,0,0,0
2014-01-20 03,3270,184,2056,1030,0,0,0
2014-01-20 04,2759,172,1741,846,0,0,0
2014-01-20 05,2320,108,1450,761,0,1,0
2014-01-20 06,2477,162,1541,774,0,0,0
2014-01-20 07,4168,322,2508,1337,0,1,0
2014-01-20 08,8360,904,5009,2445,0,2,0
2014-01-20 09,11267,1077,6843,3335,0,12,0
2014-01-20 10,11736,1078,7024,3623,0,11,0
2014-01-20 11,11193,933,6802,3456,0,2,0
2014-01-20 12,11874,924,7252,3694,0,4,0
2014-01-20 13,11099,935,6706,3452,0,6,0
2014-01-20 14,11668,954,7068,3641,0,5,0
2014-01-20 15,12519,1074,7579,3865,0,1,0
2014-01-20 16,11796,1004,7130,3660,0,2,0
2014-01-20 17,9700,758,5866,3074,0,2,0
2014-01-20 18,9698,677,5927,3094,0,0,0
2014-01-20 19,9566,691,5825,3050,0,0,0
2014-01-20 20,8636,584,5280,2772,0,0,0
2014-01-20 21,6729,538,4068,2123,0,0,0
2014-01-20 22,6108,494,3715,1899,0,0,0
2014-01-20 23,5045,399,3063,1583,0,0,0
2014-01-21 00,3920,262,2411,1245,0,2,0
2014-01-21 01,2761,175,1695,891,0,0,0
2014-01-21 02,2910,255,1747,908,0,0,0
2014-01-21 03,1796,103,1109,584,0,0,0
2014-01-21 04,1284,70,797,417,0,0,0
2014-01-21 05,1210,78,754,377,0,1,0
2014-01-21 06,1504,67,934,503,0,0,0
2014-01-21 07,2639,152,1598,888,0,1,0
2014-01-21 08,4932,359,2960,1613,0,0,0
2014-01-21 09,6827,570,4161,2086,0,10,0
2014-01-21 10,7396,677,4471,2242,0,6,0
2014-01-21 11,7593,632,4627,2330,0,4,0
2014-01-21 12,11412,881,7004,3526,0,1,0
2014-01-21 13,12225,935,7513,3776,0,1,0
2014-01-21 14,4888,344,2986,1558,0,0,0
2014-01-21 15,7755,675,4661,2417,0,2,0
