date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,151474,65285,80005,6173,0,11,0
2014-01-07 18,145817,63349,76816,5649,0,3,0
2014-01-07 19,136572,58488,72317,5749,0,18,0
2014-01-07 20,144767,62160,76297,6297,0,13,0
2014-01-07 21,153218,65082,81230,6880,0,26,0
2014-01-07 22,156628,67433,82834,6340,0,21,0
2014-01-07 23,129566,56521,68078,4943,0,24,0
2014-01-08 00,70205,32017,35760,2410,0,18,0
2014-01-08 01,43159,19762,22006,1381,0,10,0
2014-01-08 02,35975,16830,17892,1243,0,10,0
2014-01-08 03,26840,12749,13078,1008,0,5,0
2014-01-08 04,24970,12066,11974,930,0,0,0
2014-01-08 05,24274,11962,11332,978,0,2,0
2014-01-08 06,28734,13871,13815,1047,0,1,0
2014-01-08 07,41936,19223,20998,1714,0,1,0
2014-01-08 08,83634,37136,43121,3377,0,0,0
2014-01-08 09,128844,55992,67491,5361,0,0,0
2014-01-08 10,152739,67059,79367,6307,0,6,0
2014-01-08 11,161537,70370,84789,6363,0,15,0
2014-01-08 12,179680,80532,93540,5604,0,4,0
2014-01-08 13,146814,65510,76500,4794,0,10,0
2014-01-08 14,129310,52710,71153,5444,0,3,0
2014-01-08 15,121531,49336,66595,5590,0,10,0
2014-01-08 16,115561,46948,63653,4898,0,62,0
2014-01-08 17,111295,45304,61791,4176,0,24,0
2014-01-08 18,112435,45967,62244,4215,0,9,0
2014-01-08 19,119782,48430,66742,4603,0,6,1
2014-01-08 20,129793,52112,72547,5133,0,1,0
2014-01-08 21,147147,58746,82679,5718,0,4,0
2014-01-08 22,140613,56945,78380,5285,0,3,0
2014-01-08 23,99068,39851,55552,3662,0,3,0
2014-01-09 00,51272,20405,28732,2134,0,1,0
2014-01-09 01,41612,15772,24075,1763,0,2,0
2014-01-09 02,29874,11135,17359,1377,0,3,0
2014-01-09 03,23975,8594,14031,1347,0,3,0
2014-01-09 04,21248,7479,12566,1201,0,2,0
2014-01-09 05,21850,7423,13082,1344,0,1,0
2014-01-09 06,24037,8972,13682,1380,0,3,0
2014-01-09 07,39738,16036,21982,1718,0,2,0
2014-01-09 08,75251,31622,40712,2915,0,2,0
2014-01-09 09,115614,47947,63389,4275,0,3,0
2014-01-09 10,122933,50441,67906,4577,0,9,0
2014-01-09 11,121868,50393,67271,4200,0,4,0
2014-01-09 12,124753,51575,68801,4375,0,2,0
2014-01-09 13,118215,48437,65309,4464,0,5,0
2014-01-09 14,111524,45873,61087,4559,0,5,0
2014-01-09 15,109014,44634,59720,4657,0,3,0
2014-01-09 16,102576,42224,55854,4497,0,1,0
2014-01-09 17,95459,40303,51319,3834,0,3,0
2014-01-09 18,94300,39948,50916,3436,0,0,0
2014-01-09 19,95310,39686,52045,3579,0,0,0
2014-01-09 20,108655,44904,59690,4061,0,0,0
2014-01-09 21,111865,46490,61303,4071,0,1,0
2014-01-09 22,113051,46613,62334,4104,0,0,0
2014-01-09 23,81766,33850,45079,2836,0,1,0
2014-01-10 00,48360,19510,27103,1746,0,1,0
2014-01-10 01,36785,13768,21469,1546,0,2,0
2014-01-10 02,28032,10407,16394,1229,0,2,0
2014-01-10 03,24044,8428,14383,1233,0,0,0
2014-01-10 04,21519,7408,13027,1083,0,1,0
2014-01-10 05,19473,6836,11533,1104,0,0,0
2014-01-10 06,23112,8412,13470,1230,0,0,0
2014-01-10 07,34395,13470,19459,1466,0,0,0
2014-01-10 08,61768,25725,33629,2412,0,1,1
2014-01-10 09,91538,38077,49773,3684,0,4,0
2014-01-10 10,111533,45871,61230,4422,0,10,0
