date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,33,11,22,0,0,0,0
2014-01-07 18,36,12,24,0,0,0,0
2014-01-07 19,105,35,70,0,0,0,0
2014-01-07 20,18,6,12,0,0,0,0
2014-01-07 21,72,24,48,0,0,0,0
2014-01-07 22,111,37,74,0,0,0,0
2014-01-07 23,21,7,14,0,0,0,0
2014-01-08 00,66,22,44,0,0,0,0
2014-01-08 07,15,5,10,0,0,0,0
2014-01-08 08,12,4,8,0,0,0,0
2014-01-08 09,15,5,10,0,0,0,0
2014-01-08 10,12,4,8,0,0,0,0
2014-01-08 11,18,6,12,0,0,0,0
2014-01-08 12,3,1,2,0,0,0,0
2014-01-08 13,12,4,8,0,0,0,0
2014-01-08 14,18,6,12,0,0,0,0
2014-01-08 15,18,6,12,0,0,0,0
2014-01-08 16,93,31,62,0,0,0,0
2014-01-08 17,21,7,14,0,0,0,0
2014-01-08 18,45,15,30,0,0,0,0
2014-01-08 19,12,4,8,0,0,0,0
2014-01-08 20,24,8,16,0,0,0,0
2014-01-08 21,90,30,60,0,0,0,0
2014-01-08 22,30,10,20,0,0,0,0
2014-01-08 23,30,10,20,0,0,0,0
2014-01-09 00,12,4,8,0,0,0,0
2014-01-09 01,6,2,4,0,0,0,0
2014-01-09 08,9,3,6,0,0,0,0
2014-01-09 09,102,34,68,0,0,0,0
2014-01-09 10,39,13,26,0,0,0,0
2014-01-09 11,60,20,40,0,0,0,0
2014-01-09 12,18,6,12,0,0,0,0
2014-01-09 13,33,11,22,0,0,0,0
2014-01-09 14,24,8,16,0,0,0,0
2014-01-09 15,21,7,14,0,0,0,0
2014-01-09 16,24,8,16,0,0,0,0
2014-01-09 17,123,41,82,0,0,0,0
2014-01-09 18,132,44,88,0,0,0,0
2014-01-09 19,108,36,72,0,0,0,0
2014-01-09 20,69,23,46,0,0,0,0
2014-01-09 21,87,29,58,0,0,0,0
2014-01-09 22,15,5,10,0,0,0,0
2014-01-09 23,84,28,56,0,0,0,0
2014-01-10 00,3,1,2,0,0,0,0
2014-01-10 01,3,1,2,0,0,0,0
2014-01-10 05,3,1,2,0,0,0,0
2014-01-10 07,3,1,2,0,0,0,0
2014-01-10 08,14,6,8,0,0,0,0
2014-01-10 09,12,4,8,0,0,0,0
2014-01-10 10,18,6,12,0,0,0,0
2014-01-10 11,9,3,6,0,0,0,0
2014-01-10 12,210,70,140,0,0,0,0
2014-01-10 13,45,15,30,0,0,0,0
2014-01-10 14,27,9,18,0,0,0,0
2014-01-10 15,78,26,52,0,0,0,0
2014-01-10 16,114,38,76,0,0,0,0
2014-01-10 17,108,36,72,0,0,0,0
2014-01-10 18,15,5,10,0,0,0,0
2014-01-10 19,48,16,32,0,0,0,0
2014-01-10 20,21,7,14,0,0,0,0
2014-01-10 21,18,6,12,0,0,0,0
2014-01-10 22,9,3,6,0,0,0,0
2014-01-10 23,12,4,8,0,0,0,0
2014-01-11 00,18,6,12,0,0,0,0
2014-01-11 06,3,1,2,0,0,0,0
2014-01-11 09,15,5,10,0,0,0,0
2014-01-11 10,15,5,10,0,0,0,0
2014-01-11 11,69,23,46,0,0,0,0
2014-01-11 12,18,6,12,0,0,0,0
2014-01-11 13,21,7,14,0,0,0,0
2014-01-11 14,9,3,6,0,0,0,0
2014-01-11 20,15,5,10,0,0,0,0
2014-01-11 21,90,30,60,0,0,0,0
2014-01-11 23,27,9,18,0,0,0,0
2014-01-13 16,63,21,42,0,0,0,0
2014-01-13 17,18,6,12,0,0,0,0
2014-01-13 18,45,15,30,0,0,0,0
2014-01-13 19,87,29,58,0,0,0,0
2014-01-13 20,120,40,80,0,0,0,0
2014-01-13 21,69,23,46,0,0,0,0
2014-01-13 22,66,22,44,0,0,0,0
2014-01-13 23,81,27,54,0,0,0,0
2014-01-14 00,12,4,8,0,0,0,0
2014-01-14 01,3,1,2,0,0,0,0
2014-01-14 02,3,1,2,0,0,0,0
2014-01-14 08,3,1,2,0,0,0,0
2014-01-14 09,21,7,14,0,0,0,0
2014-01-14 10,18,6,12,0,0,0,0
2014-01-14 11,129,43,86,0,0,0,0
2014-01-14 12,45,15,30,0,0,0,0
2014-01-14 13,21,7,14,0,0,0,0
2014-01-14 14,3625,1207,2418,0,0,0,0
2014-01-14 15,54,18,36,0,0,0,0
2014-01-14 16,117,39,78,0,0,0,0
2014-01-14 17,27,9,18,0,0,0,0
2014-01-14 18,78,26,52,0,0,0,0
2014-01-14 19,93,31,62,0,0,0,0
2014-01-14 20,30,10,20,0,0,0,0
2014-01-14 21,36,12,24,0,0,0,0
2014-01-14 22,54,18,36,0,0,0,0
2014-01-14 23,18,6,12,0,0,0,0
2014-01-15 00,24,8,16,0,0,0,0
2014-01-15 01,6,2,4,0,0,0,0
2014-01-15 02,6,2,4,0,0,0,0
2014-01-15 03,33,11,22,0,0,0,0
2014-01-15 08,6,2,4,0,0,0,0
2014-01-15 09,30,10,20,0,0,0,0
2014-01-15 10,27,9,18,0,0,0,0
2014-01-15 11,24,8,16,0,0,0,0
2014-01-15 12,18,6,12,0,0,0,0
2014-01-15 13,54,18,36,0,0,0,0
2014-01-15 14,21,7,14,0,0,0,0
2014-01-15 15,24,8,16,0,0,0,0
2014-01-15 16,18,6,12,0,0,0,0
2014-01-15 17,27,9,18,0,0,0,0
2014-01-15 18,6,2,4,0,0,0,0
2014-01-15 20,198,66,132,0,0,0,0
2014-01-15 21,84,28,56,0,0,0,0
2014-01-15 22,102,34,68,0,0,0,0
2014-01-15 23,42,14,28,0,0,0,0
2014-01-16 00,39,13,26,0,0,0,0
2014-01-16 01,24,8,16,0,0,0,0
2014-01-16 02,33,11,22,0,0,0,0
2014-01-16 03,36,12,24,0,0,0,0
2014-01-16 04,30,10,20,0,0,0,0
2014-01-16 05,33,11,22,0,0,0,0
2014-01-16 06,36,12,24,0,0,0,0
2014-01-16 07,36,12,24,0,0,0,0
2014-01-16 08,36,12,24,0,0,0,0
2014-01-16 09,36,12,24,0,0,0,0
2014-01-16 10,27,9,18,0,0,0,0
2014-01-16 11,84,28,56,0,0,0,0
2014-01-16 12,114,38,76,0,0,0,0
2014-01-16 13,15,5,10,0,0,0,0
2014-01-16 14,111,37,74,0,0,0,0
2014-01-16 15,84,28,56,0,0,0,0
2014-01-16 16,12,4,8,0,0,0,0
2014-01-16 17,15,5,10,0,0,0,0
2014-01-16 18,3,1,2,0,0,0,0
2014-01-16 19,18,6,12,0,0,0,0
2014-01-16 20,27,9,18,0,0,0,0
2014-01-16 21,12,4,8,0,0,0,0
2014-01-16 22,6,2,4,0,0,0,0
2014-01-16 23,27,9,18,0,0,0,0
2014-01-17 00,18,6,12,0,0,0,0
2014-01-17 01,3,1,2,0,0,0,0
2014-01-17 07,779,257,522,0,0,0,0
2014-01-17 09,18,6,12,0,0,0,0
2014-01-17 10,6,2,4,0,0,0,0
2014-01-17 11,18,6,12,0,0,0,0
2014-01-17 12,7,3,4,0,0,0,0
2014-01-17 13,117,39,78,0,0,0,0
2014-01-17 14,108,36,72,0,0,0,0
2014-01-17 15,6,2,4,0,0,0,0
2014-01-17 17,3,1,2,0,0,0,0
2014-01-17 18,6,2,4,0,0,0,0
2014-01-17 19,6,2,4,0,0,0,0
2014-01-17 20,21,7,14,0,0,0,0
2014-01-17 21,6,2,4,0,0,0,0
2014-01-18 00,3,1,2,0,0,0,0
2014-01-18 02,3,1,2,0,0,0,0
2014-01-18 08,3,1,2,0,0,0,0
2014-01-18 09,9,3,6,0,0,0,0
2014-01-18 10,15,5,10,0,0,0,0
2014-01-18 11,165,55,110,0,0,0,0
2014-01-18 12,6,2,4,0,0,0,0
2014-01-18 13,12,4,8,0,0,0,0
2014-01-18 14,14,6,8,0,0,0,0
2014-01-18 15,9,3,6,0,0,0,0
2014-01-18 16,12,4,8,0,0,0,0
2014-01-18 17,6,2,4,0,0,0,0
2014-01-18 18,18,6,12,0,0,0,0
2014-01-18 19,9,3,6,0,0,0,0
2014-01-18 20,99,33,66,0,0,0,0
2014-01-18 21,33,11,22,0,0,0,0
2014-01-18 22,15,5,10,0,0,0,0
2014-01-18 23,18,6,12,0,0,0,0
2014-01-19 00,3,1,2,0,0,0,0
2014-01-19 01,15,5,10,0,0,0,0
2014-01-19 03,9,3,6,0,0,0,0
2014-01-19 06,3,1,2,0,0,0,0
2014-01-19 09,6,2,4,0,0,0,0
2014-01-19 11,9,3,6,0,0,0,0
2014-01-19 12,21,7,14,0,0,0,0
2014-01-19 13,9,3,6,0,0,0,0
2014-01-19 14,6,2,4,0,0,0,0
2014-01-19 15,12,4,8,0,0,0,0
2014-01-19 16,42,14,28,0,0,0,0
2014-01-19 17,27,9,18,0,0,0,0
2014-01-19 18,12,4,8,0,0,0,0
2014-01-19 19,57,19,38,0,0,0,0
2014-01-19 20,72,24,48,0,0,0,0
2014-01-19 21,42,14,28,0,0,0,0
2014-01-19 22,3,1,2,0,0,0,0
2014-01-19 23,111,37,74,0,0,0,0
