date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,10769,2151,7180,1438,0,0,0
2014-01-07 18,9770,1979,6514,1277,0,0,0
2014-01-07 19,11196,2239,7464,1493,0,0,0
2014-01-07 20,11790,2415,7860,1515,0,0,0
2014-01-07 21,13173,2751,8782,1640,0,0,0
2014-01-07 22,10596,2144,7064,1388,0,0,0
2014-01-07 23,10154,2128,6770,1256,0,0,0
2014-01-08 00,3480,699,2320,461,0,0,0
2014-01-08 01,1433,283,956,194,0,0,0
2014-01-08 02,1062,237,708,117,0,0,0
2014-01-08 03,675,166,450,59,0,0,0
2014-01-08 04,674,189,450,35,0,0,0
2014-01-08 05,506,127,338,41,0,0,0
2014-01-08 06,404,95,270,39,0,0,0
2014-01-08 07,837,182,558,97,0,0,0
2014-01-08 08,3776,727,2518,531,0,0,0
2014-01-08 09,9619,1942,6414,1263,0,0,0
2014-01-08 10,11361,2272,7574,1515,0,0,0
2014-01-08 11,10394,1989,6930,1475,0,0,0
2014-01-08 12,9489,1830,6326,1333,0,0,0
2014-01-08 13,8830,1698,5888,1244,0,0,0
2014-01-08 14,12930,2769,8620,1541,0,0,0
2014-01-08 15,12533,2643,8356,1534,0,0,0
2014-01-08 16,11784,2516,7856,1412,0,0,0
2014-01-08 17,7802,1474,5202,1126,0,0,0
2014-01-08 18,7746,1502,5164,1080,0,0,0
2014-01-08 19,9330,1831,6220,1279,0,0,0
2014-01-08 20,10857,2111,7238,1508,0,0,0
2014-01-08 21,13081,2621,8722,1738,0,0,0
2014-01-08 22,11408,2329,7606,1473,0,0,0
2014-01-08 23,6915,1380,4610,925,0,0,0
2014-01-09 00,2645,455,1764,426,0,0,0
2014-01-09 01,1611,318,1074,219,0,0,0
2014-01-09 02,1310,291,874,145,0,0,0
2014-01-09 03,1079,243,720,116,0,0,0
2014-01-09 04,693,168,462,63,0,0,0
2014-01-09 05,716,179,478,59,0,0,0
2014-01-09 06,507,115,338,54,0,0,0
2014-01-09 07,1132,226,756,150,0,0,0
2014-01-09 08,4608,885,3072,651,0,0,0
2014-01-09 09,7717,1490,5146,1081,0,0,0
2014-01-09 10,8277,1634,5520,1123,0,0,0
2014-01-09 11,7164,1388,4776,1000,0,0,0
2014-01-09 12,8236,1641,5492,1103,0,0,0
2014-01-09 13,8339,1646,5560,1133,0,0,0
2014-01-09 14,9281,1857,6188,1236,0,0,0
2014-01-09 15,10937,2233,7292,1412,0,0,0
2014-01-09 16,10184,2068,6790,1326,0,0,0
2014-01-09 17,7307,1447,4872,988,0,0,0
2014-01-09 18,6122,1159,4082,881,0,0,0
2014-01-09 19,7556,1491,5038,1027,0,0,0
2014-01-09 20,8637,1692,5758,1187,0,0,0
2014-01-09 21,7977,1554,5318,1105,0,0,0
2014-01-09 22,7173,1323,4782,1068,0,0,0
2014-01-09 23,5904,1158,3936,810,0,0,0
2014-01-10 00,2766,542,1844,380,0,0,0
2014-01-10 01,1961,357,1308,296,0,0,0
2014-01-10 02,810,166,542,102,0,0,0
2014-01-10 03,500,114,334,52,0,0,0
2014-01-10 04,374,89,250,35,0,0,0
2014-01-10 05,440,111,294,35,0,0,0
2014-01-10 06,687,149,458,80,0,0,0
2014-01-10 07,750,138,500,112,0,0,0
2014-01-10 08,3659,773,2440,446,0,0,0
2014-01-10 09,6249,1208,4166,875,0,0,0
2014-01-10 10,8508,1708,5672,1128,0,0,0
2014-01-10 11,6180,1218,4120,842,0,0,0
2014-01-10 12,5175,956,3450,769,0,0,0
2014-01-10 13,6729,1279,4486,964,0,0,0
2014-01-10 14,8423,1659,5616,1148,0,0,0
