date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,233,102,0,131,0,0,0
2014-01-07 18,226,164,0,62,0,0,0
2014-01-07 19,257,156,0,101,0,0,0
2014-01-07 20,263,170,0,93,0,0,0
2014-01-07 21,279,180,0,99,0,0,0
2014-01-07 22,256,156,0,100,0,0,0
2014-01-07 23,221,161,0,60,0,0,0
2014-01-08 00,214,151,0,63,0,0,0
2014-01-08 01,158,120,0,38,0,0,0
2014-01-08 02,181,154,0,27,0,0,0
2014-01-08 03,185,163,0,22,0,0,0
2014-01-08 04,225,197,0,28,0,0,0
2014-01-08 05,179,154,0,25,0,0,0
2014-01-08 06,173,154,0,19,0,0,0
2014-01-08 07,199,148,0,51,0,0,0
2014-01-08 08,273,183,0,90,0,0,0
2014-01-08 09,321,200,0,121,0,0,0
2014-01-08 10,261,140,0,121,0,0,0
2014-01-08 11,342,210,0,132,0,0,0
2014-01-08 12,244,137,0,107,0,0,0
2014-01-08 13,276,165,0,111,0,0,0
2014-01-08 14,218,77,0,141,0,0,0
2014-01-08 15,196,71,0,125,0,0,0
2014-01-08 16,178,52,0,126,0,0,0
2014-01-08 17,138,46,0,92,0,0,0
2014-01-08 18,125,40,2,83,0,0,0
2014-01-08 19,128,45,0,83,0,0,0
2014-01-08 20,161,73,0,88,0,0,0
2014-01-08 21,148,75,2,71,0,0,0
2014-01-08 22,152,63,0,89,0,0,0
2014-01-08 23,148,72,0,76,0,0,0
2014-01-09 00,138,82,0,56,0,0,0
2014-01-09 01,107,74,0,33,0,0,0
2014-01-09 02,97,66,0,31,0,0,0
2014-01-09 03,99,67,0,32,0,0,0
2014-01-09 04,91,52,0,39,0,0,0
2014-01-09 05,85,59,0,26,0,0,0
2014-01-09 06,84,51,0,33,0,0,0
2014-01-09 07,123,66,0,57,0,0,0
2014-01-09 08,183,78,0,105,0,0,0
2014-01-09 09,180,59,0,121,0,0,0
2014-01-09 10,165,47,0,118,0,0,0
2014-01-09 11,167,45,0,122,0,0,0
2014-01-09 12,150,52,0,98,0,0,0
2014-01-09 13,170,59,0,111,0,0,0
2014-01-09 14,162,40,0,122,0,0,0
2014-01-09 15,179,43,0,136,0,0,0
2014-01-09 16,202,52,0,150,0,0,0
2014-01-09 17,169,45,0,124,0,0,0
2014-01-09 18,162,43,0,119,0,0,0
2014-01-09 19,99,42,0,57,0,0,0
2014-01-09 20,112,63,0,49,0,0,0
2014-01-09 21,107,60,0,47,0,0,0
2014-01-09 22,167,69,0,98,0,0,0
2014-01-09 23,97,41,0,56,0,0,0
2014-01-10 00,91,45,0,46,0,0,0
2014-01-10 01,97,49,0,48,0,0,0
2014-01-10 02,83,36,0,47,0,0,0
2014-01-10 03,75,40,0,35,0,0,0
2014-01-10 04,81,46,0,35,0,0,0
2014-01-10 05,96,48,0,48,0,0,0
2014-01-10 06,66,40,0,26,0,0,0
2014-01-10 07,104,47,0,57,0,0,0
2014-01-10 08,169,68,0,101,0,0,0
2014-01-10 09,156,48,0,108,0,0,0
2014-01-10 10,175,46,0,129,0,0,0
2014-01-10 11,153,38,0,115,0,0,0
2014-01-10 12,147,45,0,102,0,0,0
2014-01-10 13,155,44,0,111,0,0,0
2014-01-10 14,156,49,0,107,0,0,0
2014-01-10 15,194,69,0,125,0,0,0
2014-01-10 16,182,58,0,124,0,0,0
2014-01-10 17,152,61,0,91,0,0,0
2014-01-10 18,155,56,0,99,0,0,0
2014-01-10 19,179,61,0,118,0,0,0
2014-01-10 20,137,37,0,100,0,0,0
2014-01-10 21,99,49,0,50,0,0,0
2014-01-10 22,81,39,0,42,0,0,0
2014-01-10 23,82,43,0,39,0,0,0
2014-01-11 00,91,46,0,45,0,0,0
2014-01-11 01,90,47,0,43,0,0,0
2014-01-11 02,148,38,0,110,0,0,0
2014-01-11 03,95,53,0,42,0,0,0
2014-01-11 04,94,50,0,44,0,0,0
