date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,41,26,3,12,0,0,0
2014-01-07 18,31,30,0,1,0,0,0
2014-01-07 19,36,31,0,5,0,0,0
2014-01-07 20,54,52,0,2,0,0,0
2014-01-07 21,55,47,0,8,0,0,0
2014-01-07 22,11,10,0,1,0,0,0
2014-01-07 23,14,10,0,4,0,0,0
2014-01-08 00,25,24,0,1,0,0,0
2014-01-08 01,17,16,0,1,0,0,0
2014-01-08 02,19,19,0,0,0,0,0
2014-01-08 03,21,21,0,0,0,0,0
2014-01-08 04,24,24,0,0,0,0,0
2014-01-08 05,17,16,0,1,0,0,0
2014-01-08 06,4,3,0,1,0,0,0
2014-01-08 07,13,10,0,3,0,0,0
2014-01-08 08,35,21,3,11,0,0,0
2014-01-08 09,81,39,8,34,0,0,0
2014-01-08 10,65,52,0,13,0,0,0
2014-01-08 11,53,48,0,5,0,0,0
2014-01-08 12,53,40,4,9,0,0,0
2014-01-08 13,28,18,0,10,0,0,0
2014-01-08 14,22,17,0,5,0,0,0
2014-01-08 15,41,24,7,10,0,0,0
2014-01-08 16,49,36,0,13,0,0,0
2014-01-08 17,36,29,0,7,0,0,0
2014-01-08 18,43,38,0,5,0,0,0
2014-01-08 19,44,40,0,4,0,0,0
2014-01-08 20,73,70,0,3,0,0,0
2014-01-08 21,53,35,10,8,0,0,0
2014-01-08 22,43,38,0,5,0,0,0
2014-01-08 23,33,30,0,3,0,0,0
2014-01-09 00,38,36,0,2,0,0,0
2014-01-09 01,25,23,0,2,0,0,0
2014-01-09 02,17,16,0,1,0,0,0
2014-01-09 03,11,9,0,2,0,0,0
2014-01-09 04,14,12,0,2,0,0,0
2014-01-09 05,8,6,0,2,0,0,0
2014-01-09 06,8,6,0,2,0,0,0
2014-01-09 07,15,12,0,3,0,0,0
2014-01-09 08,45,29,0,16,0,0,0
2014-01-09 09,52,43,0,9,0,0,0
2014-01-09 10,98,63,4,31,0,0,0
2014-01-09 11,58,52,0,6,0,0,0
2014-01-09 12,32,25,0,7,0,0,0
2014-01-09 13,38,33,0,5,0,0,0
2014-01-09 14,43,28,0,15,0,0,0
2014-01-09 15,29,22,0,7,0,0,0
2014-01-09 16,46,35,0,11,0,0,0
2014-01-09 17,20,14,0,6,0,0,0
2014-01-09 18,64,54,6,4,0,0,0
2014-01-09 19,40,37,0,3,0,0,0
2014-01-09 20,48,42,3,3,0,0,0
2014-01-09 21,61,51,3,7,0,0,0
2014-01-09 22,61,55,0,6,0,0,0
2014-01-09 23,43,41,0,2,0,0,0
2014-01-10 00,37,37,0,0,0,0,0
2014-01-10 01,65,61,0,4,0,0,0
2014-01-10 02,51,50,0,1,0,0,0
2014-01-10 03,65,62,0,3,0,0,0
2014-01-10 04,59,56,0,3,0,0,0
2014-01-10 05,59,58,0,1,0,0,0
2014-01-10 06,53,50,0,3,0,0,0
2014-01-10 07,28,24,0,4,0,0,0
2014-01-10 08,32,21,0,11,0,0,0
2014-01-10 09,38,25,0,13,0,0,0
2014-01-10 10,29,18,0,11,0,0,0
2014-01-10 11,69,60,0,9,0,0,0
2014-01-10 12,88,69,0,19,0,0,0
2014-01-10 13,50,43,0,7,0,0,0
2014-01-10 14,38,22,0,16,0,0,0
2014-01-10 15,36,27,0,9,0,0,0
2014-01-10 16,59,48,0,11,0,0,0
2014-01-10 17,30,26,0,4,0,0,0
2014-01-10 18,49,40,6,3,0,0,0
2014-01-10 19,65,56,3,6,0,0,0
2014-01-10 20,61,58,0,3,0,0,0
2014-01-10 21,67,55,3,9,0,0,0
2014-01-10 22,67,66,0,1,0,0,0
2014-01-10 23,40,38,0,2,0,0,0
2014-01-11 00,51,51,0,0,0,0,0
2014-01-11 01,39,37,0,2,0,0,0
2014-01-11 02,9,9,0,0,0,0,0
2014-01-11 04,6,6,0,0,0,0,0
2014-01-11 05,11,10,0,1,0,0,0
2014-01-11 06,14,10,0,4,0,0,0
2014-01-11 07,9,8,0,1,0,0,0
2014-01-11 08,47,40,0,7,0,0,0
2014-01-11 09,56,48,0,8,0,0,0
2014-01-11 10,71,63,0,8,0,0,0
2014-01-11 11,63,55,0,8,0,0,0
2014-01-11 12,69,63,0,6,0,0,0
2014-01-11 13,54,52,0,2,0,0,0
2014-01-11 14,60,50,6,4,0,0,0
2014-01-11 20,57,52,0,5,0,0,0
2014-01-11 21,77,66,3,8,0,0,0
2014-01-11 23,47,42,0,5,0,0,0
2014-01-12 00,38,38,0,0,0,0,0
2014-01-12 01,32,32,0,0,0,0,0
2014-01-12 02,26,26,0,0,0,0,0
2014-01-12 03,34,34,0,0,0,0,0
2014-01-12 04,42,42,0,0,0,0,0
2014-01-12 05,30,30,0,0,0,0,0
2014-01-12 06,18,18,0,0,0,0,0
2014-01-12 07,30,30,0,0,0,0,0
2014-01-12 08,32,32,0,0,0,0,0
2014-01-12 09,30,30,0,0,0,0,0
2014-01-12 10,30,30,0,0,0,0,0
2014-01-12 11,34,34,0,0,0,0,0
2014-01-12 12,38,38,0,0,0,0,0
2014-01-12 13,42,42,0,0,0,0,0
2014-01-12 14,30,30,0,0,0,0,0
2014-01-12 15,16,16,0,0,0,0,0
2014-01-12 16,24,24,0,0,0,0,0
2014-01-12 17,20,20,0,0,0,0,0
2014-01-12 18,14,14,0,0,0,0,0
2014-01-12 19,40,40,0,0,0,0,0
2014-01-12 20,30,30,0,0,0,0,0
2014-01-12 21,32,32,0,0,0,0,0
2014-01-12 22,46,46,0,0,0,0,0
2014-01-12 23,40,40,0,0,0,0,0
2014-01-13 00,38,38,0,0,0,0,0
2014-01-13 01,24,24,0,0,0,0,0
2014-01-13 02,34,34,0,0,0,0,0
2014-01-13 03,22,22,0,0,0,0,0
2014-01-13 04,20,20,0,0,0,0,0
2014-01-13 05,30,30,0,0,0,0,0
2014-01-13 06,34,34,0,0,0,0,0
2014-01-13 07,20,20,0,0,0,0,0
2014-01-13 08,42,42,0,0,0,0,0
2014-01-13 09,40,40,0,0,0,0,0
2014-01-13 10,62,62,0,0,0,0,0
2014-01-13 11,50,50,0,0,0,0,0
2014-01-13 12,18,18,0,0,0,0,0
2014-01-13 13,12,12,0,0,0,0,0
2014-01-13 14,24,24,0,0,0,0,0
2014-01-13 15,24,24,0,0,0,0,0
2014-01-13 16,70,59,3,8,0,0,0
2014-01-13 17,108,95,0,13,0,0,0
2014-01-13 18,120,115,0,5,0,0,0
2014-01-13 19,75,74,0,1,0,0,0
2014-01-13 20,85,85,0,0,0,0,0
2014-01-13 21,62,62,0,0,0,0,0
2014-01-13 22,92,86,0,6,0,0,0
2014-01-13 23,51,48,0,3,0,0,0
2014-01-14 00,55,53,0,2,0,0,0
2014-01-14 01,103,87,4,12,0,0,0
2014-01-14 02,128,124,0,4,0,0,0
2014-01-14 03,62,59,0,3,0,0,0
2014-01-14 04,28,26,0,2,0,0,0
2014-01-14 05,34,32,0,2,0,0,0
2014-01-14 06,55,52,0,3,0,0,0
2014-01-14 07,77,70,4,3,0,0,0
2014-01-14 08,108,87,4,17,0,0,0
2014-01-14 09,90,84,0,6,0,0,0
2014-01-14 10,116,108,0,8,0,0,0
2014-01-14 11,125,121,0,4,0,0,0
2014-01-14 12,98,94,0,4,0,0,0
2014-01-14 13,99,85,0,14,0,0,0
2014-01-14 14,77,60,0,17,0,0,0
2014-01-14 15,42,28,0,14,0,0,0
2014-01-14 16,39,29,0,10,0,0,0
2014-01-14 17,52,46,3,3,0,0,0
2014-01-14 18,67,59,4,4,0,0,0
2014-01-14 19,96,93,0,3,0,0,0
2014-01-14 20,93,83,3,7,0,0,0
2014-01-14 21,106,103,0,3,0,0,0
2014-01-14 22,94,91,0,3,0,0,0
2014-01-14 23,112,110,0,2,0,0,0
2014-01-15 00,94,93,0,1,0,0,0
2014-01-15 01,86,85,0,1,0,0,0
2014-01-15 02,70,70,0,0,0,0,0
2014-01-15 03,62,60,0,2,0,0,0
2014-01-15 04,57,56,0,1,0,0,0
2014-01-15 05,50,48,0,2,0,0,0
2014-01-15 06,52,50,0,2,0,0,0
2014-01-15 07,49,45,0,4,0,0,0
2014-01-15 08,91,69,4,18,0,0,0
2014-01-15 09,86,76,0,10,0,0,0
2014-01-15 10,87,75,0,12,0,0,0
2014-01-15 11,103,98,0,5,0,0,0
2014-01-15 12,83,65,0,18,0,0,0
2014-01-15 13,99,93,0,6,0,0,0
2014-01-15 14,102,80,4,18,0,0,0
2014-01-15 15,85,82,0,3,0,0,0
2014-01-15 16,104,97,0,7,0,0,0
2014-01-15 17,66,64,0,2,0,0,0
2014-01-15 18,68,63,0,5,0,0,0
2014-01-15 20,87,86,0,1,0,0,0
2014-01-15 21,83,79,0,4,0,0,0
2014-01-15 22,41,38,0,3,0,0,0
2014-01-15 23,44,43,0,1,0,0,0
2014-01-16 00,30,28,0,2,0,0,0
2014-01-16 01,7,6,0,1,0,0,0
2014-01-16 02,3,2,0,1,0,0,0
2014-01-16 03,8,7,0,1,0,0,0
2014-01-16 04,3,0,0,3,0,0,0
2014-01-16 05,2,0,0,2,0,0,0
2014-01-16 06,3,2,0,1,0,0,0
2014-01-16 07,16,12,0,4,0,0,0
2014-01-16 08,40,31,0,9,0,0,0
2014-01-16 09,98,48,4,46,0,0,0
2014-01-16 10,46,42,0,4,0,0,0
2014-01-16 11,57,44,4,9,0,0,0
2014-01-16 12,67,61,0,6,0,0,0
2014-01-16 13,45,37,0,8,0,0,0
2014-01-16 14,53,45,0,8,0,0,0
2014-01-16 15,39,27,6,6,0,0,0
2014-01-16 16,42,35,0,7,0,0,0
2014-01-16 17,44,44,0,0,0,0,0
2014-01-16 18,33,32,0,1,0,0,0
2014-01-16 19,37,34,0,3,0,0,0
2014-01-16 20,60,55,0,5,0,0,0
2014-01-16 21,56,52,0,4,0,0,0
2014-01-16 22,50,41,0,9,0,0,0
2014-01-16 23,37,34,0,3,0,0,0
2014-01-17 00,34,29,0,5,0,0,0
2014-01-17 01,14,12,0,2,0,0,0
2014-01-17 02,16,14,0,2,0,0,0
2014-01-17 03,16,14,0,2,0,0,0
2014-01-17 04,24,22,0,2,0,0,0
2014-01-17 05,24,22,0,2,0,0,0
2014-01-17 06,17,16,0,1,0,0,0
2014-01-17 07,39,38,0,1,0,0,0
2014-01-17 08,87,44,12,31,0,0,0
2014-01-17 09,57,44,0,13,0,0,0
2014-01-17 10,105,51,4,50,0,0,0
2014-01-17 11,60,51,0,9,0,0,0
2014-01-17 12,88,62,4,22,0,0,0
2014-01-17 13,45,30,0,15,0,0,0
2014-01-17 14,24,18,0,6,0,0,0
2014-01-17 15,65,37,3,25,0,0,0
2014-01-17 16,30,19,0,11,0,0,0
2014-01-17 17,41,38,0,3,0,0,0
2014-01-17 18,56,54,0,2,0,0,0
2014-01-17 19,51,45,4,2,0,0,0
2014-01-17 20,67,64,3,0,0,0,0
2014-01-17 21,46,45,0,1,0,0,0
2014-01-17 22,33,32,0,1,0,0,0
2014-01-17 23,39,39,0,0,0,0,0
2014-01-18 00,33,29,0,4,0,0,0
2014-01-18 01,41,41,0,0,0,0,0
2014-01-18 02,28,24,0,4,0,0,0
2014-01-18 03,8,6,0,2,0,0,0
2014-01-18 04,4,2,0,2,0,0,0
2014-01-18 05,19,18,0,1,0,0,0
2014-01-18 06,2,0,0,2,0,0,0
2014-01-18 07,4,2,0,2,0,0,0
2014-01-18 08,54,51,0,3,0,0,0
2014-01-18 09,53,51,0,2,0,0,0
2014-01-18 10,35,34,0,1,0,0,0
2014-01-18 11,64,62,0,2,0,0,0
2014-01-18 12,61,60,0,1,0,0,0
2014-01-18 13,56,48,0,8,0,0,0
2014-01-18 14,37,35,0,2,0,0,0
2014-01-18 15,25,23,0,2,0,0,0
2014-01-18 16,54,52,0,2,0,0,0
2014-01-18 17,46,44,0,2,0,0,0
2014-01-18 18,40,38,0,2,0,0,0
2014-01-18 19,56,48,6,2,0,0,0
2014-01-18 20,71,62,3,6,0,0,0
2014-01-18 21,80,79,0,1,0,0,0
2014-01-18 22,68,64,0,4,0,0,0
2014-01-18 23,61,58,0,3,0,0,0
2014-01-19 00,44,44,0,0,0,0,0
2014-01-19 01,66,63,0,3,0,0,0
