date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,968,449,216,303,0,0,0
2014-01-07 18,856,406,188,262,0,0,0
2014-01-07 19,838,379,196,263,0,0,0
2014-01-07 20,1034,465,233,336,0,0,0
2014-01-07 21,993,450,226,317,0,0,0
2014-01-07 22,890,392,212,286,0,0,0
2014-01-07 23,771,354,167,250,0,0,0
2014-01-08 00,609,267,139,203,0,0,0
2014-01-08 01,414,189,97,128,0,0,0
2014-01-08 02,160,79,33,48,0,0,0
2014-01-08 03,137,68,30,39,0,0,0
2014-01-08 04,85,32,21,32,0,0,0
2014-01-08 05,61,22,20,19,0,0,0
2014-01-08 06,101,38,27,36,0,0,0
2014-01-08 07,267,105,80,82,0,0,0
2014-01-08 08,635,292,135,208,0,0,0
2014-01-08 09,817,343,210,264,0,0,0
2014-01-08 10,931,394,226,311,0,0,0
2014-01-08 11,845,367,197,281,0,0,0
2014-01-08 12,863,384,192,287,0,0,0
2014-01-08 13,821,350,205,266,0,0,0
2014-01-08 14,837,392,183,262,0,0,0
2014-01-08 15,1014,473,224,317,0,0,0
2014-01-08 16,957,457,201,299,0,0,0
2014-01-08 17,1182,537,265,380,0,0,0
2014-01-08 18,979,430,241,308,0,0,0
2014-01-08 19,878,403,200,275,0,0,0
2014-01-08 20,919,397,240,282,0,0,0
2014-01-08 21,809,366,182,261,0,0,0
2014-01-08 22,821,360,188,273,0,0,0
2014-01-08 23,728,327,164,237,0,0,0
2014-01-09 00,569,270,117,182,0,0,0
2014-01-09 01,449,210,95,144,0,0,0
2014-01-09 02,227,109,51,67,0,0,0
2014-01-09 03,146,58,42,46,0,0,0
2014-01-09 04,48,19,15,14,0,0,0
2014-01-09 05,61,24,15,22,0,0,0
2014-01-09 06,82,41,15,26,0,0,0
2014-01-09 07,171,66,54,51,0,0,0
2014-01-09 08,770,320,201,249,0,0,0
2014-01-09 09,959,433,215,311,0,0,0
2014-01-09 10,956,434,206,316,0,0,0
2014-01-09 11,1116,481,266,369,0,0,0
2014-01-09 12,835,366,203,266,0,0,0
2014-01-09 13,850,390,186,274,0,0,0
2014-01-09 14,1060,474,244,342,0,0,0
2014-01-09 15,974,414,246,314,0,0,0
2014-01-09 16,883,389,210,284,0,0,0
2014-01-09 17,995,455,222,318,0,0,0
2014-01-09 18,839,384,182,273,0,0,0
2014-01-09 19,902,423,198,281,0,0,0
2014-01-09 20,1139,521,248,370,0,0,0
2014-01-09 21,768,344,167,257,0,0,0
