date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,14220,13937,0,283,0,0,0
2014-01-07 18,13198,12947,0,251,0,0,0
2014-01-07 19,14638,14327,0,311,0,0,0
2014-01-07 20,15610,15268,0,342,0,0,0
2014-01-07 21,15983,15642,0,341,0,0,0
2014-01-07 22,13326,13063,0,263,0,0,0
2014-01-07 23,10143,9932,0,211,0,0,0
2014-01-08 00,4576,4491,0,85,0,0,0
2014-01-08 01,2778,2721,0,57,0,0,0
2014-01-08 02,1703,1675,0,28,0,0,0
2014-01-08 03,906,889,0,17,0,0,0
2014-01-08 04,708,696,0,12,0,0,0
2014-01-08 05,639,637,0,2,0,0,0
2014-01-08 06,740,730,0,10,0,0,0
2014-01-08 07,1729,1710,0,19,0,0,0
2014-01-08 08,6858,6753,0,105,0,0,0
2014-01-08 09,14451,14195,0,256,0,0,0
2014-01-08 10,17180,16818,0,362,0,0,0
2014-01-08 11,15915,15606,0,309,0,0,0
2014-01-08 12,13095,12862,0,233,0,0,0
2014-01-08 13,13585,13345,0,240,0,0,0
2014-01-08 14,15351,15039,0,312,0,0,0
2014-01-08 15,15623,15273,0,350,0,0,0
2014-01-08 16,15265,14943,0,322,0,0,0
2014-01-08 17,12136,11909,0,227,0,0,0
2014-01-08 18,10768,10559,0,209,0,0,0
2014-01-08 19,13261,12982,0,279,0,0,0
2014-01-08 20,15497,15166,0,331,0,0,0
2014-01-08 21,15998,15649,0,349,0,0,0
2014-01-08 22,13668,13415,0,253,0,0,0
2014-01-08 23,9176,9031,0,145,0,0,0
2014-01-09 00,4345,4276,0,69,0,0,0
2014-01-09 01,3137,3097,0,40,0,0,0
2014-01-09 02,2039,2011,0,28,0,0,0
2014-01-09 03,1394,1367,0,27,0,0,0
2014-01-09 04,869,858,0,11,0,0,0
2014-01-09 05,794,786,0,8,0,0,0
2014-01-09 06,691,683,0,8,0,0,0
2014-01-09 07,1835,1825,0,10,0,0,0
2014-01-09 08,7012,6919,0,93,0,0,0
2014-01-09 09,14755,14463,0,292,0,0,0
2014-01-09 10,14304,14026,0,278,0,0,0
2014-01-09 11,11882,11657,0,225,0,0,0
2014-01-09 12,10435,10277,0,158,0,0,0
2014-01-09 13,11858,11659,0,199,0,0,0
2014-01-09 14,13745,13466,0,279,0,0,0
2014-01-09 15,15522,15191,0,331,0,0,0
2014-01-09 16,13961,13639,0,322,0,0,0
2014-01-09 17,10225,10037,0,188,0,0,0
2014-01-09 18,9194,9039,0,155,0,0,0
2014-01-09 19,11102,10877,0,225,0,0,0
2014-01-09 20,12592,12339,0,253,0,0,0
2014-01-09 21,12903,12609,0,294,0,0,0
2014-01-09 22,10246,10029,0,217,0,0,0
2014-01-09 23,7403,7255,0,148,0,0,0
2014-01-10 00,3736,3665,0,71,0,0,0
2014-01-10 01,2929,2878,0,51,0,0,0
2014-01-10 02,1948,1921,0,27,0,0,0
2014-01-10 03,1238,1227,0,11,0,0,0
2014-01-10 04,849,835,0,14,0,0,0
2014-01-10 05,700,693,0,7,0,0,0
2014-01-10 06,843,836,0,7,0,0,0
2014-01-10 07,1701,1687,0,14,0,0,0
2014-01-10 08,5659,5588,0,71,0,0,0
2014-01-10 09,11607,11379,0,228,0,0,0
2014-01-10 10,14462,14153,0,309,0,0,0
2014-01-10 11,11005,10797,0,208,0,0,0
2014-01-10 12,9692,9534,0,158,0,0,0
2014-01-10 13,8681,8465,0,216,0,0,0
2014-01-10 14,12079,11816,0,263,0,0,0
2014-01-10 15,12355,12104,0,250,0,1,0
2014-01-10 16,12391,12122,0,269,0,0,0
2014-01-10 17,10690,10510,0,180,0,0,0
2014-01-10 18,9632,9466,0,166,0,0,0
2014-01-10 19,11695,11440,0,255,0,0,0
2014-01-10 20,13804,13503,0,301,0,0,0
2014-01-10 21,10667,10422,0,245,0,0,0
2014-01-10 22,8183,8020,0,163,0,0,0
2014-01-10 23,6332,6220,0,112,0,0,0
2014-01-11 00,3567,3496,0,71,0,0,0
2014-01-11 01,2542,2505,0,36,0,1,0
2014-01-11 02,1780,1753,0,27,0,0,0
2014-01-11 03,1171,1163,0,8,0,0,0
2014-01-11 04,804,793,0,11,0,0,0
2014-01-11 05,542,534,0,8,0,0,0
2014-01-11 06,646,642,0,4,0,0,0
2014-01-11 07,1242,1229,0,13,0,0,0
2014-01-11 08,4037,3993,0,44,0,0,0
2014-01-11 09,8739,8562,0,177,0,0,0
2014-01-11 10,11328,11127,0,201,0,0,0
2014-01-11 11,10511,10327,0,184,0,0,0
2014-01-11 12,7411,7295,0,116,0,0,0
2014-01-11 13,7968,7786,0,182,0,0,0
2014-01-11 14,8801,8616,0,185,0,0,0
2014-01-11 20,9303,9112,0,190,0,1,0
2014-01-11 21,8462,8299,0,163,0,0,0
2014-01-11 23,4524,4438,0,86,0,0,0
2014-01-12 00,1240,1222,0,18,0,0,0
2014-01-12 01,1122,1099,0,23,0,0,0
2014-01-12 02,996,981,0,15,0,0,0
2014-01-12 03,622,614,0,8,0,0,0
2014-01-12 04,477,463,0,14,0,0,0
2014-01-12 05,334,331,0,3,0,0,0
2014-01-12 06,422,416,0,6,0,0,0
2014-01-12 07,538,527,0,11,0,0,0
2014-01-12 08,1303,1285,0,18,0,0,0
2014-01-12 09,2502,2454,0,48,0,0,0
2014-01-12 10,4034,3956,0,78,0,0,0
2014-01-12 11,3523,3450,0,73,0,0,0
2014-01-12 12,2779,2730,0,49,0,0,0
2014-01-12 13,3648,3589,0,59,0,0,0
2014-01-12 14,4478,4378,0,100,0,0,0
2014-01-12 15,5102,5007,0,95,0,0,0
