date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,605,389,214,2,0,0,0
2014-01-07 18,620,411,208,1,0,0,0
2014-01-07 19,800,535,264,1,0,0,0
2014-01-07 20,724,483,240,1,0,0,0
2014-01-07 21,1207,800,406,1,0,0,0
2014-01-07 22,938,632,306,0,0,0,0
2014-01-07 23,672,444,226,2,0,0,0
2014-01-08 00,981,650,330,1,0,0,0
2014-01-08 01,595,385,210,0,0,0,0
2014-01-08 02,70,48,22,0,0,0,0
2014-01-08 03,77,53,24,0,0,0,0
2014-01-08 04,37,25,12,0,0,0,0
2014-01-08 05,14,10,4,0,0,0,0
2014-01-08 06,19,13,6,0,0,0,0
2014-01-08 07,144,98,46,0,0,0,0
2014-01-08 08,123,85,38,0,0,0,0
2014-01-08 09,508,346,162,0,0,0,0
2014-01-08 10,565,377,188,0,0,0,0
2014-01-08 11,529,357,172,0,0,0,0
2014-01-08 12,704,464,238,2,0,0,0
2014-01-08 13,1037,654,382,1,0,0,0
2014-01-08 14,403,185,216,2,0,0,0
2014-01-08 15,345,164,180,1,0,0,0
2014-01-08 16,609,274,334,1,0,0,0
2014-01-08 17,991,473,516,2,0,0,0
2014-01-08 18,417,190,226,1,0,0,0
2014-01-08 19,455,212,242,1,0,0,0
2014-01-08 20,575,258,316,1,0,0,0
2014-01-08 21,1916,933,982,1,0,0,0
2014-01-08 22,701,313,388,0,0,0,0
2014-01-08 23,786,346,438,2,0,0,0
2014-01-09 00,432,189,240,3,0,0,0
2014-01-09 01,190,82,108,0,0,0,0
2014-01-09 02,338,154,184,0,0,0,0
2014-01-09 03,221,103,118,0,0,0,0
2014-01-09 04,52,24,28,0,0,0,0
2014-01-09 05,41,15,26,0,0,0,0
2014-01-09 06,49,19,30,0,0,0,0
2014-01-09 07,59,29,30,0,0,0,0
2014-01-09 08,147,67,80,0,0,0,0
2014-01-09 09,270,126,144,0,0,0,0
2014-01-09 10,372,173,198,1,0,0,0
2014-01-09 11,402,179,220,3,0,0,0
2014-01-09 12,453,212,240,1,0,0,0
2014-01-09 13,467,213,252,2,0,0,0
2014-01-09 14,466,208,256,2,0,0,0
2014-01-09 15,550,252,298,0,0,0,0
2014-01-09 16,461,209,252,0,0,0,0
2014-01-09 17,463,208,254,1,0,0,0
2014-01-09 18,570,264,306,0,0,0,0
2014-01-09 19,550,249,300,1,0,0,0
2014-01-09 20,442,205,236,1,0,0,0
2014-01-09 21,520,230,290,0,0,0,0
2014-01-09 22,508,234,274,0,0,0,0
2014-01-09 23,497,231,264,2,0,0,0
2014-01-10 00,481,218,262,1,0,0,0
2014-01-10 01,457,207,250,0,0,0,0
2014-01-10 02,167,78,88,1,0,0,0
2014-01-10 03,32,12,20,0,0,0,0
2014-01-10 04,43,19,24,0,0,0,0
2014-01-10 06,33,19,14,0,0,0,0
2014-01-10 07,23,13,10,0,0,0,0
2014-01-10 08,96,48,48,0,0,0,0
2014-01-10 09,197,93,104,0,0,0,0
2014-01-10 10,362,162,200,0,0,0,0
2014-01-10 11,478,216,262,0,0,0,0
2014-01-10 12,391,177,212,2,0,0,0
2014-01-10 13,376,172,204,0,0,0,0
2014-01-10 14,337,154,182,1,0,0,0
2014-01-10 15,318,148,170,0,0,0,0
2014-01-10 16,486,218,268,0,0,0,0
2014-01-10 17,584,263,320,1,0,0,0
2014-01-10 18,388,175,213,0,0,0,0
2014-01-10 19,478,207,270,1,0,0,0
2014-01-10 20,515,234,280,1,0,0,0
2014-01-10 21,430,202,228,0,0,0,0
2014-01-10 22,447,209,238,0,0,0,0
2014-01-10 23,528,245,282,1,0,0,0
2014-01-11 00,529,244,284,1,0,0,0
2014-01-11 01,473,233,240,0,0,0,0
2014-01-11 02,166,80,86,0,0,0,0
2014-01-11 03,90,43,46,1,0,0,0
2014-01-11 04,33,19,14,0,0,0,0
2014-01-11 05,98,46,52,0,0,0,0
