date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,233,54,35,144,0,0,0
2014-01-07 18,193,31,22,140,0,0,0
2014-01-07 19,198,37,23,138,0,0,0
2014-01-07 20,140,10,8,122,0,0,0
2014-01-07 21,256,69,47,140,0,0,0
2014-01-07 22,132,6,2,124,0,0,0
2014-01-07 23,263,80,53,130,0,0,0
2014-01-08 00,125,11,6,108,0,0,0
2014-01-08 01,105,22,15,68,0,0,0
2014-01-08 02,64,13,8,43,0,0,0
2014-01-08 03,43,7,3,33,0,0,0
2014-01-08 04,29,7,3,19,0,0,0
2014-01-08 05,12,3,0,9,0,0,0
2014-01-08 06,34,8,4,22,0,0,0
2014-01-08 07,67,8,4,55,0,0,0
2014-01-08 08,157,18,13,126,0,0,0
2014-01-08 09,151,6,2,143,0,0,0
2014-01-08 10,260,66,48,146,0,0,0
2014-01-08 11,255,69,45,141,0,0,0
2014-01-08 12,139,3,0,136,0,0,0
2014-01-08 13,186,37,24,125,0,0,0
2014-01-08 14,262,25,78,159,0,0,0
2014-01-08 15,158,4,13,141,0,0,0
2014-01-08 16,184,12,30,142,0,0,0
2014-01-08 17,188,12,36,140,0,0,0
2014-01-08 18,226,22,50,154,0,0,0
2014-01-08 19,163,6,22,135,0,0,0
2014-01-08 20,159,5,18,136,0,0,0
2014-01-08 21,135,1,6,128,0,0,0
2014-01-08 22,228,26,75,127,0,0,0
2014-01-08 23,158,8,28,122,0,0,0
2014-01-09 00,111,2,8,101,0,0,0
2014-01-09 01,77,2,8,67,0,0,0
2014-01-09 02,53,0,0,53,0,0,0
2014-01-09 03,41,0,0,41,0,0,0
2014-01-09 04,19,2,7,10,0,0,0
2014-01-09 05,14,0,0,14,0,0,0
2014-01-09 06,37,1,4,32,0,0,0
2014-01-09 07,50,1,3,46,0,0,0
2014-01-09 08,147,5,19,123,0,0,0
2014-01-09 09,164,6,16,142,0,0,0
2014-01-09 10,266,34,89,143,0,0,0
2014-01-09 11,159,7,12,140,0,0,0
2014-01-09 12,164,10,27,127,0,0,0
2014-01-09 13,182,12,38,132,0,0,0
2014-01-09 14,187,11,36,140,0,0,0
2014-01-09 15,138,1,4,133,0,0,0
2014-01-09 16,150,3,8,139,0,0,0
2014-01-09 17,153,4,16,133,0,0,0
2014-01-09 18,170,12,36,122,0,0,0
2014-01-09 19,68,2,2,64,0,0,0
2014-01-09 20,108,11,20,77,0,0,0
2014-01-09 21,82,5,17,60,0,0,0
2014-01-09 22,137,6,20,111,0,0,0
2014-01-09 23,160,16,30,114,0,0,0
2014-01-10 00,119,7,26,86,0,0,0
2014-01-10 01,71,2,6,63,0,0,0
2014-01-10 02,49,0,0,49,0,0,0
2014-01-10 03,33,1,4,28,0,0,0
2014-01-10 04,20,2,6,12,0,0,0
2014-01-10 05,10,0,0,10,0,0,0
2014-01-10 06,23,0,0,23,0,0,0
2014-01-10 07,68,4,10,54,0,0,0
2014-01-10 08,105,0,0,105,0,0,0
2014-01-10 09,140,5,16,119,0,0,0
2014-01-10 10,147,6,14,127,0,0,0
2014-01-10 11,159,9,24,126,0,0,0
2014-01-10 12,195,15,40,140,0,0,0
2014-01-10 13,147,5,17,125,0,0,0
2014-01-10 14,150,8,20,122,0,0,0
2014-01-10 15,171,10,30,131,0,0,0
2014-01-10 16,220,23,49,148,0,0,0
2014-01-10 17,169,11,24,134,0,0,0
2014-01-10 18,134,4,4,126,0,0,0
2014-01-10 19,199,19,48,132,0,0,0
2014-01-10 20,155,4,14,137,0,0,0
2014-01-10 21,121,18,42,61,0,0,0
2014-01-10 22,73,3,9,61,0,0,0
2014-01-10 23,105,11,21,73,0,0,0
2014-01-11 00,59,1,3,55,0,0,0
2014-01-11 01,61,1,4,56,0,0,0
2014-01-11 02,133,1,3,129,0,0,0
2014-01-11 03,45,2,7,36,0,0,0
2014-01-11 04,17,0,0,17,0,0,0
2014-01-11 05,26,4,15,7,0,0,0
2014-01-11 06,14,0,0,14,0,0,0
2014-01-11 07,45,0,4,41,0,0,0
2014-01-11 08,148,9,25,114,0,0,0
2014-01-11 09,125,5,8,112,0,0,0
2014-01-11 10,234,23,60,151,0,0,0
2014-01-11 11,165,8,22,135,0,0,0
2014-01-11 12,149,6,19,124,0,0,0
2014-01-11 13,212,23,57,132,0,0,0
2014-01-11 14,145,5,9,131,0,0,0
2014-01-11 20,83,6,18,59,0,0,0
2014-01-11 21,102,11,25,66,0,0,0
2014-01-11 23,66,2,6,58,0,0,0
2014-01-12 00,48,0,0,48,0,0,0
2014-01-12 01,44,0,0,44,0,0,0
2014-01-12 02,32,0,0,32,0,0,0
2014-01-12 03,12,0,0,12,0,0,0
2014-01-12 04,16,0,0,16,0,0,0
2014-01-12 05,8,0,0,8,0,0,0
2014-01-12 06,9,0,0,9,0,0,0
2014-01-12 07,19,0,0,19,0,0,0
2014-01-12 08,32,0,0,32,0,0,0
2014-01-12 09,51,0,0,51,0,0,0
2014-01-12 10,61,0,0,61,0,0,0
2014-01-12 11,62,0,0,62,0,0,0
2014-01-12 12,53,0,0,53,0,0,0
2014-01-12 13,57,0,0,57,0,0,0
2014-01-12 14,63,0,0,63,0,0,0
2014-01-12 15,55,0,0,55,0,0,0
2014-01-12 16,61,0,0,61,0,0,0
2014-01-12 17,64,3,8,53,0,0,0
2014-01-12 18,66,0,0,66,0,0,0
2014-01-12 19,60,0,0,60,0,0,0
2014-01-12 20,59,0,0,59,0,0,0
2014-01-12 21,62,1,4,57,0,0,0
2014-01-12 22,62,0,0,62,0,0,0
2014-01-12 23,62,0,0,62,0,0,0
2014-01-13 00,42,0,0,42,0,0,0
2014-01-13 01,31,0,0,31,0,0,0
2014-01-13 02,18,0,0,18,0,0,0
2014-01-13 03,25,0,0,25,0,0,0
2014-01-13 04,6,0,0,6,0,0,0
2014-01-13 05,10,0,0,10,0,0,0
2014-01-13 06,5,0,0,5,0,0,0
2014-01-13 07,39,0,0,39,0,0,0
2014-01-13 08,54,0,0,54,0,0,0
2014-01-13 09,64,0,0,64,0,0,0
2014-01-13 10,60,0,0,60,0,0,0
2014-01-13 11,62,0,0,62,0,0,0
2014-01-13 12,62,0,0,62,0,0,0
2014-01-13 13,65,0,0,65,0,0,0
2014-01-13 14,62,0,0,62,0,0,0
2014-01-13 15,88,0,0,88,0,0,0
2014-01-13 16,118,1,2,115,0,0,0
2014-01-13 17,118,3,4,111,0,0,0
2014-01-13 18,163,21,41,101,0,0,0
2014-01-13 19,99,2,2,95,0,0,0
2014-01-13 20,128,3,5,120,0,0,0
2014-01-13 21,180,14,41,125,0,0,0
2014-01-13 22,145,3,11,131,0,0,0
2014-01-13 23,89,1,4,84,0,0,0
2014-01-14 00,68,0,0,68,0,0,0
2014-01-14 01,89,4,12,73,0,0,0
2014-01-14 02,39,1,4,34,0,0,0
2014-01-14 03,12,0,0,12,0,0,0
2014-01-14 04,10,0,0,10,0,0,0
2014-01-14 05,19,3,10,6,0,0,0
2014-01-14 06,7,0,0,7,0,0,0
2014-01-14 07,25,0,0,25,0,0,0
2014-01-14 08,106,5,10,91,0,0,0
2014-01-14 09,126,8,19,99,0,0,0
2014-01-14 10,211,24,65,122,0,0,0
2014-01-14 11,135,7,16,112,0,0,0
2014-01-14 12,172,16,33,123,0,0,0
2014-01-14 13,99,0,0,99,0,0,0
2014-01-14 14,144,5,15,124,0,0,0
2014-01-14 15,149,6,17,126,0,0,0
2014-01-14 16,149,0,0,149,0,0,0
2014-01-14 17,121,1,2,118,0,0,0
2014-01-14 18,119,6,6,107,0,0,0
2014-01-14 19,136,2,7,127,0,0,0
2014-01-14 20,148,6,14,128,0,0,0
2014-01-14 21,132,4,4,124,0,0,0
2014-01-14 22,141,12,26,103,0,0,0
2014-01-14 23,236,30,87,119,0,0,0
2014-01-15 00,85,1,2,82,0,0,0
2014-01-15 01,55,0,0,55,0,0,0
2014-01-15 02,35,1,4,30,0,0,0
2014-01-15 03,30,1,3,26,0,0,0
2014-01-15 04,23,2,7,14,0,0,0
2014-01-15 05,14,0,0,14,0,0,0
2014-01-15 06,29,0,0,29,0,0,0
2014-01-15 07,23,0,0,23,0,0,0
2014-01-15 08,119,5,11,103,0,0,0
2014-01-15 09,136,4,8,124,0,0,0
2014-01-15 10,227,22,55,150,0,0,0
2014-01-15 11,136,4,8,124,0,0,0
