date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,12359,5335,4928,2096,0,0,0
2014-01-07 18,13021,6154,4914,1953,0,0,0
2014-01-07 19,11574,5823,4206,1545,0,0,0
2014-01-07 20,10785,5390,3904,1491,0,0,0
2014-01-07 21,10400,5133,3810,1457,0,0,0
2014-01-07 22,11718,5028,4752,1936,0,2,0
2014-01-07 23,14103,5950,5724,2429,0,0,0
2014-01-08 00,11514,4560,4654,2299,0,1,0
2014-01-08 01,7494,2619,3100,1775,0,0,0
2014-01-08 02,6357,2090,2694,1573,0,0,0
2014-01-08 03,4268,962,1982,1324,0,0,0
2014-01-08 04,3703,670,1806,1227,0,0,0
2014-01-08 05,3337,487,1612,1238,0,0,0
2014-01-08 06,3605,613,1712,1280,0,0,0
2014-01-08 07,5476,1504,2392,1579,0,1,0
2014-01-08 08,9889,3762,4106,2021,0,0,0
2014-01-08 09,14265,5849,5906,2510,0,0,0
2014-01-08 10,13816,5560,5640,2616,0,0,0
2014-01-08 11,14768,6833,5450,2485,0,0,0
2014-01-08 12,14567,6360,5554,2653,0,0,0
2014-01-08 13,14069,5616,5728,2725,0,0,0
2014-01-08 14,11262,3836,5248,2178,0,0,0
2014-01-08 15,10043,3512,4712,1819,0,0,0
2014-01-08 16,9204,3078,4402,1724,0,0,0
2014-01-08 17,11103,3065,5410,2628,0,0,0
2014-01-08 18,10017,3333,4592,2092,0,0,0
2014-01-08 19,9937,3665,4504,1765,0,3,0
2014-01-08 20,8765,3172,3954,1639,0,0,0
2014-01-08 21,9005,3044,4156,1804,0,1,0
2014-01-08 22,10685,3260,5116,2309,0,0,0
2014-01-08 23,11362,3102,5554,2706,0,0,0
2014-01-09 00,8710,2439,4090,2181,0,0,0
2014-01-09 01,7133,1822,3392,1919,0,0,0
2014-01-09 02,5230,1147,2430,1653,0,0,0
2014-01-09 03,4401,792,2130,1478,0,1,0
2014-01-09 04,3696,466,1862,1368,0,0,0
2014-01-09 05,3395,424,1686,1285,0,0,0
2014-01-09 06,3833,617,1782,1433,0,1,0
2014-01-09 07,5643,1051,2834,1757,0,1,0
2014-01-09 08,8799,2088,4402,2308,0,1,0
2014-01-09 09,10784,2944,5294,2546,0,0,0
2014-01-09 10,12252,3619,6036,2597,0,0,0
2014-01-09 11,11349,3243,5556,2550,0,0,0
