date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,295,210,55,30,0,0,0
2014-01-07 18,252,192,33,27,0,0,0
2014-01-07 19,227,160,49,18,0,0,0
2014-01-07 20,281,209,47,25,0,0,0
2014-01-07 21,279,200,57,22,0,0,0
2014-01-07 22,234,164,50,20,0,0,0
2014-01-07 23,172,123,34,15,0,0,0
2014-01-08 00,102,89,8,5,0,0,0
2014-01-08 01,80,52,21,7,0,0,0
2014-01-08 02,53,34,14,5,0,0,0
2014-01-08 03,17,12,3,2,0,0,0
2014-01-08 04,22,18,3,1,0,0,0
2014-01-08 05,24,15,6,3,0,0,0
2014-01-08 06,13,13,0,0,0,0,0
2014-01-08 07,43,36,5,2,0,0,0
2014-01-08 08,215,158,34,23,0,0,0
2014-01-08 09,259,197,42,20,0,0,0
2014-01-08 10,425,328,65,32,0,0,0
2014-01-08 11,319,229,58,32,0,0,0
2014-01-08 12,473,428,31,14,0,0,0
2014-01-08 13,577,482,67,28,0,0,0
2014-01-08 14,519,447,55,17,0,0,0
2014-01-08 15,335,221,65,49,0,0,0
2014-01-08 16,341,234,69,38,0,0,0
2014-01-08 17,246,180,42,24,0,0,0
2014-01-08 18,228,175,32,21,0,0,0
2014-01-08 19,232,162,46,24,0,0,0
2014-01-08 20,214,161,40,13,0,0,0
2014-01-08 21,249,186,47,16,0,0,0
2014-01-08 22,178,140,31,7,0,0,0
2014-01-08 23,153,130,18,5,0,0,0
2014-01-09 00,118,87,21,10,0,0,0
2014-01-09 01,86,63,15,8,0,0,0
2014-01-09 02,54,46,5,3,0,0,0
2014-01-09 03,41,33,5,3,0,0,0
2014-01-09 04,32,21,6,5,0,0,0
2014-01-09 05,17,17,0,0,0,0,0
2014-01-09 06,23,13,8,2,0,0,0
2014-01-09 07,57,43,10,4,0,0,0
2014-01-09 08,187,133,40,14,0,0,0
2014-01-09 09,264,205,41,18,0,0,0
2014-01-09 10,317,234,49,34,0,0,0
2014-01-09 11,643,549,59,35,0,0,0
2014-01-09 12,333,288,28,17,0,0,0
2014-01-09 13,280,193,64,23,0,0,0
2014-01-09 14,258,186,49,23,0,0,0
2014-01-09 15,304,235,44,25,0,0,0
2014-01-09 16,264,202,41,21,0,0,0
2014-01-09 17,239,172,46,21,0,0,0
2014-01-09 18,321,270,33,18,0,0,0
2014-01-09 19,179,129,34,16,0,0,0
2014-01-09 20,219,133,58,28,0,0,0
2014-01-09 21,162,119,28,15,0,0,0
2014-01-09 22,174,113,38,23,0,0,0
2014-01-09 23,149,108,26,15,0,0,0
2014-01-10 00,100,65,24,11,0,0,0
2014-01-10 01,58,44,12,2,0,0,0
2014-01-10 02,34,28,5,1,0,0,0
2014-01-10 03,30,18,9,3,0,0,0
2014-01-10 04,16,16,0,0,0,0,0
2014-01-10 05,8,8,0,0,0,0,0
2014-01-10 06,13,11,2,0,0,0,0
2014-01-10 07,64,38,23,3,0,0,0
2014-01-10 08,174,119,36,19,0,0,0
2014-01-10 09,175,137,26,12,0,0,0
2014-01-10 10,365,300,47,18,0,0,0
2014-01-10 11,453,382,44,27,0,0,0
2014-01-10 12,362,291,56,15,0,0,0
2014-01-10 13,297,234,43,20,0,0,0
2014-01-10 14,315,224,66,25,0,0,0
2014-01-10 15,307,230,47,30,0,0,0
2014-01-10 16,342,253,58,31,0,0,0
2014-01-10 17,204,164,28,12,0,0,0
2014-01-10 18,214,157,39,18,0,0,0
2014-01-10 19,227,159,42,26,0,0,0
2014-01-10 20,252,198,39,15,0,0,0
2014-01-10 21,153,119,22,12,0,0,0
2014-01-10 22,148,109,26,13,0,0,0
2014-01-10 23,135,96,28,11,0,0,0
2014-01-11 00,145,92,37,16,0,0,0
2014-01-11 01,53,46,4,3,0,0,0
2014-01-11 02,37,28,6,3,0,0,0
2014-01-11 03,37,29,7,1,0,0,0
2014-01-11 04,18,16,2,0,0,0,0
2014-01-11 05,27,21,5,1,0,0,0
2014-01-11 06,19,19,0,0,0,0,0
2014-01-11 07,35,27,6,2,0,0,0
2014-01-11 08,259,228,21,10,0,0,0
2014-01-11 09,297,249,31,17,0,0,0
2014-01-11 10,295,243,37,15,0,0,0
2014-01-11 11,441,383,32,26,0,0,0
2014-01-11 12,198,157,27,14,0,0,0
2014-01-11 13,285,224,43,18,0,0,0
2014-01-11 14,212,158,38,16,0,0,0
2014-01-11 20,194,133,31,30,0,0,0
2014-01-11 21,199,132,42,25,0,0,0
2014-01-11 23,103,73,16,14,0,0,0
2014-01-12 00,9,9,0,0,0,0,0
2014-01-12 01,9,9,0,0,0,0,0
2014-01-12 02,9,7,2,0,0,0,0
2014-01-12 03,4,4,0,0,0,0,0
2014-01-12 04,7,7,0,0,0,0,0
2014-01-12 05,5,5,0,0,0,0,0
2014-01-12 06,5,5,0,0,0,0,0
2014-01-12 07,13,11,2,0,0,0,0
2014-01-12 08,17,11,4,2,0,0,0
2014-01-12 09,17,15,2,0,0,0,0
2014-01-12 10,39,27,10,2,0,0,0
2014-01-12 11,18,15,2,1,0,0,0
2014-01-12 12,38,33,4,1,0,0,0
2014-01-12 13,105,90,13,2,0,0,0
2014-01-12 14,43,39,4,0,0,0,0
2014-01-12 15,45,39,4,2,0,0,0
2014-01-12 16,46,44,2,0,0,0,0
2014-01-12 17,32,29,2,1,0,0,0
2014-01-12 18,44,44,0,0,0,0,0
2014-01-12 19,147,133,12,2,0,0,0
2014-01-12 20,40,38,2,0,0,0,0
2014-01-12 21,34,29,4,1,0,0,0
2014-01-12 22,56,50,5,1,0,0,0
2014-01-12 23,28,26,2,0,0,0,0
2014-01-13 00,22,22,0,0,0,0,0
2014-01-13 01,9,9,0,0,0,0,0
2014-01-13 02,4,4,0,0,0,0,0
2014-01-13 03,7,5,2,0,0,0,0
2014-01-13 04,5,5,0,0,0,0,0
2014-01-13 05,3,3,0,0,0,0,0
2014-01-13 06,4,4,0,0,0,0,0
2014-01-13 07,22,19,2,1,0,0,0
2014-01-13 08,57,48,8,1,0,0,0
2014-01-13 09,49,34,14,1,0,0,0
2014-01-13 10,61,50,10,1,0,0,0
2014-01-13 11,47,33,14,0,0,0,0
2014-01-13 12,62,43,18,1,0,0,0
2014-01-13 13,49,39,10,0,0,0,0
2014-01-13 14,57,44,12,1,0,0,0
2014-01-13 15,60,50,10,0,0,0,0
2014-01-13 16,209,149,41,19,0,0,0
2014-01-13 17,240,168,41,31,0,0,0
2014-01-13 18,174,144,19,11,0,0,0
2014-01-13 19,151,114,23,14,0,0,0
2014-01-13 20,189,140,32,17,0,0,0
2014-01-13 21,160,131,19,10,0,0,0
2014-01-13 22,195,165,24,6,0,0,0
2014-01-13 23,114,78,23,13,0,0,0
2014-01-14 00,85,52,23,10,0,0,0
2014-01-14 01,50,36,9,5,0,0,0
2014-01-14 02,60,38,18,4,0,0,0
2014-01-14 03,31,21,8,2,0,0,0
2014-01-14 04,10,10,0,0,0,0,0
2014-01-14 05,17,13,3,1,0,0,0
2014-01-14 06,21,14,5,2,0,0,0
2014-01-14 07,22,18,3,1,0,0,0
2014-01-14 08,325,261,42,22,0,0,0
2014-01-14 09,437,328,71,38,0,0,0
2014-01-14 10,299,234,41,24,0,0,0
2014-01-14 11,643,553,59,31,0,0,0
2014-01-14 12,233,149,50,34,0,0,0
2014-01-14 13,340,261,52,27,0,0,0
