date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,129,43,86,0,0,0,0
2014-01-07 18,156,52,104,0,0,0,0
2014-01-07 19,183,61,122,0,0,0,0
2014-01-07 20,159,53,106,0,0,0,0
2014-01-07 21,183,61,122,0,0,0,0
2014-01-07 22,156,52,104,0,0,0,0
2014-01-07 23,123,41,82,0,0,0,0
2014-01-08 00,66,22,44,0,0,0,0
2014-01-08 01,27,9,18,0,0,0,0
2014-01-08 02,6,2,4,0,0,0,0
2014-01-08 03,21,7,14,0,0,0,0
2014-01-08 05,6,2,4,0,0,0,0
2014-01-08 07,33,11,22,0,0,0,0
2014-01-08 08,99,33,66,0,0,0,0
2014-01-08 09,114,38,76,0,0,0,0
2014-01-08 10,129,43,86,0,0,0,0
2014-01-08 11,171,57,114,0,0,0,0
2014-01-08 12,195,65,130,0,0,0,0
2014-01-08 13,204,68,136,0,0,0,0
2014-01-08 14,186,62,124,0,0,0,0
2014-01-08 15,159,53,106,0,0,0,0
2014-01-08 16,234,78,156,0,0,0,0
2014-01-08 17,141,47,94,0,0,0,0
2014-01-08 18,81,27,54,0,0,0,0
2014-01-08 19,129,43,86,0,0,0,0
2014-01-08 20,81,27,54,0,0,0,0
2014-01-08 21,114,38,76,0,0,0,0
2014-01-08 22,87,29,58,0,0,0,0
2014-01-08 23,66,22,44,0,0,0,0
2014-01-09 00,30,10,20,0,0,0,0
2014-01-09 01,15,5,10,0,0,0,0
2014-01-09 02,15,5,10,0,0,0,0
2014-01-09 03,9,3,6,0,0,0,0
2014-01-09 04,3,1,2,0,0,0,0
2014-01-09 05,9,3,6,0,0,0,0
2014-01-09 06,3,1,2,0,0,0,0
2014-01-09 07,24,8,16,0,0,0,0
2014-01-09 08,69,23,46,0,0,0,0
2014-01-09 09,132,44,88,0,0,0,0
2014-01-09 10,128,42,86,0,0,0,0
2014-01-09 11,78,26,52,0,0,0,0
2014-01-09 12,117,39,78,0,0,0,0
2014-01-09 13,114,38,76,0,0,0,0
2014-01-09 14,174,58,116,0,0,0,0
2014-01-09 15,150,50,100,0,0,0,0
2014-01-09 16,129,43,86,0,0,0,0
2014-01-09 17,83,27,56,0,0,0,0
2014-01-09 18,150,50,100,0,0,0,0
2014-01-09 19,96,32,64,0,0,0,0
2014-01-09 20,114,38,76,0,0,0,0
2014-01-09 21,123,41,82,0,0,0,0
2014-01-09 22,156,52,104,0,0,0,0
2014-01-09 23,57,19,38,0,0,0,0
2014-01-10 00,30,10,20,0,0,0,0
2014-01-10 01,18,6,12,0,0,0,0
2014-01-10 02,24,8,16,0,0,0,0
2014-01-10 03,3,1,2,0,0,0,0
2014-01-10 04,3,1,2,0,0,0,0
2014-01-10 05,3,1,2,0,0,0,0
2014-01-10 06,6,2,4,0,0,0,0
2014-01-10 07,18,6,12,0,0,0,0
2014-01-10 08,105,35,70,0,0,0,0
2014-01-10 09,159,53,106,0,0,0,0
2014-01-10 10,153,51,102,0,0,0,0
2014-01-10 11,141,47,94,0,0,0,0
2014-01-10 12,104,34,70,0,0,0,0
2014-01-10 13,171,57,114,0,0,0,0
2014-01-10 14,171,57,114,0,0,0,0
2014-01-10 15,138,46,92,0,0,0,0
2014-01-10 16,183,61,122,0,0,0,0
2014-01-10 17,150,50,100,0,0,0,0
2014-01-10 18,117,39,78,0,0,0,0
2014-01-10 19,153,51,102,0,0,0,0
2014-01-10 20,186,62,124,0,0,0,0
2014-01-10 21,150,50,100,0,0,0,0
2014-01-10 22,123,41,82,0,0,0,0
2014-01-10 23,72,24,48,0,0,0,0
2014-01-11 00,69,23,46,0,0,0,0
2014-01-11 01,15,5,10,0,0,0,0
2014-01-11 02,6,2,4,0,0,0,0
2014-01-11 03,6,2,4,0,0,0,0
2014-01-11 04,3,1,2,0,0,0,0
2014-01-11 05,3,1,2,0,0,0,0
2014-01-11 06,3,1,2,0,0,0,0
2014-01-11 07,24,8,16,0,0,0,0
2014-01-11 08,15,5,10,0,0,0,0
2014-01-11 09,132,44,88,0,0,0,0
2014-01-11 10,174,58,116,0,0,0,0
2014-01-11 11,117,39,78,0,0,0,0
2014-01-11 12,90,30,60,0,0,0,0
2014-01-11 13,90,30,60,0,0,0,0
2014-01-11 14,120,40,80,0,0,0,0
2014-01-11 20,66,22,44,0,0,0,0
2014-01-11 21,90,30,60,0,0,0,0
2014-01-11 23,66,22,44,0,0,0,0
2014-01-12 00,6,2,4,0,0,0,0
2014-01-12 01,3,1,2,0,0,0,0
2014-01-12 02,9,3,6,0,0,0,0
2014-01-12 03,6,2,4,0,0,0,0
2014-01-12 04,5,1,4,0,0,0,0
2014-01-12 05,15,5,10,0,0,0,0
2014-01-12 06,27,9,18,0,0,0,0
2014-01-12 07,3,1,2,0,0,0,0
2014-01-12 08,6,2,4,0,0,0,0
2014-01-12 09,39,13,26,0,0,0,0
2014-01-12 10,51,17,34,0,0,0,0
2014-01-12 11,12,4,8,0,0,0,0
2014-01-12 12,48,16,32,0,0,0,0
2014-01-12 13,39,13,26,0,0,0,0
2014-01-12 14,114,38,76,0,0,0,0
2014-01-12 15,54,18,36,0,0,0,0
2014-01-12 16,48,16,32,0,0,0,0
2014-01-12 17,24,8,16,0,0,0,0
2014-01-12 18,63,21,42,0,0,0,0
2014-01-12 19,39,13,26,0,0,0,0
2014-01-12 20,48,16,32,0,0,0,0
2014-01-12 21,36,12,24,0,0,0,0
2014-01-12 22,15,5,10,0,0,0,0
2014-01-12 23,24,8,16,0,0,0,0
2014-01-13 00,40,12,28,0,0,0,0
2014-01-13 01,9,3,6,0,0,0,0
2014-01-13 02,9,3,6,0,0,0,0
2014-01-13 03,21,7,14,0,0,0,0
2014-01-13 04,3,1,2,0,0,0,0
2014-01-13 07,18,6,12,0,0,0,0
2014-01-13 08,42,14,28,0,0,0,0
2014-01-13 09,81,27,54,0,0,0,0
2014-01-13 10,89,29,60,0,0,0,0
2014-01-13 11,48,16,32,0,0,0,0
2014-01-13 12,60,20,40,0,0,0,0
2014-01-13 13,48,16,32,0,0,0,0
2014-01-13 14,42,14,28,0,0,0,0
2014-01-13 15,72,24,48,0,0,0,0
2014-01-13 16,129,43,86,0,0,0,0
2014-01-13 17,129,43,86,0,0,0,0
2014-01-13 18,96,32,64,0,0,0,0
2014-01-13 19,143,47,96,0,0,0,0
2014-01-13 20,75,25,50,0,0,0,0
2014-01-13 21,90,30,60,0,0,0,0
2014-01-13 22,65,21,44,0,0,0,0
2014-01-13 23,78,26,52,0,0,0,0
2014-01-14 00,18,6,12,0,0,0,0
2014-01-14 01,21,7,14,0,0,0,0
2014-01-14 02,9,3,6,0,0,0,0
2014-01-14 03,12,4,8,0,0,0,0
2014-01-14 05,6,2,4,0,0,0,0
2014-01-14 06,3,1,2,0,0,0,0
2014-01-14 07,30,10,20,0,0,0,0
2014-01-14 08,105,35,70,0,0,0,0
2014-01-14 09,138,46,92,0,0,0,0
2014-01-14 10,159,53,106,0,0,0,0
2014-01-14 11,149,49,100,0,0,0,0
2014-01-14 12,87,29,58,0,0,0,0
2014-01-14 13,87,29,58,0,0,0,0
2014-01-14 14,132,44,88,0,0,0,0
2014-01-14 15,189,63,126,0,0,0,0
2014-01-14 16,105,35,70,0,0,0,0
2014-01-14 17,186,62,124,0,0,0,0
2014-01-14 18,149,49,100,0,0,0,0
2014-01-14 19,138,46,92,0,0,0,0
2014-01-14 20,90,30,60,0,0,0,0
2014-01-14 21,138,46,92,0,0,0,0
2014-01-14 22,78,26,52,0,0,0,0
2014-01-14 23,108,36,72,0,0,0,0
2014-01-15 00,57,19,38,0,0,0,0
2014-01-15 01,21,7,14,0,0,0,0
2014-01-15 02,21,7,14,0,0,0,0
2014-01-15 03,12,4,8,0,0,0,0
2014-01-15 04,3,1,2,0,0,0,0
2014-01-15 05,3,1,2,0,0,0,0
2014-01-15 06,6,2,4,0,0,0,0
2014-01-15 07,21,7,14,0,0,0,0
2014-01-15 08,96,32,64,0,0,0,0
2014-01-15 09,138,46,92,0,0,0,0
