date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,5884,1108,0,4776,0,0,0
2014-01-07 18,5754,1148,0,4606,0,0,0
2014-01-07 19,5449,1061,8,4380,0,0,0
2014-01-07 20,5599,1061,0,4538,0,0,0
2014-01-07 21,5244,997,0,4247,0,0,0
2014-01-07 22,5204,992,0,4212,0,0,0
2014-01-07 23,4299,809,0,3490,0,0,0
2014-01-08 00,1864,325,0,1539,0,0,0
2014-01-08 01,937,160,0,777,0,0,0
2014-01-08 02,592,88,0,504,0,0,0
2014-01-08 03,543,98,0,445,0,0,0
2014-01-08 04,402,63,0,339,0,0,0
2014-01-08 05,461,86,0,375,0,0,0
2014-01-08 06,507,73,0,434,0,0,0
2014-01-08 07,2017,394,0,1623,0,0,0
2014-01-08 08,4243,885,0,3358,0,0,0
2014-01-08 09,5324,1018,4,4302,0,0,0
2014-01-08 10,6414,1236,0,5178,0,0,0
2014-01-08 11,6305,1307,0,4998,0,0,0
2014-01-08 12,6183,1262,0,4921,0,0,0
2014-01-08 13,5748,1173,0,4575,0,0,0
2014-01-08 14,6863,1490,0,5373,0,0,0
2014-01-08 15,6688,1528,0,5160,0,0,0
2014-01-08 16,6090,1310,0,4780,0,0,0
2014-01-08 17,7492,1652,0,5840,0,0,0
2014-01-08 18,5922,1269,0,4653,0,0,0
2014-01-08 19,5904,1284,0,4620,0,0,0
2014-01-08 20,5349,1136,0,4213,0,0,0
2014-01-08 21,5420,1133,0,4287,0,0,0
2014-01-08 22,4852,1041,0,3811,0,0,0
2014-01-08 23,3792,755,0,3037,0,0,0
2014-01-09 00,1736,380,0,1356,0,0,0
2014-01-09 01,926,186,0,740,0,0,0
2014-01-09 02,580,93,0,487,0,0,0
2014-01-09 03,445,91,0,354,0,0,0
2014-01-09 04,236,41,0,195,0,0,0
2014-01-09 05,388,71,0,317,0,0,0
2014-01-09 06,453,80,0,373,0,0,0
2014-01-09 07,1665,373,0,1292,0,0,0
2014-01-09 08,4424,1016,0,3408,0,0,0
2014-01-09 09,5760,1259,0,4501,0,0,0
2014-01-09 10,6134,1325,0,4809,0,0,0
2014-01-09 11,5376,1194,0,4182,0,0,0
2014-01-09 12,5427,1214,4,4209,0,0,0
2014-01-09 13,5488,1297,0,4191,0,0,0
2014-01-09 14,5904,1386,0,4518,0,0,0
2014-01-09 15,5949,1372,0,4577,0,0,0
2014-01-09 16,5284,1170,0,4114,0,0,0
2014-01-09 17,3477,803,0,2674,0,0,0
2014-01-09 18,4288,865,0,3423,0,0,0
2014-01-09 19,4285,850,0,3435,0,0,0
2014-01-09 20,3633,733,0,2900,0,0,0
2014-01-09 21,3991,842,4,3145,0,0,0
2014-01-09 22,3516,695,0,2821,0,0,0
2014-01-09 23,2791,507,0,2284,0,0,0
2014-01-10 00,1549,321,0,1228,0,0,0
2014-01-10 01,657,113,0,544,0,0,0
2014-01-10 02,459,72,0,387,0,0,0
2014-01-10 03,371,73,0,298,0,0,0
2014-01-10 04,194,24,0,170,0,0,0
2014-01-10 05,323,54,0,269,0,0,0
2014-01-10 06,515,100,0,415,0,0,0
2014-01-10 07,1822,422,0,1400,0,0,0
2014-01-10 08,3474,820,0,2654,0,0,0
2014-01-10 09,4625,1003,0,3622,0,0,0
2014-01-10 10,6281,1399,4,4878,0,0,0
2014-01-10 11,5565,1220,0,4345,0,0,0
2014-01-10 12,5629,1217,0,4412,0,0,0
2014-01-10 13,4930,1033,0,3897,0,0,0
2014-01-10 14,5361,1075,0,4286,0,0,0
2014-01-10 15,5244,1064,0,4180,0,0,0
2014-01-10 16,6199,1282,0,4917,0,0,0
2014-01-10 17,4789,1008,0,3781,0,0,0
2014-01-10 18,3886,859,0,3027,0,0,0
2014-01-10 19,5272,985,0,4287,0,0,0
2014-01-10 20,4713,900,0,3813,0,0,0
2014-01-10 21,4269,889,0,3380,0,0,0
2014-01-10 22,3287,612,0,2675,0,0,0
2014-01-10 23,2888,535,0,2353,0,0,0
2014-01-11 00,1585,305,0,1280,0,0,0
2014-01-11 01,1019,196,0,823,0,0,0
2014-01-11 02,748,128,0,620,0,0,0
2014-01-11 03,490,100,0,390,0,0,0
2014-01-11 04,263,48,0,215,0,0,0
2014-01-11 05,311,61,0,250,0,0,0
2014-01-11 06,358,47,0,311,0,0,0
2014-01-11 07,1199,236,0,963,0,0,0
2014-01-11 08,2496,585,0,1911,0,0,0
2014-01-11 09,3109,682,0,2427,0,0,0
2014-01-11 10,2938,623,0,2315,0,0,0
2014-01-11 11,3217,665,0,2552,0,0,0
2014-01-11 12,3223,712,0,2511,0,0,0
2014-01-11 13,3005,658,0,2347,0,0,0
2014-01-11 14,3032,665,0,2367,0,0,0
2014-01-11 20,2819,573,0,2246,0,0,0
2014-01-11 21,2899,566,0,2333,0,0,0
2014-01-11 23,1914,341,0,1573,0,0,0
2014-01-12 00,400,95,0,305,0,0,0
2014-01-12 01,238,41,0,197,0,0,0
2014-01-12 02,245,50,0,195,0,0,0
2014-01-12 03,185,32,0,153,0,0,0
2014-01-12 04,158,37,0,121,0,0,0
2014-01-12 05,128,27,0,101,0,0,0
2014-01-12 06,174,37,0,137,0,0,0
2014-01-12 07,329,66,0,263,0,0,0
2014-01-12 08,549,130,0,419,0,0,0
2014-01-12 09,712,152,0,560,0,0,0
2014-01-12 10,933,213,0,720,0,0,0
2014-01-12 11,982,202,0,780,0,0,0
2014-01-12 12,1088,229,0,859,0,0,0
2014-01-12 13,1652,378,0,1274,0,0,0
2014-01-12 14,1550,339,0,1211,0,0,0
2014-01-12 15,1638,300,0,1338,0,0,0
2014-01-12 16,1714,352,0,1362,0,0,0
2014-01-12 17,1368,270,0,1098,0,0,0
2014-01-12 18,1495,311,0,1184,0,0,0
2014-01-12 19,1585,298,0,1287,0,0,0
2014-01-12 20,1496,285,0,1211,0,0,0
2014-01-12 21,1604,300,0,1304,0,0,0
2014-01-12 22,1393,263,0,1130,0,0,0
2014-01-12 23,953,186,0,767,0,0,0
2014-01-13 00,443,72,0,371,0,0,0
2014-01-13 01,278,52,0,226,0,0,0
2014-01-13 02,219,33,0,186,0,0,0
2014-01-13 03,187,36,0,151,0,0,0
2014-01-13 04,145,20,0,125,0,0,0
2014-01-13 05,136,18,0,118,0,0,0
2014-01-13 06,251,46,0,205,0,0,0
2014-01-13 07,532,116,0,416,0,0,0
2014-01-13 08,1849,430,0,1419,0,0,0
2014-01-13 09,2169,538,0,1631,0,0,0
2014-01-13 10,2124,499,0,1625,0,0,0
2014-01-13 11,1955,429,0,1526,0,0,0
2014-01-13 12,1996,498,0,1498,0,0,0
2014-01-13 13,1994,411,0,1583,0,0,0
2014-01-13 14,1966,443,0,1523,0,0,0
2014-01-13 15,2286,505,0,1781,0,0,0
2014-01-13 16,5416,1072,0,4344,0,0,0
2014-01-13 17,4521,956,0,3565,0,0,0
2014-01-13 18,3167,682,4,2481,0,0,0
2014-01-13 19,3070,606,0,2464,0,0,0
2014-01-13 20,3495,664,0,2831,0,0,0
