date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,7,2,4,1,0,0,0
2014-01-07 18,32,10,20,2,0,0,0
2014-01-07 19,31,7,14,10,0,0,0
2014-01-07 20,10,2,4,4,0,0,0
2014-01-07 21,6,2,4,0,0,0,0
2014-01-07 22,31,5,10,16,0,0,0
2014-01-07 23,10,3,6,1,0,0,0
2014-01-08 00,41,5,10,26,0,0,0
2014-01-08 01,10,3,6,1,0,0,0
2014-01-08 02,2,0,2,0,0,0,0
2014-01-08 07,3,1,2,0,0,0,0
2014-01-08 08,7,1,2,4,0,0,0
2014-01-08 09,55,12,24,19,0,0,0
2014-01-08 10,35,7,14,14,0,0,0
2014-01-08 11,23,7,14,2,0,0,0
2014-01-08 12,20,5,10,5,0,0,0
2014-01-08 13,8,2,4,2,0,0,0
2014-01-08 14,38,8,16,14,0,0,0
2014-01-08 15,42,9,18,15,0,0,0
2014-01-08 16,73,10,20,43,0,0,0
2014-01-08 17,9,3,6,0,0,0,0
2014-01-08 18,65,15,30,20,0,0,0
2014-01-08 19,37,10,20,7,0,0,0
2014-01-08 20,15,4,8,3,0,0,0
2014-01-08 21,32,6,12,14,0,0,0
2014-01-08 22,16,5,10,1,0,0,0
2014-01-08 23,66,10,20,36,0,0,0
2014-01-09 00,6,1,2,3,0,0,0
2014-01-09 01,16,5,10,1,0,0,0
2014-01-09 03,6,2,4,0,0,0,0
2014-01-09 07,4,1,2,1,0,0,0
2014-01-09 08,9,3,6,0,0,0,0
2014-01-09 09,7,2,4,1,0,0,0
2014-01-09 10,43,9,18,16,0,0,0
2014-01-09 11,25,4,8,13,0,0,0
2014-01-09 12,20,6,12,2,0,0,0
2014-01-09 13,44,9,18,17,0,0,0
2014-01-09 14,38,12,24,2,0,0,0
2014-01-09 15,45,9,18,18,0,0,0
2014-01-09 16,22,7,14,1,0,0,0
2014-01-09 17,46,9,18,19,0,0,0
2014-01-09 18,7,2,4,1,0,0,0
2014-01-09 19,31,6,12,13,0,0,0
2014-01-09 20,44,12,20,12,0,0,0
2014-01-09 21,35,6,12,17,0,0,0
2014-01-09 22,11,3,6,2,0,0,0
2014-01-09 23,10,3,6,1,0,0,0
2014-01-10 00,10,3,6,1,0,0,0
