date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,305,246,16,26,0,0,17
2014-01-07 18,159,113,22,11,0,0,13
2014-01-07 19,188,148,10,13,0,0,17
2014-01-07 20,283,231,6,31,0,0,15
2014-01-07 21,346,263,32,37,0,0,14
2014-01-07 22,260,213,6,19,0,0,22
2014-01-07 23,282,235,12,20,0,0,15
2014-01-08 00,158,130,0,11,0,0,17
2014-01-08 01,83,67,4,6,0,0,6
2014-01-08 02,48,40,0,4,0,0,4
2014-01-08 03,40,30,2,5,0,0,3
2014-01-08 04,12,10,0,1,0,0,1
2014-01-08 05,13,10,0,2,0,0,1
2014-01-08 06,11,10,0,1,0,0,0
2014-01-08 07,22,20,0,0,0,0,2
2014-01-08 08,206,168,8,22,0,0,8
2014-01-08 09,317,256,20,31,0,0,10
2014-01-08 10,312,250,16,27,0,0,19
2014-01-08 11,362,280,30,40,0,0,12
2014-01-08 12,159,128,6,12,0,0,13
2014-01-08 13,217,173,18,16,0,0,10
2014-01-08 14,347,270,28,38,0,0,11
2014-01-08 15,276,224,10,28,0,0,14
2014-01-08 16,405,317,30,35,0,0,23
2014-01-08 17,365,303,16,32,0,0,14
2014-01-08 18,315,250,18,38,0,0,9
2014-01-08 19,474,401,4,46,0,0,23
2014-01-08 20,480,418,8,33,0,0,21
2014-01-08 21,381,318,6,37,0,0,20
2014-01-08 22,296,212,36,30,0,0,18
2014-01-08 23,286,237,4,23,0,0,22
2014-01-09 00,174,141,6,17,0,0,10
2014-01-09 01,52,45,0,4,0,0,3
2014-01-09 02,57,50,0,2,0,0,5
2014-01-09 03,45,35,0,4,0,0,6
2014-01-09 04,1,0,0,0,0,0,1
2014-01-09 06,11,10,0,0,0,0,1
2014-01-09 07,8,6,2,0,0,0,0
2014-01-09 08,83,67,6,5,0,0,5
2014-01-09 09,321,253,28,30,0,0,10
2014-01-09 10,415,349,16,36,0,0,14
2014-01-09 11,341,277,8,39,0,0,17
2014-01-09 12,246,189,16,32,0,0,9
2014-01-09 13,257,217,6,23,0,0,11
2014-01-09 14,261,216,16,18,0,0,11
2014-01-09 15,243,207,6,19,0,0,11
2014-01-09 16,401,333,28,27,0,0,13
2014-01-09 17,274,219,16,23,0,0,16
2014-01-09 18,179,138,18,12,0,0,11
2014-01-09 19,226,186,10,17,0,0,13
2014-01-09 20,247,200,16,16,0,0,15
2014-01-09 21,225,170,22,21,0,0,12
2014-01-09 22,130,101,8,9,0,0,12
2014-01-09 23,232,196,2,21,0,0,13
2014-01-10 00,244,201,2,26,0,0,15
2014-01-10 01,70,60,0,4,0,0,6
2014-01-10 02,38,35,0,0,0,0,3
2014-01-10 03,25,21,4,0,0,0,0
2014-01-10 04,5,5,0,0,0,0,0
2014-01-10 05,6,2,4,0,0,0,0
2014-01-10 06,16,15,0,1,0,0,0
2014-01-10 07,11,10,0,0,0,0,1
2014-01-10 08,138,109,12,12,0,0,5
2014-01-10 09,215,181,4,17,0,0,13
2014-01-10 10,394,324,16,40,0,0,14
2014-01-10 11,224,189,8,15,0,0,12
2014-01-10 12,225,183,10,17,0,0,15
2014-01-10 13,150,111,20,12,0,0,7
2014-01-10 14,264,202,24,28,0,0,10
2014-01-10 15,377,306,22,40,0,0,9
2014-01-10 16,484,397,22,46,0,0,19
2014-01-10 17,476,381,24,50,0,0,21
2014-01-10 18,312,263,6,33,0,0,10
2014-01-10 19,353,292,4,39,0,0,18
2014-01-10 20,381,326,12,26,0,0,17
2014-01-10 21,247,212,4,19,0,0,12
2014-01-10 22,332,273,10,33,0,0,16
2014-01-10 23,255,221,0,17,0,0,17
2014-01-11 00,128,110,0,8,0,0,10
2014-01-11 01,86,71,2,4,0,0,9
2014-01-11 02,15,15,0,0,0,0,0
2014-01-11 03,21,20,0,0,0,0,1
2014-01-11 04,1,0,0,0,0,0,1
2014-01-11 06,15,15,0,0,0,0,0
2014-01-11 08,54,50,0,0,0,0,4
2014-01-11 09,56,41,6,3,0,0,6
2014-01-11 10,190,157,8,14,0,0,11
2014-01-11 11,326,280,10,18,0,0,18
2014-01-11 12,187,151,10,10,0,0,16
2014-01-11 13,191,156,6,12,0,0,17
2014-01-11 14,161,133,6,11,0,0,11
2014-01-11 20,378,310,16,42,0,0,10
2014-01-11 21,336,269,16,32,0,0,19
2014-01-11 23,327,271,6,20,0,0,30
2014-01-12 01,3,1,2,0,0,0,0
2014-01-12 02,3,1,2,0,0,0,0
2014-01-12 10,9,1,6,2,0,0,0
2014-01-12 11,6,5,0,1,0,0,0
2014-01-12 12,6,2,4,0,0,0,0
2014-01-12 13,16,11,2,2,0,0,1
2014-01-12 14,5,5,0,0,0,0,0
2014-01-12 15,12,2,8,2,0,0,0
2014-01-12 16,5,1,2,0,0,0,2
2014-01-12 17,6,2,4,0,0,0,0
2014-01-12 18,9,1,6,2,0,0,0
