date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,8,0,0,8,0,0,0
2014-01-07 18,10,0,0,10,0,0,0
2014-01-07 19,19,3,0,16,0,0,0
2014-01-07 20,15,0,0,15,0,0,0
2014-01-07 21,21,0,0,21,0,0,0
2014-01-07 22,7,0,0,7,0,0,0
2014-01-07 23,9,1,0,8,0,0,0
2014-01-08 00,7,0,0,7,0,0,0
2014-01-08 01,18,1,0,16,0,0,1
2014-01-08 02,6,0,0,6,0,0,0
2014-01-08 03,7,0,0,7,0,0,0
2014-01-08 04,6,1,0,5,0,0,0
2014-01-08 05,7,0,0,7,0,0,0
2014-01-08 06,8,0,0,8,0,0,0
2014-01-08 07,7,0,0,7,0,0,0
2014-01-08 08,9,0,0,9,0,0,0
2014-01-08 09,11,0,0,11,0,0,0
2014-01-08 10,9,1,0,8,0,0,0
2014-01-08 11,23,0,0,23,0,0,0
2014-01-08 12,14,0,0,14,0,0,0
2014-01-08 13,16,0,0,16,0,0,0
2014-01-08 14,24,3,0,20,0,0,1
2014-01-08 15,72,42,14,16,0,0,0
2014-01-08 16,14,1,0,12,0,0,1
2014-01-08 17,29,3,0,26,0,0,0
2014-01-08 18,13,0,0,13,0,0,0
2014-01-08 19,15,0,0,15,0,0,0
2014-01-08 20,20,1,0,19,0,0,0
2014-01-08 21,27,3,0,23,0,0,1
2014-01-08 22,14,0,0,14,0,0,0
2014-01-08 23,22,0,0,22,0,0,0
2014-01-09 00,13,0,0,13,0,0,0
2014-01-09 01,8,0,0,8,0,0,0
2014-01-09 02,12,1,0,11,0,0,0
2014-01-09 03,4,0,0,4,0,0,0
2014-01-09 04,7,0,0,7,0,0,0
2014-01-09 05,7,0,0,7,0,0,0
2014-01-09 06,6,0,0,6,0,0,0
2014-01-09 07,4,0,0,4,0,0,0
2014-01-09 08,11,0,0,11,0,0,0
2014-01-09 09,22,0,0,22,0,0,0
2014-01-09 10,20,0,0,20,0,0,0
2014-01-09 11,16,0,0,16,0,0,0
2014-01-09 12,18,0,0,18,0,0,0
2014-01-09 13,17,0,0,17,0,0,0
2014-01-09 14,19,0,0,19,0,0,0
2014-01-09 15,18,0,0,18,0,0,0
2014-01-09 16,31,3,0,27,0,0,1
2014-01-09 17,10,0,0,10,0,0,0
2014-01-09 18,13,0,0,13,0,0,0
2014-01-09 19,10,0,0,10,0,0,0
2014-01-09 20,16,1,0,15,0,0,0
2014-01-09 21,14,0,0,14,0,0,0
2014-01-09 22,12,0,0,12,0,0,0
2014-01-09 23,12,0,0,12,0,0,0
2014-01-10 00,9,0,0,9,0,0,0
2014-01-10 01,11,1,0,10,0,0,0
2014-01-10 02,11,0,0,11,0,0,0
2014-01-10 03,8,0,0,8,0,0,0
2014-01-10 04,10,0,0,10,0,0,0
2014-01-10 05,10,0,0,10,0,0,0
2014-01-10 06,2,0,0,2,0,0,0
2014-01-10 07,8,1,0,7,0,0,0
2014-01-10 08,15,3,0,12,0,0,0
2014-01-10 09,18,3,0,14,0,0,1
2014-01-10 10,24,1,0,23,0,0,0
2014-01-10 11,13,0,0,13,0,0,0
2014-01-10 12,7,1,0,6,0,0,0
2014-01-10 13,7,0,0,7,0,0,0
2014-01-10 14,14,0,0,14,0,0,0
2014-01-10 15,21,7,2,12,0,0,0
2014-01-10 16,13,0,0,13,0,0,0
2014-01-10 17,19,3,0,16,0,0,0
2014-01-10 18,12,3,0,9,0,0,0
2014-01-10 19,19,6,0,13,0,0,0
2014-01-10 20,25,8,0,17,0,0,0
2014-01-10 21,19,0,0,19,0,0,0
2014-01-10 22,19,11,0,8,0,0,0
2014-01-10 23,30,3,0,27,0,0,0
2014-01-11 00,17,0,0,17,0,0,0
2014-01-11 01,12,0,0,12,0,0,0
2014-01-11 02,11,0,0,11,0,0,0
2014-01-11 03,8,0,0,8,0,0,0
2014-01-11 04,8,1,0,7,0,0,0
2014-01-11 05,8,0,0,8,0,0,0
2014-01-11 06,7,0,0,7,0,0,0
2014-01-11 07,7,0,0,7,0,0,0
2014-01-11 08,9,0,0,9,0,0,0
2014-01-11 09,11,0,0,11,0,0,0
2014-01-11 10,17,0,0,17,0,0,0
2014-01-11 11,17,0,0,17,0,0,0
2014-01-11 12,18,0,0,18,0,0,0
2014-01-11 13,13,0,0,13,0,0,0
2014-01-11 14,15,1,0,13,0,0,1
2014-01-11 20,22,3,0,19,0,0,0
2014-01-11 21,35,12,4,19,0,0,0
2014-01-11 23,19,1,0,17,0,0,1
2014-01-13 16,9,1,0,7,0,0,1
