date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,197,187,2,8,0,0,0
2014-01-07 18,201,185,2,14,0,0,0
2014-01-07 19,192,181,2,9,0,0,0
2014-01-07 20,207,184,4,19,0,0,0
2014-01-07 21,211,201,2,8,0,0,0
2014-01-07 22,163,161,2,0,0,0,0
2014-01-07 23,127,125,2,0,0,0,0
2014-01-08 00,46,39,6,1,0,0,0
2014-01-08 01,47,45,2,0,0,0,0
2014-01-08 02,16,16,0,0,0,0,0
2014-01-08 03,33,31,2,0,0,0,0
2014-01-08 04,27,25,2,0,0,0,0
2014-01-08 05,10,10,0,0,0,0,0
2014-01-08 06,31,30,0,1,0,0,0
2014-01-08 07,69,68,0,1,0,0,0
2014-01-08 08,122,116,4,2,0,0,0
2014-01-08 09,190,174,4,12,0,0,0
2014-01-08 10,215,203,2,10,0,0,0
2014-01-08 11,251,232,4,15,0,0,0
2014-01-08 12,230,214,4,12,0,0,0
2014-01-08 13,227,226,0,1,0,0,0
2014-01-08 14,236,228,0,8,0,0,0
2014-01-08 15,250,231,6,13,0,0,0
2014-01-08 16,237,220,4,13,0,0,0
2014-01-08 17,167,160,4,3,0,0,0
2014-01-08 18,188,177,6,5,0,0,0
2014-01-08 19,179,166,0,13,0,0,0
2014-01-08 20,154,147,6,1,0,0,0
2014-01-08 21,162,145,2,15,0,0,0
2014-01-08 22,136,136,0,0,0,0,0
2014-01-08 23,128,123,2,3,0,0,0
2014-01-09 00,91,89,2,0,0,0,0
2014-01-09 01,54,50,4,0,0,0,0
2014-01-09 02,51,46,4,1,0,0,0
2014-01-09 03,9,8,0,1,0,0,0
2014-01-09 04,13,11,2,0,0,0,0
2014-01-09 05,14,14,0,0,0,0,0
2014-01-09 06,31,29,2,0,0,0,0
2014-01-09 07,36,36,0,0,0,0,0
2014-01-09 08,97,86,4,7,0,0,0
2014-01-09 09,95,88,0,7,0,0,0
2014-01-09 10,123,99,6,18,0,0,0
2014-01-09 11,97,96,0,1,0,0,0
2014-01-09 12,119,118,0,1,0,0,0
2014-01-09 13,156,152,4,0,0,0,0
2014-01-09 14,188,172,4,12,0,0,0
2014-01-09 15,185,162,4,19,0,0,0
2014-01-09 16,156,154,0,2,0,0,0
2014-01-09 17,102,93,2,7,0,0,0
2014-01-09 18,79,77,2,0,0,0,0
2014-01-09 19,97,92,4,1,0,0,0
2014-01-09 20,129,113,6,10,0,0,0
2014-01-09 21,99,98,0,1,0,0,0
2014-01-09 22,83,81,2,0,0,0,0
2014-01-09 23,69,68,0,1,0,0,0
2014-01-10 00,53,49,2,2,0,0,0
2014-01-10 01,39,37,2,0,0,0,0
2014-01-10 02,30,27,2,1,0,0,0
2014-01-10 03,15,13,2,0,0,0,0
2014-01-10 04,12,12,0,0,0,0,0
2014-01-10 05,11,9,2,0,0,0,0
2014-01-10 06,23,21,2,0,0,0,0
2014-01-10 07,50,47,2,1,0,0,0
2014-01-10 08,108,90,8,10,0,0,0
2014-01-10 09,97,93,2,2,0,0,0
2014-01-10 10,144,124,4,16,0,0,0
2014-01-10 11,163,158,4,1,0,0,0
2014-01-10 12,192,167,10,15,0,0,0
2014-01-10 13,173,165,2,6,0,0,0
