date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,13204,1466,1846,9891,0,0,1
2014-01-07 18,13426,1424,1732,10269,0,0,1
2014-01-07 19,12396,1310,1618,9468,0,0,0
2014-01-07 20,13153,1376,1698,10079,0,0,0
2014-01-07 21,12078,1331,1614,9133,0,0,0
2014-01-07 22,11899,1221,1526,9152,0,0,0
2014-01-07 23,10913,982,1201,8730,0,0,0
2014-01-08 00,7869,543,660,6666,0,0,0
2014-01-08 01,5755,322,394,5039,0,0,0
2014-01-08 02,4685,145,168,4372,0,0,0
2014-01-08 03,3993,87,110,3796,0,0,0
2014-01-08 04,3816,105,126,3585,0,0,0
2014-01-08 05,3740,50,62,3628,0,0,0
2014-01-08 06,4757,137,166,4454,0,0,0
2014-01-08 07,7189,396,478,6315,0,0,0
2014-01-08 08,11796,1208,1486,9102,0,0,0
2014-01-08 09,13230,1465,1794,9970,0,0,1
2014-01-08 10,14009,1453,1820,10734,0,0,2
2014-01-08 11,14092,1508,1874,10710,0,0,0
2014-01-08 12,13850,1406,1746,10698,0,0,0
2014-01-08 13,13071,1369,1695,10007,0,0,0
2014-01-08 14,13582,1168,1768,10646,0,0,0
2014-01-08 15,12801,1119,1716,9965,0,0,1
2014-01-08 16,12154,953,1472,9729,0,0,0
2014-01-08 17,11535,1026,1628,8880,0,0,1
2014-01-08 18,11579,942,1486,9151,0,0,0
2014-01-08 19,11610,990,1551,9068,0,0,1
2014-01-08 20,11598,1020,1540,9038,0,0,0
2014-01-08 21,11701,965,1504,9231,0,0,1
2014-01-08 22,11294,950,1488,8856,0,0,0
2014-01-08 23,10037,744,1170,8122,0,0,1
2014-01-09 00,6452,351,564,5537,0,0,0
2014-01-09 01,5542,245,424,4870,0,0,3
2014-01-09 02,4582,121,216,4245,0,0,0
2014-01-09 03,4122,68,114,3940,0,0,0
2014-01-09 04,3866,56,108,3702,0,0,0
2014-01-09 05,3773,36,60,3677,0,0,0
2014-01-09 06,4707,109,198,4400,0,0,0
2014-01-09 07,7128,374,592,6162,0,0,0
2014-01-09 08,10824,780,1244,8800,0,0,0
2014-01-09 09,12512,1195,1842,9475,0,0,0
2014-01-09 10,12252,1039,1619,9594,0,0,0
2014-01-09 11,11274,1041,1622,8611,0,0,0
2014-01-09 12,10875,895,1412,8568,0,0,0
2014-01-09 13,11520,966,1500,9054,0,0,0
2014-01-09 14,11913,889,1376,9648,0,0,0
2014-01-09 15,12612,1045,1618,9949,0,0,0
2014-01-09 16,11793,981,1570,9240,0,0,2
2014-01-09 17,9725,818,1275,7632,0,0,0
2014-01-09 18,9475,784,1222,7469,0,0,0
2014-01-09 19,9597,783,1218,7596,0,0,0
2014-01-09 20,9343,750,1162,7431,0,0,0
2014-01-09 21,9570,816,1246,7508,0,0,0
2014-01-09 22,8995,741,1140,7114,0,0,0
2014-01-09 23,7895,541,876,6478,0,0,0
2014-01-10 00,5449,348,536,4565,0,0,0
2014-01-10 01,5264,249,410,4605,0,0,0
2014-01-10 02,4580,147,274,4159,0,0,0
2014-01-10 03,4054,88,162,3804,0,0,0
2014-01-10 04,3854,56,110,3688,0,0,0
2014-01-10 05,3806,55,124,3627,0,0,0
2014-01-10 06,4568,77,140,4351,0,0,0
2014-01-10 07,6744,309,474,5961,0,0,0
2014-01-10 08,9187,787,1224,7176,0,0,0
2014-01-10 09,10141,880,1396,7864,0,0,1
2014-01-10 10,11224,1003,1570,8651,0,0,0
2014-01-10 11,10112,803,1246,8063,0,0,0
2014-01-10 12,10738,909,1418,8411,0,0,0
2014-01-10 13,9927,792,1226,7907,0,0,2
2014-01-10 14,12630,1019,1576,10035,0,0,0
2014-01-10 15,12336,1040,1634,9662,0,0,0
2014-01-10 16,11921,954,1522,9445,0,0,0
2014-01-10 17,10076,887,1346,7843,0,0,0
2014-01-10 18,10460,923,1442,8095,0,0,0
2014-01-10 19,11553,938,1456,9159,0,0,0
2014-01-10 20,12100,983,1516,9600,0,0,1
2014-01-10 21,9518,714,1070,7734,0,0,0
2014-01-10 22,7903,615,944,6344,0,0,0
2014-01-10 23,6726,488,812,5425,0,0,1
2014-01-11 00,5557,348,580,4629,0,0,0
2014-01-11 01,4923,199,330,4394,0,0,0
2014-01-11 02,5047,178,290,4579,0,0,0
2014-01-11 03,4024,83,132,3809,0,0,0
2014-01-11 04,3732,54,118,3560,0,0,0
2014-01-11 05,3672,46,92,3534,0,0,0
2014-01-11 06,4238,96,176,3966,0,0,0
2014-01-11 07,5723,200,311,5212,0,0,0
2014-01-11 08,8545,510,786,7249,0,0,0
2014-01-11 09,9230,675,1046,7508,0,0,1
2014-01-11 10,10367,906,1408,8053,0,0,0
2014-01-11 11,10120,820,1300,7999,0,0,1
2014-01-11 12,9368,781,1236,7351,0,0,0
2014-01-11 13,8781,677,1058,7044,0,0,2
2014-01-11 14,8745,737,1126,6882,0,0,0
2014-01-11 20,8747,704,1094,6949,0,0,0
2014-01-11 21,7941,576,904,6460,0,0,1
2014-01-11 23,6002,428,666,4908,0,0,0
2014-01-12 00,1491,91,146,1254,0,0,0
2014-01-12 01,2120,71,118,1931,0,0,0
2014-01-12 02,2164,86,132,1946,0,0,0
2014-01-12 03,1819,25,40,1754,0,0,0
2014-01-12 04,1623,20,30,1573,0,0,0
2014-01-12 05,1556,20,30,1506,0,0,0
2014-01-12 06,1831,29,44,1758,0,0,0
2014-01-12 07,2490,84,126,2280,0,0,0
2014-01-12 08,2512,118,186,2208,0,0,0
2014-01-12 09,2645,169,266,2210,0,0,0
2014-01-12 10,3205,260,414,2531,0,0,0
2014-01-12 11,2980,178,318,2484,0,0,0
2014-01-12 12,3196,313,496,2387,0,0,0
2014-01-12 13,4143,293,458,3392,0,0,0
2014-01-12 14,4303,308,494,3501,0,0,0
2014-01-12 15,4198,302,476,3420,0,0,0
2014-01-12 16,4176,307,492,3377,0,0,0
2014-01-12 17,3942,334,530,3078,0,0,0
2014-01-12 18,3760,271,436,3053,0,0,0
2014-01-12 19,4309,355,550,3404,0,0,0
2014-01-12 20,4787,365,568,3854,0,0,0
2014-01-12 21,4753,301,472,3980,0,0,0
