date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,27414,3266,4508,19640,0,0,0
2014-01-07 18,28498,3627,4944,19927,0,0,0
2014-01-07 19,24872,2954,3979,17939,0,0,0
2014-01-07 20,28487,3558,4806,20123,0,0,0
2014-01-07 21,29976,3850,5161,20965,0,0,0
2014-01-07 22,26418,3359,4735,18324,0,0,0
2014-01-07 23,20713,2554,3535,14624,0,0,0
2014-01-08 00,9549,1183,1578,6788,0,0,0
2014-01-08 01,4280,479,601,3200,0,0,0
2014-01-08 02,2203,247,300,1656,0,0,0
2014-01-08 03,2139,241,286,1612,0,0,0
2014-01-08 04,1333,162,179,992,0,0,0
2014-01-08 05,1436,155,185,1096,0,0,0
2014-01-08 06,1979,256,300,1423,0,0,0
2014-01-08 07,6617,799,1073,4745,0,0,0
2014-01-08 08,20128,2517,3455,14156,0,0,0
2014-01-08 09,28599,3609,5074,19916,0,0,0
2014-01-08 10,28179,3449,4818,19912,0,0,0
2014-01-08 11,33329,4034,5555,23740,0,0,0
2014-01-08 12,33339,4165,5761,23413,0,0,0
2014-01-08 13,28420,3334,4549,20537,0,0,0
2014-01-08 14,29050,3362,4628,21060,0,0,0
2014-01-08 15,29690,3448,4670,21572,0,0,0
2014-01-08 16,28165,3271,4472,20422,0,0,0
2014-01-08 17,26068,3041,4143,18884,0,0,0
2014-01-08 18,29730,3598,4974,21158,0,0,0
2014-01-08 19,29508,3508,4732,21268,0,0,0
2014-01-08 20,31972,3835,5256,22881,0,0,0
2014-01-08 21,26810,3152,4409,19249,0,0,0
2014-01-08 22,22786,2677,3759,16350,0,0,0
2014-01-08 23,16028,1927,2647,11454,0,0,0
2014-01-09 00,8218,980,1350,5888,0,0,0
2014-01-09 01,3894,452,562,2880,0,0,0
2014-01-09 02,2834,337,404,2093,0,0,0
2014-01-09 03,1811,225,227,1359,0,0,0
2014-01-09 04,1506,189,188,1129,0,0,0
2014-01-09 05,1857,216,271,1370,0,0,0
2014-01-09 06,2475,281,361,1833,0,0,0
2014-01-09 07,6564,780,1041,4743,0,0,0
2014-01-09 08,19827,2442,3359,14026,0,0,0
2014-01-09 09,26473,3344,4555,18574,0,0,0
2014-01-09 10,30190,3903,5342,20945,0,0,0
2014-01-09 11,29550,3778,5186,20586,0,0,0
2014-01-09 12,33299,4221,5870,23208,0,0,0
2014-01-09 13,29866,3726,5003,21137,0,0,0
2014-01-09 14,29365,3684,5006,20675,0,0,0
2014-01-09 15,31027,3892,5218,21917,0,0,0
2014-01-09 16,30775,3833,5244,21698,0,0,0
2014-01-09 17,23227,2822,3939,16466,0,0,0
2014-01-09 18,23810,2995,4130,16685,0,0,0
2014-01-09 19,22638,2777,3834,16027,0,0,0
2014-01-09 20,22282,2619,3711,15952,0,0,0
2014-01-09 21,22110,2709,3810,15591,0,0,0
2014-01-09 22,19100,2266,3255,13579,0,0,0
2014-01-09 23,12945,1518,2191,9236,0,0,0
2014-01-10 00,7311,840,1158,5313,0,0,0
2014-01-10 01,5151,612,792,3747,0,0,0
2014-01-10 02,2399,252,311,1836,0,0,0
2014-01-10 03,1713,214,228,1271,0,0,0
2014-01-10 04,1420,171,191,1058,0,0,0
2014-01-10 05,1567,173,197,1197,0,0,0
2014-01-10 06,1964,223,259,1482,0,0,0
2014-01-10 07,6355,727,987,4641,0,0,0
2014-01-10 08,18385,2194,3131,13060,0,0,0
2014-01-10 09,25070,3178,4446,17446,0,0,0
2014-01-10 10,24575,3080,4318,17177,0,0,0
2014-01-10 11,21182,2596,3676,14910,0,0,0
2014-01-10 12,21511,2666,3796,15049,0,0,0
2014-01-10 13,19095,2325,3280,13490,0,0,0
2014-01-10 14,23478,2944,4132,16402,0,0,0
2014-01-10 15,23526,2881,4010,16635,0,0,0
2014-01-10 16,25325,3170,4293,17862,0,0,0
2014-01-10 17,19574,2438,3420,13716,0,0,0
2014-01-10 18,18716,2228,3073,13415,0,0,0
2014-01-10 19,21580,2614,3661,15305,0,0,0
2014-01-10 20,20341,2303,3357,14681,0,0,0
2014-01-10 21,16359,1886,2705,11768,0,0,0
2014-01-10 22,13732,1616,2276,9840,0,0,0
2014-01-10 23,11267,1289,1891,8087,0,0,0
2014-01-11 00,8167,998,1321,5848,0,0,0
2014-01-11 01,4913,612,796,3505,0,0,0
2014-01-11 02,2948,362,435,2151,0,0,0
2014-01-11 03,1661,214,256,1191,0,0,0
2014-01-11 04,1167,156,182,829,0,0,0
2014-01-11 05,1174,150,173,851,0,0,0
2014-01-11 06,1708,222,271,1215,0,0,0
2014-01-11 07,4500,530,666,3304,0,0,0
2014-01-11 08,11677,1447,1993,8237,0,0,0
2014-01-11 09,17721,2146,2948,12627,0,0,0
2014-01-11 10,21480,2680,3706,15094,0,0,0
2014-01-11 11,19777,2389,3316,14072,0,0,0
2014-01-11 12,17474,2032,2898,12544,0,0,0
2014-01-11 13,16426,1945,2669,11812,0,0,0
2014-01-11 14,14928,1767,2410,10751,0,0,0
2014-01-11 20,17412,1973,2717,12722,0,0,0
2014-01-11 21,16118,1847,2565,11706,0,0,0
2014-01-11 23,9881,1141,1610,7130,0,0,0
2014-01-12 00,2853,324,454,2075,0,0,0
2014-01-12 01,2463,253,338,1872,0,0,0
