date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,293,15,62,216,0,0,0
2014-01-07 18,316,9,42,265,0,0,0
2014-01-07 19,268,13,48,207,0,0,0
2014-01-07 20,267,10,54,203,0,0,0
2014-01-07 21,290,17,66,207,0,0,0
2014-01-07 22,327,10,82,235,0,0,0
2014-01-07 23,251,11,44,196,0,0,0
2014-01-08 00,240,8,36,196,0,0,0
2014-01-08 01,182,5,14,163,0,0,0
2014-01-08 02,114,1,0,113,0,0,0
2014-01-08 03,75,0,2,73,0,0,0
2014-01-08 04,65,0,4,61,0,0,0
2014-01-08 05,90,5,4,81,0,0,0
2014-01-08 06,81,3,4,74,0,0,0
2014-01-08 07,97,0,4,93,0,0,0
2014-01-08 08,185,4,4,177,0,0,0
2014-01-08 09,263,12,32,219,0,0,0
2014-01-08 10,305,18,64,223,0,0,0
2014-01-08 11,257,7,44,206,0,0,0
2014-01-08 12,274,13,50,211,0,0,0
2014-01-08 13,270,3,56,211,0,0,0
2014-01-08 14,290,17,50,223,0,0,0
2014-01-08 15,283,16,46,221,0,0,0
2014-01-08 16,251,14,22,215,0,0,0
2014-01-08 17,235,3,26,206,0,0,0
2014-01-08 18,234,11,26,197,0,0,0
2014-01-08 19,280,15,46,219,0,0,0
2014-01-08 20,261,12,46,203,0,0,0
2014-01-08 21,275,7,52,216,0,0,0
2014-01-08 22,292,11,64,217,0,0,0
2014-01-08 23,241,8,36,197,0,0,0
2014-01-09 00,201,4,10,187,0,0,0
2014-01-09 01,175,1,6,168,0,0,0
2014-01-09 02,115,3,2,110,0,0,0
2014-01-09 03,92,2,0,90,0,0,0
2014-01-09 04,72,0,0,72,0,0,0
2014-01-09 05,48,1,0,47,0,0,0
2014-01-09 06,67,0,0,67,0,0,0
2014-01-09 07,101,0,2,99,0,0,0
2014-01-09 08,212,3,26,183,0,0,0
2014-01-09 09,253,7,30,216,0,0,0
2014-01-09 10,268,12,42,214,0,0,0
2014-01-09 11,294,10,44,240,0,0,0
2014-01-09 12,231,6,22,203,0,0,0
2014-01-09 13,279,19,44,216,0,0,0
2014-01-09 14,235,7,26,202,0,0,0
2014-01-09 15,322,24,70,228,0,0,0
2014-01-09 16,249,17,26,206,0,0,0
2014-01-09 17,229,10,28,191,0,0,0
2014-01-09 18,242,3,38,201,0,0,0
2014-01-09 19,156,11,30,115,0,0,0
2014-01-09 20,185,10,48,127,0,0,0
2014-01-09 21,187,14,54,119,0,0,0
2014-01-09 22,236,11,38,187,0,0,0
2014-01-09 23,207,8,20,179,0,0,0
2014-01-10 00,224,7,26,191,0,0,0
2014-01-10 01,178,7,12,159,0,0,0
2014-01-10 02,120,3,2,115,0,0,0
2014-01-10 03,89,2,4,83,0,0,0
2014-01-10 04,55,1,0,54,0,0,0
2014-01-10 05,56,0,0,56,0,0,0
2014-01-10 06,53,2,2,49,0,0,0
2014-01-10 07,122,0,8,114,0,0,0
2014-01-10 08,188,4,18,166,0,0,0
2014-01-10 09,253,12,36,205,0,0,0
2014-01-10 10,263,17,46,200,0,0,0
2014-01-10 11,245,6,32,207,0,0,0
2014-01-10 12,270,10,48,212,0,0,0
2014-01-10 13,230,9,40,181,0,0,0
2014-01-10 14,261,7,34,220,0,0,0
2014-01-10 15,225,10,20,195,0,0,0
2014-01-10 16,270,20,36,214,0,0,0
2014-01-10 17,225,12,16,197,0,0,0
2014-01-10 18,229,9,26,194,0,0,0
2014-01-10 19,266,15,44,207,0,0,0
2014-01-10 20,313,14,74,225,0,0,0
2014-01-10 21,167,16,42,109,0,0,0
2014-01-10 22,158,18,38,102,0,0,0
2014-01-10 23,118,3,10,105,0,0,0
2014-01-11 00,145,6,22,117,0,0,0
2014-01-11 01,112,2,10,100,0,0,0
2014-01-11 02,256,0,10,246,0,0,0
2014-01-11 03,108,2,4,102,0,0,0
2014-01-11 04,69,0,0,69,0,0,0
2014-01-11 05,54,1,0,53,0,0,0
2014-01-11 06,62,0,0,62,0,0,0
2014-01-11 07,85,2,4,79,0,0,0
2014-01-11 08,173,2,20,151,0,0,0
2014-01-11 09,220,8,24,188,0,0,0
2014-01-11 10,248,8,26,214,0,0,0
2014-01-11 11,232,5,30,197,0,0,0
2014-01-11 12,235,11,30,194,0,0,0
2014-01-11 13,211,2,12,197,0,0,0
2014-01-11 14,218,9,6,203,0,0,0
2014-01-11 20,164,12,32,120,0,0,0
2014-01-11 21,205,13,60,132,0,0,0
2014-01-11 23,117,6,10,101,0,0,0
2014-01-12 00,99,1,4,94,0,0,0
2014-01-12 01,67,0,0,67,0,0,0
2014-01-12 02,72,2,4,66,0,0,0
2014-01-12 03,50,0,2,48,0,0,0
2014-01-12 04,28,0,0,28,0,0,0
2014-01-12 05,23,0,0,23,0,0,0
2014-01-12 06,20,0,0,20,0,0,0
2014-01-12 07,43,0,2,41,0,0,0
2014-01-12 08,70,0,4,66,0,0,0
2014-01-12 09,83,0,2,81,0,0,0
2014-01-12 10,98,0,6,92,0,0,0
2014-01-12 11,99,1,4,94,0,0,0
2014-01-12 12,113,3,14,96,0,0,0
2014-01-12 13,113,0,10,103,0,0,0
2014-01-12 14,103,3,6,94,0,0,0
2014-01-12 15,95,1,2,92,0,0,0
2014-01-12 16,92,1,4,87,0,0,0
2014-01-12 17,105,2,8,95,0,0,0
2014-01-12 18,101,0,4,97,0,0,0
2014-01-12 19,101,2,6,93,0,0,0
2014-01-12 20,106,4,14,88,0,0,0
2014-01-12 21,109,5,14,90,0,0,0
2014-01-12 22,122,1,16,105,0,0,0
2014-01-12 23,114,0,14,100,0,0,0
2014-01-13 00,101,1,14,86,0,0,0
2014-01-13 01,80,1,4,75,0,0,0
2014-01-13 02,57,0,0,57,0,0,0
2014-01-13 03,38,0,0,38,0,0,0
2014-01-13 04,25,0,2,23,0,0,0
2014-01-13 05,28,0,0,28,0,0,0
2014-01-13 06,33,0,0,33,0,0,0
2014-01-13 07,38,0,2,36,0,0,0
2014-01-13 08,93,0,10,83,0,0,0
2014-01-13 09,108,1,10,97,0,0,0
2014-01-13 10,109,0,8,101,0,0,0
2014-01-13 11,108,1,8,99,0,0,0
2014-01-13 12,109,2,16,91,0,0,0
2014-01-13 13,110,3,10,97,0,0,0
2014-01-13 14,112,2,14,96,0,0,0
2014-01-13 15,141,4,14,123,0,0,0
2014-01-13 16,221,10,26,185,0,0,0
2014-01-13 17,252,14,32,206,0,0,0
2014-01-13 18,202,9,20,173,0,0,0
2014-01-13 19,223,8,38,177,0,0,0
2014-01-13 20,236,8,34,194,0,0,0
2014-01-13 21,225,7,32,186,0,0,0
2014-01-13 22,221,3,30,188,0,0,0
2014-01-13 23,191,5,22,164,0,0,0
2014-01-14 00,164,1,16,147,0,0,0
2014-01-14 01,165,1,12,152,0,0,0
2014-01-14 02,104,3,0,101,0,0,0
2014-01-14 03,87,0,0,87,0,0,0
2014-01-14 04,45,1,2,42,0,0,0
2014-01-14 05,27,0,0,27,0,0,0
2014-01-14 06,29,0,0,29,0,0,0
2014-01-14 07,65,0,0,65,0,0,0
2014-01-14 08,167,7,8,152,0,0,0
2014-01-14 09,265,14,60,191,0,0,0
2014-01-14 10,235,13,32,190,0,0,0
2014-01-14 11,236,12,34,190,0,0,0
2014-01-14 12,224,10,36,178,0,0,0
2014-01-14 13,184,9,18,157,0,0,0
2014-01-14 14,248,19,26,203,0,0,0
2014-01-14 15,253,11,28,214,0,0,0
2014-01-14 16,235,6,20,209,0,0,0
2014-01-14 17,241,8,20,213,0,0,0
2014-01-14 18,219,1,18,200,0,0,0
2014-01-14 19,252,13,30,209,0,0,0
2014-01-14 20,239,6,26,207,0,0,0
2014-01-14 21,285,20,54,211,0,0,0
2014-01-14 22,264,6,38,220,0,0,0
2014-01-14 23,245,9,34,202,0,0,0
2014-01-15 00,198,6,18,174,0,0,0
2014-01-15 01,144,0,4,140,0,0,0
2014-01-15 02,125,2,2,121,0,0,0
2014-01-15 03,85,0,0,85,0,0,0
2014-01-15 04,62,2,6,54,0,0,0
2014-01-15 05,46,1,0,45,0,0,0
2014-01-15 06,50,0,0,50,0,0,0
2014-01-15 07,89,4,10,75,0,0,0
2014-01-15 08,187,2,12,173,0,0,0
2014-01-15 09,263,12,52,199,0,0,0
2014-01-15 10,269,12,48,209,0,0,0
2014-01-15 11,285,15,52,218,0,0,0
2014-01-15 12,263,9,44,210,0,0,0
2014-01-15 13,236,9,26,201,0,0,0
2014-01-15 14,246,13,38,195,0,0,0
2014-01-15 15,286,24,64,198,0,0,0
2014-01-15 16,249,8,20,221,0,0,0
2014-01-15 17,254,8,36,210,0,0,0
2014-01-15 18,220,3,20,197,0,0,0
2014-01-15 20,231,7,18,206,0,0,0
2014-01-15 21,220,23,34,163,0,0,0
2014-01-15 22,145,8,20,117,0,0,0
2014-01-15 23,211,10,28,173,0,0,0
2014-01-16 00,188,4,6,178,0,0,0
2014-01-16 01,134,2,0,132,0,0,0
2014-01-16 02,96,2,0,94,0,0,0
2014-01-16 03,81,0,2,79,0,0,0
2014-01-16 04,46,0,0,46,0,0,0
2014-01-16 05,44,0,2,42,0,0,0
2014-01-16 06,47,1,0,46,0,0,0
2014-01-16 07,116,1,18,97,0,0,0
2014-01-16 08,181,2,10,169,0,0,0
2014-01-16 09,221,6,16,199,0,0,0
2014-01-16 10,228,9,16,203,0,0,0
2014-01-16 11,248,9,18,221,0,0,0
2014-01-16 12,221,7,18,196,0,0,0
2014-01-16 13,248,12,26,210,0,0,0
2014-01-16 14,251,10,22,219,0,0,0
2014-01-16 15,235,8,22,205,0,0,0
2014-01-16 16,247,11,26,210,0,0,0
2014-01-16 17,215,6,14,195,0,0,0
2014-01-16 18,189,5,14,170,0,0,0
2014-01-16 19,208,7,10,191,0,0,0
2014-01-16 20,275,10,40,225,0,0,0
2014-01-16 21,229,7,22,200,0,0,0
2014-01-16 22,254,4,40,210,0,0,0
2014-01-16 23,223,6,22,195,0,0,0
2014-01-17 00,171,1,4,166,0,0,0
2014-01-17 01,135,1,0,134,0,0,0
2014-01-17 02,110,1,2,107,0,0,0
2014-01-17 03,71,2,2,67,0,0,0
2014-01-17 04,63,2,0,61,0,0,0
2014-01-17 05,50,0,0,50,0,0,0
2014-01-17 06,43,0,0,43,0,0,0
2014-01-17 07,98,1,6,91,0,0,0
2014-01-17 08,175,2,10,163,0,0,0
2014-01-17 09,222,14,20,188,0,0,0
2014-01-17 10,265,12,40,213,0,0,0
2014-01-17 11,247,10,24,213,0,0,0
2014-01-17 12,236,5,28,203,0,0,0
2014-01-17 13,208,7,18,183,0,0,0
2014-01-17 14,252,11,32,209,0,0,0
2014-01-17 15,216,5,8,203,0,0,0
2014-01-17 16,230,8,22,200,0,0,0
2014-01-17 17,174,5,10,159,0,0,0
2014-01-17 18,133,2,2,129,0,0,0
2014-01-17 19,123,2,2,119,0,0,0
2014-01-17 20,126,3,2,121,0,0,0
2014-01-17 21,110,1,2,107,0,0,0
2014-01-17 22,125,3,2,120,0,0,0
2014-01-17 23,114,0,4,110,0,0,0
2014-01-18 00,100,2,2,96,0,0,0
2014-01-18 01,82,1,0,81,0,0,0
2014-01-18 02,56,3,0,53,0,0,0
2014-01-18 03,42,1,2,39,0,0,0
2014-01-18 04,36,0,0,36,0,0,0
2014-01-18 05,26,0,0,26,0,0,0
2014-01-18 06,22,0,0,22,0,0,0
2014-01-18 07,56,0,4,52,0,0,0
2014-01-18 08,103,2,10,91,0,0,0
2014-01-18 09,136,1,4,131,0,0,0
2014-01-18 10,161,4,14,143,0,0,0
2014-01-18 11,110,4,2,104,0,0,0
2014-01-18 12,121,1,8,112,0,0,0
