date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,24593,1347,0,23246,0,0,0
2014-01-07 18,23734,1301,0,22433,0,0,0
2014-01-07 19,23388,1334,0,22054,0,0,0
2014-01-07 20,24235,1378,0,22857,0,0,0
2014-01-07 21,27734,1588,0,26146,0,0,0
2014-01-07 22,28199,1586,0,26613,0,0,0
2014-01-07 23,19465,1074,0,18391,0,0,0
2014-01-08 00,6555,395,0,6160,0,0,0
2014-01-08 01,2568,170,0,2398,0,0,0
2014-01-08 02,908,60,0,848,0,0,0
2014-01-08 03,458,36,0,422,0,0,0
2014-01-08 04,437,32,0,405,0,0,0
2014-01-08 05,392,36,0,356,0,0,0
2014-01-08 06,623,44,0,579,0,0,0
2014-01-08 07,2074,163,0,1911,0,0,0
2014-01-08 08,8707,618,0,8089,0,0,0
2014-01-08 09,18664,1229,0,17435,0,0,0
2014-01-08 10,22835,1526,0,21309,0,0,0
2014-01-08 11,26029,1554,0,24475,0,0,0
2014-01-08 12,30864,1860,0,29004,0,0,0
2014-01-08 13,22513,1276,0,21237,0,0,0
2014-01-08 14,18165,1043,0,17122,0,0,0
2014-01-08 15,17777,1085,0,16692,0,0,0
2014-01-08 16,17445,938,0,16507,0,0,0
2014-01-08 17,16164,908,2,15254,0,0,0
2014-01-08 18,18431,990,0,17441,0,0,0
2014-01-08 19,20999,1194,0,19805,0,0,0
2014-01-08 20,22999,1297,0,21702,0,0,0
2014-01-08 21,27553,1496,0,26057,0,0,0
2014-01-08 22,26015,1456,0,24559,0,0,0
2014-01-08 23,13340,766,0,12574,0,0,0
2014-01-09 00,5310,337,0,4973,0,0,0
2014-01-09 01,2432,162,0,2270,0,0,0
2014-01-09 02,1571,107,0,1464,0,0,0
2014-01-09 03,865,75,0,790,0,0,0
2014-01-09 04,524,43,0,481,0,0,0
2014-01-09 05,481,32,0,449,0,0,0
2014-01-09 06,584,52,0,532,0,0,0
2014-01-09 07,2372,179,0,2193,0,0,0
2014-01-09 08,7835,527,0,7308,0,0,0
2014-01-09 09,16121,1031,0,15090,0,0,0
2014-01-09 10,19288,1291,0,17997,0,0,0
2014-01-09 11,19183,1166,0,18017,0,0,0
2014-01-09 12,19291,1081,0,18210,0,0,0
2014-01-09 13,16543,1044,0,15499,0,0,0
2014-01-09 14,14036,869,0,13167,0,0,0
2014-01-09 15,14847,836,0,14011,0,0,0
2014-01-09 16,15364,845,0,14519,0,0,0
2014-01-09 17,12678,658,0,12020,0,0,0
2014-01-09 18,13341,736,0,12605,0,0,0
2014-01-09 19,14299,812,0,13487,0,0,0
2014-01-09 20,16915,912,0,16003,0,0,0
2014-01-09 21,18418,1015,0,17403,0,0,0
2014-01-09 22,18931,1080,0,17851,0,0,0
2014-01-09 23,10096,568,0,9528,0,0,0
2014-01-10 00,4559,297,0,4262,0,0,0
2014-01-10 01,2302,155,0,2147,0,0,0
2014-01-10 02,1223,64,0,1159,0,0,0
2014-01-10 03,645,38,0,607,0,0,0
2014-01-10 04,280,26,0,254,0,0,0
2014-01-10 05,272,17,0,255,0,0,0
