date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,14273,7246,179,6848,0,0,0
2014-01-07 18,15185,7819,204,7162,0,0,0
2014-01-07 19,15247,7904,122,7221,0,0,0
2014-01-07 20,17463,8941,155,8367,0,0,0
2014-01-07 21,18945,9809,186,8950,0,0,0
2014-01-07 22,13330,6694,129,6507,0,0,0
2014-01-07 23,11323,5816,90,5417,0,0,0
2014-01-08 00,7787,3992,17,3778,0,0,0
2014-01-08 01,4818,2448,20,2350,0,0,0
2014-01-08 02,2780,1349,6,1425,0,0,0
2014-01-08 03,2049,1082,2,965,0,0,0
2014-01-08 04,1876,933,4,939,0,0,0
2014-01-08 05,2358,1180,2,1176,0,0,0
2014-01-08 06,3470,1784,8,1678,0,0,0
2014-01-08 07,8349,4529,26,3794,0,0,0
2014-01-08 08,15277,8130,190,6957,0,0,0
2014-01-08 09,18860,9971,226,8663,0,0,0
2014-01-08 10,19506,9987,238,9281,0,0,0
2014-01-08 11,17170,8889,192,8089,0,0,0
2014-01-08 12,15952,8274,213,7465,0,0,0
2014-01-08 13,15192,7797,234,7161,0,0,0
2014-01-08 14,17448,8896,216,8335,0,0,1
2014-01-08 15,18155,9076,232,8847,0,0,0
2014-01-08 16,17277,8777,200,8300,0,0,0
2014-01-08 17,13190,6948,108,6134,0,0,0
2014-01-08 18,13566,7045,118,6403,0,0,0
2014-01-08 19,14623,7463,114,7046,0,0,0
2014-01-08 20,16655,8622,134,7899,0,0,0
2014-01-08 21,15273,7940,153,7180,0,0,0
2014-01-08 22,12606,6546,152,5908,0,0,0
2014-01-08 23,10459,5428,64,4967,0,0,0
2014-01-09 00,7424,3882,26,3516,0,0,0
2014-01-09 01,5034,2525,8,2501,0,0,0
2014-01-09 02,3494,1776,2,1716,0,0,0
2014-01-09 03,2212,1075,8,1129,0,0,0
2014-01-09 04,1941,960,2,979,0,0,0
2014-01-09 05,2388,1173,4,1211,0,0,0
2014-01-09 06,3491,1762,4,1725,0,0,0
2014-01-09 07,7626,3971,34,3621,0,0,0
2014-01-09 08,16140,8311,152,7677,0,0,0
2014-01-09 09,17946,9308,253,8385,0,0,0
2014-01-09 10,15862,8136,148,7578,0,0,0
2014-01-09 11,14701,7697,162,6842,0,0,0
2014-01-09 12,14393,7495,119,6779,0,0,0
2014-01-09 13,15122,7709,151,7262,0,0,0
2014-01-09 14,15253,7880,178,7194,0,1,0
2014-01-09 15,16576,8436,146,7994,0,0,0
2014-01-09 16,16519,8608,110,7801,0,0,0
2014-01-09 17,10982,5768,106,5108,0,0,0
2014-01-09 18,11862,6277,82,5503,0,0,0
2014-01-09 19,13701,7014,80,6607,0,0,0
2014-01-09 20,13876,7254,104,6518,0,0,0
2014-01-09 21,11958,6258,82,5618,0,0,0
2014-01-09 22,10142,5563,52,4527,0,0,0
2014-01-09 23,8461,4520,38,3903,0,0,0
2014-01-10 00,5948,3186,14,2748,0,0,0
2014-01-10 01,4361,2242,10,2109,0,0,0
2014-01-10 02,3396,1749,14,1633,0,0,0
2014-01-10 03,2332,1135,6,1191,0,0,0
2014-01-10 04,1882,973,10,899,0,0,0
2014-01-10 05,2104,1091,4,1009,0,0,0
2014-01-10 06,3340,1761,6,1573,0,0,0
2014-01-10 07,7362,4022,4,3336,0,0,0
2014-01-10 08,12755,6805,78,5872,0,0,0
2014-01-10 09,15990,8235,226,7529,0,0,0
2014-01-10 10,16152,8402,230,7520,0,0,0
2014-01-10 11,14101,7543,190,6368,0,0,0
