date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,1,1,0,0,0,0,0
2014-01-07 20,2,2,0,0,0,0,0
2014-01-07 21,5,5,0,0,0,0,0
2014-01-08 00,1,1,0,0,0,0,0
2014-01-08 01,1,1,0,0,0,0,0
2014-01-08 09,4,4,0,0,0,0,0
2014-01-08 10,1,1,0,0,0,0,0
2014-01-08 20,3,3,0,0,0,0,0
2014-01-08 21,1,1,0,0,0,0,0
2014-01-09 00,1,1,0,0,0,0,0
2014-01-09 10,2,2,0,0,0,0,0
2014-01-09 20,3,3,0,0,0,0,0
2014-01-09 21,1,1,0,0,0,0,0
2014-01-10 00,2,0,0,2,0,0,0
2014-01-10 10,1,1,0,0,0,0,0
2014-01-11 14,1,1,0,0,0,0,0
2014-01-13 18,3,3,0,0,0,0,0
2014-01-14 01,1,1,0,0,0,0,0
2014-01-15 00,1,1,0,0,0,0,0
2014-01-15 01,6,5,0,1,0,0,0
2014-01-15 22,1,1,0,0,0,0,0
2014-01-20 01,1,1,0,0,0,0,0
2014-01-21 02,7,7,0,0,0,0,0
2014-01-22 04,6,6,0,0,0,0,0
2014-01-22 09,1,1,0,0,0,0,0
2014-01-22 15,1,1,0,0,0,0,0
2014-01-22 16,1,1,0,0,0,0,0
2014-01-23 15,5,5,0,0,0,0,0
2014-01-24 02,3,3,0,0,0,0,0
2014-01-25 02,3,3,0,0,0,0,0
2014-01-26 02,3,3,0,0,0,0,0
2014-01-27 11,1,1,0,0,0,0,0
2014-02-17 15,1,1,0,0,0,0,0
2014-02-18 02,2,2,0,0,0,0,0
2014-02-19 02,2,2,0,0,0,0,0
2014-02-19 15,2,0,0,2,0,0,0
2014-02-19 16,1,1,0,0,0,0,0
2014-02-20 02,1,1,0,0,0,0,0
2014-02-20 03,1,1,0,0,0,0,0
2014-02-23 12,2,2,0,0,0,0,0
2014-02-23 14,1,1,0,0,0,0,0
2014-02-26 03,2,2,0,0,0,0,0
2014-02-26 06,2,2,0,0,0,0,0
2014-02-27 04,1,1,0,0,0,0,0
2014-02-27 09,1,1,0,0,0,0,0
2014-02-28 02,2,2,0,0,0,0,0
2014-03-01 03,3,3,0,0,0,0,0
2014-03-01 10,3,3,0,0,0,0,0
2014-03-02 03,2,2,0,0,0,0,0
2014-03-02 04,2,2,0,0,0,0,0
