date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,1175845,1021579,2,154264,0,0,0
2014-01-07 18,1217129,1056588,2,160539,0,0,0
2014-01-07 19,1179127,1023258,8,155861,0,0,0
2014-01-07 20,1210347,1051230,2,159115,0,0,0
2014-01-07 21,1110284,963842,2,146440,0,0,0
2014-01-07 22,1052252,912963,0,139289,0,0,0
2014-01-07 23,1002430,870529,0,131901,0,0,0
2014-01-08 00,745881,650492,0,95389,0,0,0
2014-01-08 01,506869,444959,0,61910,0,0,0
2014-01-08 02,410525,361867,0,48658,0,0,0
2014-01-08 03,327442,290286,0,37156,0,0,0
2014-01-08 04,291685,259282,0,32403,0,0,0
2014-01-08 05,267779,238081,0,29698,0,0,0
2014-01-08 06,294353,261471,0,32882,0,0,0
2014-01-08 07,420594,370374,0,50220,0,0,0
2014-01-08 08,698573,610952,0,87621,0,0,0
2014-01-08 09,954545,832027,4,122514,0,0,0
2014-01-08 10,1075235,935939,0,139296,0,0,0
2014-01-08 11,1175114,1021815,2,153297,0,0,0
2014-01-08 12,1199043,1041265,0,157778,0,0,0
2014-01-08 13,1129873,982403,0,147470,0,0,0
2014-01-08 14,581974,438191,0,143783,0,0,0
2014-01-08 15,556405,419490,0,136915,0,0,0
2014-01-08 16,539029,404046,0,134983,0,0,0
2014-01-08 17,533374,399982,2,133390,0,0,0
2014-01-08 18,570989,427632,2,143355,0,0,0
2014-01-08 19,580734,435529,0,145205,0,0,0
2014-01-08 20,569374,426529,0,142845,0,0,0
2014-01-08 21,577805,433033,0,144772,0,0,0
2014-01-08 22,544041,407163,2,136876,0,0,0
2014-01-08 23,475274,357937,0,117337,0,0,0
2014-01-09 00,338624,257317,0,81307,0,0,0
2014-01-09 01,274366,211745,0,62621,0,0,0
2014-01-09 02,224218,174636,0,49582,0,0,0
2014-01-09 03,186045,147062,0,38983,0,0,0
2014-01-09 04,159384,126497,0,32887,0,0,0
2014-01-09 05,149022,119379,0,29643,0,0,0
2014-01-09 06,168749,134119,0,34630,0,0,0
2014-01-09 07,246617,191281,0,55336,0,0,0
2014-01-09 08,385561,293054,0,92507,0,0,0
2014-01-09 09,515646,390264,4,125378,0,0,0
2014-01-09 10,521320,393847,0,127473,0,0,0
2014-01-09 11,518573,391595,0,126978,0,0,0
2014-01-09 12,538657,403928,0,134729,0,0,0
2014-01-09 13,561584,422119,0,139465,0,0,0
2014-01-09 14,559334,421513,0,137821,0,0,0
2014-01-09 15,557276,420158,0,137118,0,0,0
2014-01-09 16,531440,400298,0,131142,0,0,0
2014-01-09 17,427065,321210,0,105855,0,0,0
2014-01-09 18,445701,334288,0,111413,0,0,0
2014-01-09 19,456088,342493,0,113595,0,0,0
2014-01-09 20,446689,334706,0,111983,0,0,0
2014-01-09 21,445122,334259,0,110863,0,0,0
2014-01-09 22,422107,316110,0,105997,0,0,0
2014-01-09 23,373083,280756,0,92327,0,0,0
2014-01-10 00,270910,205837,0,65073,0,0,0
2014-01-10 01,270865,209319,0,61546,0,0,0
2014-01-10 02,232032,181129,0,50903,0,0,0
2014-01-10 03,190975,150927,0,40048,0,0,0
2014-01-10 04,167011,133421,0,33590,0,0,0
2014-01-10 05,150100,120344,0,29756,0,0,0
2014-01-10 06,170751,135441,0,35310,0,0,0
2014-01-10 07,249178,192987,0,56191,0,0,0
2014-01-10 08,331735,252335,0,79400,0,0,0
2014-01-10 09,442778,335929,0,106849,0,0,0
2014-01-10 10,502021,379180,0,122841,0,0,0
2014-01-10 11,481302,361780,0,119522,0,0,0
2014-01-10 12,545455,410224,0,135231,0,0,0
2014-01-10 13,488871,368068,0,120803,0,0,0
2014-01-10 14,583846,441433,0,142413,0,0,0
2014-01-10 15,574522,433953,0,140569,0,0,0
2014-01-10 16,565708,426409,0,139299,0,0,0
2014-01-10 17,503431,379978,0,123453,0,0,0
2014-01-10 18,532462,400173,0,132289,0,0,0
2014-01-10 19,592701,444593,0,148108,0,0,0
2014-01-10 20,601318,450749,4,150565,0,0,0
2014-01-10 21,473957,355219,0,118738,0,0,0
2014-01-10 22,387393,289172,0,98221,0,0,0
2014-01-10 23,346867,259172,0,87695,0,0,0
2014-01-11 00,280940,212022,0,68918,0,0,0
2014-01-11 01,267847,205338,0,62509,0,0,0
2014-01-11 02,240710,186411,0,54299,0,0,0
2014-01-11 03,199662,157006,0,42656,0,0,0
2014-01-11 04,167079,132630,0,34449,0,0,0
2014-01-11 05,152495,122066,0,30429,0,0,0
2014-01-11 06,165408,131652,0,33756,0,0,0
2014-01-11 07,215797,168453,0,47344,0,0,0
2014-01-11 08,319601,244699,0,74902,0,0,0
2014-01-11 09,421805,319025,2,102778,0,0,0
2014-01-11 10,491237,371385,0,119852,0,0,0
2014-01-11 11,513804,387368,0,126436,0,0,0
2014-01-11 12,474470,357439,0,117031,0,0,0
2014-01-11 13,458650,346485,0,112165,0,0,0
2014-01-11 14,436353,330277,0,106076,0,0,0
2014-01-11 20,455016,343024,0,111992,0,0,0
2014-01-11 21,395391,297619,0,97772,0,0,0
2014-01-11 23,301559,227044,0,74515,0,0,0
2014-01-12 00,90156,67970,0,22186,0,0,0
2014-01-12 01,129377,99062,0,30315,0,0,0
2014-01-12 02,119986,93250,0,26736,0,0,0
2014-01-12 03,94042,73744,0,20298,0,0,0
2014-01-12 04,80779,63738,0,17041,0,0,0
2014-01-12 05,73129,58290,0,14839,0,0,0
2014-01-12 06,75196,59789,0,15407,0,0,0
2014-01-12 07,103309,80280,0,23029,0,0,0
2014-01-12 08,106421,81082,0,25339,0,0,0
2014-01-12 09,133075,100269,0,32806,0,0,0
2014-01-12 10,166780,125402,0,41378,0,0,0
2014-01-12 11,172369,129366,0,43003,0,0,0
2014-01-12 12,177243,132842,0,44401,0,0,0
2014-01-12 13,250430,188751,0,61679,0,0,0
2014-01-12 14,241958,182234,0,59724,0,0,0
2014-01-12 15,238392,179664,0,58728,0,0,0
2014-01-12 16,241701,182459,0,59242,0,0,0
2014-01-12 17,235681,177632,0,58049,0,0,0
2014-01-12 18,239100,179984,0,59116,0,0,0
2014-01-12 19,247330,186198,0,61132,0,0,0
2014-01-12 20,251738,189560,0,62178,0,0,0
2014-01-12 21,248362,187178,0,61184,0,0,0
2014-01-12 22,231179,174523,0,56656,0,0,0
2014-01-12 23,193959,146382,0,47577,0,0,0
2014-01-13 00,163720,124856,0,38864,0,0,0
2014-01-13 01,131466,101743,0,29723,0,0,0
2014-01-13 02,105333,82334,0,22999,0,0,0
2014-01-13 03,88187,70130,0,18057,0,0,0
2014-01-13 04,76489,61059,0,15430,0,0,0
2014-01-13 05,68179,54863,0,13316,0,0,0
2014-01-13 06,75076,59669,0,15407,0,0,0
2014-01-13 07,101211,78683,0,22528,0,0,0
2014-01-13 08,168055,128191,0,39864,0,0,0
2014-01-13 09,218492,165389,0,53103,0,0,0
2014-01-13 10,246829,186649,0,60180,0,0,0
2014-01-13 11,263673,199442,0,64231,0,0,0
2014-01-13 12,240494,180929,0,59565,0,0,0
2014-01-13 13,228197,172494,0,55703,0,0,0
2014-01-13 14,231400,175414,0,55986,0,0,0
2014-01-13 15,230157,174392,0,55765,0,0,0
2014-01-13 16,451220,342632,0,108588,0,0,0
2014-01-13 17,517231,392145,0,125086,0,0,0
2014-01-13 18,469284,354156,0,115128,0,0,0
2014-01-13 19,432639,326018,0,106621,0,0,0
2014-01-13 20,471841,356723,0,115118,0,0,0
2014-01-13 21,457678,345228,0,112450,0,0,0
2014-01-13 22,445130,336607,0,108523,0,0,0
2014-01-13 23,296449,224793,0,71656,0,0,0
2014-01-14 00,275403,210790,0,64613,0,0,0
2014-01-14 01,266907,207469,2,59436,0,0,0
2014-01-14 02,207480,163714,0,43766,0,0,0
2014-01-14 03,173755,138118,0,35637,0,0,0
2014-01-14 04,145397,116885,0,28512,0,0,0
2014-01-14 05,150555,121650,0,28905,0,0,0
2014-01-14 06,145596,116642,0,28954,0,0,0
2014-01-14 07,196920,155083,0,41837,0,0,0
2014-01-14 08,331512,253427,0,78085,0,0,0
2014-01-14 09,412325,313613,0,98712,0,0,0
2014-01-14 10,508370,385456,0,122914,0,0,0
2014-01-14 11,541393,409882,0,131511,0,0,0
2014-01-14 12,488489,368844,0,119645,0,0,0
2014-01-14 13,412768,312561,2,100205,0,0,0
2014-01-14 14,469966,355815,0,114151,0,0,0
2014-01-14 15,533028,404047,0,128981,0,0,0
2014-01-14 16,516358,391466,0,124892,0,0,0
2014-01-14 17,496126,374877,0,121249,0,0,0
2014-01-14 18,461521,347953,2,113566,0,0,0
2014-01-14 19,490164,369481,0,120683,0,0,0
2014-01-14 20,512934,386524,0,126410,0,0,0
2014-01-14 21,508646,384015,0,124631,0,0,0
2014-01-14 22,472504,357164,0,115340,0,0,0
2014-01-14 23,393100,298795,0,94305,0,0,0
2014-01-15 00,317929,243786,0,74143,0,0,0
2014-01-15 01,261461,203170,0,58291,0,0,0
2014-01-15 02,204341,160276,0,44065,0,0,0
2014-01-15 03,165683,131514,0,34169,0,0,0
2014-01-15 04,146104,116929,0,29175,0,0,0
2014-01-15 05,134117,107977,0,26140,0,0,0
2014-01-15 06,149922,120269,0,29653,0,0,0
2014-01-15 07,201096,158135,0,42961,0,0,0
2014-01-15 08,328047,251585,0,76462,0,0,0
2014-01-15 09,414743,316072,4,98667,0,0,0
2014-01-15 10,460887,350655,0,110232,0,0,0
2014-01-15 11,478436,363664,0,114772,0,0,0
2014-01-15 12,508170,385057,0,123113,0,0,0
2014-01-15 13,473735,359984,4,113747,0,0,0
2014-01-15 14,434840,329960,0,104880,0,0,0
2014-01-15 15,385241,291595,0,93646,0,0,0
2014-01-15 16,288016,218652,0,69364,0,0,0
2014-01-15 17,276377,209265,0,67112,0,0,0
2014-01-15 18,277976,209858,0,68118,0,0,0
2014-01-15 20,288746,218251,0,70495,0,0,0
2014-01-15 21,471474,356635,0,114839,0,0,0
2014-01-15 22,393282,297558,0,95724,0,0,0
2014-01-15 23,345902,261754,0,84148,0,0,0
2014-01-16 00,297072,227021,0,70051,0,0,0
2014-01-16 01,232479,179962,0,52517,0,0,0
2014-01-16 02,178001,139121,0,38880,0,0,0
2014-01-16 03,151879,120161,0,31718,0,0,0
2014-01-16 04,127941,102334,0,25607,0,0,0
2014-01-16 05,116955,93905,0,23050,0,0,0
2014-01-16 06,135305,107807,0,27498,0,0,0
2014-01-16 07,189150,147248,0,41902,0,0,0
2014-01-16 08,290820,221902,0,68918,0,0,0
2014-01-16 09,374680,285231,0,89449,0,0,0
2014-01-16 10,433963,329045,0,104918,0,0,0
2014-01-16 11,443380,336534,0,106846,0,0,0
2014-01-16 12,447936,339382,0,108554,0,0,0
2014-01-16 13,452434,343634,0,108800,0,0,0
2014-01-16 14,439270,333412,0,105858,0,0,0
