date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,7487,2182,8,5297,0,0,0
2014-01-07 18,7317,2024,2,5291,0,0,0
2014-01-07 19,6403,1839,6,4558,0,0,0
2014-01-07 20,8704,2403,4,6297,0,0,0
2014-01-07 21,9416,2677,0,6738,0,1,0
2014-01-07 22,8782,2395,4,6383,0,0,0
2014-01-07 23,6521,1669,0,4852,0,0,0
2014-01-08 00,3792,928,0,2864,0,0,0
2014-01-08 01,2086,587,2,1497,0,0,0
2014-01-08 02,1005,338,0,667,0,0,0
2014-01-08 03,614,207,0,407,0,0,0
2014-01-08 04,451,174,0,276,0,1,0
2014-01-08 05,385,140,0,245,0,0,0
2014-01-08 06,560,179,0,380,0,1,0
2014-01-08 07,1103,337,0,765,0,1,0
2014-01-08 08,3798,1021,0,2776,0,1,0
2014-01-08 09,7414,2064,4,5346,0,0,0
2014-01-08 10,9134,2421,4,6707,0,2,0
2014-01-08 11,8305,2347,6,5952,0,0,0
2014-01-08 12,8793,2335,2,6454,0,2,0
2014-01-08 13,8089,2191,0,5897,0,1,0
2014-01-08 14,7927,2191,10,5725,0,1,0
2014-01-08 15,7862,2199,6,5657,0,0,0
2014-01-08 16,7601,2032,0,5569,0,0,0
2014-01-08 17,5718,1514,2,4201,0,1,0
2014-01-08 18,5830,1639,6,4185,0,0,0
2014-01-08 19,6548,1787,6,4755,0,0,0
2014-01-08 20,7701,2174,4,5523,0,0,0
2014-01-08 21,8351,2408,4,5939,0,0,0
2014-01-08 22,8247,2291,2,5954,0,0,0
2014-01-08 23,4936,1331,0,3605,0,0,0
2014-01-09 00,2861,752,0,2109,0,0,0
2014-01-09 01,1596,483,0,1113,0,0,0
2014-01-09 02,966,343,0,622,0,1,0
2014-01-09 03,683,232,0,450,0,1,0
2014-01-09 04,603,168,2,431,0,2,0
2014-01-09 05,569,176,0,392,0,1,0
2014-01-09 06,686,258,0,428,0,0,0
2014-01-09 07,908,291,0,616,0,1,0
2014-01-09 08,3688,951,2,2735,0,0,0
2014-01-09 09,7234,1863,10,5359,0,2,0
2014-01-09 10,8407,2213,0,6194,0,0,0
2014-01-09 11,6852,1787,0,5065,0,0,0
2014-01-09 12,6770,1875,2,4893,0,0,0
2014-01-09 13,6827,1753,8,5066,0,0,0
2014-01-09 14,7161,1908,0,5253,0,0,0
2014-01-09 15,7154,1936,2,5216,0,0,0
2014-01-09 16,7129,2004,4,5121,0,0,0
2014-01-09 17,5318,1481,8,3829,0,0,0
2014-01-09 18,4529,1202,6,3321,0,0,0
2014-01-09 19,4846,1378,4,3464,0,0,0
2014-01-09 20,6192,1618,2,4572,0,0,0
2014-01-09 21,6915,1876,4,5035,0,0,0
2014-01-09 22,6508,1651,2,4855,0,0,0
2014-01-09 23,4072,1094,2,2976,0,0,0
2014-01-10 00,3090,741,0,2348,0,1,0
2014-01-10 01,1927,530,0,1397,0,0,0
2014-01-10 02,1023,343,0,679,0,1,0
2014-01-10 03,672,180,0,490,0,2,0
2014-01-10 04,505,185,0,318,0,2,0
2014-01-10 05,496,157,0,338,0,1,0
2014-01-10 06,676,213,0,462,0,1,0
2014-01-10 07,1024,279,0,744,0,1,0
2014-01-10 08,3149,824,0,2325,0,0,0
2014-01-10 09,5532,1497,0,4033,0,2,0
2014-01-10 10,7914,2020,4,5890,0,0,0
2014-01-10 11,6195,1636,4,4554,0,1,0
2014-01-10 12,6370,1674,2,4691,0,3,0
2014-01-10 13,6544,1655,4,4884,0,1,0
2014-01-10 14,6994,1895,0,5099,0,0,0
2014-01-10 15,7347,2051,0,5296,0,0,0
2014-01-10 16,7247,1946,0,5300,0,1,0
2014-01-10 17,5002,1277,0,3725,0,0,0
2014-01-10 18,5204,1485,2,3717,0,0,0
2014-01-10 19,6110,1656,0,4454,0,0,0
2014-01-10 20,7526,2044,0,5482,0,0,0
2014-01-10 21,6183,1693,0,4490,0,0,0
2014-01-10 22,4910,1381,2,3527,0,0,0
2014-01-10 23,4026,1055,0,2971,0,0,0
2014-01-11 00,2866,715,0,2151,0,0,0
2014-01-11 01,1953,557,0,1396,0,0,0
2014-01-11 02,1150,349,0,801,0,0,0
2014-01-11 03,682,203,0,479,0,0,0
2014-01-11 04,472,158,0,314,0,0,0
2014-01-11 05,476,165,0,311,0,0,0
2014-01-11 06,582,177,0,405,0,0,0
2014-01-11 07,844,242,0,602,0,0,0
2014-01-11 08,2197,567,0,1630,0,0,0
2014-01-11 09,4160,1169,0,2991,0,0,0
2014-01-11 10,6236,1665,0,4570,0,1,0
2014-01-11 11,5669,1527,0,4141,0,1,0
2014-01-11 12,4875,1333,0,3542,0,0,0
2014-01-11 13,4767,1389,0,3378,0,0,0
2014-01-11 14,4641,1318,2,3321,0,0,0
2014-01-11 20,4940,1333,2,3605,0,0,0
2014-01-11 21,5250,1491,0,3759,0,0,0
2014-01-11 23,3072,776,0,2296,0,0,0
2014-01-12 00,1166,320,0,846,0,0,0
2014-01-12 01,1226,321,0,905,0,0,0
2014-01-12 02,632,208,0,424,0,0,0
2014-01-12 03,406,122,0,283,0,1,0
2014-01-12 04,328,128,0,200,0,0,0
2014-01-12 05,288,121,0,166,0,1,0
2014-01-12 06,297,99,0,198,0,0,0
2014-01-12 07,389,142,0,247,0,0,0
2014-01-12 08,843,228,0,615,0,0,0
2014-01-12 09,1483,457,0,1026,0,0,0
2014-01-12 10,2233,651,0,1582,0,0,0
2014-01-12 11,2084,564,0,1520,0,0,0
2014-01-12 12,2144,550,0,1594,0,0,0
2014-01-12 13,2923,800,0,2123,0,0,0
2014-01-12 14,2706,752,0,1954,0,0,0
2014-01-12 15,2681,763,0,1918,0,0,0
2014-01-12 16,2320,714,0,1606,0,0,0
