date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,207079,201776,124,5179,0,0,0
2014-01-07 18,182893,178090,94,4709,0,0,0
2014-01-07 19,192387,187494,120,4773,0,0,0
2014-01-07 20,195223,190416,112,4695,0,0,0
2014-01-07 21,205648,200749,82,4817,0,0,0
2014-01-07 22,202468,197749,70,4649,0,0,0
2014-01-07 23,206996,201909,124,4963,0,0,0
2014-01-08 00,152939,148855,84,4000,0,0,0
2014-01-08 01,85399,82765,60,2574,0,0,0
2014-01-08 02,53050,51133,16,1901,0,0,0
2014-01-08 03,34248,32869,12,1367,0,0,0
2014-01-08 04,27130,25925,12,1193,0,0,0
2014-01-08 05,24519,23307,6,1206,0,0,0
2014-01-08 06,35123,33507,2,1614,0,0,0
2014-01-08 07,77946,74935,20,2991,0,0,0
2014-01-08 08,208863,203362,82,5419,0,0,0
2014-01-08 09,315626,308667,98,6861,0,0,0
2014-01-08 10,304581,297921,128,6532,0,0,0
2014-01-08 11,262192,256002,129,6061,0,0,0
2014-01-08 12,244240,238334,141,5765,0,0,0
2014-01-08 13,224438,218881,121,5436,0,0,0
2014-01-08 14,51128,45562,162,5404,0,0,0
2014-01-08 15,47941,42723,131,5087,0,0,0
2014-01-08 16,46737,41686,133,4918,0,0,0
2014-01-08 17,39892,35047,134,4711,0,0,0
2014-01-08 18,38012,33404,100,4508,0,0,0
2014-01-08 19,39046,34544,104,4398,0,0,0
2014-01-08 20,40710,36121,105,4484,0,0,0
2014-01-08 21,42292,37642,94,4556,0,0,0
2014-01-08 22,43410,38819,75,4516,0,0,0
2014-01-08 23,41957,37476,95,4386,0,0,0
2014-01-09 00,29257,25887,58,3312,0,0,0
2014-01-09 01,14760,12276,48,2436,0,0,0
2014-01-09 02,8888,7041,41,1806,0,0,0
2014-01-09 03,5309,3905,23,1381,0,0,0
2014-01-09 04,4462,3191,22,1249,0,0,0
2014-01-09 05,4199,2988,6,1205,0,0,0
2014-01-09 06,5879,4322,16,1541,0,0,0
2014-01-09 07,13485,10688,26,2771,0,0,0
2014-01-09 08,43435,38158,78,5199,0,0,0
2014-01-09 09,62057,55351,89,6617,0,0,0
2014-01-09 10,58974,53180,107,5687,0,0,0
