date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,26,13,0,13,0,0,0
2014-01-07 18,31,13,0,18,0,0,0
2014-01-07 19,26,13,0,13,0,0,0
2014-01-07 20,28,14,0,14,0,0,0
2014-01-07 21,64,27,0,37,0,0,0
2014-01-07 22,48,28,0,20,0,0,0
2014-01-07 23,13,7,0,6,0,0,0
2014-01-08 00,8,4,2,2,0,0,0
2014-01-08 01,6,0,0,6,0,0,0
2014-01-08 02,4,2,0,2,0,0,0
2014-01-08 03,2,1,0,1,0,0,0
2014-01-08 04,1,0,0,1,0,0,0
2014-01-08 05,3,1,0,2,0,0,0
2014-01-08 06,2,0,0,2,0,0,0
2014-01-08 07,3,1,0,2,0,0,0
2014-01-08 08,12,6,0,6,0,0,0
2014-01-08 09,27,11,2,14,0,0,0
2014-01-08 10,32,12,0,20,0,0,0
2014-01-08 11,38,20,2,16,0,0,0
2014-01-08 12,32,11,0,21,0,0,0
2014-01-08 13,48,24,0,24,0,0,0
2014-01-08 14,45,18,0,27,0,0,0
2014-01-08 15,68,36,0,32,0,0,0
2014-01-08 16,31,17,0,14,0,0,0
2014-01-08 17,34,17,0,17,0,0,0
2014-01-08 18,31,14,4,13,0,0,0
2014-01-08 19,34,18,2,14,0,0,0
2014-01-08 20,39,15,0,24,0,0,0
2014-01-08 21,59,27,0,32,0,0,0
2014-01-08 22,32,18,0,14,0,0,0
2014-01-08 23,16,9,0,7,0,0,0
2014-01-09 00,8,3,2,3,0,0,0
2014-01-09 01,7,4,0,3,0,0,0
2014-01-09 02,3,1,0,2,0,0,0
2014-01-09 03,1,0,0,1,0,0,0
2014-01-09 04,2,0,0,2,0,0,0
2014-01-09 06,3,2,0,1,0,0,0
2014-01-09 07,5,1,0,4,0,0,0
2014-01-09 08,29,10,2,17,0,0,0
2014-01-09 09,41,23,0,18,0,0,0
2014-01-09 10,34,17,2,15,0,0,0
2014-01-09 11,47,27,0,20,0,0,0
2014-01-09 12,37,13,4,20,0,0,0
2014-01-09 13,33,17,2,14,0,0,0
2014-01-09 14,23,16,0,7,0,0,0
2014-01-09 15,48,29,2,17,0,0,0
2014-01-09 16,34,18,0,16,0,0,0
2014-01-09 17,30,10,2,18,0,0,0
2014-01-09 18,28,11,0,17,0,0,0
2014-01-09 19,37,17,6,14,0,0,0
2014-01-09 20,30,18,0,12,0,0,0
2014-01-09 21,37,17,2,18,0,0,0
2014-01-09 22,26,13,2,11,0,0,0
2014-01-09 23,22,7,2,13,0,0,0
2014-01-10 00,10,4,2,4,0,0,0
2014-01-10 01,5,1,0,4,0,0,0
2014-01-10 02,6,3,2,1,0,0,0
2014-01-10 03,6,2,0,4,0,0,0
2014-01-10 04,1,0,0,1,0,0,0
2014-01-10 05,1,0,0,1,0,0,0
2014-01-10 06,4,1,2,1,0,0,0
2014-01-10 07,3,1,0,2,0,0,0
2014-01-10 08,18,9,2,7,0,0,0
2014-01-10 09,25,14,0,11,0,0,0
2014-01-10 10,28,17,0,11,0,0,0
2014-01-10 11,16,7,0,9,0,0,0
2014-01-10 12,16,7,0,9,0,0,0
2014-01-10 13,49,19,2,28,0,0,0
2014-01-10 14,39,20,0,19,0,0,0
2014-01-10 15,59,30,0,29,0,0,0
2014-01-10 16,48,19,0,29,0,0,0
2014-01-10 17,51,32,0,19,0,0,0
2014-01-10 18,26,10,0,16,0,0,0
2014-01-10 19,40,23,2,15,0,0,0
2014-01-10 20,31,6,0,25,0,0,0
2014-01-10 21,19,9,2,8,0,0,0
2014-01-10 22,22,10,2,10,0,0,0
2014-01-10 23,18,7,0,11,0,0,0
2014-01-11 00,6,0,0,6,0,0,0
2014-01-11 01,3,2,0,1,0,0,0
2014-01-11 02,7,3,0,4,0,0,0
2014-01-11 04,2,1,0,1,0,0,0
2014-01-11 05,9,5,0,4,0,0,0
2014-01-11 06,2,2,0,0,0,0,0
2014-01-11 07,3,0,0,3,0,0,0
2014-01-11 08,5,1,0,4,0,0,0
2014-01-11 09,25,7,0,18,0,0,0
2014-01-11 10,12,7,0,5,0,0,0
2014-01-11 11,15,9,0,6,0,0,0
2014-01-11 12,24,9,0,15,0,0,0
2014-01-11 13,15,11,0,4,0,0,0
2014-01-11 14,21,14,0,7,0,0,0
2014-01-11 20,28,15,2,11,0,0,0
2014-01-11 21,11,5,0,6,0,0,0
2014-01-11 23,14,6,0,8,0,0,0
2014-01-12 00,4,2,0,2,0,0,0
2014-01-12 01,8,5,0,3,0,0,0
2014-01-12 02,2,1,0,1,0,0,0
2014-01-12 03,1,0,0,1,0,0,0
2014-01-12 04,1,0,0,1,0,0,0
2014-01-12 06,2,0,0,2,0,0,0
2014-01-12 08,2,0,0,2,0,0,0
2014-01-12 09,1,1,0,0,0,0,0
2014-01-12 10,6,3,0,3,0,0,0
2014-01-12 11,1,0,0,1,0,0,0
2014-01-12 12,1,0,0,1,0,0,0
2014-01-12 13,11,3,0,8,0,0,0
2014-01-12 14,18,9,0,9,0,0,0
2014-01-12 15,14,6,0,8,0,0,0
2014-01-12 16,9,5,0,4,0,0,0
2014-01-12 17,14,8,0,6,0,0,0
2014-01-12 18,13,4,2,7,0,0,0
2014-01-12 19,11,5,0,6,0,0,0
2014-01-12 20,24,8,2,14,0,0,0
2014-01-12 21,12,9,0,3,0,0,0
2014-01-12 22,16,5,0,11,0,0,0
2014-01-12 23,2,1,0,1,0,0,0
2014-01-13 00,1,0,0,1,0,0,0
2014-01-13 01,3,3,0,0,0,0,0
2014-01-13 02,2,2,0,0,0,0,0
2014-01-13 04,2,1,0,1,0,0,0
2014-01-13 05,1,0,0,1,0,0,0
2014-01-13 06,6,1,0,5,0,0,0
2014-01-13 07,2,0,0,2,0,0,0
2014-01-13 08,6,3,0,3,0,0,0
2014-01-13 09,9,4,0,5,0,0,0
2014-01-13 10,14,7,0,7,0,0,0
2014-01-13 11,11,5,0,6,0,0,0
2014-01-13 12,10,6,0,4,0,0,0
2014-01-13 13,15,7,0,8,0,0,0
2014-01-13 14,11,6,0,5,0,0,0
2014-01-13 15,12,6,0,6,0,0,0
2014-01-13 16,21,8,0,13,0,0,0
2014-01-13 17,10,5,0,5,0,0,0
2014-01-13 18,12,5,0,7,0,0,0
2014-01-13 19,6,5,0,1,0,0,0
2014-01-13 20,32,14,2,16,0,0,0
2014-01-13 21,18,10,2,6,0,0,0
2014-01-13 22,24,12,0,12,0,0,0
2014-01-13 23,13,6,0,7,0,0,0
2014-01-14 00,3,2,0,1,0,0,0
2014-01-14 01,9,3,4,2,0,0,0
2014-01-14 02,1,1,0,0,0,0,0
2014-01-14 03,3,0,0,3,0,0,0
2014-01-14 04,5,2,0,3,0,0,0
2014-01-14 05,3,0,0,3,0,0,0
2014-01-14 06,1,0,0,1,0,0,0
2014-01-14 07,3,2,0,1,0,0,0
2014-01-14 08,13,8,0,5,0,0,0
2014-01-14 09,20,5,0,15,0,0,0
2014-01-14 10,35,15,2,18,0,0,0
2014-01-14 11,36,17,0,19,0,0,0
2014-01-14 12,26,11,2,13,0,0,0
2014-01-14 13,14,5,2,7,0,0,0
2014-01-14 14,26,12,2,12,0,0,0
2014-01-14 15,27,13,0,14,0,0,0
2014-01-14 16,18,8,0,10,0,0,0
2014-01-14 17,15,6,0,9,0,0,0
2014-01-14 18,11,4,2,5,0,0,0
2014-01-14 19,8,3,0,5,0,0,0
2014-01-14 20,23,12,2,9,0,0,0
2014-01-14 21,19,11,0,8,0,0,0
2014-01-14 22,33,18,2,13,0,0,0
2014-01-14 23,15,9,0,6,0,0,0
2014-01-15 00,11,4,0,7,0,0,0
2014-01-15 01,4,1,0,3,0,0,0
2014-01-15 02,3,0,0,3,0,0,0
2014-01-15 03,2,0,0,2,0,0,0
2014-01-15 06,4,2,0,2,0,0,0
2014-01-15 07,4,3,0,1,0,0,0
2014-01-15 08,6,4,0,2,0,0,0
2014-01-15 09,13,5,0,8,0,0,0
2014-01-15 10,17,11,2,4,0,0,0
2014-01-15 11,43,22,0,21,0,0,0
2014-01-15 12,19,11,0,8,0,0,0
2014-01-15 13,39,16,0,23,0,0,0
2014-01-15 14,16,7,0,9,0,0,0
2014-01-15 15,18,9,2,7,0,0,0
2014-01-15 16,17,8,0,9,0,0,0
2014-01-15 17,5,4,0,1,0,0,0
2014-01-15 18,8,6,0,2,0,0,0
2014-01-15 20,11,5,0,6,0,0,0
2014-01-15 21,16,9,0,7,0,0,0
2014-01-15 22,7,5,0,2,0,0,0
2014-01-15 23,9,4,0,5,0,0,0
2014-01-16 00,9,4,2,3,0,0,0
2014-01-16 01,2,1,0,1,0,0,0
2014-01-16 02,2,1,0,1,0,0,0
2014-01-16 03,3,0,0,3,0,0,0
2014-01-16 04,1,0,0,1,0,0,0
2014-01-16 05,1,0,0,1,0,0,0
2014-01-16 06,1,0,0,1,0,0,0
2014-01-16 07,11,5,4,2,0,0,0
2014-01-16 08,12,3,4,5,0,0,0
2014-01-16 09,17,9,0,8,0,0,0
2014-01-16 10,21,10,0,11,0,0,0
2014-01-16 11,12,4,0,8,0,0,0
2014-01-16 12,20,6,0,14,0,0,0
2014-01-16 13,21,12,0,9,0,0,0
2014-01-16 14,19,6,0,13,0,0,0
2014-01-16 15,15,8,0,7,0,0,0
2014-01-16 16,24,11,0,13,0,0,0
2014-01-16 17,16,8,2,6,0,0,0
2014-01-16 18,7,3,0,4,0,0,0
2014-01-16 19,12,8,0,4,0,0,0
2014-01-16 20,13,6,0,7,0,0,0
2014-01-16 21,9,4,0,5,0,0,0
2014-01-16 22,6,5,0,1,0,0,0
2014-01-16 23,7,2,2,3,0,0,0
2014-01-17 00,5,1,0,4,0,0,0
2014-01-17 01,6,1,0,5,0,0,0
2014-01-17 02,5,1,0,4,0,0,0
2014-01-17 03,2,0,0,2,0,0,0
2014-01-17 05,1,0,0,1,0,0,0
2014-01-17 06,1,0,0,1,0,0,0
2014-01-17 07,4,2,0,2,0,0,0
2014-01-17 08,11,4,0,7,0,0,0
2014-01-17 09,18,9,0,9,0,0,0
