date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,10671,4800,3138,2733,0,0,0
2014-01-07 18,13029,5861,3886,3282,0,0,0
2014-01-07 19,11146,4926,3270,2950,0,0,0
2014-01-07 20,11139,4891,3203,3045,0,0,0
2014-01-07 21,11950,5441,3601,2908,0,0,0
2014-01-07 22,13855,6721,4480,2654,0,0,0
2014-01-07 23,8849,3955,2636,2258,0,0,0
2014-01-08 00,5614,2404,1604,1606,0,0,0
2014-01-08 01,2693,1155,754,784,0,0,0
2014-01-08 02,1860,830,532,498,0,0,0
2014-01-08 03,1312,575,366,371,0,0,0
2014-01-08 04,921,370,236,315,0,0,0
2014-01-08 05,943,374,224,345,0,0,0
2014-01-08 06,955,373,234,348,0,0,0
2014-01-08 07,5901,3135,2068,698,0,0,0
2014-01-08 08,9440,4186,2738,2516,0,0,0
2014-01-08 09,14499,6444,4221,3834,0,0,0
2014-01-08 10,18664,8380,5498,4786,0,0,0
2014-01-08 11,15929,7006,4640,4283,0,0,0
2014-01-08 12,12708,5530,3733,3445,0,0,0
2014-01-08 13,12770,5714,3755,3301,0,0,0
2014-01-08 14,8896,1848,3696,3352,0,0,0
2014-01-08 15,9927,2099,4198,3630,0,0,0
2014-01-08 16,7991,1707,3414,2870,0,0,0
2014-01-08 17,5831,1214,2424,2193,0,0,0
2014-01-08 18,5730,1170,2342,2217,0,1,0
2014-01-08 19,6984,1435,2874,2675,0,0,0
2014-01-08 20,7011,1434,2867,2710,0,0,0
2014-01-08 21,6941,1385,2770,2786,0,0,0
2014-01-08 22,6746,1393,2788,2565,0,0,0
2014-01-08 23,5280,1082,2166,2032,0,0,0
2014-01-09 00,6763,1865,3730,1168,0,0,0
2014-01-09 01,1912,358,718,836,0,0,0
2014-01-09 02,1228,233,466,529,0,0,0
2014-01-09 03,862,170,342,350,0,0,0
2014-01-09 04,670,131,264,275,0,0,0
2014-01-09 05,762,142,288,332,0,0,0
2014-01-09 06,753,144,288,320,0,1,0
2014-01-09 07,3183,863,1730,589,0,1,0
2014-01-09 08,5674,1155,2312,2207,0,0,0
2014-01-09 09,10033,2027,4054,3952,0,0,0
2014-01-09 10,10791,2205,4415,4169,0,2,0
2014-01-09 11,8846,1819,3640,3387,0,0,0
2014-01-09 12,7761,1576,3152,3033,0,0,0
2014-01-09 13,7722,1582,3166,2974,0,0,0
2014-01-09 14,8184,1688,3380,3116,0,0,0
2014-01-09 15,7770,1595,3190,2985,0,0,0
2014-01-09 16,7217,1442,2886,2889,0,0,0
2014-01-09 17,5318,1051,2106,2161,0,0,0
2014-01-09 18,5019,1034,2068,1917,0,0,0
2014-01-09 19,4591,960,1922,1709,0,0,0
2014-01-09 20,5474,1143,2285,2046,0,0,0
2014-01-09 21,5187,1078,2156,1953,0,0,0
2014-01-09 22,5660,1203,2406,2051,0,0,0
2014-01-09 23,4516,917,1836,1763,0,0,0
2014-01-10 00,2379,489,978,912,0,0,0
2014-01-10 01,1458,297,594,567,0,0,0
2014-01-10 02,1161,242,486,433,0,0,0
2014-01-10 03,873,173,348,352,0,0,0
2014-01-10 04,478,90,182,206,0,0,0
2014-01-10 05,541,92,184,265,0,0,0
2014-01-10 06,630,114,228,288,0,0,0
2014-01-10 07,3704,1022,2046,636,0,0,0
2014-01-10 08,4739,964,1932,1843,0,0,0
2014-01-10 09,7482,1518,3038,2926,0,0,0
2014-01-10 10,9921,2076,4155,3689,0,1,0
2014-01-10 11,8253,1733,3466,3054,0,0,0
2014-01-10 12,6341,1308,2618,2415,0,0,0
2014-01-10 13,6088,1286,2571,2231,0,0,0
2014-01-10 14,8796,1837,3674,3285,0,0,0
2014-01-10 15,8650,1831,3661,3158,0,0,0
2014-01-10 16,7672,1652,3306,2714,0,0,0
2014-01-10 17,5866,1221,2444,2201,0,0,0
2014-01-10 18,4882,1064,2128,1690,0,0,0
2014-01-10 19,5264,1081,2162,2021,0,0,0
2014-01-10 20,5748,1163,2325,2260,0,0,0
2014-01-10 21,4631,918,1836,1877,0,0,0
2014-01-10 22,4321,874,1748,1699,0,0,0
2014-01-10 23,4384,908,1816,1660,0,0,0
2014-01-11 00,2873,597,1194,1082,0,0,0
2014-01-11 01,1583,326,654,603,0,0,0
2014-01-11 02,1236,256,512,468,0,0,0
2014-01-11 03,774,148,296,330,0,0,0
