date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 18,1,0,0,1,0,0,0
2014-01-07 20,12,1,2,9,0,0,0
2014-01-08 07,2,0,0,2,0,0,0
2014-01-08 09,4,0,0,4,0,0,0
2014-01-08 10,1,0,0,1,0,0,0
2014-01-08 12,1,0,0,1,0,0,0
2014-01-08 14,8,0,0,8,0,0,0
2014-01-08 15,9,0,0,9,0,0,0
2014-01-08 16,6,1,2,3,0,0,0
2014-01-08 17,6,1,2,3,0,0,0
2014-01-08 18,1,0,0,1,0,0,0
2014-01-08 20,1,0,0,1,0,0,0
2014-01-08 21,1,0,0,1,0,0,0
2014-01-08 23,1,0,0,1,0,0,0
2014-01-09 05,1,0,0,1,0,0,0
2014-01-09 06,1,0,0,1,0,0,0
2014-01-09 08,2,0,0,2,0,0,0
2014-01-09 10,1,0,0,1,0,0,0
2014-01-09 11,1,0,0,1,0,0,0
2014-01-09 12,4,1,2,1,0,0,0
2014-01-09 14,2,0,0,2,0,0,0
2014-01-09 15,2,0,0,2,0,0,0
2014-01-09 16,4,0,0,4,0,0,0
2014-01-09 18,11,1,2,8,0,0,0
2014-01-09 20,2,0,0,2,0,0,0
2014-01-09 21,1,0,0,1,0,0,0
2014-01-10 01,1,0,0,1,0,0,0
2014-01-10 03,1,0,0,1,0,0,0
2014-01-10 08,1,0,0,1,0,0,0
2014-01-10 09,5,0,0,5,0,0,0
2014-01-10 10,9,0,0,9,0,0,0
2014-01-10 11,15,1,2,12,0,0,0
2014-01-10 12,3,1,2,0,0,0,0
2014-01-10 13,1,0,0,1,0,0,0
2014-01-10 14,6,0,0,6,0,0,0
2014-01-10 16,3,1,2,0,0,0,0
2014-01-10 17,7,0,0,7,0,0,0
2014-01-10 18,1,0,0,1,0,0,0
2014-01-10 20,5,0,0,5,0,0,0
2014-01-10 21,8,0,0,8,0,0,0
2014-01-10 23,5,0,0,5,0,0,0
2014-01-11 04,1,0,0,1,0,0,0
2014-01-11 10,4,1,2,1,0,0,0
2014-01-11 12,5,0,0,5,0,0,0
2014-01-11 20,4,0,0,4,0,0,0
2014-01-11 21,1,0,0,1,0,0,0
2014-01-13 17,1,0,0,1,0,0,0
2014-01-13 19,1,0,0,1,0,0,0
2014-01-13 20,3,1,2,0,0,0,0
2014-01-13 21,1,0,0,1,0,0,0
2014-01-13 23,1,0,0,1,0,0,0
2014-01-14 00,1,0,0,1,0,0,0
2014-01-14 02,6,0,0,6,0,0,0
2014-01-14 08,5,1,2,2,0,0,0
2014-01-14 09,2,0,0,2,0,0,0
2014-01-14 10,4,1,2,1,0,0,0
2014-01-14 11,1,0,0,1,0,0,0
2014-01-14 12,4,0,0,4,0,0,0
2014-01-14 13,6,0,0,6,0,0,0
2014-01-14 14,4,0,0,4,0,0,0
2014-01-14 15,2,0,0,2,0,0,0
2014-01-14 17,3,1,2,0,0,0,0
2014-01-14 19,8,0,0,8,0,0,0
2014-01-14 20,3,0,0,3,0,0,0
2014-01-14 21,2,0,0,2,0,0,0
2014-01-15 06,2,0,0,2,0,0,0
2014-01-15 09,10,1,2,7,0,0,0
2014-01-15 10,1,0,0,1,0,0,0
2014-01-15 11,2,0,0,2,0,0,0
2014-01-15 12,7,0,0,7,0,0,0
2014-01-15 13,1,0,0,1,0,0,0
2014-01-15 15,11,0,0,11,0,0,0
2014-01-15 16,1,0,0,1,0,0,0
2014-01-15 17,1,0,0,1,0,0,0
2014-01-15 21,1,0,0,1,0,0,0
2014-01-16 00,1,0,0,1,0,0,0
2014-01-16 03,1,0,0,1,0,0,0
2014-01-16 13,4,1,2,1,0,0,0
2014-01-16 16,1,0,0,1,0,0,0
2014-01-16 17,1,0,0,1,0,0,0
2014-01-16 20,1,0,0,1,0,0,0
2014-01-16 23,2,0,0,2,0,0,0
2014-01-17 08,3,1,2,0,0,0,0
2014-01-17 09,3,0,0,3,0,0,0
