date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,46,5,10,31,0,0,0
2014-01-07 18,50,9,12,29,0,0,0
2014-01-07 19,36,4,8,24,0,0,0
2014-01-07 20,41,5,10,26,0,0,0
2014-01-07 21,30,3,2,25,0,0,0
2014-01-07 22,23,2,4,17,0,0,0
2014-01-07 23,23,2,0,21,0,0,0
2014-01-08 00,20,2,4,14,0,0,0
2014-01-08 01,24,7,2,15,0,0,0
2014-01-08 02,13,0,0,13,0,0,0
2014-01-08 03,11,0,0,11,0,0,0
2014-01-08 04,7,0,0,7,0,0,0
2014-01-08 05,5,0,0,5,0,0,0
2014-01-08 06,10,3,0,7,0,0,0
2014-01-08 07,19,0,0,19,0,0,0
2014-01-08 08,52,10,8,34,0,0,0
2014-01-08 09,55,8,10,37,0,0,0
2014-01-08 10,55,8,6,41,0,0,0
2014-01-08 11,62,8,14,40,0,0,0
2014-01-08 12,51,5,12,34,0,0,0
2014-01-08 13,50,3,4,43,0,0,0
2014-01-08 14,54,5,8,41,0,0,0
2014-01-08 15,55,7,10,38,0,0,0
2014-01-08 16,46,1,4,41,0,0,0
2014-01-08 17,28,3,0,25,0,0,0
2014-01-08 18,38,5,6,27,0,0,0
2014-01-08 19,54,9,14,31,0,0,0
2014-01-08 20,18,3,6,9,0,0,0
2014-01-08 21,33,4,6,23,0,0,0
2014-01-08 22,38,6,2,30,0,0,0
2014-01-08 23,36,7,4,25,0,0,0
2014-01-09 00,24,0,0,24,0,0,0
2014-01-09 01,14,0,0,14,0,0,0
2014-01-09 02,13,0,0,13,0,0,0
2014-01-09 03,13,0,0,13,0,0,0
2014-01-09 04,7,0,0,7,0,0,0
2014-01-09 06,3,0,0,3,0,0,0
2014-01-09 07,8,0,0,8,0,0,0
2014-01-09 08,36,2,0,34,0,0,0
2014-01-09 09,66,5,8,53,0,0,0
2014-01-09 10,59,5,6,48,0,0,0
2014-01-09 11,49,6,4,39,0,0,0
2014-01-09 12,50,4,6,40,0,0,0
2014-01-09 13,44,1,0,43,0,0,0
2014-01-09 14,59,5,10,44,0,0,0
2014-01-09 15,63,9,6,48,0,0,0
2014-01-09 16,65,11,14,40,0,0,0
2014-01-09 17,28,1,2,25,0,0,0
2014-01-09 18,32,2,4,26,0,0,0
2014-01-09 19,44,6,10,28,0,0,0
2014-01-09 20,48,12,12,24,0,0,0
2014-01-09 21,39,4,6,29,0,0,0
2014-01-09 22,27,6,0,21,0,0,0
2014-01-09 23,29,2,2,25,0,0,0
2014-01-10 00,28,4,2,22,0,0,0
2014-01-10 01,23,3,6,14,0,0,0
2014-01-10 02,16,0,0,16,0,0,0
2014-01-10 03,12,1,0,11,0,0,0
2014-01-10 04,5,0,2,3,0,0,0
2014-01-10 05,11,4,0,7,0,0,0
2014-01-10 06,1,0,0,1,0,0,0
2014-01-10 07,6,0,0,6,0,0,0
2014-01-10 08,45,3,2,40,0,0,0
2014-01-10 09,62,8,14,40,0,0,0
2014-01-10 10,40,2,4,34,0,0,0
2014-01-10 11,34,1,2,31,0,0,0
2014-01-10 12,70,24,8,38,0,0,0
2014-01-10 13,54,4,6,44,0,0,0
2014-01-10 14,56,5,2,49,0,0,0
2014-01-10 15,42,2,4,36,0,0,0
2014-01-10 16,77,17,10,50,0,0,0
2014-01-10 17,34,3,4,27,0,0,0
2014-01-10 18,51,14,0,37,0,0,0
2014-01-10 19,44,8,2,34,0,0,0
2014-01-10 20,42,16,8,18,0,0,0
2014-01-10 21,45,8,6,31,0,0,0
2014-01-10 22,42,7,6,29,0,0,0
2014-01-10 23,28,1,2,25,0,0,0
2014-01-11 00,21,3,0,18,0,0,0
2014-01-11 01,14,0,0,14,0,0,0
2014-01-11 02,13,0,0,13,0,0,0
2014-01-11 03,9,0,0,9,0,0,0
2014-01-11 04,7,0,0,7,0,0,0
2014-01-11 05,4,0,0,4,0,0,0
2014-01-11 06,4,0,0,4,0,0,0
2014-01-11 07,8,0,0,8,0,0,0
2014-01-11 08,21,1,0,20,0,0,0
2014-01-11 09,25,1,0,24,0,0,0
2014-01-11 10,27,1,2,24,0,0,0
2014-01-11 11,42,11,2,29,0,0,0
2014-01-11 12,23,1,0,22,0,0,0
2014-01-11 13,36,1,2,33,0,0,0
2014-01-11 14,35,3,4,28,0,0,0
2014-01-11 20,32,5,4,23,0,0,0
2014-01-11 21,39,5,6,28,0,0,0
2014-01-11 23,35,4,2,29,0,0,0
2014-01-12 10,6,2,4,0,0,0,0
2014-01-12 12,5,3,2,0,0,0,0
2014-01-12 13,4,2,2,0,0,0,0
2014-01-12 15,6,2,4,0,0,0,0
2014-01-12 16,4,2,2,0,0,0,0
2014-01-12 18,4,2,2,0,0,0,0
2014-01-12 19,4,2,2,0,0,0,0
2014-01-12 20,7,3,4,0,0,0,0
2014-01-12 21,13,6,6,1,0,0,0
2014-01-12 22,5,3,2,0,0,0,0
2014-01-13 00,3,1,2,0,0,0,0
2014-01-13 09,4,2,2,0,0,0,0
2014-01-13 10,4,2,2,0,0,0,0
2014-01-13 11,3,1,2,0,0,0,0
2014-01-13 12,7,3,4,0,0,0,0
2014-01-13 13,6,2,4,0,0,0,0
2014-01-13 15,9,3,6,0,0,0,0
2014-01-13 16,41,1,4,36,0,0,0
2014-01-13 17,43,2,4,37,0,0,0
2014-01-13 18,35,10,2,23,0,0,0
2014-01-13 19,31,4,8,19,0,0,0
2014-01-13 20,23,2,0,21,0,0,0
2014-01-13 21,37,3,8,26,0,0,0
2014-01-13 22,27,5,4,18,0,0,0
2014-01-13 23,23,3,2,18,0,0,0
2014-01-14 00,23,5,4,14,0,0,0
2014-01-14 01,12,0,0,12,0,0,0
2014-01-14 02,14,0,0,14,0,0,0
2014-01-14 03,10,0,0,10,0,0,0
2014-01-14 04,10,0,0,10,0,0,0
2014-01-14 05,7,0,0,7,0,0,0
2014-01-14 06,5,0,0,5,0,0,0
2014-01-14 07,10,0,0,10,0,0,0
2014-01-14 08,48,3,0,45,0,0,0
2014-01-14 09,64,7,12,45,0,0,0
2014-01-14 10,56,11,8,37,0,0,0
2014-01-14 11,59,8,8,43,0,0,0
2014-01-14 12,65,7,4,54,0,0,0
2014-01-14 13,55,9,8,38,0,0,0
2014-01-14 14,49,6,0,43,0,0,0
2014-01-14 15,52,4,0,48,0,0,0
2014-01-14 16,67,13,8,46,0,0,0
2014-01-14 17,39,5,4,30,0,0,0
2014-01-14 18,26,1,0,25,0,0,0
2014-01-14 19,40,6,8,26,0,0,0
2014-01-14 20,42,7,8,27,0,0,0
2014-01-14 21,32,5,4,23,0,0,0
2014-01-14 22,37,6,8,23,0,0,0
2014-01-14 23,30,4,2,24,0,0,0
2014-01-15 00,21,1,2,18,0,0,0
2014-01-15 01,17,0,0,17,0,0,0
2014-01-15 02,18,6,0,12,0,0,0
2014-01-15 03,10,0,0,10,0,0,0
2014-01-15 04,8,0,0,8,0,0,0
2014-01-15 05,5,0,0,5,0,0,0
2014-01-15 06,7,0,0,7,0,0,0
2014-01-15 07,9,0,0,9,0,0,0
2014-01-15 08,55,8,6,41,0,0,0
2014-01-15 09,66,7,4,55,0,0,0
2014-01-15 10,60,9,8,43,0,0,0
2014-01-15 11,49,7,4,38,0,0,0
2014-01-15 12,34,6,0,28,0,0,0
2014-01-15 13,57,9,4,44,0,0,0
2014-01-15 14,53,7,6,40,0,0,0
2014-01-15 15,48,7,6,35,0,0,0
2014-01-15 16,40,5,4,31,0,0,0
2014-01-15 17,33,2,2,29,0,0,0
2014-01-15 18,26,0,0,26,0,0,0
2014-01-15 20,33,8,0,25,0,0,0
2014-01-15 21,27,3,2,22,0,0,0
2014-01-15 22,33,5,6,22,0,0,0
2014-01-15 23,36,3,10,23,0,0,0
2014-01-16 00,22,1,2,19,0,0,0
2014-01-16 01,17,2,0,15,0,0,0
2014-01-16 02,16,2,2,12,0,0,0
2014-01-16 03,8,1,2,5,0,0,0
2014-01-16 04,3,0,0,3,0,0,0
2014-01-16 05,4,0,0,4,0,0,0
2014-01-16 06,3,0,0,3,0,0,0
2014-01-16 07,11,1,2,8,0,0,0
2014-01-16 08,30,4,4,22,0,0,0
2014-01-16 09,44,2,2,40,0,0,0
2014-01-16 10,46,5,0,41,0,0,0
2014-01-16 11,43,1,4,38,0,0,0
2014-01-16 12,31,0,2,29,0,0,0
2014-01-16 13,41,1,2,38,0,0,0
2014-01-16 14,25,4,0,21,0,0,0
2014-01-16 15,50,7,2,41,0,0,0
2014-01-16 16,35,4,2,29,0,0,0
2014-01-16 17,16,0,0,16,0,0,0
2014-01-16 18,17,3,4,10,0,0,0
2014-01-16 19,30,0,2,28,0,0,0
2014-01-16 20,31,0,4,27,0,0,0
2014-01-16 21,54,16,6,32,0,0,0
2014-01-16 22,43,6,6,31,0,0,0
2014-01-16 23,30,1,2,27,0,0,0
2014-01-17 00,28,5,0,23,0,0,0
2014-01-17 01,23,5,6,12,0,0,0
2014-01-17 02,10,1,0,9,0,0,0
2014-01-17 03,7,1,0,6,0,0,0
2014-01-17 04,8,0,0,8,0,0,0
2014-01-17 05,2,0,0,2,0,0,0
2014-01-17 06,8,0,2,6,0,0,0
2014-01-17 07,13,1,0,12,0,0,0
2014-01-17 08,34,0,0,34,0,0,0
2014-01-17 09,71,7,16,48,0,0,0
2014-01-17 10,46,2,6,38,0,0,0
2014-01-17 11,39,3,2,34,0,0,0
2014-01-17 12,64,5,8,51,0,0,0
2014-01-17 13,52,6,2,44,0,0,0
2014-01-17 14,59,6,8,45,0,0,0
2014-01-17 15,47,3,6,38,0,0,0
2014-01-17 16,50,2,8,40,0,0,0
2014-01-17 17,21,3,2,16,0,0,0
2014-01-17 18,14,1,4,9,0,0,0
2014-01-17 19,11,0,0,11,0,0,0
2014-01-17 20,8,1,0,7,0,0,0
2014-01-17 21,15,3,0,12,0,0,0
2014-01-17 22,12,0,0,12,0,0,0
2014-01-17 23,11,1,0,10,0,0,0
2014-01-18 00,10,0,0,10,0,0,0
2014-01-18 01,12,0,0,12,0,0,0
2014-01-18 02,10,0,0,10,0,0,0
2014-01-18 03,3,0,0,3,0,0,0
2014-01-18 04,3,0,0,3,0,0,0
2014-01-18 05,6,0,0,6,0,0,0
2014-01-18 06,4,0,0,4,0,0,0
2014-01-18 07,7,0,0,7,0,0,0
2014-01-18 08,15,0,0,15,0,0,0
2014-01-18 09,21,0,2,19,0,0,0
2014-01-18 10,21,0,2,19,0,0,0
2014-01-18 11,23,0,2,21,0,0,0
2014-01-18 12,17,0,0,17,0,0,0
2014-01-18 13,25,0,0,25,0,0,0
