date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,849,271,566,12,0,0,0
2014-01-07 18,843,266,562,15,0,0,0
2014-01-07 19,786,248,524,14,0,0,0
2014-01-07 20,768,244,512,12,0,0,0
2014-01-07 21,939,296,626,17,0,0,0
2014-01-07 22,555,176,370,9,0,0,0
2014-01-07 23,420,130,280,10,0,0,0
2014-01-08 00,369,117,246,6,0,0,0
2014-01-08 01,234,74,156,4,0,0,0
2014-01-08 02,54,17,36,1,0,0,0
2014-01-08 03,60,19,40,1,0,0,0
2014-01-08 04,69,22,46,1,0,0,0
2014-01-08 05,90,29,60,1,0,0,0
2014-01-08 06,30,9,20,1,0,0,0
2014-01-08 07,123,40,82,1,0,0,0
2014-01-08 08,600,190,400,10,0,0,0
2014-01-08 09,948,294,632,22,0,0,0
2014-01-08 10,1035,323,690,22,0,0,0
2014-01-08 11,1320,423,880,17,0,0,0
2014-01-08 12,882,283,588,11,0,0,0
2014-01-08 13,1095,348,730,17,0,0,0
2014-01-08 14,1167,363,778,26,0,0,0
2014-01-08 15,1311,406,874,31,0,0,0
2014-01-08 16,1290,408,860,22,0,0,0
2014-01-08 17,855,265,570,20,0,0,0
2014-01-08 18,687,222,458,7,0,0,0
2014-01-08 19,750,243,500,7,0,0,0
2014-01-08 20,684,219,456,9,0,0,0
2014-01-08 21,900,278,600,22,0,0,0
2014-01-08 22,618,200,412,6,0,0,0
2014-01-08 23,606,190,404,12,0,0,0
2014-01-09 00,351,113,234,4,0,0,0
2014-01-09 01,228,75,152,1,0,0,0
2014-01-09 02,210,70,140,0,0,0,0
2014-01-09 03,231,77,154,0,0,0,0
2014-01-09 04,189,63,126,0,0,0,0
2014-01-09 05,201,67,134,0,0,0,0
2014-01-09 06,213,71,142,0,0,0,0
2014-01-09 07,327,107,218,2,0,0,0
2014-01-09 08,489,155,326,8,0,0,0
2014-01-09 09,1044,323,696,25,0,0,0
2014-01-09 10,1338,411,892,35,0,0,0
2014-01-09 11,1338,417,892,29,0,0,0
2014-01-09 12,990,318,660,12,0,0,0
2014-01-09 13,1077,343,718,16,0,0,0
2014-01-09 14,1248,397,832,19,0,0,0
2014-01-09 15,1554,488,1036,30,0,0,0
2014-01-09 16,1299,416,866,17,0,0,0
2014-01-09 17,726,228,484,14,0,0,0
2014-01-09 18,489,158,326,5,0,0,0
2014-01-09 19,606,189,404,13,0,0,0
2014-01-09 20,663,204,442,17,0,0,0
2014-01-09 21,735,236,490,9,0,0,0
2014-01-09 22,513,163,342,8,0,0,0
2014-01-09 23,294,94,196,4,0,0,0
2014-01-10 00,108,35,72,1,0,0,0
2014-01-10 01,102,33,68,1,0,0,0
2014-01-10 02,72,22,48,2,0,0,0
2014-01-10 03,42,14,28,0,0,0,0
2014-01-10 04,30,10,20,0,0,0,0
2014-01-10 05,9,3,6,0,0,0,0
2014-01-10 06,51,17,34,0,0,0,0
2014-01-10 07,102,32,68,2,0,0,0
2014-01-10 08,642,203,428,11,0,0,0
2014-01-10 09,1035,324,690,21,0,0,0
2014-01-10 10,969,306,646,17,0,0,0
2014-01-10 11,1011,318,674,19,0,0,0
2014-01-10 12,774,245,516,13,0,0,0
2014-01-10 13,819,254,546,19,0,0,0
2014-01-10 14,888,282,592,14,0,0,0
2014-01-10 15,1056,334,704,18,0,0,0
2014-01-10 16,885,282,590,13,0,0,0
2014-01-10 17,534,164,356,14,0,0,0
2014-01-10 18,456,149,304,3,0,0,0
2014-01-10 19,573,180,382,11,0,0,0
2014-01-10 20,528,163,352,13,0,0,0
2014-01-10 21,465,150,310,5,0,0,0
2014-01-10 22,252,82,168,2,0,0,0
2014-01-10 23,255,83,170,2,0,0,0
2014-01-11 00,159,52,106,1,0,0,0
2014-01-11 01,123,40,82,1,0,0,0
2014-01-11 02,60,20,40,0,0,0,0
2014-01-11 03,24,8,16,0,0,0,0
2014-01-11 04,57,19,38,0,0,0,0
2014-01-11 05,30,10,20,0,0,0,0
2014-01-11 06,42,14,28,0,0,0,0
2014-01-11 07,117,39,78,0,0,0,0
2014-01-11 08,237,77,158,2,0,0,0
2014-01-11 09,336,110,224,2,0,0,0
2014-01-11 10,540,171,360,9,0,0,0
2014-01-11 11,387,126,258,3,0,0,0
