date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,13634,4457,8914,263,0,0,0
2014-01-07 18,11973,3908,7816,249,0,0,0
2014-01-07 19,13659,4463,8926,270,0,0,0
2014-01-07 20,14008,4581,9162,265,0,0,0
2014-01-07 21,14306,4669,9338,299,0,0,0
2014-01-07 22,14520,4738,9476,306,0,0,0
2014-01-07 23,9820,3206,6412,202,0,0,0
2014-01-08 00,4687,1530,3060,97,0,0,0
2014-01-08 01,2581,837,1676,68,0,0,0
2014-01-08 02,1588,518,1036,34,0,0,0
2014-01-08 03,926,303,606,17,0,0,0
2014-01-08 04,392,127,256,9,0,0,0
2014-01-08 05,883,287,574,22,0,0,0
2014-01-08 06,571,183,366,22,0,0,0
2014-01-08 07,1872,611,1224,37,0,0,0
2014-01-08 08,6419,2100,4200,119,0,0,0
2014-01-08 09,10938,3566,7136,236,0,0,0
2014-01-08 10,13292,4330,8660,302,0,0,0
2014-01-08 11,13334,4347,8694,293,0,0,0
2014-01-08 12,12163,3958,7916,289,0,0,0
2014-01-08 13,12410,4057,8114,239,0,0,0
2014-01-08 14,12110,3936,7872,302,0,0,0
2014-01-08 15,14202,4634,9268,300,0,0,0
2014-01-08 16,14002,4558,9116,328,0,0,0
2014-01-08 17,11804,3843,7686,275,0,0,0
2014-01-08 18,11815,3857,7714,244,0,0,0
2014-01-08 19,13873,4522,9044,307,0,0,0
2014-01-08 20,14103,4606,9212,285,0,0,0
2014-01-08 21,12562,4101,8202,259,0,0,0
2014-01-08 22,12711,4149,8298,264,0,0,0
2014-01-08 23,11278,3690,7380,208,0,0,0
2014-01-09 00,5818,1905,3810,103,0,0,0
2014-01-09 01,2459,803,1606,50,0,0,0
2014-01-09 02,1631,530,1060,41,0,0,0
2014-01-09 03,883,283,566,34,0,0,0
2014-01-09 04,530,172,344,14,0,0,0
2014-01-09 05,684,221,442,21,0,0,0
2014-01-09 06,1015,328,656,31,0,0,0
2014-01-09 07,2054,661,1322,71,0,0,0
2014-01-09 08,5921,1928,3856,137,0,0,0
2014-01-09 09,10122,3299,6598,225,0,0,0
2014-01-09 10,12123,3951,7902,270,0,0,0
2014-01-09 11,11801,3839,7678,284,0,0,0
2014-01-09 12,10686,3476,6952,258,0,0,0
2014-01-09 13,12525,4086,8172,267,0,0,0
2014-01-09 14,12199,3969,7938,292,0,0,0
2014-01-09 15,12750,4155,8312,283,0,0,0
2014-01-09 16,12191,3976,7952,263,0,0,0
2014-01-09 17,8764,2854,5708,202,0,0,0
2014-01-09 18,8280,2691,5382,207,0,0,0
2014-01-09 19,10059,3277,6556,226,0,0,0
2014-01-09 20,9372,3055,6110,207,0,0,0
2014-01-09 21,9815,3197,6394,224,0,0,0
2014-01-09 22,9251,3015,6030,206,0,0,0
2014-01-09 23,7134,2328,4656,150,0,0,0
2014-01-10 00,4050,1329,2660,61,0,0,0
2014-01-10 01,2547,834,1668,45,0,0,0
2014-01-10 02,1761,575,1152,34,0,0,0
2014-01-10 03,1118,363,726,29,0,0,0
2014-01-10 04,625,202,404,19,0,0,0
2014-01-10 05,555,181,362,12,0,0,0
2014-01-10 06,781,254,508,19,0,0,0
2014-01-10 07,1978,645,1290,43,0,0,0
2014-01-10 08,5310,1744,3488,78,0,0,0
2014-01-10 09,9067,2970,5940,157,0,0,0
2014-01-10 10,11635,3815,7630,190,0,0,0
2014-01-10 11,10245,3350,6700,195,0,0,0
2014-01-10 12,9473,3098,6196,179,0,0,0
2014-01-10 13,9675,3173,6346,156,0,0,0
2014-01-10 14,11804,3865,7730,209,0,0,0
2014-01-10 15,12766,4172,8344,250,0,0,0
2014-01-10 16,12644,4145,8290,209,0,0,0
2014-01-10 17,10156,3329,6658,169,0,0,0
2014-01-10 18,9320,3049,6104,167,0,0,0
2014-01-10 19,10021,3279,6562,180,0,0,0
2014-01-10 20,10539,3447,6898,194,0,0,0
2014-01-10 21,9377,3071,6144,162,0,0,0
2014-01-10 22,8436,2771,5542,123,0,0,0
2014-01-10 23,5768,1890,3786,92,0,0,0
2014-01-11 00,4120,1345,2696,79,0,0,0
2014-01-11 01,3032,989,1980,63,0,0,0
2014-01-11 02,1373,450,900,23,0,0,0
2014-01-11 03,664,213,426,25,0,0,0
2014-01-11 04,436,140,280,16,0,0,0
2014-01-11 05,412,128,258,26,0,0,0
2014-01-11 06,563,180,364,19,0,0,0
2014-01-11 07,1129,361,724,44,0,0,0
2014-01-11 08,2975,971,1948,56,0,0,0
2014-01-11 09,5290,1721,3442,127,0,0,0
2014-01-11 10,8166,2669,5340,157,0,0,0
2014-01-11 11,7396,2415,4830,151,0,0,0
2014-01-11 12,8413,2750,5500,163,0,0,0
2014-01-11 13,7753,2543,5088,122,0,0,0
2014-01-11 14,7741,2523,5046,172,0,0,0
2014-01-11 20,8399,2747,5494,158,0,0,0
2014-01-11 21,7413,2424,4850,139,0,0,0
2014-01-11 23,4983,1631,3262,90,0,0,0
2014-01-12 00,991,326,654,11,0,0,0
2014-01-12 01,970,320,640,10,0,0,0
2014-01-12 02,638,208,418,12,0,0,0
2014-01-12 03,348,114,228,6,0,0,0
2014-01-12 04,214,70,140,4,0,0,0
2014-01-12 05,169,55,110,4,0,0,0
2014-01-12 06,385,127,254,4,0,0,0
2014-01-12 07,586,190,380,16,0,0,0
2014-01-12 08,854,281,566,7,0,0,0
2014-01-12 09,1674,548,1096,30,0,0,0
2014-01-12 10,2343,769,1542,32,0,0,0
2014-01-12 11,2307,758,1516,33,0,0,0
2014-01-12 12,2046,674,1348,24,0,0,0
2014-01-12 13,3595,1185,2370,40,0,0,0
2014-01-12 14,3583,1175,2350,58,0,0,0
2014-01-12 15,3913,1282,2564,67,0,0,0
2014-01-12 16,3578,1170,2340,68,0,0,0
2014-01-12 17,4036,1323,2646,67,0,0,0
2014-01-12 18,3155,1036,2072,47,0,0,0
2014-01-12 19,4086,1345,2690,51,0,0,0
2014-01-12 20,4216,1386,2772,58,0,0,0
2014-01-12 21,4346,1429,2858,59,0,0,0
2014-01-12 22,4214,1387,2774,53,0,0,0
2014-01-12 23,2878,948,1896,34,0,0,0
2014-01-13 00,1627,532,1066,29,0,0,0
2014-01-13 01,1029,334,668,27,0,0,0
2014-01-13 02,554,180,360,14,0,0,0
2014-01-13 03,273,89,178,6,0,0,0
2014-01-13 04,217,71,142,4,0,0,0
2014-01-13 05,338,110,220,8,0,0,0
2014-01-13 06,291,93,186,12,0,0,0
2014-01-13 07,984,318,636,30,0,0,0
2014-01-13 08,2502,818,1638,46,0,0,0
2014-01-13 09,4756,1555,3110,91,0,0,0
2014-01-13 10,5117,1663,3326,128,0,0,0
2014-01-13 11,4766,1551,3102,113,0,0,0
2014-01-13 12,3989,1303,2608,78,0,0,0
2014-01-13 13,4309,1405,2818,86,0,0,0
2014-01-13 14,5147,1679,3366,102,0,0,0
2014-01-13 15,5057,1646,3298,113,0,0,0
2014-01-13 16,11299,3689,7382,228,0,0,0
2014-01-13 17,10646,3467,6938,241,0,0,0
2014-01-13 18,8167,2658,5328,181,0,0,0
2014-01-13 19,8292,2703,5416,173,0,0,0
2014-01-13 20,8324,2709,5420,195,0,0,0
2014-01-13 21,9020,2943,5890,187,0,0,0
2014-01-13 22,8586,2806,5620,160,0,0,0
2014-01-13 23,6446,2107,4218,121,0,0,0
2014-01-14 00,3612,1170,2362,80,0,0,0
2014-01-14 01,2299,742,1504,53,0,0,0
2014-01-14 02,1179,378,760,41,0,0,0
2014-01-14 03,923,295,598,30,0,0,0
2014-01-14 04,641,201,410,30,0,0,0
2014-01-14 05,538,167,354,17,0,0,0
2014-01-14 06,930,291,590,49,0,0,0
2014-01-14 07,1478,472,958,48,0,0,0
2014-01-14 08,4911,1598,3200,113,0,0,0
2014-01-14 09,8878,2882,5768,228,0,0,0
2014-01-14 10,10569,3435,6876,258,0,0,0
2014-01-14 11,11084,3611,7232,241,0,0,0
2014-01-14 12,8737,2853,5706,178,0,0,0
2014-01-14 13,8851,2890,5782,179,0,0,0
2014-01-14 14,10759,3506,7012,241,0,0,0
2014-01-14 15,12280,4012,8024,244,0,0,0
2014-01-14 16,13141,4285,8570,286,0,0,0
2014-01-14 17,10402,3391,6784,227,0,0,0
2014-01-14 18,8729,2848,5696,185,0,0,0
2014-01-14 19,9763,3183,6366,214,0,0,0
2014-01-14 20,9479,3080,6160,239,0,0,0
2014-01-14 21,10425,3402,6804,219,0,0,0
2014-01-14 22,9582,3118,6236,228,0,0,0
2014-01-14 23,6557,2142,4284,131,0,0,0
2014-01-15 00,4043,1320,2640,83,0,0,0
2014-01-15 01,2158,700,1404,54,0,0,0
2014-01-15 02,898,292,586,20,0,0,0
2014-01-15 03,616,195,392,29,0,0,0
2014-01-15 04,434,140,280,14,0,0,0
2014-01-15 05,701,226,452,23,0,0,0
2014-01-15 06,556,175,352,29,0,0,0
2014-01-15 07,1590,517,1034,39,0,0,0
2014-01-15 08,4999,1633,3268,98,0,0,0
2014-01-15 09,8004,2606,5214,184,0,0,0
2014-01-15 10,9523,3107,6214,202,0,0,0
2014-01-15 11,10770,3519,7038,213,0,0,0
2014-01-15 12,8201,2674,5350,177,0,0,0
2014-01-15 13,10176,3320,6640,216,0,0,0
2014-01-15 14,10027,3272,6546,209,0,0,0
2014-01-15 15,9075,2958,5916,201,0,0,0
2014-01-15 16,6490,2117,4234,139,0,0,0
2014-01-15 17,5112,1668,3336,108,0,0,0
2014-01-15 18,4656,1519,3038,99,0,0,0
2014-01-15 20,5023,1636,3274,113,0,0,0
2014-01-15 21,7363,2402,4808,153,0,0,0
2014-01-15 22,7482,2444,4888,150,0,0,0
2014-01-15 23,5594,1821,3644,129,0,0,0
2014-01-16 00,2992,977,1954,61,0,0,0
2014-01-16 01,1972,644,1290,38,0,0,0
2014-01-16 02,1086,352,704,30,0,0,0
2014-01-16 03,787,252,506,29,0,0,0
2014-01-16 04,489,158,318,13,0,0,0
2014-01-16 05,375,120,240,15,0,0,0
2014-01-16 06,531,169,340,22,0,0,0
2014-01-16 07,1065,341,682,42,0,0,0
2014-01-16 08,3747,1221,2442,84,0,0,0
2014-01-16 09,7528,2459,4918,151,0,0,0
2014-01-16 10,7864,2557,5116,191,0,0,0
2014-01-16 11,7732,2515,5030,187,0,0,0
2014-01-16 12,7327,2391,4782,154,0,0,0
2014-01-16 13,8582,2794,5590,198,0,0,0
2014-01-16 14,8262,2690,5380,192,0,0,0
2014-01-16 15,9185,2986,5972,227,0,0,0
2014-01-16 16,9028,2940,5880,208,0,0,0
2014-01-16 17,5705,1853,3706,146,0,0,0
2014-01-16 18,7169,2334,4668,167,0,0,0
2014-01-16 19,7554,2463,4930,161,0,0,0
2014-01-16 20,7226,2347,4698,181,0,0,0
2014-01-16 21,7778,2536,5072,170,0,0,0
2014-01-16 22,7488,2439,4878,171,0,0,0
2014-01-16 23,5928,1933,3868,127,0,0,0
2014-01-17 00,3068,998,1998,72,0,0,0
2014-01-17 01,1914,620,1242,52,0,0,0
2014-01-17 02,1317,427,856,34,0,0,0
2014-01-17 03,1178,381,764,33,0,0,0
2014-01-17 04,708,229,458,21,0,0,0
2014-01-17 05,588,188,378,22,0,0,0
2014-01-17 06,1017,328,656,33,0,0,0
2014-01-17 07,1733,563,1126,44,0,0,0
2014-01-17 08,4505,1466,2934,105,0,0,0
2014-01-17 09,7902,2577,5154,171,0,0,0
2014-01-17 10,9277,3024,6050,203,0,0,0
2014-01-17 11,8236,2677,5354,205,0,0,0
2014-01-17 12,7345,2390,4780,175,0,0,0
2014-01-17 13,8129,2645,5290,194,0,0,0
2014-01-17 14,9960,3251,6506,203,0,0,0
2014-01-17 15,11043,3595,7192,256,0,0,0
2014-01-17 16,9178,2987,5974,217,0,0,0
2014-01-17 17,5604,1822,3646,136,0,0,0
2014-01-17 18,2911,949,1898,64,0,0,0
2014-01-17 19,2647,859,1718,70,0,0,0
2014-01-17 20,2817,917,1834,66,0,0,0
2014-01-17 21,2984,972,1944,68,0,0,0
2014-01-17 22,2578,842,1684,52,0,0,0
2014-01-17 23,2560,834,1672,54,0,0,0
2014-01-18 00,1409,462,928,19,0,0,0
2014-01-18 01,1020,337,674,9,0,0,0
2014-01-18 02,867,285,570,12,0,0,0
2014-01-18 03,542,176,358,8,0,0,0
2014-01-18 04,310,102,204,4,0,0,0
2014-01-18 05,427,140,282,5,0,0,0
2014-01-18 06,279,90,180,9,0,0,0
2014-01-18 07,616,201,402,13,0,0,0
2014-01-18 08,1691,556,1114,21,0,0,0
2014-01-18 09,3235,1059,2122,54,0,0,0
2014-01-18 10,3225,1057,2114,54,0,0,0
2014-01-18 11,3807,1248,2496,63,0,0,0
2014-01-18 12,3552,1171,2342,39,0,0,0
2014-01-18 13,4657,1530,3064,63,0,0,0
2014-01-18 14,4561,1495,2990,76,0,0,0
2014-01-18 15,5338,1753,3508,77,0,0,0
2014-01-18 16,4370,1436,2872,62,0,0,0
2014-01-18 17,3761,1235,2470,56,0,0,0
2014-01-18 18,4827,1590,3182,55,0,0,0
2014-01-18 19,4861,1598,3198,65,0,0,0
2014-01-18 20,4859,1597,3196,66,0,0,0
2014-01-18 21,5534,1820,3640,74,0,0,0
2014-01-18 22,4808,1582,3164,62,0,0,0
2014-01-18 23,3518,1161,2322,35,0,0,0
2014-01-19 00,2130,699,1398,33,0,0,0
2014-01-19 01,1473,484,968,21,0,0,0
2014-01-19 02,848,276,554,18,0,0,0
2014-01-19 03,527,173,346,8,0,0,0
2014-01-19 04,245,81,162,2,0,0,0
2014-01-19 05,209,69,138,2,0,0,0
2014-01-19 06,246,78,158,10,0,0,0
2014-01-19 07,477,152,308,17,0,0,0
2014-01-19 08,636,208,416,12,0,0,0
2014-01-19 09,1764,579,1158,27,0,0,0
2014-01-19 10,2310,755,1514,41,0,0,0
2014-01-19 11,3132,1028,2056,48,0,0,0
2014-01-19 12,3380,1111,2226,43,0,0,0
2014-01-19 13,3592,1184,2368,40,0,0,0
2014-01-19 14,3904,1279,2558,67,0,0,0
2014-01-19 15,4290,1405,2812,73,0,0,0
2014-01-19 16,4654,1534,3068,52,0,0,0
2014-01-19 17,3303,1084,2172,47,0,0,0
2014-01-19 18,3529,1160,2320,49,0,0,0
2014-01-19 19,3743,1231,2466,46,0,0,0
2014-01-19 20,4134,1359,2718,57,0,0,0
2014-01-19 21,4709,1544,3090,75,0,0,0
2014-01-19 22,4084,1338,2680,66,0,0,0
2014-01-19 23,3209,1053,2106,50,0,0,0
2014-01-20 00,2420,784,1572,64,0,0,0
2014-01-20 01,1559,505,1012,42,0,0,0
2014-01-20 02,692,222,444,26,0,0,0
2014-01-20 03,532,173,346,13,0,0,0
2014-01-20 04,495,160,320,15,0,0,0
2014-01-20 05,371,119,238,14,0,0,0
2014-01-20 06,493,157,314,22,0,0,0
2014-01-20 07,835,269,538,28,0,0,0
