date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,1667,37,74,1556,0,0,0
2014-01-07 18,1693,36,72,1585,0,0,0
2014-01-07 19,1780,36,72,1672,0,0,0
2014-01-07 20,1559,39,78,1442,0,0,0
2014-01-07 21,1565,33,66,1466,0,0,0
2014-01-07 22,1740,40,80,1620,0,0,0
2014-01-07 23,1662,35,70,1557,0,0,0
2014-01-08 00,716,20,40,656,0,0,0
2014-01-08 01,248,7,14,227,0,0,0
2014-01-08 02,106,3,6,97,0,0,0
2014-01-08 03,78,5,10,63,0,0,0
2014-01-08 04,122,4,8,110,0,0,0
2014-01-08 05,57,1,2,54,0,0,0
2014-01-08 06,86,3,6,77,0,0,0
2014-01-08 07,499,6,12,481,0,0,0
2014-01-08 08,1090,18,36,1036,0,0,0
2014-01-08 09,1470,33,66,1371,0,0,0
2014-01-08 10,1740,43,86,1611,0,0,0
2014-01-08 11,1625,27,54,1544,0,0,0
2014-01-08 12,1636,31,62,1543,0,0,0
2014-01-08 13,1261,26,52,1183,0,0,0
2014-01-08 14,1354,25,50,1279,0,0,0
2014-01-08 15,1387,39,78,1270,0,0,0
2014-01-08 16,1397,35,70,1292,0,0,0
2014-01-08 17,1107,23,46,1038,0,0,0
2014-01-08 18,1105,25,50,1030,0,0,0
2014-01-08 19,1357,24,48,1285,0,0,0
2014-01-08 20,1275,29,58,1188,0,0,0
2014-01-08 21,1710,37,68,1605,0,0,0
2014-01-08 22,1540,35,70,1435,0,0,0
2014-01-08 23,1261,30,60,1171,0,0,0
2014-01-09 00,652,14,28,610,0,0,0
2014-01-09 01,422,7,14,401,0,0,0
2014-01-09 02,289,6,12,271,0,0,0
2014-01-09 03,113,3,6,104,0,0,0
2014-01-09 04,94,0,2,92,0,0,0
2014-01-09 05,75,3,6,66,0,0,0
2014-01-09 06,133,3,6,124,0,0,0
2014-01-09 07,559,10,20,529,0,0,0
2014-01-09 08,1018,23,46,949,0,0,0
2014-01-09 09,1451,33,68,1350,0,0,0
2014-01-09 10,1526,32,64,1430,0,0,0
2014-01-09 11,1278,22,44,1212,0,0,0
2014-01-09 12,1071,31,62,978,0,0,0
2014-01-09 13,1226,26,52,1148,0,0,0
2014-01-09 14,1453,32,64,1357,0,0,0
2014-01-09 15,1344,26,52,1266,0,0,0
2014-01-09 16,1164,27,54,1083,0,0,0
2014-01-09 17,1122,33,66,1023,0,0,0
2014-01-09 18,911,22,44,845,0,0,0
2014-01-09 19,1050,23,46,981,0,0,0
2014-01-09 20,1254,34,68,1152,0,0,0
2014-01-09 21,1378,36,72,1270,0,0,0
2014-01-09 22,1271,25,50,1196,0,0,0
2014-01-09 23,1073,23,46,1004,0,0,0
2014-01-10 00,419,13,26,380,0,0,0
2014-01-10 01,389,11,22,356,0,0,0
2014-01-10 02,184,7,14,163,0,0,0
2014-01-10 03,85,3,6,76,0,0,0
2014-01-10 04,42,3,8,31,0,0,0
2014-01-10 05,34,0,0,34,0,0,0
2014-01-10 06,122,2,4,116,0,0,0
2014-01-10 07,317,7,14,296,0,0,0
2014-01-10 08,891,21,42,828,0,0,0
2014-01-10 09,1144,20,40,1084,0,0,0
2014-01-10 10,1485,34,68,1383,0,0,0
2014-01-10 11,1294,26,52,1216,0,0,0
2014-01-10 12,1228,27,54,1147,0,0,0
2014-01-10 13,1378,26,52,1300,0,0,0
2014-01-10 14,1912,46,92,1774,0,0,0
2014-01-10 15,1835,37,74,1724,0,0,0
2014-01-10 16,2057,47,94,1916,0,0,0
2014-01-10 17,1438,36,72,1330,0,0,0
2014-01-10 18,1320,33,66,1221,0,0,0
2014-01-10 19,1421,33,66,1322,0,0,0
2014-01-10 20,1432,34,68,1330,0,0,0
2014-01-10 21,1463,30,60,1373,0,0,0
2014-01-10 22,1092,27,56,1009,0,0,0
2014-01-10 23,817,20,40,757,0,0,0
2014-01-11 00,358,12,24,322,0,0,0
2014-01-11 01,229,9,18,202,0,0,0
2014-01-11 02,140,9,18,113,0,0,0
2014-01-11 03,58,2,6,50,0,0,0
2014-01-11 04,32,1,2,29,0,0,0
2014-01-11 05,29,1,2,26,0,0,0
2014-01-11 06,53,0,2,51,0,0,0
2014-01-11 07,114,2,4,108,0,0,0
2014-01-11 08,407,11,22,374,0,0,0
2014-01-11 09,646,18,36,592,0,0,0
2014-01-11 10,867,27,54,786,0,0,0
2014-01-11 11,884,23,46,815,0,0,0
2014-01-11 12,591,28,56,507,0,0,0
2014-01-11 13,711,28,56,627,0,0,0
2014-01-11 14,755,24,48,683,0,0,0
2014-01-11 20,836,30,60,746,0,0,0
2014-01-11 21,832,25,50,757,0,0,0
2014-01-11 23,573,23,46,504,0,0,0
2014-01-12 00,98,6,12,80,0,0,0
2014-01-12 01,101,3,6,92,0,0,0
2014-01-12 02,57,2,4,51,0,0,0
2014-01-12 03,28,1,2,25,0,0,0
2014-01-12 04,31,1,2,28,0,0,0
2014-01-12 05,27,0,0,27,0,0,0
2014-01-12 06,37,2,4,31,0,0,0
2014-01-12 07,72,2,4,66,0,0,0
2014-01-12 08,91,2,4,85,0,0,0
2014-01-12 09,149,10,20,119,0,0,0
2014-01-12 10,224,8,16,200,0,0,0
2014-01-12 11,211,11,22,178,0,0,0
2014-01-12 12,225,7,14,204,0,0,0
2014-01-12 13,379,14,28,337,0,0,0
2014-01-12 14,292,14,28,250,0,0,0
2014-01-12 15,379,16,32,331,0,0,0
2014-01-12 16,443,14,28,401,0,0,0
2014-01-12 17,351,12,24,315,0,0,0
2014-01-12 18,400,18,36,346,0,0,0
2014-01-12 19,454,21,42,391,0,0,0
2014-01-12 20,433,19,38,376,0,0,0
2014-01-12 21,434,17,34,383,0,0,0
2014-01-12 22,484,21,42,421,0,0,0
2014-01-12 23,280,10,20,250,0,0,0
2014-01-13 00,114,4,8,102,0,0,0
2014-01-13 01,102,4,8,90,0,0,0
2014-01-13 02,45,3,8,34,0,0,0
2014-01-13 03,47,2,6,39,0,0,0
2014-01-13 04,14,0,0,14,0,0,0
2014-01-13 05,27,1,2,24,0,0,0
2014-01-13 06,38,2,4,32,0,0,0
2014-01-13 07,177,3,6,168,0,0,0
2014-01-13 08,440,13,26,401,0,0,0
2014-01-13 09,576,14,28,534,0,0,0
2014-01-13 10,819,20,40,759,0,0,0
2014-01-13 11,762,25,50,687,0,0,0
2014-01-13 12,443,7,14,422,0,0,0
2014-01-13 13,548,17,34,497,0,0,0
2014-01-13 14,511,16,32,463,0,0,0
2014-01-13 15,613,20,40,553,0,0,0
2014-01-13 16,1493,27,54,1412,0,0,0
2014-01-13 17,1315,24,48,1243,0,0,0
2014-01-13 18,1091,23,46,1022,0,0,0
2014-01-13 19,1034,18,36,980,0,0,0
2014-01-13 20,1722,29,58,1635,0,0,0
2014-01-13 21,1685,25,50,1610,0,0,0
2014-01-13 22,1491,26,52,1413,0,0,0
2014-01-13 23,941,18,36,887,0,0,0
2014-01-14 00,386,11,22,353,0,0,0
2014-01-14 01,433,11,22,400,0,0,0
2014-01-14 02,212,6,12,194,0,0,0
2014-01-14 03,85,2,4,79,0,0,0
2014-01-14 04,51,2,4,45,0,0,0
2014-01-14 05,55,2,4,49,0,0,0
2014-01-14 06,47,1,2,44,0,0,0
2014-01-14 07,386,6,12,368,0,0,0
2014-01-14 08,740,17,34,689,0,0,0
2014-01-14 09,1268,25,50,1193,0,0,0
2014-01-14 10,1851,41,84,1726,0,0,0
2014-01-14 11,2104,45,90,1969,0,0,0
2014-01-14 12,1319,42,84,1193,0,0,0
2014-01-14 13,1269,27,54,1188,0,0,0
2014-01-14 14,1652,41,82,1529,0,0,0
2014-01-14 15,1506,37,74,1395,0,0,0
2014-01-14 16,1948,45,90,1813,0,0,0
2014-01-14 17,1335,24,48,1263,0,0,0
2014-01-14 18,1160,28,56,1076,0,0,0
2014-01-14 19,1435,34,68,1333,0,0,0
2014-01-14 20,1567,37,74,1456,0,0,0
2014-01-14 21,1870,43,86,1741,0,0,0
2014-01-14 22,1909,39,78,1792,0,0,0
2014-01-14 23,1214,23,46,1145,0,0,0
2014-01-15 00,480,17,34,429,0,0,0
2014-01-15 01,353,5,10,338,0,0,0
2014-01-15 02,160,7,14,139,0,0,0
2014-01-15 03,94,2,4,88,0,0,0
2014-01-15 04,40,1,2,37,0,0,0
2014-01-15 05,43,0,0,43,0,0,0
2014-01-15 06,67,1,2,64,0,0,0
2014-01-15 07,307,5,10,292,0,0,0
2014-01-15 08,682,20,40,622,0,0,0
2014-01-15 09,1303,24,48,1231,0,0,0
2014-01-15 10,1528,35,70,1423,0,0,0
2014-01-15 11,1642,39,78,1525,0,0,0
2014-01-15 12,1853,43,86,1724,0,0,0
2014-01-15 13,2315,58,116,2141,0,0,0
2014-01-15 14,1441,32,64,1345,0,0,0
2014-01-15 15,1472,23,46,1403,0,0,0
2014-01-15 16,1011,19,38,954,0,0,0
2014-01-15 17,866,15,30,821,0,0,0
2014-01-15 18,814,20,40,754,0,0,0
2014-01-15 20,742,19,38,685,0,0,0
2014-01-15 21,1420,34,68,1318,0,0,0
2014-01-15 22,1017,20,40,957,0,0,0
2014-01-15 23,751,17,34,700,0,0,0
2014-01-16 00,348,9,18,321,0,0,0
2014-01-16 01,226,5,10,211,0,0,0
2014-01-16 02,105,2,4,99,0,0,0
2014-01-16 03,58,1,2,55,0,0,0
2014-01-16 04,37,1,2,34,0,0,0
2014-01-16 05,64,2,4,58,0,0,0
2014-01-16 06,92,4,8,80,0,0,0
2014-01-16 07,299,1,2,296,0,0,0
2014-01-16 08,640,13,26,601,0,0,0
2014-01-16 09,1072,17,34,1021,0,0,0
2014-01-16 10,1068,37,74,957,0,0,0
2014-01-16 11,1170,20,40,1110,0,0,0
2014-01-16 12,1159,28,56,1075,0,0,0
2014-01-16 13,1321,28,56,1237,0,0,0
2014-01-16 14,1412,31,62,1319,0,0,0
2014-01-16 15,1441,29,58,1354,0,0,0
2014-01-16 16,1513,30,60,1423,0,0,0
2014-01-16 17,978,18,36,924,0,0,0
2014-01-16 18,1133,34,68,1031,0,0,0
2014-01-16 19,1252,26,52,1174,0,0,0
2014-01-16 20,1264,22,44,1198,0,0,0
2014-01-16 21,1382,22,44,1316,0,0,0
2014-01-16 22,1154,27,54,1073,0,0,0
2014-01-16 23,885,19,38,828,0,0,0
2014-01-17 00,520,7,14,499,0,0,0
2014-01-17 01,357,9,18,330,0,0,0
2014-01-17 02,215,6,12,197,0,0,0
2014-01-17 03,87,2,4,81,0,0,0
2014-01-17 04,51,1,2,48,0,0,0
2014-01-17 05,49,0,2,47,0,0,0
2014-01-17 06,86,2,4,80,0,0,0
2014-01-17 07,240,3,6,231,0,0,0
2014-01-17 08,670,16,34,620,0,0,0
2014-01-17 09,1052,19,38,995,0,0,0
2014-01-17 10,1268,27,54,1187,0,0,0
2014-01-17 11,1420,39,80,1301,0,0,0
2014-01-17 12,1181,23,46,1112,0,0,0
2014-01-17 13,1112,21,42,1049,0,0,0
2014-01-17 14,1464,32,64,1368,0,0,0
2014-01-17 15,1381,22,44,1315,0,0,0
2014-01-17 16,1315,28,56,1231,0,0,0
2014-01-17 17,699,13,26,660,0,0,0
2014-01-17 18,352,6,14,332,0,0,0
2014-01-17 19,438,9,18,411,0,0,0
2014-01-17 20,513,16,32,465,0,0,0
2014-01-17 21,444,12,24,408,0,0,0
2014-01-17 22,344,6,12,326,0,0,0
2014-01-17 23,295,15,30,250,0,0,0
2014-01-18 00,119,6,12,101,0,0,0
2014-01-18 01,76,1,2,73,0,0,0
2014-01-18 02,82,4,8,70,0,0,0
2014-01-18 03,45,2,4,39,0,0,0
2014-01-18 04,19,1,2,16,0,0,0
2014-01-18 05,36,2,4,30,0,0,0
2014-01-18 06,36,0,2,34,0,0,0
2014-01-18 07,89,2,4,83,0,0,0
2014-01-18 08,233,6,12,215,0,0,0
2014-01-18 09,429,14,28,387,0,0,0
2014-01-18 10,410,6,12,392,0,0,0
2014-01-18 11,346,7,14,325,0,0,0
2014-01-18 12,453,13,26,414,0,0,0
2014-01-18 13,487,14,28,445,0,0,0
2014-01-18 14,600,25,50,525,0,0,0
2014-01-18 15,560,18,38,504,0,0,0
2014-01-18 16,705,26,52,627,0,0,0
2014-01-18 17,505,24,48,433,0,0,0
2014-01-18 18,482,22,44,416,0,0,0
2014-01-18 19,570,12,26,532,0,0,0
2014-01-18 20,623,21,42,560,0,0,0
2014-01-18 21,680,26,52,602,0,0,0
2014-01-18 22,532,12,24,496,0,0,0
2014-01-18 23,435,17,34,384,0,0,0
2014-01-19 00,198,5,10,183,0,0,0
2014-01-19 01,134,3,6,125,0,0,0
2014-01-19 02,81,2,4,75,0,0,0
2014-01-19 03,25,1,2,22,0,0,0
2014-01-19 04,29,1,2,26,0,0,0
2014-01-19 05,33,0,0,33,0,0,0
2014-01-19 06,28,0,0,28,0,0,0
2014-01-19 07,68,3,6,59,0,0,0
2014-01-19 08,121,3,6,112,0,0,0
2014-01-19 09,269,11,22,236,0,0,0
2014-01-19 10,224,7,14,203,0,0,0
2014-01-19 11,324,5,10,309,0,0,0
2014-01-19 12,436,17,34,385,0,0,0
