date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,6879,209,416,6254,0,0,0
2014-01-07 18,7840,232,458,7150,0,0,0
2014-01-07 19,6953,161,320,6472,0,0,0
2014-01-07 20,7297,222,440,6635,0,0,0
2014-01-07 21,8220,233,466,7521,0,0,0
2014-01-07 22,7630,228,455,6947,0,0,0
2014-01-07 23,6570,188,374,6008,0,0,0
2014-01-08 00,3180,88,176,2916,0,0,0
2014-01-08 01,1626,48,94,1484,0,0,0
2014-01-08 02,929,30,58,841,0,0,0
2014-01-08 03,774,23,44,707,0,0,0
2014-01-08 04,604,20,40,544,0,0,0
2014-01-08 05,424,11,22,391,0,0,0
2014-01-08 06,667,12,22,633,0,0,0
2014-01-08 07,1296,33,64,1199,0,0,0
2014-01-08 08,3044,74,148,2822,0,0,0
2014-01-08 09,5209,143,286,4780,0,0,0
2014-01-08 10,5183,155,308,4720,0,0,0
2014-01-08 11,5744,151,300,5293,0,0,0
2014-01-08 12,6157,149,298,5710,0,0,0
2014-01-08 13,5124,141,282,4701,0,0,0
2014-01-08 14,5085,131,264,4690,0,0,0
2014-01-08 15,4459,144,282,4033,0,0,0
2014-01-08 16,4424,130,260,4034,0,0,0
2014-01-08 17,5059,153,306,4600,0,0,0
2014-01-08 18,4774,149,298,4327,0,0,0
2014-01-08 19,5394,175,350,4869,0,0,0
2014-01-08 20,5622,144,288,5190,0,0,0
2014-01-08 21,7147,201,402,6544,0,0,0
2014-01-08 22,7033,222,444,6367,0,0,0
2014-01-08 23,5266,144,288,4834,0,0,0
2014-01-09 00,3313,85,168,3060,0,0,0
2014-01-09 01,2155,50,98,2007,0,0,0
2014-01-09 02,1766,40,78,1648,0,0,0
2014-01-09 03,992,26,52,914,0,0,0
2014-01-09 04,918,24,46,848,0,0,0
2014-01-09 05,520,17,34,469,0,0,0
2014-01-09 06,872,17,36,819,0,0,0
2014-01-09 07,1825,42,84,1699,0,0,0
2014-01-09 08,3235,93,186,2956,0,0,0
2014-01-09 09,5260,128,256,4876,0,0,0
2014-01-09 10,5425,154,304,4967,0,0,0
2014-01-09 11,5015,123,246,4646,0,0,0
2014-01-09 12,4731,123,246,4362,0,0,0
2014-01-09 13,5333,129,258,4946,0,0,0
2014-01-09 14,4437,118,234,4085,0,0,0
2014-01-09 15,5258,123,250,4885,0,0,0
2014-01-09 16,4750,110,220,4420,0,0,0
2014-01-09 17,4545,119,238,4188,0,0,0
2014-01-09 18,4318,115,230,3973,0,0,0
2014-01-09 19,4149,105,210,3834,0,0,0
2014-01-09 20,4957,146,292,4519,0,0,0
2014-01-09 21,5678,189,378,5111,0,0,0
2014-01-09 22,5253,117,234,4902,0,0,0
2014-01-09 23,4644,122,244,4278,0,0,0
2014-01-10 00,2196,56,112,2028,0,0,0
2014-01-10 01,1875,62,122,1691,0,0,0
2014-01-10 02,1100,30,60,1010,0,0,0
2014-01-10 03,775,13,26,736,0,0,0
2014-01-10 04,564,16,32,516,0,0,0
2014-01-10 05,393,7,14,372,0,0,0
2014-01-10 06,549,13,26,510,0,0,0
2014-01-10 07,1101,38,76,987,0,0,0
2014-01-10 08,2537,75,148,2314,0,0,0
2014-01-10 09,3697,101,202,3394,0,0,0
2014-01-10 10,4354,134,268,3952,0,0,0
2014-01-10 11,5253,156,312,4785,0,0,0
2014-01-10 12,5130,142,284,4704,0,0,0
2014-01-10 13,5172,134,268,4770,0,0,0
2014-01-10 14,6202,167,332,5703,0,0,0
2014-01-10 15,6252,185,366,5701,0,0,0
2014-01-10 16,6969,184,368,6417,0,0,0
2014-01-10 17,6016,201,402,5413,0,0,0
2014-01-10 18,5919,202,404,5313,0,0,0
2014-01-10 19,4966,158,314,4494,0,0,0
2014-01-10 20,5979,206,412,5361,0,0,0
2014-01-10 21,5547,159,316,5072,0,0,0
2014-01-10 22,4311,132,262,3917,0,0,0
2014-01-10 23,3936,100,200,3636,0,0,0
2014-01-11 00,2699,86,172,2441,0,0,0
2014-01-11 01,1915,62,122,1731,0,0,0
2014-01-11 02,1433,32,64,1337,0,0,0
2014-01-11 03,804,18,38,748,0,0,0
2014-01-11 04,555,10,20,525,0,0,0
2014-01-11 05,564,10,22,532,0,0,0
2014-01-11 06,512,15,32,465,0,0,0
2014-01-11 07,889,27,52,810,0,0,0
2014-01-11 08,1576,54,106,1416,0,0,0
2014-01-11 09,3491,104,208,3179,0,0,0
2014-01-11 10,4068,115,230,3723,0,0,0
2014-01-11 11,4440,134,268,4038,0,0,0
2014-01-11 12,3906,104,208,3594,0,0,0
2014-01-11 13,3695,106,212,3377,0,0,0
2014-01-11 14,3434,101,202,3131,0,0,0
2014-01-11 20,4043,120,240,3683,0,0,0
2014-01-11 21,4721,144,288,4289,0,0,0
2014-01-11 23,3871,101,200,3570,0,0,0
2014-01-12 00,754,25,50,679,0,0,0
2014-01-12 01,716,18,36,662,0,0,0
2014-01-12 02,444,13,26,405,0,0,0
2014-01-12 03,316,12,24,280,0,0,0
2014-01-12 04,202,7,14,181,0,0,0
2014-01-12 05,217,10,20,187,0,0,0
2014-01-12 06,220,5,10,205,0,0,0
2014-01-12 07,252,9,18,225,0,0,0
2014-01-12 08,499,17,34,448,0,0,0
2014-01-12 09,882,27,54,801,0,0,0
2014-01-12 10,857,28,54,775,0,0,0
2014-01-12 11,1153,48,96,1009,0,0,0
2014-01-12 12,1297,41,84,1172,0,0,0
2014-01-12 13,1988,72,144,1772,0,0,0
2014-01-12 14,1640,59,118,1463,0,0,0
2014-01-12 15,1796,50,102,1644,0,0,0
2014-01-12 16,1856,63,126,1667,0,0,0
2014-01-12 17,1780,68,134,1578,0,0,0
2014-01-12 18,2035,88,176,1771,0,0,0
2014-01-12 19,1988,68,136,1784,0,0,0
2014-01-12 20,2206,70,140,1996,0,0,0
2014-01-12 21,2060,57,114,1889,0,0,0
2014-01-12 22,2199,73,146,1980,0,0,0
2014-01-12 23,1370,47,92,1231,0,0,0
2014-01-13 00,885,20,40,825,0,0,0
2014-01-13 01,512,16,32,464,0,0,0
2014-01-13 02,350,11,22,317,0,0,0
2014-01-13 03,303,14,26,263,0,0,0
2014-01-13 04,188,0,0,188,0,0,0
2014-01-13 05,164,8,16,140,0,0,0
2014-01-13 06,176,6,12,158,0,0,0
2014-01-13 07,317,9,18,290,0,0,0
2014-01-13 08,1203,43,86,1074,0,0,0
2014-01-13 09,1546,53,106,1387,0,0,0
2014-01-13 10,1566,59,118,1389,0,0,0
2014-01-13 11,1785,66,131,1588,0,0,0
2014-01-13 12,1742,57,114,1571,0,0,0
2014-01-13 13,1449,52,106,1291,0,0,0
2014-01-13 14,1692,48,96,1548,0,0,0
2014-01-13 15,1600,69,138,1393,0,0,0
2014-01-13 16,3825,103,204,3518,0,0,0
2014-01-13 17,3869,112,222,3535,0,0,0
2014-01-13 18,3936,125,250,3561,0,0,0
2014-01-13 19,3414,88,176,3150,0,0,0
2014-01-13 20,4656,137,274,4245,0,0,0
2014-01-13 21,4460,138,272,4050,0,0,0
2014-01-13 22,4856,164,326,4366,0,0,0
2014-01-13 23,3317,81,162,3074,0,0,0
2014-01-14 00,1685,47,92,1546,0,0,0
2014-01-14 01,1718,37,76,1605,0,0,0
2014-01-14 02,1045,21,42,982,0,0,0
2014-01-14 03,662,13,26,623,0,0,0
2014-01-14 04,322,7,14,301,0,0,0
2014-01-14 05,319,6,14,299,0,0,0
2014-01-14 06,286,10,20,256,0,0,0
2014-01-14 07,797,20,40,737,0,0,0
2014-01-14 08,1936,57,112,1767,0,0,0
2014-01-14 09,3200,97,196,2907,0,0,0
2014-01-14 10,4891,139,276,4476,0,0,0
2014-01-14 11,5354,149,298,4907,0,0,0
2014-01-14 12,4461,140,280,4041,0,0,0
2014-01-14 13,3529,96,192,3241,0,0,0
2014-01-14 14,4206,135,270,3800,0,1,0
2014-01-14 15,4180,120,238,3822,0,0,0
2014-01-14 16,5431,132,264,5035,0,0,0
2014-01-14 17,4267,124,248,3895,0,0,0
2014-01-14 18,3314,109,220,2985,0,0,0
2014-01-14 19,4244,123,246,3875,0,0,0
2014-01-14 20,4331,138,276,3917,0,0,0
2014-01-14 21,5725,152,304,5269,0,0,0
2014-01-14 22,5782,156,308,5318,0,0,0
2014-01-14 23,3752,114,228,3410,0,0,0
2014-01-15 00,1940,56,112,1772,0,0,0
2014-01-15 01,1651,46,90,1515,0,0,0
2014-01-15 02,1146,29,58,1059,0,0,0
2014-01-15 03,585,15,30,540,0,0,0
2014-01-15 04,485,13,24,448,0,0,0
2014-01-15 05,257,7,14,236,0,0,0
2014-01-15 06,394,8,18,368,0,0,0
2014-01-15 07,1125,19,38,1068,0,0,0
2014-01-15 08,2088,60,116,1912,0,0,0
2014-01-15 09,2980,84,166,2730,0,0,0
2014-01-15 10,3731,110,216,3405,0,0,0
2014-01-15 11,4363,148,294,3921,0,0,0
2014-01-15 12,4683,127,256,4298,1,1,0
2014-01-15 13,4849,144,286,4419,0,0,0
2014-01-15 14,3681,114,226,3341,0,0,0
2014-01-15 15,4021,118,236,3667,0,0,0
