date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,71111,17931,35856,17324,0,0,0
2014-01-07 18,68686,17158,34304,17224,0,0,0
2014-01-07 19,76672,19272,38536,18864,0,0,0
2014-01-07 20,76338,19101,38200,19037,0,0,0
2014-01-07 21,83293,20713,41412,21168,0,0,0
2014-01-07 22,80263,19944,39872,20447,0,0,0
2014-01-07 23,60364,15106,30192,15066,0,0,0
2014-01-08 00,38847,9679,19352,9816,0,0,0
2014-01-08 01,15675,3940,7886,3849,0,0,0
2014-01-08 02,8262,2087,4180,1995,0,0,0
2014-01-08 03,6781,1737,3478,1566,0,0,0
2014-01-08 04,2327,584,1176,567,0,0,0
2014-01-08 05,2828,730,1460,638,0,0,0
2014-01-08 06,3438,893,1796,749,0,0,0
2014-01-08 07,8776,2221,4448,2107,0,0,0
2014-01-08 08,39372,9900,19800,9672,0,0,0
2014-01-08 09,76884,19431,38856,18597,0,0,0
2014-01-08 10,91846,23115,46216,22515,0,0,0
2014-01-08 11,81963,20622,41244,20097,0,0,0
2014-01-08 12,84388,21101,42196,21091,0,0,0
2014-01-08 13,79477,19880,39754,19843,0,0,0
2014-01-08 14,83214,20903,41792,20519,0,0,0
2014-01-08 15,89192,22317,44624,22251,0,0,0
2014-01-08 16,86597,21643,43270,21684,0,0,0
2014-01-08 17,74471,18640,37272,18559,0,0,0
2014-01-08 18,68513,17224,34438,16851,0,0,0
2014-01-08 19,68571,17146,34288,17137,0,0,0
2014-01-08 20,74896,18681,37344,18871,0,0,0
2014-01-08 21,76901,19218,38412,19271,0,0,0
2014-01-08 22,71122,17831,35648,17643,0,0,0
2014-01-08 23,51315,12722,25432,13161,0,0,0
2014-01-09 00,31817,7874,15750,8193,0,0,0
2014-01-09 01,15513,3840,7678,3995,0,0,0
2014-01-09 02,9713,2446,4898,2369,0,0,0
2014-01-09 03,4986,1266,2534,1186,0,0,0
2014-01-09 04,3376,871,1742,763,0,0,0
2014-01-09 05,2157,539,1078,540,0,0,0
2014-01-09 06,3294,825,1648,821,0,0,0
2014-01-09 07,10151,2567,5138,2446,0,0,0
2014-01-09 08,42909,10862,21716,10331,0,0,0
2014-01-09 09,70675,17753,35490,17432,0,0,0
2014-01-09 10,85447,21388,42764,21295,0,0,0
2014-01-09 11,74711,18801,37592,18318,0,0,0
2014-01-09 12,71969,18007,36004,17958,0,0,0
2014-01-09 13,79310,19819,39630,19861,0,0,0
2014-01-09 14,76574,19172,38344,19058,0,0,0
2014-01-09 15,86138,21448,42888,21802,0,0,0
2014-01-09 16,79933,20054,40100,19779,0,0,0
2014-01-09 17,49930,12558,25112,12260,0,0,0
2014-01-09 18,52499,13142,26278,13079,0,0,0
2014-01-09 19,57793,14489,28968,14336,0,0,0
2014-01-09 20,64173,16062,32112,15999,0,0,0
2014-01-09 21,65517,16433,32856,16228,0,0,0
2014-01-09 22,58556,14618,29228,14710,0,0,0
2014-01-09 23,42993,10795,21580,10618,0,0,0
2014-01-10 00,27698,6813,13626,7259,0,0,0
2014-01-10 01,17717,4376,8756,4585,0,0,0
2014-01-10 02,9240,2312,4622,2306,0,0,0
2014-01-10 03,4115,1034,2074,1007,0,0,0
