date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,29385,1548,2814,25023,0,0,0
2014-01-07 18,28194,1460,2714,24020,0,0,0
2014-01-07 19,24676,1251,2320,21105,0,0,0
2014-01-07 20,27504,1395,2556,23553,0,0,0
2014-01-07 21,29833,1569,2878,25386,0,0,0
2014-01-07 22,32112,1623,3046,27443,0,0,0
2014-01-07 23,26783,1316,2460,23007,0,0,0
2014-01-08 00,13594,580,1117,11897,0,0,0
2014-01-08 01,6751,339,626,5786,0,0,0
2014-01-08 02,3997,228,396,3373,0,0,0
2014-01-08 03,2029,129,222,1678,0,0,0
2014-01-08 04,1910,91,166,1653,0,0,0
2014-01-08 05,1036,60,92,884,0,0,0
2014-01-08 06,1522,75,142,1305,0,0,0
2014-01-08 07,4838,203,390,4245,0,0,0
2014-01-08 08,14805,644,1188,12973,0,0,0
2014-01-08 09,24040,1117,2054,20869,0,0,0
2014-01-08 10,26541,1246,2321,22974,0,0,0
2014-01-08 11,25190,1195,2262,21733,0,0,0
2014-01-08 12,27305,1314,2508,23483,0,0,0
2014-01-08 13,23187,1086,2020,20080,0,1,0
2014-01-08 14,23297,1152,2132,20013,0,0,0
2014-01-08 15,23292,1191,2254,19847,0,0,0
2014-01-08 16,23363,1106,2064,20193,0,0,0
2014-01-08 17,19237,966,1768,16503,0,0,0
2014-01-08 18,19284,923,1700,16661,0,0,0
2014-01-08 19,22437,1136,2132,19169,0,0,0
2014-01-08 20,23514,1194,2232,20088,0,0,0
2014-01-08 21,28397,1389,2575,24433,0,0,0
2014-01-08 22,27480,1290,2363,23827,0,0,0
2014-01-08 23,20742,931,1762,18049,0,0,0
2014-01-09 00,13707,585,1130,11992,0,0,0
2014-01-09 01,7765,400,740,6625,0,0,0
2014-01-09 02,5018,235,432,4351,0,0,0
2014-01-09 03,2447,123,222,2102,0,0,0
2014-01-09 04,2866,110,196,2560,0,0,0
2014-01-09 05,1727,89,162,1476,0,0,0
2014-01-09 06,2276,93,178,2005,0,0,0
2014-01-09 07,5824,258,478,5088,0,0,0
2014-01-09 08,15103,717,1326,13060,0,0,0
2014-01-09 09,27146,1271,2352,23523,0,0,0
2014-01-09 10,26417,1347,2524,22546,0,0,0
2014-01-09 11,20458,947,1716,17795,0,0,0
2014-01-09 12,19179,902,1690,16587,0,0,0
2014-01-09 13,22157,1053,1964,19140,0,0,0
2014-01-09 14,22205,1111,2048,19046,0,0,0
2014-01-09 15,23396,1237,2214,19945,0,0,0
2014-01-09 16,21569,1003,1876,18690,0,0,0
