date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,112,29,58,25,0,0,0
2014-01-07 18,132,30,58,44,0,0,0
2014-01-07 19,94,21,44,29,0,0,0
2014-01-07 20,96,24,48,24,0,0,0
2014-01-07 21,109,24,48,37,0,0,0
2014-01-07 22,61,15,30,16,0,0,0
2014-01-07 23,163,32,92,39,0,0,0
2014-01-08 00,25,6,12,7,0,0,0
2014-01-08 01,33,8,16,9,0,0,0
2014-01-08 02,19,5,10,4,0,0,0
2014-01-08 03,24,8,16,0,0,0,0
2014-01-08 04,27,9,18,0,0,0,0
2014-01-08 05,19,6,12,1,0,0,0
2014-01-08 06,32,10,20,2,0,0,0
2014-01-08 07,28,6,12,10,0,0,0
2014-01-08 08,156,40,78,38,0,0,0
2014-01-08 09,118,28,56,34,0,0,0
2014-01-08 10,201,54,108,39,0,0,0
2014-01-08 11,59,13,26,20,0,0,0
2014-01-08 12,64,13,26,25,0,0,0
2014-01-08 13,136,35,74,27,0,0,0
2014-01-08 14,81,19,36,26,0,0,0
2014-01-08 15,129,30,60,39,0,0,0
2014-01-08 16,93,22,44,27,0,0,0
2014-01-08 17,149,38,76,35,0,0,0
2014-01-08 18,79,20,40,19,0,0,0
2014-01-08 19,122,30,60,32,0,0,0
2014-01-08 20,59,14,28,17,0,0,0
2014-01-08 21,105,24,48,33,0,0,0
2014-01-08 22,70,17,34,19,0,0,0
2014-01-08 23,59,15,30,14,0,0,0
2014-01-09 00,88,21,42,25,0,0,0
2014-01-09 01,48,13,26,9,0,0,0
2014-01-09 02,33,7,14,12,0,0,0
2014-01-09 03,57,15,30,12,0,0,0
2014-01-09 04,21,6,12,3,0,0,0
2014-01-09 05,16,5,10,1,0,0,0
2014-01-09 06,16,5,10,1,0,0,0
2014-01-09 07,25,7,14,4,0,0,0
2014-01-09 08,174,44,88,42,0,0,0
2014-01-09 09,57,15,30,12,0,0,0
2014-01-09 10,71,14,28,29,0,0,0
2014-01-09 11,104,27,54,23,0,0,0
2014-01-09 12,55,11,22,22,0,0,0
2014-01-09 13,119,32,64,23,0,0,0
2014-01-09 14,50,11,22,17,0,0,0
2014-01-09 15,74,16,32,26,0,0,0
2014-01-09 16,81,19,36,26,0,0,0
2014-01-09 17,60,16,32,12,0,0,0
2014-01-09 18,101,23,46,32,0,0,0
2014-01-09 19,53,13,26,14,0,0,0
2014-01-09 20,51,8,16,27,0,0,0
2014-01-09 21,113,28,56,29,0,0,0
2014-01-09 22,44,10,20,14,0,0,0
2014-01-09 23,126,34,66,26,0,0,0
2014-01-10 00,33,6,12,15,0,0,0
2014-01-10 01,36,10,18,8,0,0,0
2014-01-10 02,31,8,16,7,0,0,0
2014-01-10 03,19,6,12,1,0,0,0
2014-01-10 04,30,9,18,3,0,0,0
2014-01-10 05,18,6,12,0,0,0,0
2014-01-10 06,24,8,16,0,0,0,0
2014-01-10 07,26,7,14,5,0,0,0
