date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,1400089,1233565,3124,162669,0,0,731
2014-01-07 18,1306822,1150789,3040,152316,0,0,677
2014-01-07 19,1244822,1094160,3024,146991,0,0,647
2014-01-07 20,1255203,1102381,3060,149011,0,0,751
2014-01-07 21,1202213,1056863,3014,141622,0,1,713
2014-01-07 22,1226584,1077752,3056,144979,0,0,797
2014-01-07 23,1229292,1084111,2712,142102,0,0,367
2014-01-08 00,1034633,919483,2651,112299,0,1,199
2014-01-08 01,903818,810148,2509,91086,0,0,75
2014-01-08 02,843120,756692,2556,83790,0,0,82
2014-01-08 03,824604,740200,2566,81797,0,0,41
2014-01-08 04,830137,746807,2686,80624,0,0,20
2014-01-08 05,846434,760947,2535,82931,0,0,21
2014-01-08 06,926183,831080,2625,92417,0,0,61
2014-01-08 07,1107927,989418,2570,115787,0,0,152
2014-01-08 08,1481322,1318584,2586,159724,0,0,428
2014-01-08 09,1629920,1443420,2916,183022,0,0,562
2014-01-08 10,1570740,1387995,3023,179043,0,0,679
2014-01-08 11,1516446,1337343,2998,175468,0,0,637
2014-01-08 12,1444198,1276262,2964,164553,0,0,419
2014-01-08 13,1331161,1181213,2355,147159,0,0,434
2014-01-08 14,1314207,1189381,2319,122042,0,0,465
2014-01-08 15,1161626,1048286,2396,110520,0,0,424
2014-01-08 16,1059969,954743,2588,102169,0,0,469
2014-01-08 17,1074170,968985,2474,102254,0,0,457
2014-01-08 18,1053071,949255,2423,100962,0,1,430
2014-01-08 19,1084681,974935,2460,106718,0,0,568
2014-01-08 20,1110907,999120,2524,108675,0,0,588
2014-01-08 21,1122865,1011149,2512,108539,0,1,664
2014-01-08 22,1091061,983652,2388,104384,0,0,637
2014-01-08 23,968143,875068,2144,90525,0,1,405
2014-01-09 00,871760,792799,1972,76583,0,2,404
2014-01-09 01,829996,756854,2099,70795,0,0,248
2014-01-09 02,796120,727385,2052,66538,0,0,145
2014-01-09 03,768858,703043,2444,63212,0,0,159
2014-01-09 04,744510,681644,2483,60297,0,0,86
2014-01-09 05,761751,698433,2352,60923,0,0,43
2014-01-09 06,828032,757769,2428,67778,0,0,57
2014-01-09 07,991553,903845,2532,85040,0,0,136
2014-01-09 08,1365153,1237576,2577,124506,0,0,494
2014-01-09 09,1492336,1349304,2391,139882,0,0,759
2014-01-09 10,1243255,1119888,2581,120166,0,0,620
2014-01-09 11,1089813,981108,2448,105646,0,0,611
2014-01-09 12,1096225,986579,2718,106415,0,1,512
2014-01-09 13,1117451,1005217,3190,108493,0,0,551
2014-01-09 14,1117792,1005875,3199,108228,0,0,490
2014-01-09 15,1111298,1000546,3192,107058,0,0,502
2014-01-09 16,1045834,942093,2924,100272,0,0,545
2014-01-09 17,909098,820375,2538,85699,0,0,486
2014-01-09 18,910470,820702,2606,86639,0,0,523
2014-01-09 19,900770,809316,3119,87824,0,0,511
2014-01-09 20,930705,837685,2786,89743,0,0,491
2014-01-09 21,907099,816291,2662,87644,0,0,502
2014-01-09 22,904787,814250,2673,87360,0,0,504
2014-01-09 23,776155,699294,2688,73786,0,1,386
2014-01-10 00,728725,659265,2306,66877,0,2,275
