date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,17,16,0,1,0,0,0
2014-01-07 18,11,9,0,2,0,0,0
2014-01-07 19,17,16,0,1,0,0,0
2014-01-07 20,21,17,3,1,0,0,0
2014-01-07 21,32,27,0,5,0,0,0
2014-01-07 22,14,12,0,2,0,0,0
2014-01-07 23,14,12,0,2,0,0,0
2014-01-08 00,59,37,15,7,0,0,0
2014-01-08 01,8,5,3,0,0,0,0
2014-01-08 03,1,1,0,0,0,0,0
2014-01-08 09,8,5,0,3,0,0,0
2014-01-08 10,122,83,21,18,0,0,0
2014-01-08 11,186,121,36,29,0,0,0
2014-01-08 12,26,22,0,4,0,0,0
2014-01-08 13,4,3,0,1,0,0,0
2014-01-08 14,1,0,0,1,0,0,0
2014-01-08 15,47,34,9,4,0,0,0
2014-01-08 16,18,16,0,2,0,0,0
2014-01-08 17,39,28,6,5,0,0,0
2014-01-08 18,12,9,0,3,0,0,0
2014-01-08 19,193,126,42,25,0,0,0
2014-01-08 21,17,15,0,2,0,0,0
2014-01-08 22,1,1,0,0,0,0,0
2014-01-08 23,11,9,0,2,0,0,0
2014-01-09 00,9,5,3,1,0,0,0
2014-01-09 03,3,3,0,0,0,0,0
2014-01-09 05,2,0,0,2,0,0,0
2014-01-09 06,1,0,0,1,0,0,0
2014-01-09 09,11,8,3,0,0,0,0
2014-01-09 10,34,30,0,4,0,0,0
2014-01-09 11,7,7,0,0,0,0,0
2014-01-09 12,27,21,0,6,0,0,0
2014-01-09 13,149,103,27,19,0,0,0
2014-01-09 14,23,22,0,1,0,0,0
2014-01-09 15,20,16,3,1,0,0,0
2014-01-09 16,14,12,0,2,0,0,0
2014-01-09 17,11,10,0,1,0,0,0
2014-01-09 18,28,18,6,4,0,0,0
2014-01-09 19,7,5,0,2,0,0,0
2014-01-09 20,11,8,0,3,0,0,0
2014-01-09 21,28,24,0,4,0,0,0
2014-01-09 22,54,34,15,5,0,0,0
2014-01-09 23,9,7,0,2,0,0,0
2014-01-10 00,151,104,21,26,0,0,0
2014-01-10 01,4,3,0,1,0,0,0
2014-01-10 08,3,3,0,0,0,0,0
2014-01-10 09,18,15,0,3,0,0,0
2014-01-10 10,18,13,0,5,0,0,0
2014-01-10 11,41,26,9,6,0,0,0
2014-01-10 12,8,6,0,2,0,0,0
2014-01-10 13,30,22,6,2,0,0,0
2014-01-10 14,42,28,6,8,0,0,0
2014-01-10 15,28,24,0,4,0,0,0
2014-01-10 16,38,31,3,4,0,0,0
2014-01-10 17,25,21,3,1,0,0,0
2014-01-10 18,24,21,0,3,0,0,0
2014-01-10 19,36,30,0,6,0,0,0
2014-01-10 20,60,35,18,7,0,0,0
2014-01-10 21,40,26,9,5,0,0,0
