date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,58063,29915,15736,12396,0,16,0
2014-01-07 18,62848,32522,17208,13095,0,23,0
2014-01-07 19,55613,29001,15128,11468,0,16,0
2014-01-07 20,57973,30335,15692,11924,0,22,0
2014-01-07 21,56226,29461,15446,11297,0,22,0
2014-01-07 22,58572,30597,16110,11844,0,21,0
2014-01-07 23,70366,36454,18922,14952,0,38,0
2014-01-08 00,44841,23566,11894,9361,0,20,0
2014-01-08 01,22565,12087,5686,4789,0,3,0
2014-01-08 02,16294,9007,4064,3205,0,18,0
2014-01-08 03,12696,7139,3114,2424,0,19,0
2014-01-08 04,10902,6453,2554,1879,0,16,0
2014-01-08 05,10093,6029,2336,1713,0,15,0
2014-01-08 06,14348,8441,3532,2359,0,16,0
2014-01-08 07,22179,12142,5636,4385,0,16,0
2014-01-08 08,40368,21187,10784,8378,0,19,0
2014-01-08 09,57920,30400,15688,11804,0,28,0
2014-01-08 10,66907,35214,17810,13864,0,19,0
2014-01-08 11,65668,33780,17996,13881,0,11,0
2014-01-08 12,64517,33507,17654,13332,0,24,0
2014-01-08 13,53909,27858,14486,11539,0,26,0
2014-01-08 14,40429,12857,15754,11798,0,20,0
2014-01-08 15,39332,12586,15078,11643,0,25,0
2014-01-08 16,37531,12253,14528,10734,0,16,0
2014-01-08 17,35896,11592,13798,10489,0,17,0
2014-01-08 18,37126,11804,14432,10860,0,30,0
2014-01-08 19,34385,11174,13320,9876,0,15,0
2014-01-08 20,33587,10400,13104,10067,0,16,0
2014-01-08 21,35827,11233,13854,10714,0,26,0
2014-01-08 22,38821,12305,15272,11225,0,19,0
2014-01-08 23,37668,11836,14722,11089,0,21,0
2014-01-09 00,23743,7631,8888,7204,0,20,0
2014-01-09 01,16117,5505,5712,4896,0,4,0
2014-01-09 02,11622,4419,4080,3107,0,16,0
2014-01-09 03,9729,3675,3356,2677,0,21,0
2014-01-09 04,7640,3242,2546,1834,0,18,0
2014-01-09 05,8189,3502,2704,1969,0,14,0
2014-01-09 06,9520,3910,3238,2361,0,11,0
2014-01-09 07,15092,5344,5694,4037,0,17,0
2014-01-09 08,29344,9409,11420,8501,0,14,0
2014-01-09 09,38196,12156,14786,11239,0,15,0
2014-01-09 10,36951,11929,14270,10735,0,17,0
2014-01-09 11,31994,10362,12388,9222,0,22,0
2014-01-09 12,31869,10034,12500,9309,0,26,0
2014-01-09 13,34112,11398,12558,10136,0,20,0
2014-01-09 14,33906,10625,13116,10137,0,28,0
2014-01-09 15,35089,11360,13528,10178,0,23,0
2014-01-09 16,35330,11038,13904,10372,0,16,0
2014-01-09 17,31564,10206,12342,8991,0,25,0
2014-01-09 18,29010,8833,11562,8596,0,19,0
2014-01-09 19,28883,8913,11450,8492,0,28,0
2014-01-09 20,28954,8798,11474,8665,0,17,0
2014-01-09 21,29850,9208,11736,8884,0,22,0
2014-01-09 22,33139,10281,13064,9774,0,20,0
2014-01-09 23,30242,9263,11860,9094,0,25,0
2014-01-10 00,19338,6284,7334,5701,0,19,0
2014-01-10 01,15811,5501,5520,4786,0,4,0
2014-01-10 02,12868,4807,4440,3615,0,6,0
2014-01-10 03,8984,3351,2956,2666,0,11,0
2014-01-10 04,8386,3287,2912,2171,0,16,0
2014-01-10 05,8465,3596,2672,2186,0,11,0
2014-01-10 06,9887,3947,3392,2536,0,12,0
2014-01-10 07,14245,4987,5208,4035,0,15,0
2014-01-10 08,22479,7220,8520,6726,0,13,0
2014-01-10 09,32132,9970,12534,9610,0,18,0
2014-01-10 10,36605,11511,14296,10783,0,15,0
2014-01-10 11,32401,9999,12678,9715,0,9,0
2014-01-10 12,35959,11306,14222,10418,0,13,0
2014-01-10 13,32127,10095,12608,9410,0,14,0
2014-01-10 14,39276,12477,15122,11655,0,22,0
2014-01-10 15,38890,12370,14888,11619,0,13,0
2014-01-10 16,37069,11505,14510,11033,0,21,0
2014-01-10 17,30785,9488,12024,9266,0,7,0
2014-01-10 18,32783,10208,12888,9667,0,20,0
2014-01-10 19,37868,11618,14934,11291,0,25,0
2014-01-10 20,37962,11764,14814,11365,0,19,0
2014-01-10 21,32535,9894,12958,9659,0,24,0
2014-01-10 22,27940,8435,11194,8302,0,9,0
2014-01-10 23,28663,8748,11322,8578,0,15,0
2014-01-11 00,19788,6309,7704,5760,0,15,0
2014-01-11 01,14186,4857,4864,4457,0,8,0
2014-01-11 02,11106,3980,3788,3325,0,13,0
2014-01-11 03,9776,3908,3190,2652,0,26,0
