date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,13649567,9387481,3319132,942663,0,291,0
2014-01-07 18,13102310,9064670,3144905,892486,0,249,0
2014-01-07 19,12590544,8740685,3006707,842863,0,289,0
2014-01-07 20,13060244,9054971,3129121,875900,0,252,0
2014-01-07 21,12662864,8780561,3032293,849741,0,269,0
2014-01-07 22,12564022,8725247,2991397,847142,0,236,0
2014-01-07 23,10532672,7366999,2476227,689214,0,232,0
2014-01-08 00,5712322,4018474,1345489,348148,0,211,0
2014-01-08 01,3047764,2154117,720995,172410,0,242,0
2014-01-08 02,1978893,1398754,471129,108730,0,280,0
2014-01-08 03,1564996,1097128,382032,85620,0,216,0
2014-01-08 04,1434161,995531,359301,79065,0,264,0
2014-01-08 05,1372079,944675,348804,78346,0,254,0
2014-01-08 06,1717527,1177290,437370,102649,0,218,0
2014-01-08 07,3569720,2386818,928198,254464,0,240,0
2014-01-08 08,9618958,6391542,2496489,730674,0,253,0
2014-01-08 09,14386529,9637323,3689152,1059796,0,258,0
2014-01-08 10,15034301,10126405,3827326,1080259,0,311,0
2014-01-08 11,15367933,10406692,3853206,1107764,0,271,0
2014-01-08 12,15478117,10529232,3848652,1099970,0,263,0
2014-01-08 13,12993102,8887753,3201600,903509,0,240,0
2014-01-08 14,6346814,2318080,3136251,892197,0,286,0
2014-01-08 15,6060397,2214865,2996436,848845,0,251,0
2014-01-08 16,5857558,2154431,2887805,815031,0,291,0
2014-01-08 17,5256801,1923948,2597309,735275,0,269,0
2014-01-08 18,5031679,1828756,2496417,706234,0,272,0
2014-01-08 19,5375346,1972091,2657079,745903,0,273,0
2014-01-08 20,5728460,2084555,2847537,796088,0,280,0
2014-01-08 21,6375770,2397131,3098938,879434,0,267,0
2014-01-08 22,6310011,2418445,3024423,866890,0,253,0
2014-01-08 23,4276921,1634064,2063494,579129,0,234,0
2014-01-09 00,2322859,860100,1158286,304247,0,226,0
2014-01-09 01,1382100,481793,723222,176859,0,226,0
2014-01-09 02,968718,327278,518890,122326,0,224,0
2014-01-09 03,743235,241786,408711,92452,0,286,0
